stage,dataset,problem_type,model,seed,embedding,k,split,condition,rotation_member,default_task_error,task_error,task_effect,disagreement,fit_seconds,source,interface_location
full,steel-plates-fault,classification,controlled_mlp,1,PLE,8,validation,random_orthogonal,3,0.003866928515065683,0.0015768834845482469,-0.0022900450305174363,0.010098290996617005,0.20418801810592413,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,1,PLE,8,validation,random_orthogonal,4,0.003866928515065683,0.022283714539930905,0.018416786024865222,0.060494866251359365,0.1809281841851771,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,1,PLE,8,validation,random_orthogonal,5,0.003866928515065683,0.016517495077552347,0.012650566562486663,0.05059493904380391,0.16182476398535073,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,1,PLE,8,validation,random_orthogonal,6,0.003866928515065683,0.017041237691134234,0.01317430917606855,0.04596562255233093,0.22152762697078288,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,1,PLE,8,validation,random_orthogonal,7,0.003866928515065683,0.007239740595053436,0.0033728120799877527,0.02807990181691219,0.17502356390468776,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,1,PLE,8,test,default,-1,0.007988466725483074,0.007988466725483074,0.0,0.0,0.13472981797531247,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,1,PLE,8,test,random_orthogonal,0,0.007988466725483074,0.019182059619722573,0.011193592894239499,0.05178787444940761,0.14971122099086642,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,1,PLE,8,test,random_orthogonal,1,0.007988466725483074,0.003549251117497644,-0.004439215607985431,0.030663717383733646,0.23171805101446807,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,1,PLE,8,test,random_orthogonal,2,0.007988466725483074,0.00951469020542634,0.0015262234799432658,0.04662987239617593,0.1707100800704211,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,1,PLE,8,test,random_orthogonal,3,0.007988466725483074,0.0015626596788602984,-0.0064258070466227755,0.033656599620632534,0.20418801810592413,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,1,PLE,8,test,random_orthogonal,4,0.007988466725483074,0.008318847177494761,0.00033038045201168667,0.04390072812184178,0.1809281841851771,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,1,PLE,8,test,random_orthogonal,5,0.007988466725483074,0.01548783600648452,0.007499369281001445,0.04302386844290788,0.16182476398535073,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,1,PLE,8,test,random_orthogonal,6,0.007988466725483074,0.011027914575190282,0.003039447849707208,0.044269491280099764,0.22152762697078288,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,1,PLE,8,test,random_orthogonal,7,0.007988466725483074,0.016467134581504183,0.008478667856021109,0.059980928234451135,0.17502356390468776,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,1,PLE,16,validation,default,-1,0.07829626929371485,0.07829626929371485,0.0,0.0,0.21317154681310058,guarded_embedding_fit,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,1,PLE,16,validation,random_orthogonal,0,0.07829626929371485,0.06906723844292313,-0.009229030850791714,0.025985924530071043,0.2780214410740882,guarded_embedding_fit,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,1,PLE,16,validation,random_orthogonal,1,0.07829626929371485,0.08238300827597808,0.0040867389822632355,0.09495891052470445,0.21911033405922353,guarded_embedding_fit,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,1,PLE,16,validation,random_orthogonal,2,0.07829626929371485,0.08527196670750106,0.0069756974137862165,0.03048818716776307,0.19193167285993695,guarded_embedding_fit,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,1,PLE,16,validation,random_orthogonal,3,0.07829626929371485,0.08350592909513055,0.005209659801415703,0.04666724401207662,0.1859882390126586,guarded_embedding_fit,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,1,PLE,16,validation,random_orthogonal,4,0.07829626929371485,0.1051121856505463,0.02681591635683145,0.049410274953839164,0.17886747210286558,guarded_embedding_fit,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,1,PLE,16,validation,random_orthogonal,5,0.07829626929371485,0.07461594750666489,-0.0036803217870499533,0.032120725394476614,0.24027572688646615,guarded_embedding_fit,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,1,PLE,16,validation,random_orthogonal,6,0.07829626929371485,0.0796871788437266,0.001390909550011754,0.029750467530977775,0.21474489499814808,guarded_embedding_fit,between_numerical_embedding_and_backbone
