dataset,problem_type,model,seed,embedding,k,split,method,tau,selected_features,selected_blocks,selection_key,selection_source_model,general_validation_C,invariant_feature_fraction,invariant_dimension_fraction,raw_disagreement,method_disagreement,maximum_method_disagreement,disagreement_reduction,coordinate_error,raw_task_error,method_task_error,inference_passes,input_dimension,raw_input_dimension,input_dimension_ratio,fit_seconds,predict_seconds,raw_loss,method_loss,trivial_loss,absolute_task_difference,relative_task_difference,safety_denominator,normalized_excess_risk,denominator_sensitive
cardiotocography,classification,resnet_tabular,1,RBF,8,validation,BlockGuard-Greedy-t01-transferred,0.01,"[""V21"",""V24"",""V7""]",3,n3__2c5a11164347e346,controlled_mlp,0.00041837926142578236,0.15789473684210525,0.15789473684210525,0.00013692446598926035,0.017202099201857647,0.03050726532389442,-124.63203425753649,2.0888776102856057e-15,0.00031447236211650713,0.0011086165544870422,1,243,219,1.1095890410958904,1.4273936341051012,0.002390068955719471,0.00031447236211650713,0.0011086165544870422,2.018330722147358,0.0007941441923705351,2.5253226929885715,2.0180162497852416,0.00039352715442952864,False
cardiotocography,classification,resnet_tabular,1,RBF,8,test,BlockGuard-Greedy-t01-transferred,0.01,"[""V21"",""V24"",""V7""]",3,n3__2c5a11164347e346,controlled_mlp,0.00041837926142578236,0.15789473684210525,0.15789473684210525,0.012529759708717877,0.02066894136945976,0.03633659632776744,-0.6495880088649151,2.0888776102856057e-15,0.010490307688052277,0.012756605835098252,1,243,219,1.1095890410958904,1.4273936341051012,0.002390068955719471,0.010490307688052277,0.012756605835098252,2.01796768586807,0.0022662981470459743,0.21603733793500915,2.0074773781800177,0.0011289283613749132,False
cardiotocography,classification,resnet_tabular,1,RBF,16,validation,BlockGuard-Greedy-t01-transferred,0.01,"[""V21"",""V24"",""V7""]",3,n3__2c5a11164347e346,controlled_mlp,0.00041837926142578236,0.15789473684210525,0.15789473684210525,0.006935545475707584,0.03785597098581951,0.04891749369045369,-4.458254310120768,1.8311324256767205e-14,0.0007489075956671462,0.003151769807151603,1,371,371,1.0,2.3438161769881845,0.0016489769332110882,0.0007489075956671462,0.003151769807151603,2.018330722147358,0.0024028622114844566,3.2084895725272022,2.017581814551691,0.001190961473856452,False
cardiotocography,classification,resnet_tabular,1,RBF,16,test,BlockGuard-Greedy-t01-transferred,0.01,"[""V21"",""V24"",""V7""]",3,n3__2c5a11164347e346,controlled_mlp,0.00041837926142578236,0.15789473684210525,0.15789473684210525,0.029817118854959964,0.043039509946895343,0.04721029790187044,-0.4434496557582688,1.8311324256767205e-14,0.010799151463995769,0.05339942696075152,1,371,371,1.0,2.3438161769881845,0.0016489769332110882,0.010799151463995769,0.05339942696075152,2.01796768586807,0.042600275496755755,3.9447798874554656,2.0071685344040744,0.021224065028203384,False
sylvine,classification,resnet_tabular,0,PLE,8,validation,BlockGuard-Greedy-t01-transferred,0.01,"[""V10"",""V11"",""V12"",""V13"",""V14"",""V15"",""V16"",""V17"",""V18"",""V19"",""V20"",""V3"",""V4"",""V5"",""V6"",""V7"",""V8"",""V9""]",18,n18__8ce7f6420efccea3,controlled_mlp,0.008571905086937018,0.9,0.9,0.10127530956309103,0.13039659191895897,0.1670500578892167,-0.2875457254240865,2.298373103115316e-14,0.26571059821152926,0.30201791359162256,1,304,160,1.9,0.224598792148754,0.0017691468819975853,0.26571059821152926,0.30201791359162256,0.6931471805599453,0.0363073153800933,0.13664233050722893,0.427436582348416,0.08494199345459426,False
sylvine,classification,resnet_tabular,0,PLE,8,test,BlockGuard-Greedy-t01-transferred,0.01,"[""V10"",""V11"",""V12"",""V13"",""V14"",""V15"",""V16"",""V17"",""V18"",""V19"",""V20"",""V3"",""V4"",""V5"",""V6"",""V7"",""V8"",""V9""]",18,n18__8ce7f6420efccea3,controlled_mlp,0.008571905086937018,0.9,0.9,0.1014410593894646,0.11704217800090791,0.15226337785434646,-0.15379491012160695,2.298373103115316e-14,0.234299670635983,0.32999381787205095,1,304,160,1.9,0.224598792148754,0.0017691468819975853,0.234299670635983,0.32999381787205095,0.6931471805599453,0.09569414723606795,0.40842629857872087,0.4588475099239623,0.20855326697081972,False
sylvine,classification,resnet_tabular,0,PLE,16,validation,BlockGuard-Greedy-t01-transferred,0.01,"[""V10"",""V11"",""V12"",""V13"",""V14"",""V15"",""V16"",""V17"",""V18"",""V19"",""V20"",""V3"",""V4"",""V5"",""V6"",""V7"",""V8"",""V9""]",18,n18__8ce7f6420efccea3,controlled_mlp,0.008571905086937018,0.9,0.9,0.10728532760969017,0.12511845111950876,0.22876007957804553,-0.1662214573710996,6.844273429419156e-15,0.2816703425493102,0.334428126742661,1,320,320,1.0,0.19293182296678424,0.0015550348907709122,0.2816703425493102,0.334428126742661,0.6931471805599453,0.052757784193350754,0.18730329830203826,0.41147683801063506,0.1282156838971023,False
sylvine,classification,resnet_tabular,0,PLE,16,test,BlockGuard-Greedy-t01-transferred,0.01,"[""V10"",""V11"",""V12"",""V13"",""V14"",""V15"",""V16"",""V17"",""V18"",""V19"",""V20"",""V3"",""V4"",""V5"",""V6"",""V7"",""V8"",""V9""]",18,n18__8ce7f6420efccea3,controlled_mlp,0.008571905086937018,0.9,0.9,0.09663743694279978,0.13417673299725486,0.23450181236716527,-0.38845500503779706,6.844273429419156e-15,0.22924003088305195,0.28677962912647664,1,320,320,1.0,0.19293182296678424,0.0015550348907709122,0.22924003088305195,0.28677962912647664,0.6931471805599453,0.057539598243424694,0.25100152892920713,0.46390714967689334,0.12403257480187672,False
sylvine,classification,resnet_tabular,0,RBF,8,validation,BlockGuard-Greedy-t01-transferred,0.01,"[""V10"",""V11"",""V12"",""V13"",""V14"",""V15"",""V16"",""V17"",""V18"",""V19"",""V20"",""V3"",""V4"",""V5"",""V6"",""V7"",""V8"",""V9""]",18,n18__8ce7f6420efccea3,controlled_mlp,0.008571905086937018,0.9,0.9,0.11009079045580521,0.052836170171389044,0.1895597524321363,0.5200673012462421,2.2298131216328597e-15,0.3142339552303842,0.33998098849118236,1,304,160,1.9,0.21814725594595075,0.0014841991942375898,0.3142339552303842,0.33998098849118236,0.6931471805599453,0.025747033260798136,0.08193587240411815,0.37891322532956107,0.06794968224823657,False
sylvine,classification,resnet_tabular,0,RBF,8,test,BlockGuard-Greedy-t01-transferred,0.01,"[""V10"",""V11"",""V12"",""V13"",""V14"",""V15"",""V16"",""V17"",""V18"",""V19"",""V20"",""V3"",""V4"",""V5"",""V6"",""V7"",""V8"",""V9""]",18,n18__8ce7f6420efccea3,controlled_mlp,0.008571905086937018,0.9,0.9,0.10476771485947113,0.05131863697574973,0.18068682433192437,0.5101674495374329,2.2298131216328597e-15,0.29385735529239915,0.28308499197159775,1,304,160,1.9,0.21814725594595075,0.0014841991942375898,0.29385735529239915,0.28308499197159775,0.6931471805599453,-0.010772363320801392,-0.03665847775048028,0.39928982526754614,-0.026978807470446602,False
sylvine,classification,resnet_tabular,0,RBF,16,validation,BlockGuard-Greedy-t01-transferred,0.01,"[""V10"",""V11"",""V12"",""V13"",""V14"",""V15"",""V16"",""V17"",""V18"",""V19"",""V20"",""V3"",""V4"",""V5"",""V6"",""V7"",""V8"",""V9""]",18,n18__8ce7f6420efccea3,controlled_mlp,0.008571905086937018,0.9,0.9,0.12988644567804897,0.12944257665637135,0.22770093777412626,0.0034173621378310592,2.085585897450892e-15,0.33795776532363875,0.39674314566572927,1,320,320,1.0,0.1744340630248189,0.0014345538802444935,0.33795776532363875,0.39674314566572927,0.6931471805599453,0.05878538034209052,0.1739429786020624,0.35518941523630654,0.16550431353079811,False
sylvine,classification,resnet_tabular,0,RBF,16,test,BlockGuard-Greedy-t01-transferred,0.01,"[""V10"",""V11"",""V12"",""V13"",""V14"",""V15"",""V16"",""V17"",""V18"",""V19"",""V20"",""V3"",""V4"",""V5"",""V6"",""V7"",""V8"",""V9""]",18,n18__8ce7f6420efccea3,controlled_mlp,0.008571905086937018,0.9,0.9,0.1372344089577081,0.14510298812782013,0.24689442890850957,-0.057336780402769794,2.085585897450892e-15,0.31705599403059037,0.38000200529606626,1,320,320,1.0,0.1744340630248189,0.0014345538802444935,0.31705599403059037,0.38000200529606626,0.6931471805599453,0.06294601126547589,0.1985327905814728,0.3760911865293549,0.16736901453701783,False
sylvine,classification,resnet_tabular,1,PLE,8,validation,BlockGuard-Greedy-t01-transferred,0.01,"[""V10"",""V13"",""V14"",""V15"",""V16"",""V17"",""V18"",""V19"",""V20"",""V3"",""V4"",""V5"",""V6"",""V7"",""V8"",""V9""]",16,n16__22283c8e95f4d10f,controlled_mlp,-0.022390674398029366,0.8,0.8,0.11648334276014391,0.07861847465196375,0.10763424411905587,0.32506680535558985,2.298373103115316e-14,0.2711963748056875,0.27675469936223,1,288,160,1.8,0.240940032992512,0.0022494990844279528,0.2711963748056875,0.27675469936223,0.6931471805599453,0.005558324556542538,0.020495571006526485,0.4219508057542578,0.013172920825703269,False
sylvine,classification,resnet_tabular,1,PLE,8,test,BlockGuard-Greedy-t01-transferred,0.01,"[""V10"",""V13"",""V14"",""V15"",""V16"",""V17"",""V18"",""V19"",""V20"",""V3"",""V4"",""V5"",""V6"",""V7"",""V8"",""V9""]",16,n16__22283c8e95f4d10f,controlled_mlp,-0.022390674398029366,0.8,0.8,0.12470828912973687,0.07964917441147934,0.10255373991570997,0.3613161164562326,2.298373103115316e-14,0.2838354221489795,0.24877536900684316,1,288,160,1.8,0.240940032992512,0.0022494990844279528,0.2838354221489795,0.24877536900684316,0.6931471805599453,-0.03506005314213634,-0.12352247255359841,0.4093117584109658,-0.08565611034055515,False
sylvine,classification,resnet_tabular,1,PLE,16,validation,BlockGuard-Greedy-t01-transferred,0.01,"[""V10"",""V13"",""V14"",""V15"",""V16"",""V17"",""V18"",""V19"",""V20"",""V3"",""V4"",""V5"",""V6"",""V7"",""V8"",""V9""]",16,n16__22283c8e95f4d10f,controlled_mlp,-0.022390674398029366,0.8,0.8,0.12186324697884682,0.12711557711105384,0.17358181636002784,-0.04310019848001212,6.844273429419156e-15,0.27124292469253153,0.2811512644063522,1,320,320,1.0,0.266409520059824,0.0024193727876991034,0.27124292469253153,0.2811512644063522,0.6931471805599453,0.009908339713820657,0.036529394177017865,0.42190425586741376,0.023484806270677724,False
sylvine,classification,resnet_tabular,1,PLE,16,test,BlockGuard-Greedy-t01-transferred,0.01,"[""V10"",""V13"",""V14"",""V15"",""V16"",""V17"",""V18"",""V19"",""V20"",""V3"",""V4"",""V5"",""V6"",""V7"",""V8"",""V9""]",16,n16__22283c8e95f4d10f,controlled_mlp,-0.022390674398029366,0.8,0.8,0.10581382668744166,0.12913310665614497,0.17707805085480732,-0.220380272585595,6.844273429419156e-15,0.22964732475302543,0.29461246754386805,1,320,320,1.0,0.266409520059824,0.0024193727876991034,0.22964732475302543,0.29461246754386805,0.6931471805599453,0.06496514279084262,0.28289091919842513,0.4634998558069199,0.1401621639725065,False
sylvine,classification,resnet_tabular,1,RBF,8,validation,BlockGuard-Greedy-t01-transferred,0.01,"[""V10"",""V13"",""V14"",""V15"",""V16"",""V17"",""V18"",""V19"",""V20"",""V3"",""V4"",""V5"",""V6"",""V7"",""V8"",""V9""]",16,n16__22283c8e95f4d10f,controlled_mlp,-0.022390674398029366,0.8,0.8,0.14640893565342783,0.1283581414066708,0.1660731657735647,0.12329024978015013,2.2298131216328597e-15,0.3220074284977875,0.2893752837655461,1,288,160,1.8,0.20268030208535492,0.0014506501611322165,0.3220074284977875,0.2893752837655461,0.6931471805599453,-0.03263214473224141,-0.10133972649163782,0.37113975206215777,-0.0879241432665942,False
