dataset,seed,model,parameters,train_seconds,latency_ms_per_context,crps_point,coverage50_point,coverage90_point,crps_difference,coverage50_difference,coverage90_difference,crps_dense,coverage50_dense,coverage90_dense,crps_scaled_dense,coverage50_scaled_dense,coverage90_scaled_dense,macro_crps,coverage50,coverage90,coverage_error
Electricity,20261302,tactis2,193282,79.38431518198922,5.338423580951712,0.14154931902885437,0.4326171875,0.8525390625,0.18797184526920319,0.4609375,0.8525390625,0.17059268057346344,0.4189453125,0.8212890625,0.25661492347717285,0.44140625,0.826171875,0.18918219208717346,0.4384765625,0.838134765625,0.06169433593750001
Electricity,20261303,projective_mixture4,136580,,0.003779714916163357,0.1744731366634369,0.4443359375,0.837890625,0.23248332738876343,0.486328125,0.85546875,0.17749269306659698,0.4287109375,0.8515625,0.2719334661960602,0.4501953125,0.8388671875,0.21409565210342407,0.452392578125,0.845947265625,0.05083007812500001
Electricity,20261303,direct_mixture4_matched,137211,,0.003626409352364135,0.2395104169845581,0.53515625,0.8974609375,0.3101913630962372,0.4345703125,0.81640625,0.22942888736724854,0.494140625,0.8955078125,0.3393266499042511,0.4599609375,0.8486328125,0.27961432933807373,0.48095703125,0.864501953125,0.02727050781250001
Electricity,20261303,moses,129600,68.59322621114552,1.1779452597693307,0.2691943645477295,0.3359375,0.7978515625,0.35121047496795654,0.4072265625,0.828125,0.26084965467453003,0.4931640625,0.896484375,0.3908047676086426,0.4873046875,0.9033203125,0.31801483035087585,0.430908203125,0.8564453125,0.05632324218750001
Electricity,20261303,tactis2,193282,72.34688763297163,5.347220185512924,0.13717737793922424,0.4560546875,0.833984375,0.18613795936107635,0.4833984375,0.857421875,0.1501389890909195,0.4755859375,0.8466796875,0.23812034726142883,0.4677734375,0.8330078125,0.17789366841316223,0.470703125,0.8427734375,0.04326171875000001
Traffic,20261301,projective_mixture4,136580,,0.0039232616018125555,0.2326766550540924,0.40234375,0.7880859375,0.308208167552948,0.4169921875,0.8095703125,0.3004651367664337,0.3427734375,0.724609375,0.4501435458660126,0.3466796875,0.744140625,0.3228733539581299,0.377197265625,0.7666015625,0.1281005859375
Traffic,20261301,direct_mixture4_matched,137211,,0.003634438598965062,0.31332141160964966,0.4736328125,0.859375,0.4024542570114136,0.408203125,0.765625,0.37871694564819336,0.3505859375,0.7880859375,0.5962581634521484,0.3349609375,0.6962890625,0.42268770933151245,0.391845703125,0.77734375,0.11540527343750001
Traffic,20261301,moses,129600,56.54852072708309,1.1738346045149228,0.48705795407295227,0.4775390625,0.861328125,0.5262167453765869,0.44140625,0.8837890625,0.5099635720252991,0.4931640625,0.90625,0.8197582960128784,0.4775390625,0.8935546875,0.5857491493225098,0.472412109375,0.88623046875,0.02067871093750001
Traffic,20261301,tactis2,193282,72.42187028401531,4.344841486499718,0.2755805253982544,0.560546875,0.904296875,0.3548385798931122,0.6025390625,0.919921875,0.342890202999115,0.5478515625,0.861328125,0.5521445274353027,0.5439453125,0.8369140625,0.3813634514808655,0.563720703125,0.880615234375,0.04155273437500001
Traffic,20261302,projective_mixture4,136580,,0.004153159352426883,0.24069279432296753,0.375,0.7548828125,0.33130571246147156,0.3876953125,0.7724609375,0.30068808794021606,0.3359375,0.705078125,0.42340633273124695,0.328125,0.7001953125,0.32402321696281433,0.356689453125,0.733154296875,0.155078125
Traffic,20261302,direct_mixture4_matched,137211,,0.003786014531215187,0.3145591616630554,0.4833984375,0.81640625,0.41569432616233826,0.37890625,0.732421875,0.3566538095474243,0.3447265625,0.73046875,0.5587466359138489,0.318359375,0.68359375,0.4114134907722473,0.38134765625,0.74072265625,0.13896484375
Traffic,20261302,moses,129600,56.63864753092639,1.1725948936600616,0.4064001441001892,0.482421875,0.896484375,0.49465978145599365,0.4501953125,0.8642578125,0.4420607089996338,0.513671875,0.9052734375,0.685425341129303,0.5087890625,0.9091796875,0.5071364641189575,0.48876953125,0.893798828125,0.008715820312500011
Traffic,20261302,tactis2,193282,72.27699397387914,5.305146645468994,0.20179209113121033,0.4462890625,0.8564453125,0.3094622790813446,0.5146484375,0.859375,0.2865840196609497,0.44140625,0.794921875,0.42357417941093445,0.4072265625,0.783203125,0.3053531348705292,0.452392578125,0.823486328125,0.06206054687500001
Traffic,20261303,projective_mixture4,136580,,0.003747528353414964,0.2132580578327179,0.388671875,0.779296875,0.3100387752056122,0.4052734375,0.77734375,0.26799076795578003,0.3427734375,0.7265625,0.3983888626098633,0.3583984375,0.724609375,0.29741910099983215,0.373779296875,0.751953125,0.1371337890625
Traffic,20261303,direct_mixture4_matched,137211,,0.0036145945614407538,0.2952124774456024,0.4833984375,0.837890625,0.4086321294307709,0.3642578125,0.7470703125,0.34069156646728516,0.3525390625,0.7841796875,0.5036283731460571,0.357421875,0.720703125,0.3870410919189453,0.389404296875,0.7724609375,0.11906738281250001
Traffic,20261303,moses,129600,56.531973720062524,1.1750175528959517,0.3759537935256958,0.5048828125,0.8740234375,0.4896700382232666,0.4365234375,0.861328125,0.4389593005180359,0.4892578125,0.8916015625,0.6215875744819641,0.4716796875,0.8935546875,0.4815426766872406,0.4755859375,0.880126953125,0.02214355468750001
Traffic,20261303,tactis2,193282,79.85555091896094,5.327629809698919,0.19704172015190125,0.4716796875,0.853515625,0.3038020730018616,0.47265625,0.8779296875,0.2811916172504425,0.4609375,0.8173828125,0.40797996520996094,0.4638671875,0.8203125,0.29750382900238037,0.46728515625,0.84228515625,0.04521484375000001
