dataset,task,metric,method,bins,smoothing,seed,input_features,parameters,width,best_epoch,val_score,test_score,train_seconds,selected_numeric,members
black-friday,regression,rmse,diagnostic_residual,32,20.0,0,150,148837,237,24,0.6945857667771698,0.6969883441925049,21.289413983002305,1,
black-friday,regression,rmse,sparse_gate,32,20.0,0,150,148686,236,20,0.6925053604121985,0.6944357752799988,23.531371016986668,1,schema:0.3939;numeric_ple:0.5515;numeric_identity:0.0325;cat_residual:0.0073;cat_residual_ple:0.0150
black-friday,regression,rmse,late_fusion,32,20.0,0,332,447347,0,0,0.6878631116460028,0.6901004314422607,59.02098323695827,,numeric_identity;schema_ple;cat_residual
black-friday,regression,rmse,schema,64,20.0,0,22,150617,268,35,0.699753223906022,0.7003297209739685,25.901579405996017,,
black-friday,regression,rmse,schema_ple,64,20.0,0,73,150785,256,24,0.6932013106249215,0.6944273114204407,21.67007889598608,,
black-friday,regression,rmse,numeric_identity,64,20.0,0,135,150767,242,15,0.6925505024848704,0.6940480470657349,15.84849337907508,0;1;2;3,
black-friday,regression,rmse,cat_target,64,20.0,0,152,150417,238,18,0.6952889230463484,0.6961349844932556,18.087865800014697,,
black-friday,regression,rmse,cat_residual,64,20.0,0,152,150417,238,26,0.6949017017316876,0.6975035667419434,22.39307412598282,,
black-friday,regression,rmse,multi_view,64,20.0,0,214,150301,225,6,0.6937087122860888,0.6944549083709717,10.832914078026079,0;1;2;3,
black-friday,regression,rmse,multi_view_residual,64,20.0,0,214,150301,225,14,0.6938257362607594,0.6952645182609558,15.802805785089731,0;1;2;3,
black-friday,regression,rmse,diagnostic_residual,64,20.0,0,164,151041,236,23,0.693714250825348,0.6960159540176392,21.037124900962226,1,
black-friday,regression,rmse,sparse_gate,64,20.0,0,164,150876,235,21,0.6924987498975987,0.6947437524795532,25.00744328694418,1,schema:0.4092;numeric_ple:0.5371;numeric_identity:0.0309;cat_residual:0.0071;cat_residual_ple:0.0157
black-friday,regression,rmse,late_fusion,64,20.0,0,360,451969,0,0,0.6878918763176394,0.6895433068275452,59.91164640104398,,numeric_identity;schema_ple;cat_residual
black-friday,regression,rmse,schema,128,20.0,0,22,151717,269,36,0.7005887095755661,0.7014386653900146,26.6216662049992,,
black-friday,regression,rmse,schema_ple,128,20.0,0,78,152065,256,21,0.6913164802054048,0.6939780712127686,19.89193007000722,,
black-friday,regression,rmse,numeric_identity,128,20.0,0,140,151977,242,20,0.6918043480937008,0.6936970949172974,19.10670898493845,0;1;2;3,
black-friday,regression,rmse,cat_target,128,20.0,0,162,151681,237,22,0.694766692392971,0.6952629685401917,21.055476584937423,,
black-friday,regression,rmse,cat_residual,128,20.0,0,162,151681,237,20,0.694003743721467,0.695397138595581,19.19142996496521,,
black-friday,regression,rmse,multi_view,128,20.0,0,224,152551,225,12,0.6917810028529523,0.692410409450531,14.092907985090278,0;1;2;3,
black-friday,regression,rmse,multi_view_residual,128,20.0,0,224,152551,225,15,0.6914646510191353,0.6946607232093811,15.873719011084177,0;1;2;3,
black-friday,regression,rmse,diagnostic_residual,128,20.0,0,162,151681,237,20,0.694003743721467,0.695397138595581,19.361484569031745,,
black-friday,regression,rmse,sparse_gate,128,20.0,0,162,152396,237,25,0.6923333083700491,0.6945865154266357,27.491362533997744,,schema:0.4465;numeric_ple:0.5300;cat_residual:0.0064;cat_residual_ple:0.0171
black-friday,regression,rmse,late_fusion,128,20.0,0,380,455723,0,0,0.6871105254027903,0.689032793045044,58.19006901991088,,schema_ple;numeric_identity;cat_residual
diamond,regression,rmse,schema_ple,64,20.0,1,326,215553,256,20,0.1354407357152132,0.13955801725387573,10.333303758059628,,
diamond,regression,rmse,numeric_identity,64,20.0,1,326,215553,256,20,0.1354407357152132,0.13955801725387573,10.281439976999536,,
diamond,regression,rmse,cat_residual,64,20.0,1,415,215761,240,12,0.13747146110248387,0.14129473268985748,8.64065449591726,,
diamond,regression,rmse,sparse_gate,64,20.0,1,415,215105,239,24,0.13424132315622472,0.13592855632305145,13.983350815018639,,schema:0.5362;numeric_ple:0.4448;cat_residual:0.0095;cat_residual_ple:0.0095
diamond,regression,rmse,late_fusion,64,20.0,1,1067,646867,0,0,0.13426383044560275,0.13806045055389404,29.255398230976425,,schema_ple;cat_residual;numeric_identity
diamond,regression,rmse,schema_ple,64,20.0,2,326,215553,256,42,0.13332900489873456,0.1363728940486908,15.735665587009862,,
diamond,regression,rmse,numeric_identity,64,20.0,2,326,215553,256,42,0.13332900489873456,0.1363728940486908,16.103418432059698,,
diamond,regression,rmse,cat_residual,64,20.0,2,415,215761,240,15,0.1350167988782296,0.13859805464744568,11.84319780592341,,
diamond,regression,rmse,sparse_gate,64,20.0,2,415,215105,239,56,0.13298417062897716,0.13582037389278412,29.386274385033175,,schema:0.5472;numeric_ple:0.4345;cat_residual:0.0087;cat_residual_ple:0.0096
diamond,regression,rmse,late_fusion,64,20.0,2,741,431314,0,0,0.13149229710305743,0.13476243615150452,27.578863392933272,,schema_ple;cat_residual
diamond,regression,rmse,schema_ple,64,20.0,3,326,215553,256,38,0.13126579706279085,0.1374976933002472,14.583700391929597,,
diamond,regression,rmse,numeric_identity,64,20.0,3,326,215553,256,38,0.13126579706279085,0.1374976933002472,14.623745564953424,,
diamond,regression,rmse,cat_residual,64,20.0,3,415,215761,240,24,0.1371121918406617,0.14169833064079285,12.740247817942873,,
diamond,regression,rmse,sparse_gate,64,20.0,3,415,215105,239,38,0.1331972019742791,0.13645444810390472,19.32222121092491,,schema:0.5494;numeric_ple:0.4322;cat_residual:0.0092;cat_residual_ple:0.0092
diamond,regression,rmse,late_fusion,64,20.0,3,326,215553,0,0,0.13126579706279085,0.13715073466300964,14.583700391929597,,schema_ple
diamond,regression,rmse,schema_ple,64,20.0,4,326,215553,256,44,0.13157804482111057,0.13537725806236267,16.028898091986775,,
diamond,regression,rmse,numeric_identity,64,20.0,4,326,215553,256,44,0.13157804482111057,0.13537725806236267,15.899626602069475,,
diamond,regression,rmse,cat_residual,64,20.0,4,415,215761,240,18,0.14111722573066565,0.14567014575004578,9.796706520952284,,
diamond,regression,rmse,sparse_gate,64,20.0,4,415,215105,239,31,0.13431028703695436,0.1364087611436844,15.508556817076169,,schema:0.5383;numeric_ple:0.4430;cat_residual:0.0093;cat_residual_ple:0.0094
diamond,regression,rmse,late_fusion,64,20.0,4,326,215553,0,0,0.13157804482111057,0.13551531732082367,16.028898091986775,,schema_ple
black-friday,regression,rmse,schema_ple,128,20.0,1,78,152065,256,22,0.6913174926265597,0.6915815472602844,28.711789613007568,,
black-friday,regression,rmse,numeric_identity,128,20.0,1,140,151977,242,15,0.6909680286655586,0.6923277378082275,23.89270387904253,0;1;2;3,
black-friday,regression,rmse,cat_residual,128,20.0,1,162,151681,237,15,0.6949243918763948,0.696455180644989,24.709911042940803,,
black-friday,regression,rmse,sparse_gate,128,20.0,1,162,152396,237,16,0.691781181515509,0.693166971206665,29.868220833013766,,schema:0.3960;numeric_ple:0.5860;cat_residual:0.0059;cat_residual_ple:0.0121
black-friday,regression,rmse,late_fusion,128,20.0,1,380,455723,0,0,0.6877192287336342,0.6887862086296082,77.3144045349909,,numeric_identity;schema_ple;cat_residual
black-friday,regression,rmse,schema_ple,128,20.0,2,78,152065,256,19,0.6911363287940162,0.6918885707855225,25.920239650062285,,
black-friday,regression,rmse,numeric_identity,128,20.0,2,140,151977,242,15,0.6913042120431747,0.6928362846374512,23.727934767957777,0;1;2;3,
black-friday,regression,rmse,cat_residual,128,20.0,2,162,151681,237,17,0.6945802282379105,0.6946192979812622,25.559710772009566,,
black-friday,regression,rmse,sparse_gate,128,20.0,2,162,152396,237,22,0.6902305096312986,0.6914948225021362,35.13617536309175,,schema:0.4324;numeric_ple:0.5467;cat_residual:0.0050;cat_residual_ple:0.0160
black-friday,regression,rmse,late_fusion,128,20.0,2,380,455723,0,0,0.6878394686343263,0.6885460615158081,75.20788519002963,,schema_ple;numeric_identity;cat_residual
black-friday,regression,rmse,schema_ple,128,20.0,3,78,152065,256,28,0.691117509671372,0.6935544610023499,29.867568359011784,,
black-friday,regression,rmse,numeric_identity,128,20.0,3,140,151977,242,10,0.6915148551975818,0.6921266317367554,16.574383650091477,0;1;2;3,
black-friday,regression,rmse,cat_residual,128,20.0,3,162,151681,237,19,0.6955049856316435,0.695550262928009,22.375122083933093,,
black-friday,regression,rmse,sparse_gate,128,20.0,3,162,152396,237,19,0.691168071174932,0.6917978525161743,26.433540811995044,,schema:0.4220;numeric_ple:0.5613;cat_residual:0.0061;cat_residual_ple:0.0106
black-friday,regression,rmse,late_fusion,128,20.0,3,218,304042,0,0,0.6870737804702856,0.688605010509491,46.44195200910326,,schema_ple;numeric_identity
black-friday,regression,rmse,schema_ple,128,20.0,4,78,152065,256,20,0.6916660037205915,0.6918292045593262,21.43123724590987,,
black-friday,regression,rmse,numeric_identity,128,20.0,4,140,151977,242,13,0.6907754899835687,0.6913453936576843,20.788234777981415,0;1;2;3,
black-friday,regression,rmse,cat_residual,128,20.0,4,162,151681,237,18,0.6942429133307684,0.6957722902297974,22.244055344024673,,
black-friday,regression,rmse,sparse_gate,128,20.0,4,162,152396,237,20,0.6920400635602384,0.6938276886940002,26.455084494897164,,schema:0.4235;numeric_ple:0.5572;cat_residual:0.0070;cat_residual_ple:0.0123
black-friday,regression,rmse,late_fusion,128,20.0,4,380,455723,0,0,0.68749304193679,0.6882086992263794,64.46352736791596,,numeric_identity;schema_ple;cat_residual
diamond,regression,rmse,gated_ple,64,20.0,0,326,215811,256,29,0.133629597627416,0.13678398728370667,14.33563792402856,,schema:0.5415;numeric_ple:0.4585
diamond,regression,rmse,gated_ple,64,20.0,1,326,215811,256,35,0.13317430816606102,0.1347322016954422,17.171064432011917,,schema:0.5502;numeric_ple:0.4498
diamond,regression,rmse,gated_ple,64,20.0,2,326,215811,256,27,0.1335315705031368,0.1350773274898529,12.956703632022254,,schema:0.5380;numeric_ple:0.4620
diamond,regression,rmse,gated_ple,64,20.0,3,326,215811,256,24,0.13431632267730276,0.1359294056892395,12.785413289093412,,schema:0.5410;numeric_ple:0.4590
diamond,regression,rmse,gated_ple,64,20.0,4,326,215811,256,27,0.13239111693336447,0.13757087290287018,12.993248006911017,,schema:0.5545;numeric_ple:0.4455
black-friday,regression,rmse,gated_ple,128,20.0,0,78,152323,256,21,0.6917332999503003,0.6938694715499878,34.911132897017524,,schema:0.4214;numeric_ple:0.5786
black-friday,regression,rmse,gated_ple,128,20.0,1,78,152323,256,30,0.6917458658834583,0.6960355639457703,39.535966207971796,,schema:0.4415;numeric_ple:0.5585
black-friday,regression,rmse,gated_ple,128,20.0,2,78,152323,256,17,0.6916931008750318,0.6929494738578796,23.980124079971574,,schema:0.4189;numeric_ple:0.5811
black-friday,regression,rmse,gated_ple,128,20.0,3,78,152323,256,20,0.6920367880800313,0.6920271515846252,25.983484152937308,,schema:0.4344;numeric_ple:0.5656
black-friday,regression,rmse,gated_ple,128,20.0,4,78,152323,256,29,0.6921114690287524,0.6936792135238647,32.21910372597631,,schema:0.4675;numeric_ple:0.5325
