dataset,task,metric,method,seed,input_features,parameters,best_epoch,val_score,test_score,train_seconds
diamond,regression,rmse,multi_view,2,164,174081,24,0.13908978575353537,0.1445406675338745,8.122911592014134
diamond,regression,rmse,schema,3,26,138753,54,0.14127149134617145,0.14149078726768494,12.98571072507184
diamond,regression,rmse,schema_ple,3,115,161537,54,0.13317377298612865,0.13745971024036407,13.543043722049333
diamond,regression,rmse,multi_view,3,164,174081,27,0.138541315519511,0.14285026490688324,9.629295720020309
diamond,regression,rmse,schema,4,26,138753,46,0.14031722092842713,0.1413586586713791,11.671774779097177
diamond,regression,rmse,schema_ple,4,115,161537,24,0.13488985717149315,0.14114020764827728,9.306053092004731
diamond,regression,rmse,multi_view,4,164,174081,20,0.13878746855618296,0.14409928023815155,8.642082325997762
black-friday,regression,rmse,schema,0,22,137729,35,0.6997633481175711,0.7009754180908203,31.425897112931125
black-friday,regression,rmse,schema_ple,0,60,147457,24,0.692426153345373,0.6945587396621704,24.032085397047922
black-friday,regression,rmse,multi_view,0,177,177409,7,0.6933682410071107,0.695345938205719,17.271642495063134
black-friday,regression,rmse,schema,1,22,137729,61,0.6986305679535967,0.7012655138969421,45.579597574076615
black-friday,regression,rmse,schema_ple,1,60,147457,21,0.6922018127282819,0.6939026117324829,22.419092255062424
black-friday,regression,rmse,multi_view,1,176,177153,16,0.6906706150627571,0.6926983594894409,25.018326065968722
black-friday,regression,rmse,schema,2,22,137729,74,0.699673957285011,0.7013161778450012,52.97616138600279
black-friday,regression,rmse,schema_ple,2,60,147457,27,0.6920251154596571,0.6962456703186035,25.24086004390847
black-friday,regression,rmse,multi_view,2,178,177665,15,0.6912759238050228,0.6922703385353088,23.162376289023086
black-friday,regression,rmse,schema,3,22,137729,64,0.6997048659073286,0.7019394040107727,45.50076281407382
black-friday,regression,rmse,schema_ple,3,60,147457,26,0.6920368476342169,0.6951399445533752,23.82656506402418
black-friday,regression,rmse,multi_view,3,178,177665,9,0.6924374686406338,0.6943167448043823,17.262974397977814
black-friday,regression,rmse,schema,4,22,137729,49,0.6994047128119902,0.7004486918449402,37.61901793605648
black-friday,regression,rmse,schema_ple,4,60,147457,20,0.6926780675503892,0.6932882070541382,20.626004409976304
black-friday,regression,rmse,multi_view,4,178,177665,13,0.6911001198491817,0.6905080676078796,18.23250585992355
california,regression,rmse,schema,0,8,134145,42,0.49957521726454956,0.5030938982963562,6.937253898009658
california,regression,rmse,schema_ple,0,136,166913,38,0.48472826466999663,0.49944162368774414,5.49453643290326
california,regression,rmse,multi_view,0,136,166913,38,0.48472826466999663,0.49944162368774414,6.360671440022998
california,regression,rmse,schema,1,8,134145,48,0.49732663279083766,0.5024037957191467,7.2693785961018875
california,regression,rmse,schema_ple,1,136,166913,34,0.4921095086700511,0.4993188679218292,5.845715902047232
california,regression,rmse,multi_view,1,136,166913,34,0.4921095086700511,0.4993188679218292,5.918968231999315
california,regression,rmse,schema,2,8,134145,50,0.4992113139074057,0.5004254579544067,6.5891754940385
california,regression,rmse,schema_ple,2,136,166913,22,0.4876234771507235,0.49117183685302734,4.387510561035015
california,regression,rmse,multi_view,2,136,166913,22,0.4876234771507235,0.49117183685302734,4.079051475040615
california,regression,rmse,schema,3,8,134145,47,0.49802026627854445,0.5093890428543091,6.493991066934541
california,regression,rmse,schema_ple,3,136,166913,25,0.48516940366980776,0.4980108141899109,4.8528338860487565
california,regression,rmse,multi_view,3,136,166913,25,0.48516940366980776,0.4980108141899109,4.415539314970374
california,regression,rmse,schema,4,8,134145,40,0.4972955725099979,0.49901190400123596,6.011873951065354
california,regression,rmse,schema_ple,4,136,166913,18,0.4876184272609656,0.4871066212654114,3.4813071209937334
california,regression,rmse,multi_view,4,136,166913,18,0.4876184272609656,0.4871066212654114,3.5670514210360125
