numeric_seed,condition,method,auroc,accuracy,log_loss
3,clean,bge,0.7761582865496103,0.7144753086419753,0.5785887509181498
3,clean,e5,0.8450818952243022,0.7670987654320988,0.4920727583092111
3,clean,gte,0.6934134721385712,0.6523456790123456,0.7898887957138091
3,clean,bge_zero_shot,0.7486487329618965,0.6848148148148148,0.6074726207776431
3,clean,e5_zero_shot,0.725557851938535,0.6690432098765432,0.6200820158736475
3,clean,gte_zero_shot,0.801327892212265,0.7316358024691358,0.5571657049326196
3,clean,oracle,0.880351763722431,0.7951851851851852,0.4323209069449057
3,paraphrase,structure_only,0.6077068996526397,0.5791975308641976,0.6762450328672683
3,paraphrase,tfidf,0.7304983073994309,0.6826234567901235,0.7172997994166116
3,paraphrase,bge,0.7344650589628573,0.6852160493827161,0.62722881391471
3,paraphrase,e5,0.768083470890471,0.7103086419753086,0.6057315800632428
3,paraphrase,gte,0.6553231487705211,0.6258641975308642,0.8594308937383522
3,paraphrase,bge_zero_shot,0.701129111662864,0.6513580246913581,0.6336046954777832
3,paraphrase,e5_zero_shot,0.7262911204390854,0.6694753086419754,0.6196506431752064
3,paraphrase,gte_zero_shot,0.771606682609577,0.7097530864197531,0.5814512754670015
3,paraphrase,oracle,0.8801339715070013,0.7959876543209876,0.4330849967882049
3,opaque_informative,structure_only,0.6426525080757988,0.6022839506172839,0.6616167864401857
3,opaque_informative,tfidf,0.7724347022894511,0.7120987654320987,0.6388135278679025
3,opaque_informative,bge,0.7391440995377544,0.6871604938271605,0.6223391662433809
3,opaque_informative,e5,0.7739764242050047,0.7135185185185186,0.5974040662383958
3,opaque_informative,gte,0.735818550545688,0.6843518518518519,0.708450607392011
3,opaque_informative,bge_zero_shot,0.7284782351278317,0.6715740740740741,0.6191932904469692
3,opaque_informative,e5_zero_shot,0.6782384040132712,0.6357716049382716,0.646719404975588
3,opaque_informative,gte_zero_shot,0.7747000685978594,0.7140123456790124,0.5787430860034456
3,opaque_informative,oracle,0.8843344289146279,0.7978703703703703,0.42633356577004844
3,opaque_paraphrase,structure_only,0.6164561204003426,0.5845987654320988,0.6725324593081812
3,opaque_paraphrase,tfidf,0.6604110410007505,0.6301543209876543,0.8512023883059806
3,opaque_paraphrase,bge,0.7761664079675862,0.7179320987654321,0.5791378788893498
3,opaque_paraphrase,e5,0.7026957458883797,0.6629938271604938,0.7022586390118291
3,opaque_paraphrase,gte,0.6984553425653652,0.6593827160493827,0.7787323445547774
3,opaque_paraphrase,bge_zero_shot,0.7554701601479112,0.6911111111111111,0.6042859729895784
3,opaque_paraphrase,e5_zero_shot,0.7054049028297718,0.652746913580247,0.6313403678186403
3,opaque_paraphrase,gte_zero_shot,0.8399574809560914,0.7632716049382716,0.525838885603556
3,opaque_paraphrase,oracle,0.8837027338122128,0.8016975308641975,0.42848641562082407
3,negated_description,structure_only,0.649305930879645,0.6069444444444444,0.6585175523638657
3,negated_description,tfidf,0.4722953018233633,0.4855246913580247,1.21357827071965
3,negated_description,bge,0.8071699597335551,0.7396604938271605,0.5417647268459135
3,negated_description,e5,0.7004520304263542,0.6600617283950617,0.7063349516470515
3,negated_description,gte,0.5464306686709963,0.5423148148148148,1.0710328518283783
3,negated_description,bge_zero_shot,0.3731651224499986,0.4093827160493827,0.812506175225766
3,negated_description,e5_zero_shot,0.3689040852087649,0.4070679012345679,0.8166495604392904
3,negated_description,gte_zero_shot,0.2815214393350376,0.3401851851851852,0.9815621763716741
3,negated_description,oracle,0.8815967724048743,0.7971913580246913,0.43079414515226533
3,ambiguous,structure_only,0.6251781360526276,0.5887037037037037,0.6685593210038617
3,ambiguous,tfidf,0.5548553989451968,0.5499074074074074,1.0560363203048933
3,ambiguous,bge,0.566514946571225,0.5590740740740741,0.8262950976953778
3,ambiguous,e5,0.5602589455772298,0.5542283950617284,0.9153619508609612
3,ambiguous,gte,0.5548553989451968,0.5499074074074074,1.0560363203048933
3,ambiguous,bge_zero_shot,0.6065588223764306,0.5808333333333333,0.6851609033769763
3,ambiguous,e5_zero_shot,0.6057138706858611,0.580925925925926,0.6861255030143739
3,ambiguous,gte_zero_shot,0.5827847924135425,0.5696296296296296,0.7355109671981366
3,ambiguous,oracle,0.8824071676064325,0.7978086419753087,0.42905537351566353
3,shuffled_description,structure_only,0.6237172744880484,0.5880864197530864,0.6691909771047008
3,shuffled_description,tfidf,0.33215088417966687,0.37996913580246916,1.4760401087481463
3,shuffled_description,bge,0.38790661479654864,0.4239506172839506,1.034132952878711
3,shuffled_description,e5,0.34149753901552937,0.3888888888888889,1.2362648691644584
3,shuffled_description,gte,0.3696905682096482,0.4084259259259259,1.4055624755269265
3,shuffled_description,bge_zero_shot,0.47891038397539776,0.4880246913580247,0.75428844787506
3,shuffled_description,e5_zero_shot,0.5283967839360376,0.5258950617283951,0.7282783134380946
3,shuffled_description,gte_zero_shot,0.3873022055215283,0.42271604938271606,0.8945766143682153
3,shuffled_description,oracle,0.8824794714230173,0.7964814814814815,0.42934197685134184
4,name_only,structure_only,0.6207456912185837,0.5921296296296297,0.6789443091730646
4,name_only,tfidf,0.6952540931695405,0.6561728395061729,0.792065309937363
4,name_only,bge,0.7008945019749002,0.6592901234567902,0.669322310924807
4,name_only,e5,0.8082410681606815,0.7412654320987654,0.5472083110179289
4,name_only,gte,0.6588833639891069,0.6276851851851852,0.8610310209500959
4,name_only,bge_zero_shot,0.673848258623168,0.630679012345679,0.6488330091867713
4,name_only,e5_zero_shot,0.7015245372213299,0.6513271604938271,0.6339081566181628
4,name_only,gte_zero_shot,0.7063567520559909,0.661820987654321,0.6339042558636033
4,name_only,oracle,0.881617340102707,0.797746913580247,0.4308528830828143
4,clean,structure_only,0.5231552459693316,0.5222530864197531,0.7343658898011817
4,clean,tfidf,0.8036483131612138,0.7392592592592593,0.5825703843310841
4,clean,bge,0.7736275013566103,0.7164814814814815,0.5832984241120164
4,clean,e5,0.8416806426424994,0.7681172839506173,0.4976387440096893
4,clean,gte,0.6965241478421966,0.6567901234567901,0.789815750570751
4,clean,bge_zero_shot,0.7513660458114998,0.6914506172839506,0.606507029556069
4,clean,e5_zero_shot,0.7261276741681714,0.6728703703703703,0.6203001907033013
4,clean,gte_zero_shot,0.8030603289932029,0.735216049382716,0.556777539519569
4,clean,oracle,0.8795925212940595,0.7970679012345679,0.43462796534347686
4,paraphrase,structure_only,0.6267645054368753,0.5991049382716049,0.6757546670672948
4,paraphrase,tfidf,0.7358984970281244,0.6874074074074074,0.7129639215617342
4,paraphrase,bge,0.7397037511684239,0.6896296296296296,0.6236459584854471
4,paraphrase,e5,0.7734284674239851,0.7159567901234568,0.5999459427490699
4,paraphrase,gte,0.6619933618396683,0.6311728395061729,0.8574255857094806
4,paraphrase,bge_zero_shot,0.7018389981829529,0.6548765432098765,0.6330132577739195
4,paraphrase,e5_zero_shot,0.728970410248819,0.6753703703703704,0.6178767604947711
4,paraphrase,gte_zero_shot,0.7698257556072768,0.7118827160493827,0.5833493425759997
4,paraphrase,oracle,0.8813583162281504,0.7988271604938272,0.4317967952709564
4,opaque_informative,structure_only,0.5728954563044258,0.5558950617283951,0.7049336021986963
4,opaque_informative,tfidf,0.7706814419481242,0.7113888888888888,0.6440878539597518
4,opaque_informative,bge,0.7390197690824496,0.6859567901234568,0.6233705678114638
4,opaque_informative,e5,0.7719870823029495,0.7121913580246914,0.6009247003014114
4,opaque_informative,gte,0.7327736290026576,0.6839506172839506,0.7182093407235035
4,opaque_informative,bge_zero_shot,0.7305609246648704,0.6758024691358024,0.6170346547443235
4,opaque_informative,e5_zero_shot,0.677528502152456,0.6362037037037037,0.6467636363851768
4,opaque_informative,gte_zero_shot,0.7709602533638298,0.710462962962963,0.5818941681902785
4,opaque_informative,oracle,0.8809991146172427,0.7954629629629629,0.4315217770544985
4,opaque_paraphrase,structure_only,0.5734932570413541,0.557037037037037,0.7057185308933993
4,opaque_paraphrase,tfidf,0.6619774393616271,0.6310802469135802,0.8560468464704547
4,opaque_paraphrase,bge,0.7763675533395661,0.716574074074074,0.578832017686861
4,opaque_paraphrase,e5,0.7045151298906558,0.662962962962963,0.7036212437254963
4,opaque_paraphrase,gte,0.7040730508102571,0.6641975308641975,0.7747218256590426
4,opaque_paraphrase,bge_zero_shot,0.7507835397214315,0.687283950617284,0.6058714858145634
4,opaque_paraphrase,e5_zero_shot,0.6990227777131894,0.6493518518518518,0.6347344332291007
4,opaque_paraphrase,gte_zero_shot,0.8346676860966542,0.7574074074074074,0.5308748742290953
4,opaque_paraphrase,oracle,0.880749824404272,0.7967283950617284,0.4321046593454867
4,negated_description,structure_only,0.7031500495901104,0.654753086419753,0.6327464113169212
4,negated_description,tfidf,0.4820119708843744,0.4909876543209877,1.1991994331583034
4,negated_description,bge,0.8101960054599114,0.740679012345679,0.5379869446718863
4,negated_description,e5,0.7002230846231395,0.6587962962962963,0.7096299321116273
4,negated_description,gte,0.5526802024988441,0.5455864197530864,1.0665673642957179
4,negated_description,bge_zero_shot,0.37231110139915563,0.4103703703703704,0.8163004704014971
4,negated_description,e5_zero_shot,0.3697674629860489,0.4084567901234568,0.818800621394625
4,negated_description,gte_zero_shot,0.2895149891808938,0.34848765432098766,0.9667691868815833
4,negated_description,oracle,0.8798829820629388,0.7946604938271605,0.434229454244379
4,ambiguous,structure_only,0.579445519575218,0.5633641975308642,0.7024458005252748
4,ambiguous,tfidf,0.5838456932939116,0.5696296296296296,1.0024299080642158
4,ambiguous,bge,0.5941137026763976,0.5777777777777777,0.7968393677054405
