condition,method,role_id,domain,source_name,destination_name,source_score,destination_score,correct_orientation,abstained_tie,margin
clean,e5,6,aviation,origin_airport,destination_airport,0.5169599843775773,0.5001943831458081,1.0,False,0.01676560123176918
clean,e5,7,taxi,pickup_zone,dropoff_zone,0.4863721038197073,0.5023382481165537,0.0,False,-0.015966144296846396
clean,e5,8,bike_share,start_station,end_station,0.5093889000273656,0.5016454122218275,1.0,False,0.0077434878055381295
clean,e5_zero_shot,6,aviation,origin_airport,destination_airport,-0.029326975345611572,-0.03433269262313843,1.0,False,0.0050057172775268555
clean,e5_zero_shot,7,taxi,pickup_zone,dropoff_zone,-0.017243504524230957,-0.03328263759613037,1.0,False,0.016039133071899414
clean,e5_zero_shot,8,bike_share,start_station,end_station,-0.010890662670135498,-0.024873733520507812,1.0,False,0.013983070850372314
clean,gte,6,aviation,origin_airport,destination_airport,0.4991615805069104,0.4561420376397536,1.0,False,0.04301954286715681
clean,gte,7,taxi,pickup_zone,dropoff_zone,0.4072072775952784,0.48222082821580314,0.0,False,-0.07501355062052473
clean,gte,8,bike_share,start_station,end_station,0.4709991578541133,0.47309691078407595,0.0,False,-0.0020977529299626707
clean,gte_zero_shot,6,aviation,origin_airport,destination_airport,-0.04344332218170166,-0.07934591174125671,1.0,False,0.035902589559555054
clean,gte_zero_shot,7,taxi,pickup_zone,dropoff_zone,-0.0592418909072876,-0.062170565128326416,1.0,False,0.0029286742210388184
clean,gte_zero_shot,8,bike_share,start_station,end_station,-0.002901822328567505,-0.04395633935928345,1.0,False,0.04105451703071594
clean,oracle,6,aviation,origin_airport,destination_airport,1.0,0.0,1.0,False,1.0
clean,oracle,7,taxi,pickup_zone,dropoff_zone,1.0,0.0,1.0,False,1.0
clean,oracle,8,bike_share,start_station,end_station,1.0,0.0,1.0,False,1.0
opaque_informative,tfidf,6,aviation,origin_airport,destination_airport,0.5204219261346308,0.44025443745533066,1.0,False,0.08016748867930013
opaque_informative,tfidf,7,taxi,pickup_zone,dropoff_zone,0.38293605396338315,0.3965337162005636,0.0,False,-0.013597662237180452
opaque_informative,tfidf,8,bike_share,start_station,end_station,0.433602488070129,0.40742092924328427,1.0,False,0.026181558826844753
opaque_informative,bge,6,aviation,origin_airport,destination_airport,0.5054333388658718,0.48621054868152386,1.0,False,0.01922279018434797
opaque_informative,bge,7,taxi,pickup_zone,dropoff_zone,0.46007111390161326,0.4819479946909011,0.0,False,-0.021876880789287845
opaque_informative,bge,8,bike_share,start_station,end_station,0.4777137281999318,0.48355635130104946,0.0,False,-0.005842623101117661
opaque_informative,bge_zero_shot,6,aviation,origin_airport,destination_airport,-0.039646267890930176,-0.026397645473480225,0.0,False,-0.013248622417449951
opaque_informative,bge_zero_shot,7,taxi,pickup_zone,dropoff_zone,-0.016374170780181885,-0.046615421772003174,1.0,False,0.03024125099182129
opaque_informative,bge_zero_shot,8,bike_share,start_station,end_station,-0.011824727058410645,-0.003891170024871826,0.0,False,-0.007933557033538818
opaque_informative,e5,6,aviation,origin_airport,destination_airport,0.5132889830438512,0.49822864045259946,1.0,False,0.015060342591251719
opaque_informative,e5,7,taxi,pickup_zone,dropoff_zone,0.4901563838215073,0.4993760652959251,0.0,False,-0.009219681474417818
opaque_informative,e5,8,bike_share,start_station,end_station,0.5076062594156057,0.5053839742322073,1.0,False,0.002222285183398398
opaque_informative,e5_zero_shot,6,aviation,origin_airport,destination_airport,-0.022596299648284912,-0.014516472816467285,0.0,False,-0.008079826831817627
opaque_informative,e5_zero_shot,7,taxi,pickup_zone,dropoff_zone,-0.004172980785369873,-0.0226019024848938,1.0,False,0.018428921699523926
opaque_informative,e5_zero_shot,8,bike_share,start_station,end_station,-0.011376500129699707,-0.006811857223510742,0.0,False,-0.004564642906188965
opaque_informative,gte,6,aviation,origin_airport,destination_airport,0.5114619785823437,0.46208976121926226,1.0,False,0.049372217363081394
opaque_informative,gte,7,taxi,pickup_zone,dropoff_zone,0.44774944860692795,0.4839253022874732,0.0,False,-0.03617585368054527
opaque_informative,gte,8,bike_share,start_station,end_station,0.4787658630014986,0.47032111622347855,1.0,False,0.00844474677802004
opaque_informative,gte_zero_shot,6,aviation,origin_airport,destination_airport,-0.049585193395614624,-0.043618738651275635,0.0,False,-0.005966454744338989
opaque_informative,gte_zero_shot,7,taxi,pickup_zone,dropoff_zone,-0.035774797201156616,-0.05718842148780823,1.0,False,0.02141362428665161
opaque_informative,gte_zero_shot,8,bike_share,start_station,end_station,-0.014567703008651733,-0.03220298886299133,1.0,False,0.0176352858543396
opaque_informative,oracle,6,aviation,origin_airport,destination_airport,1.0,0.0,1.0,False,1.0
opaque_informative,oracle,7,taxi,pickup_zone,dropoff_zone,1.0,0.0,1.0,False,1.0
opaque_informative,oracle,8,bike_share,start_station,end_station,1.0,0.0,1.0,False,1.0
