stem,dataset,model,seed,action,fp32_final_mse,iea64_final_mse,final_ratio,eligible_fp32_material,iea64_final_win,material_rescue,twofold_worsening,iea64_exact_final
fremtpl_claim_count__mlp__seed8202,fremtpl_claim_count,mlp,8202,3,7.789911880713244e-10,0.0,1.283711568645421e-21,False,True,False,False,True
fremtpl_claim_count__mlp__seed8303,fremtpl_claim_count,mlp,8303,1,1.5951118905640123e-09,0.0,6.269152690263077e-22,False,True,False,False,True
fremtpl_claim_count__mlp__seed8303,fremtpl_claim_count,mlp,8303,2,6.160396905643036e-09,0.0,1.623272031521186e-22,False,True,False,False,True
fremtpl_claim_count__mlp__seed8303,fremtpl_claim_count,mlp,8303,3,1.859337140741139e-09,0.0,5.378260768788796e-22,False,True,False,False,True
fremtpl_claim_count__mlp__seed8404,fremtpl_claim_count,mlp,8404,1,2.2989724481961572e-09,0.0,4.349769397126225e-22,False,True,False,False,True
fremtpl_claim_count__mlp__seed8404,fremtpl_claim_count,mlp,8404,2,3.5506242015819386e-09,0.0,2.8164061957175356e-22,False,True,False,False,True
fremtpl_claim_count__mlp__seed8404,fremtpl_claim_count,mlp,8404,3,9.405080285014116e-10,0.0,1.0632551447682823e-21,False,True,False,False,True
fremtpl_claim_count__resnet__seed8202,fremtpl_claim_count,resnet,8202,1,0.20322455192626182,0.0,4.920665296203192e-30,True,True,True,False,True
fremtpl_claim_count__resnet__seed8202,fremtpl_claim_count,resnet,8202,2,0.19540263094643165,1.2109197788009082e-12,6.197049512260016e-12,True,True,True,False,False
fremtpl_claim_count__resnet__seed8202,fremtpl_claim_count,resnet,8202,3,0.18781293923284686,0.0,5.3244467824456935e-30,True,True,True,False,True
fremtpl_claim_count__resnet__seed8303,fremtpl_claim_count,resnet,8303,1,0.14728222879468872,2.4086609790030522e-12,1.635405030678021e-11,True,True,True,False,False
fremtpl_claim_count__resnet__seed8303,fremtpl_claim_count,resnet,8303,2,0.1502128418347343,0.0,6.657220433258365e-30,True,True,True,False,True
fremtpl_claim_count__resnet__seed8303,fremtpl_claim_count,resnet,8303,3,0.1614290907721025,0.0,6.194670336164812e-30,True,True,True,False,True
fremtpl_claim_count__resnet__seed8404,fremtpl_claim_count,resnet,8404,1,0.15637149409110018,0.0,6.395027468481001e-30,True,True,True,False,True
fremtpl_claim_count__resnet__seed8404,fremtpl_claim_count,resnet,8404,2,0.15885547734359196,0.0,6.295030028061786e-30,True,True,True,False,True
fremtpl_claim_count__resnet__seed8404,fremtpl_claim_count,resnet,8404,3,0.16475422276978713,0.0,6.069647157980958e-30,True,True,True,False,True
