dataset,model,seed,precision,seconds
fremtpl_claim_count,mlp,8404,fp32,92.8457510760054
fremtpl_claim_count,mlp,8404,fp32,98.06496780994348
fremtpl_claim_count,mlp,8404,fp32,97.91383531899191
fremtpl_claim_count,mlp,8404,fp32,98.03096036496572
fremtpl_claim_count,mlp,8404,iea64,112.53870772290975
fremtpl_claim_count,mlp,8404,iea64,112.62232179800048
fremtpl_claim_count,mlp,8404,iea64,112.38854371919297
fremtpl_claim_count,mlp,8404,iea64,112.51301553100348
fremtpl_claim_count,resnet,8101,fp32,197.48851022403687
fremtpl_claim_count,resnet,8101,fp32,199.5589365719352
fremtpl_claim_count,resnet,8101,fp32,203.41717003495432
fremtpl_claim_count,resnet,8101,fp32,200.52191830496304
fremtpl_claim_count,resnet,8101,iea64,210.05895579303615
fremtpl_claim_count,resnet,8101,iea64,205.5789460039232
fremtpl_claim_count,resnet,8101,iea64,208.13356583192945
fremtpl_claim_count,resnet,8101,iea64,215.7215986798983
fremtpl_claim_count,resnet,8202,fp32,188.89372562710196
fremtpl_claim_count,resnet,8202,fp32,203.5392384689767
fremtpl_claim_count,resnet,8202,fp32,200.08678034786135
fremtpl_claim_count,resnet,8202,fp32,202.1897348521743
fremtpl_claim_count,resnet,8202,iea64,211.73159910878167
fremtpl_claim_count,resnet,8202,iea64,211.33725856617093
fremtpl_claim_count,resnet,8202,iea64,211.53942558402196
fremtpl_claim_count,resnet,8202,iea64,211.71051900018938
fremtpl_claim_count,resnet,8303,fp32,203.16705071786419
fremtpl_claim_count,resnet,8303,fp32,206.3136082261335
fremtpl_claim_count,resnet,8303,fp32,205.91572880302556
fremtpl_claim_count,resnet,8303,fp32,205.84745737188496
fremtpl_claim_count,resnet,8303,iea64,203.59289986197837
fremtpl_claim_count,resnet,8303,iea64,214.09852403891273
fremtpl_claim_count,resnet,8303,iea64,214.15659255790524
fremtpl_claim_count,resnet,8303,iea64,214.28527159104124
fremtpl_claim_count,resnet,8404,fp32,197.5869753928855
fremtpl_claim_count,resnet,8404,fp32,204.03777748788707
fremtpl_claim_count,resnet,8404,fp32,203.99142974196002
fremtpl_claim_count,resnet,8404,fp32,204.21933694602922
fremtpl_claim_count,resnet,8404,iea64,212.6702063009143
fremtpl_claim_count,resnet,8404,iea64,212.5398059959989
fremtpl_claim_count,resnet,8404,iea64,212.6226195001509
fremtpl_claim_count,resnet,8404,iea64,212.58365688100457
