dataset,model,seed,precision,action,initial_mse,final_mse,hitting_epoch,exact_all_checkpoints
bank_marketing_subscription,resnet,7101,float16,2,5.655198531684391e-15,2.7269511054934814e-07,31,False
bank_marketing_subscription,resnet,7101,float32,1,2.379606928171185e-15,4.2833223504466606e-11,31,False
bank_marketing_subscription,resnet,7101,float32,2,2.368981746880827e-15,1.7861306113639877e-10,31,False
bank_marketing_subscription,resnet,7101,float64,1,0.0,0.0,31,True
bank_marketing_subscription,resnet,7101,float64,2,0.0,0.0,31,True
bank_marketing_subscription,resnet,7202,bfloat16,1,0.0,1.1579780517954802e-05,30,False
bank_marketing_subscription,resnet,7202,bfloat16,2,0.0,8.599913361369852e-06,31,False
bank_marketing_subscription,resnet,7202,float16,1,1.646920447240241e-13,1.3147464394728047e-07,31,False
bank_marketing_subscription,resnet,7202,float16,2,9.281551222040108e-14,1.2494789023999888e-07,31,False
bank_marketing_subscription,resnet,7202,float32,1,2.110291108525786e-15,4.293730982697457e-12,31,False
bank_marketing_subscription,resnet,7202,float32,2,2.0617188511984352e-15,1.8029626651187409e-12,31,False
bank_marketing_subscription,resnet,7202,float64,1,0.0,0.0,31,True
bank_marketing_subscription,resnet,7202,float64,2,0.0,0.0,31,True
credit_card_default,ft_transformer,7101,bfloat16,1,0.0,0.007629068942013385,10,False
credit_card_default,ft_transformer,7101,bfloat16,2,0.0,0.014939963820035398,7,False
credit_card_default,ft_transformer,7101,float16,1,3.02248677475081e-13,0.013909714195761548,7,False
credit_card_default,ft_transformer,7101,float16,2,3.3140764438277515e-13,0.011749722485869465,8,False
credit_card_default,ft_transformer,7101,float32,1,1.691355389077387e-15,0.011273972247228654,11,False
credit_card_default,ft_transformer,7101,float32,2,1.968911145233676e-15,0.00921395765717764,11,False
credit_card_default,ft_transformer,7101,float64,1,0.0,0.0,31,True
credit_card_default,ft_transformer,7101,float64,2,0.0,0.0,31,True
credit_card_default,ft_transformer,7202,bfloat16,1,8.630249292984615e-15,0.01114819896308936,11,False
credit_card_default,ft_transformer,7202,bfloat16,2,0.0,0.009675839771717223,11,False
credit_card_default,ft_transformer,7202,float16,1,1.913939926684316e-13,0.00646181460480158,11,False
credit_card_default,ft_transformer,7202,float16,2,1.8590250866479252e-13,0.004659343400143936,9,False
credit_card_default,ft_transformer,7202,float32,1,1.5122451901827816e-15,0.0032300476145203493,11,False
credit_card_default,ft_transformer,7202,float32,2,1.5957287574641654e-15,0.0016355265894268689,22,False
credit_card_default,ft_transformer,7202,float64,1,0.0,0.0,31,True
credit_card_default,ft_transformer,7202,float64,2,0.0,0.0,31,True
credit_card_default,mlp,7101,bfloat16,1,0.0,5.11577021354404e-08,31,False
credit_card_default,mlp,7101,bfloat16,2,0.0,5.645182734401092e-08,31,False
credit_card_default,mlp,7101,float16,1,1.3600232051658168e-15,1.3452420661384642e-09,31,False
credit_card_default,mlp,7101,float16,2,9.896597430447684e-16,1.2651083512326983e-09,31,False
credit_card_default,mlp,7101,float32,1,2.654126918244515e-16,8.676914232292457e-16,31,False
credit_card_default,mlp,7101,float32,2,2.1076890233118206e-16,1.0529279169550434e-15,31,False
credit_card_default,mlp,7101,float64,1,0.0,0.0,31,True
credit_card_default,mlp,7101,float64,2,0.0,0.0,31,True
credit_card_default,mlp,7202,bfloat16,1,3.469446951953614e-18,5.685712873309655e-08,31,False
credit_card_default,mlp,7202,bfloat16,2,4.336808689942018e-18,6.085332427805e-08,31,False
credit_card_default,mlp,7202,float16,1,5.744536790697197e-15,8.026717035790072e-10,31,False
credit_card_default,mlp,7202,float16,2,1.7867651802561113e-16,8.219788542059036e-10,31,False
credit_card_default,mlp,7202,float32,1,2.480654570646834e-16,9.098391707777616e-16,31,False
credit_card_default,mlp,7202,float32,2,2.983724378680108e-16,8.558675393580612e-16,31,False
credit_card_default,mlp,7202,float64,1,0.0,0.0,31,True
credit_card_default,mlp,7202,float64,2,0.0,0.0,31,True
credit_card_default,resnet,7101,bfloat16,1,1.474514954580286e-17,7.588832384254918e-07,31,False
credit_card_default,resnet,7101,bfloat16,2,0.0,9.951435702077686e-07,31,False
credit_card_default,resnet,7101,float16,1,2.2533190591200736e-13,1.9098795493544306e-08,31,False
credit_card_default,resnet,7101,float16,2,9.297953032505468e-13,1.9125527323801115e-08,31,False
credit_card_default,resnet,7101,float32,1,1.777441041572736e-15,1.8852295774661447e-14,31,False
credit_card_default,resnet,7101,float32,2,1.4198711650870166e-15,1.7669362295371652e-14,31,False
credit_card_default,resnet,7101,float64,1,0.0,0.0,31,True
credit_card_default,resnet,7101,float64,2,0.0,0.0,31,True
credit_card_default,resnet,7202,bfloat16,1,3.498091573350681e-14,4.985933252712305e-07,31,False
credit_card_default,resnet,7202,bfloat16,2,3.498091573350681e-14,5.42595227521236e-07,31,False
credit_card_default,resnet,7202,float16,1,5.47764307870513e-13,8.332518664393643e-09,31,False
credit_card_default,resnet,7202,float16,2,7.367587442907997e-15,9.05086202308152e-09,31,False
credit_card_default,resnet,7202,float32,1,1.833169033238491e-15,9.441110880267516e-15,31,False
credit_card_default,resnet,7202,float32,2,1.7175930816515361e-15,1.2209169302633521e-14,31,False
credit_card_default,resnet,7202,float64,1,0.0,0.0,31,True
credit_card_default,resnet,7202,float64,2,0.0,0.0,31,True
fremtpl_claim_count,ft_transformer,7101,bfloat16,1,0.0,0.2530085766785312,7,False
fremtpl_claim_count,ft_transformer,7101,bfloat16,2,0.0,0.21846249895981293,7,False
fremtpl_claim_count,ft_transformer,7101,float16,1,7.560513630086585e-13,0.24939922540372406,6,False
fremtpl_claim_count,ft_transformer,7101,float16,2,6.525926175317276e-13,0.19887860281177874,7,False
fremtpl_claim_count,ft_transformer,7101,float32,1,6.574439343626226e-15,0.11626486570708727,6,False
fremtpl_claim_count,ft_transformer,7101,float32,2,7.151126479171266e-15,0.2529723264605183,6,False
fremtpl_claim_count,ft_transformer,7101,float64,1,0.0,0.0,31,True
fremtpl_claim_count,ft_transformer,7101,float64,2,0.0,0.0,31,True
fremtpl_claim_count,ft_transformer,7202,bfloat16,1,1.6237011735142914e-15,0.2671243112504298,6,False
fremtpl_claim_count,ft_transformer,7202,bfloat16,2,0.0,0.26883564956798456,8,False
fremtpl_claim_count,ft_transformer,7202,float16,1,5.654981691249894e-14,0.10428085811635471,8,False
fremtpl_claim_count,ft_transformer,7202,float16,2,2.2674570554492846e-14,0.20878773160092723,4,False
fremtpl_claim_count,ft_transformer,7202,float32,1,9.712066220690652e-15,0.23669437181032826,14,False
fremtpl_claim_count,ft_transformer,7202,float32,2,1.0088609635194867e-14,0.09195179635075881,14,False
fremtpl_claim_count,ft_transformer,7202,float64,1,0.0,0.0,31,True
fremtpl_claim_count,ft_transformer,7202,float64,2,0.0,0.0,31,True
fremtpl_claim_count,mlp,7101,bfloat16,1,0.0,1.2267542729765883e-07,31,False
fremtpl_claim_count,mlp,7101,bfloat16,2,0.0,1.324185592891549e-07,31,False
fremtpl_claim_count,mlp,7101,float16,1,6.493706939357524e-15,2.4443944631204174e-09,31,False
fremtpl_claim_count,mlp,7101,float16,2,1.4230153513872246e-19,2.412821905983895e-09,31,False
fremtpl_claim_count,mlp,7101,float32,1,2.8019849895172255e-17,1.748099820279847e-15,31,False
fremtpl_claim_count,mlp,7101,float32,2,2.415060339211461e-17,2.3377770531039788e-15,31,False
fremtpl_claim_count,mlp,7101,float64,1,0.0,0.0,31,True
fremtpl_claim_count,mlp,7101,float64,2,0.0,0.0,31,True
fremtpl_claim_count,mlp,7202,bfloat16,1,0.0,1.510399899783417e-07,31,False
fremtpl_claim_count,mlp,7202,bfloat16,2,0.0,1.7061628138404536e-07,31,False
fremtpl_claim_count,mlp,7202,float16,1,4.618226916337786e-16,3.4167439127822958e-09,31,False
fremtpl_claim_count,mlp,7202,float16,2,6.5865281978494394e-18,2.5131429393315894e-09,31,False
fremtpl_claim_count,mlp,7202,float32,1,3.2268567158599826e-17,9.008025987460033e-16,31,False
fremtpl_claim_count,mlp,7202,float32,2,2.822991406609132e-17,1.0704463574220946e-15,31,False
fremtpl_claim_count,mlp,7202,float64,1,0.0,0.0,31,True
fremtpl_claim_count,mlp,7202,float64,2,0.0,0.0,31,True
fremtpl_claim_count,resnet,7101,bfloat16,1,0.0,0.00020961954506209217,22,False
fremtpl_claim_count,resnet,7101,bfloat16,2,0.0,0.0001377327849613768,22,False
fremtpl_claim_count,resnet,7101,float16,1,1.1982463307171065e-11,4.717964079798729e-06,31,False
fremtpl_claim_count,resnet,7101,float16,2,6.25584653524136e-17,4.318049497063446e-06,31,False
fremtpl_claim_count,resnet,7101,float32,1,1.4777187719999807e-14,6.688693639212394e-12,31,False
fremtpl_claim_count,resnet,7101,float32,2,1.3772538881920426e-14,2.638407253904764e-12,31,False
fremtpl_claim_count,resnet,7101,float64,1,0.0,0.0,31,True
fremtpl_claim_count,resnet,7101,float64,2,0.0,0.0,31,True
fremtpl_claim_count,resnet,7202,bfloat16,1,0.0,7.320458797642807e-05,24,False
fremtpl_claim_count,resnet,7202,bfloat16,2,0.0,3.289822836563048e-05,23,False
fremtpl_claim_count,resnet,7202,float16,1,7.013053332505237e-14,1.2209107775834181e-06,31,False
fremtpl_claim_count,resnet,7202,float16,2,4.544975507059235e-16,5.137707385776934e-07,31,False
fremtpl_claim_count,resnet,7202,float32,1,1.8657682820596988e-14,7.87993585090994e-12,31,False
fremtpl_claim_count,resnet,7202,float32,2,1.636386338932372e-14,1.2224749626466793e-11,31,False
fremtpl_claim_count,resnet,7202,float64,1,0.0,0.0,31,True
fremtpl_claim_count,resnet,7202,float64,2,0.0,0.0,31,True
