stem,dataset,model,seed,log_mse_5,log_mse_10,log_mse_20,early_slope,late_slope,acceleration,level_branch,acceleration_branch,predicted_material,h6_predicted_material,h6_score,final_mse,material,delayed_material
credit_card_default__resnet__seed8404,credit_card_default,resnet,8404,-14.825805313474966,-14.641332527993402,-13.777768893698678,0.03689455709631275,0.08635636342947244,0.049461806333159684,False,True,True,True,-0.8095803552685101,0.02430091051921247,True,True
fremtpl_claim_count__ft_transformer__seed8101,fremtpl_claim_count,ft_transformer,8101,-2.289347024184103,-1.6224549538710993,-1.171499744378621,0.13337841406260073,0.045095520949247826,-0.08828289311335291,True,False,True,True,11.549016310253688,0.27890436896938375,True,False
fremtpl_claim_count__ft_transformer__seed8202,fremtpl_claim_count,ft_transformer,8202,-2.784055050164706,-2.0498434449395777,-1.152879818277868,0.14684232104502568,0.08969636266617098,-0.057145958378854694,True,False,True,True,17.972219005673207,0.34746261695564024,True,False
fremtpl_claim_count__ft_transformer__seed8303,fremtpl_claim_count,ft_transformer,8303,-2.499492717220281,-1.852084107831424,-0.9747277872746375,0.12948172187777138,0.08773563205567866,-0.04174608982209271,True,False,True,True,16.994446380613795,0.2443571613918831,True,False
fremtpl_claim_count__ft_transformer__seed8404,fremtpl_claim_count,ft_transformer,8404,-2.4260118343300228,-1.6414559103068753,-1.1372559980336046,0.15691118480462948,0.05041999122732708,-0.10649119357730241,True,False,True,True,13.491097516558899,0.3490965839410342,True,False
fremtpl_claim_count__mlp__seed8202,fremtpl_claim_count,mlp,8202,-15.511660084927666,-15.323387541799903,-14.747885103529924,0.03765450862555255,0.057550243826997874,0.019895735201445323,False,False,False,False,-5.412719363822957,1.3827706659064803e-09,False,False
fremtpl_claim_count__mlp__seed8303,fremtpl_claim_count,mlp,8303,-15.527262841983088,-15.081950089038262,-14.697923789693098,0.0890625505889652,0.038402629934516416,-0.050659920654448784,False,False,False,False,-5.130371623850229,3.2049486456493958e-09,False,False
fremtpl_claim_count__mlp__seed8404,fremtpl_claim_count,mlp,8404,-15.493778840743285,-15.383804191799067,-14.709690890892025,0.02199492978884372,0.06741133009070417,0.04541640030186045,False,True,True,True,-4.930240670084682,2.2633682260931693e-09,False,False
fremtpl_claim_count__resnet__seed8101,fremtpl_claim_count,resnet,8101,-14.22533476299122,-13.499876479996583,-2.6485205236348914,0.14509165659892745,1.0851355956361692,0.9400439390372418,True,True,True,True,143.66010322551057,0.15882728002978852,True,False
fremtpl_claim_count__resnet__seed8202,fremtpl_claim_count,resnet,8202,-13.405672518008489,-9.923187472393872,-1.8305086851524508,0.6964970091229233,0.8092678787241422,0.11277086960121885,True,True,True,True,137.95762941255043,0.19548004070184677,True,False
fremtpl_claim_count__resnet__seed8303,fremtpl_claim_count,resnet,8303,-12.156506848329037,-8.35179874376452,-2.09133232638639,0.7609416209129034,0.6260466417378131,-0.1348949791750903,True,False,True,True,117.6308793091255,0.15297472046717517,True,False
fremtpl_claim_count__resnet__seed8404,fremtpl_claim_count,resnet,8404,-14.513296501692995,-8.418298481582308,-2.032471312342856,1.2189996040221374,0.6385827169239452,-0.5804168870981922,True,False,True,True,143.17848954772566,0.1599937314014931,True,False
