dataset,task,model,seed,precision,action,feature_view,category_view,checkpoint,validation_prediction_mse,validation_max_gap,test_prediction_mse,test_max_gap,initial_validation_mse,amplification,validation_loss,reference_validation_loss,test_loss,reference_test_loss
bank_marketing_subscription,classification,ft_transformer,8202,fp32,2,2,2,20,0.010476404516969816,0.9067884683609009,0.008681106137617217,0.9354671835899353,1.3582980742770772e-15,7712890649974.337,0.3293530647646077,0.32129612682009245,0.3392895522607608,0.33274217684608737
bank_marketing_subscription,classification,ft_transformer,8202,fp32,2,2,2,50,0.025454403244151557,0.9935635328292847,0.0261765144997959,0.9952632188796997,1.3582980742770772e-15,18739924414380.9,0.47510552532299166,0.4459598078096901,0.493237053128786,0.4572191162658894
bank_marketing_subscription,classification,ft_transformer,8202,fp32,2,2,2,100,0.03338005697915701,0.998702347278595,0.034549208740167675,0.9992306232452393,1.3582980742770772e-15,24574912982132.273,0.5819060189906169,0.5721452093852959,0.5962524013877302,0.6007090789873246
bank_marketing_subscription,classification,ft_transformer,8202,fp32,2,2,2,200,0.04520008353665636,0.9991360902786255,0.04131155444093221,0.9998480677604675,1.3582980742770772e-15,33276998909619.35,0.7038763336454789,0.6899327001303591,0.7098494344372197,0.720281764381425
bank_marketing_subscription,classification,ft_transformer,8202,fp32,3,3,3,0,1.3476526046647125e-15,1.7881393432617188e-07,1.3111509248907245e-15,1.7881393432617188e-07,1.3476526046647125e-15,1.0,0.5045022926460034,0.5045022916841284,0.5055481767456085,0.5055481759454489
bank_marketing_subscription,classification,ft_transformer,8202,fp32,3,3,3,1,7.639336949898412e-16,2.086162567138672e-07,7.678170397517692e-16,1.7881393432617188e-07,1.3476526046647125e-15,0.5668624780196252,0.30184671521403755,0.30184671260407653,0.30924366685098975,0.3092436644397093
bank_marketing_subscription,classification,ft_transformer,8202,fp32,3,3,3,2,2.1211824484275517e-12,1.341104507446289e-05,2.162615376872704e-12,1.2561678886413574e-05,1.3476526046647125e-15,1573.9831178193647,0.2856868573407735,0.2856868042067882,0.2934578122626209,0.2934577499526733
bank_marketing_subscription,classification,ft_transformer,8202,fp32,3,3,3,5,8.215041747854563e-05,0.1088208556175232,8.733112258817593e-05,0.13938963413238525,1.3476526046647125e-15,60958155829.02698,0.28491578919855376,0.2849944578745188,0.2930203243864468,0.29289738500255474
bank_marketing_subscription,classification,ft_transformer,8202,fp32,3,3,3,10,0.002824867108007324,0.5762595534324646,0.002629026957428512,0.528262734413147,1.3476526046647125e-15,2096138944286.8574,0.29567710887403453,0.294998337312065,0.3044825340248492,0.3037453117136589
bank_marketing_subscription,classification,ft_transformer,8202,fp32,3,3,3,20,0.009725832072779937,0.9385408759117126,0.009373547158090094,0.86196368932724,1.3476526046647125e-15,7216868827407.982,0.3226197739219201,0.32129612682009245,0.3290977549918141,0.33274217684608737
bank_marketing_subscription,classification,ft_transformer,8202,fp32,3,3,3,50,0.023117568758999694,0.9925613403320312,0.02379540734288464,0.9932332038879395,1.3476526046647125e-15,17153952494123.068,0.4519060372707241,0.4459598078096901,0.45444261792917906,0.4572191162658894
bank_marketing_subscription,classification,ft_transformer,8202,fp32,3,3,3,100,0.037320119335221405,0.99835604429245,0.03653368261836931,0.9983863234519958,1.3476526046647125e-15,27692685196498.707,0.599362301083801,0.5721452093852959,0.6129480651374813,0.6007090789873246
bank_marketing_subscription,classification,ft_transformer,8202,fp32,3,3,3,200,0.04428824631605162,0.9993668794631958,0.04273559743725046,0.9996310472488403,1.3476526046647125e-15,32863251377064.09,0.6889710632745655,0.6899327001303591,0.6962473705764981,0.720281764381425
bank_marketing_subscription,classification,ft_transformer,8202,iea64,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5045022919865617,0.5045022919865617,0.5055481760985053,0.5055481760985053
bank_marketing_subscription,classification,ft_transformer,8202,iea64,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.3018467169922044,0.3018467169922044,0.3092436683118186,0.3092436683118186
bank_marketing_subscription,classification,ft_transformer,8202,iea64,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.28568680646214656,0.28568680646214656,0.2934577498336798,0.2934577498336798
bank_marketing_subscription,classification,ft_transformer,8202,iea64,1,1,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.28585896914607833,0.28585896914607833,0.29402858918898306,0.29402858918898306
bank_marketing_subscription,classification,ft_transformer,8202,iea64,1,1,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.29085397333806784,0.29085397333806784,0.30092792981326266,0.30092792981326266
bank_marketing_subscription,classification,ft_transformer,8202,iea64,1,1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.3210437448419505,0.3210437448419505,0.3271210380802515,0.3271210380802515
bank_marketing_subscription,classification,ft_transformer,8202,iea64,1,1,1,50,0.0,0.0,0.0,0.0,0.0,0.0,0.4548345188133323,0.4548345188133323,0.47372989704588103,0.47372989704588103
bank_marketing_subscription,classification,ft_transformer,8202,iea64,1,1,1,100,9.067992622673774e-23,1.280568540096283e-09,0.0,0.0,0.0,90679926.22673774,0.5773064128013958,0.5773064128013958,0.5986709403724906,0.5986709403724906
bank_marketing_subscription,classification,ft_transformer,8202,iea64,1,1,1,200,0.0,0.0,0.0,0.0,0.0,0.0,0.7198769161650724,0.7198769161650724,0.7181519829651027,0.7181519829651027
bank_marketing_subscription,classification,ft_transformer,8202,iea64,2,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5045022919865617,0.5045022919865617,0.5055481760985053,0.5055481760985053
bank_marketing_subscription,classification,ft_transformer,8202,iea64,2,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.3018467169922044,0.3018467169922044,0.3092436683118186,0.3092436683118186
bank_marketing_subscription,classification,ft_transformer,8202,iea64,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.28568680646214656,0.28568680646214656,0.2934577498336798,0.2934577498336798
bank_marketing_subscription,classification,ft_transformer,8202,iea64,2,2,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.28585896914607833,0.28585896914607833,0.29402858918898306,0.29402858918898306
bank_marketing_subscription,classification,ft_transformer,8202,iea64,2,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.29085397333806784,0.29085397333806784,0.30092792981326266,0.30092792981326266
bank_marketing_subscription,classification,ft_transformer,8202,iea64,2,2,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.3210437448419505,0.3210437448419505,0.3271210380802515,0.3271210380802515
bank_marketing_subscription,classification,ft_transformer,8202,iea64,2,2,2,50,0.0,0.0,0.0,0.0,0.0,0.0,0.4548345188133323,0.4548345188133323,0.47372989704588103,0.47372989704588103
bank_marketing_subscription,classification,ft_transformer,8202,iea64,2,2,2,100,9.067992622673774e-23,1.280568540096283e-09,0.0,0.0,0.0,90679926.22673774,0.5773064128013958,0.5773064128013958,0.5986709403724906,0.5986709403724906
bank_marketing_subscription,classification,ft_transformer,8202,iea64,2,2,2,200,0.0,0.0,0.0,0.0,0.0,0.0,0.7198769161650724,0.7198769161650724,0.7181519829651027,0.7181519829651027
bank_marketing_subscription,classification,ft_transformer,8202,iea64,3,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5045022919865617,0.5045022919865617,0.5055481760985053,0.5055481760985053
bank_marketing_subscription,classification,ft_transformer,8202,iea64,3,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.3018467169922044,0.3018467169922044,0.3092436683118186,0.3092436683118186
