stem,dataset,model,seed,early_slope,early_intercept,epoch20_log_mse,extrapolated_epoch200_log_mse,final_mse,final_log_mse,material,predicted_material
credit_card_default__ft_transformer__seed8202,credit_card_default,ft_transformer,8202,0.104086390808948,-4.27466970975411,-2.2321747677410393,16.54260845203549,0.06305626683545167,-1.2002717446689213,True,True
credit_card_default__ft_transformer__seed8303,credit_card_default,ft_transformer,8303,0.09503990854710713,-4.076479807691976,-2.1786544602819786,14.93150190172945,0.058412362943503944,-1.2334952249781121,True,True
credit_card_default__ft_transformer__seed8404,credit_card_default,ft_transformer,8404,0.1271204742175987,-4.855179405346764,-2.3321007691299585,20.568915438172976,0.05293513704383398,-1.2762559582374366,True,True
credit_card_default__mlp__seed8202,credit_card_default,mlp,8202,0.00692976590323817,-15.171140666806066,-15.030683276256685,-13.785187486158431,1.762141359435809e-12,-11.753959255310779,False,False
credit_card_default__mlp__seed8303,credit_card_default,mlp,8303,0.011757589668951785,-15.17169700631076,-14.939501435217444,-12.820179072520403,4.958957442262074e-12,-11.30460961880509,False,False
credit_card_default__mlp__seed8404,credit_card_default,mlp,8404,0.007151979121973439,-15.1782116055934,-15.035033809170702,-13.747815781198712,6.407040564423935e-13,-12.193342526382775,False,False
credit_card_default__resnet__seed8101,credit_card_default,resnet,8101,0.10278607101999762,-15.410189727617805,-13.320487544380946,5.14702447638172,0.024387372124433034,-1.61283499482136,True,True
credit_card_default__resnet__seed8202,credit_card_default,resnet,8202,0.1029737455153072,-15.156343601332006,-13.054907952332316,5.438405501729436,0.028613702547487185,-1.5434259418486105,True,True
credit_card_default__resnet__seed8303,credit_card_default,resnet,8303,0.05998711081723372,-15.241446066020604,-14.006832474489668,-3.2440239025738595,0.02617779165771286,-1.582066993053469,True,True
credit_card_default__resnet__seed8404,credit_card_default,resnet,8404,0.07224189876053813,-15.257960107376137,-13.777794929216673,-0.8095803552685101,0.02430091051921247,-1.614377453724264,True,True
fremtpl_claim_count__ft_transformer__seed8101,fremtpl_claim_count,ft_transformer,8101,0.07031920469592015,-2.5148246289303433,-1.171499744378621,11.549016310253688,0.27890436896938375,-0.5545446825628007,True,True
fremtpl_claim_count__ft_transformer__seed8202,fremtpl_claim_count,ft_transformer,8202,0.10602377934584385,-3.2325368634955636,-1.152879818277868,17.972219005673207,0.34746261695564024,-0.4590919137306023,True,True
fremtpl_claim_count__ft_transformer__seed8303,fremtpl_claim_count,ft_transformer,8303,0.09966308629056236,-2.9381708774986763,-0.9747277872746375,16.994446380613795,0.2443571613918831,-0.6119749285514943,True,True
fremtpl_claim_count__ft_transformer__seed8404,fremtpl_claim_count,ft_transformer,8404,0.08084604653512778,-2.6781117904666587,-1.1372559980336046,13.491097516558899,0.3490965839410342,-0.4570544009217633,True,True
fremtpl_claim_count__mlp__seed8101,fremtpl_claim_count,mlp,8101,0.05520412949549948,-15.724912220004747,-14.615238480479404,-4.68408632090485,1.923696920176786e-09,-8.715863350314386,False,True
fremtpl_claim_count__mlp__seed8202,fremtpl_claim_count,mlp,8202,0.05194220567993052,-15.801160499809061,-14.748128206889616,-5.412719363822957,1.3827706659064803e-09,-8.859249842153984,False,False
fremtpl_claim_count__mlp__seed8303,fremtpl_claim_count,mlp,8303,0.052952616168084686,-15.720894857467165,-14.698140468500162,-5.130371623850229,3.2049486456493958e-09,-8.494178924987526,False,False
fremtpl_claim_count__mlp__seed8404,fremtpl_claim_count,mlp,8404,0.054511827832574966,-15.832606236599675,-14.709913522341145,-4.930240670084682,2.2633682260931693e-09,-8.64524478517425,False,True
fremtpl_claim_count__resnet__seed8101,fremtpl_claim_count,resnet,8101,0.816555979017606,-19.651092578010648,-2.6485205236348914,143.66010322551057,0.15882728002978852,-0.7990749014751605,True,True
fremtpl_claim_count__resnet__seed8202,fremtpl_claim_count,resnet,8202,0.7770482618927287,-17.452022965995287,-1.8305086851524508,137.95762941255043,0.19548004070184677,-0.7088975792172972,True,True
fremtpl_claim_count__resnet__seed8303,fremtpl_claim_count,resnet,8303,0.6645880999445525,-15.286740679785,-2.09133232638639,117.6308793091255,0.15297472046717517,-0.8153803317229087,True,True
fremtpl_claim_count__resnet__seed8404,fremtpl_claim_count,resnet,8404,0.804424206314558,-17.706351715185935,-2.032471312342856,143.17848954772566,0.1599937314014931,-0.7958970327882794,True,True
