domain,seed,schema,method,train_mse,val_mse,test_mse,best_epoch,epochs_ran,parameter_count
cycle,20260921,0,mpe_native,0.016398491337895393,0.01749262586236,0.02911769226193428,69,100,5569
cycle,20260921,0,mpe_corrupt,0.01634645089507103,0.017479198053479195,2.6071996688842773,285,300,5569
cycle,20260921,1,ple,0.016180342063307762,0.017294704914093018,1.3541812896728516,124,155,5569
cycle,20260921,1,periodic,0.12847860157489777,0.128409281373024,1.5225051641464233,72,103,5569
cycle,20260921,1,code_rbf,0.01643121987581253,0.017348138615489006,4.1474480628967285,150,181,5569
cycle,20260921,1,u_ple,0.0159706212580204,0.017581019550561905,4.029536724090576,208,239,5569
cycle,20260921,1,mpe_native,0.016398491337895393,0.01749262586236,0.02911769226193428,69,100,5569
cycle,20260921,1,mpe_corrupt,0.01634645089507103,0.017479198053479195,2.6071996688842773,285,300,5569
cycle,20260921,2,ple,0.016123156994581223,0.017264677211642265,1.3816611766815186,166,197,5569
cycle,20260921,2,periodic,0.020535675808787346,0.02158193103969097,1.7240076065063477,70,101,5569
cycle,20260921,2,code_rbf,0.016001854091882706,0.017462074756622314,2.027238130569458,247,278,5569
cycle,20260921,2,u_ple,0.016074592247605324,0.017495380714535713,2.948970317840576,216,247,5569
cycle,20260921,2,mpe_native,0.016398491337895393,0.01749262586236,0.02911769226193428,69,100,5569
cycle,20260921,2,mpe_corrupt,0.01634645089507103,0.017479198053479195,2.6071996688842773,285,300,5569
cycle,20260921,3,ple,0.01599727012217045,0.01749197393655777,1.2582224607467651,264,295,5569
cycle,20260921,3,periodic,0.022898582741618156,0.02708231844007969,1.3204166889190674,89,120,5569
cycle,20260921,3,code_rbf,0.0162300243973732,0.017428288236260414,2.2457897663116455,161,192,5569
cycle,20260921,3,u_ple,0.016020670533180237,0.017445117235183716,2.4774372577667236,255,286,5569
cycle,20260921,3,mpe_native,0.016398491337895393,0.01749262586236,0.02911769226193428,69,100,5569
cycle,20260921,3,mpe_corrupt,0.01634645089507103,0.017479198053479195,2.6071996688842773,285,300,5569
cycle,20260922,0,ple,0.015599207021296024,0.017492346465587616,1.4673354625701904,199,230,5569
cycle,20260922,0,periodic,0.016517000272870064,0.018136266618967056,2.0473434925079346,104,135,5569
cycle,20260922,0,code_rbf,0.015615975484251976,0.017510201781988144,1.5436722040176392,219,250,5569
cycle,20260922,0,u_ple,0.015652507543563843,0.01748526096343994,1.8690824508666992,239,270,5569
cycle,20260922,0,mpe_native,0.015982234850525856,0.017216473817825317,0.055891621857881546,76,107,5569
cycle,20260922,0,mpe_corrupt,0.015629246830940247,0.01751289889216423,3.3007097244262695,187,218,5569
cycle,20260922,1,ple,0.015678249299526215,0.017283383756875992,1.6264207363128662,132,163,5569
cycle,20260922,1,periodic,0.03022470884025097,0.03625074774026871,1.8264188766479492,101,132,5569
cycle,20260922,1,code_rbf,0.01562848687171936,0.017477907240390778,1.9804319143295288,137,168,5569
cycle,20260922,1,u_ple,0.015650395303964615,0.01734801195561886,1.8133294582366943,128,159,5569
cycle,20260922,1,mpe_native,0.015982234850525856,0.017216473817825317,0.055891621857881546,76,107,5569
cycle,20260922,1,mpe_corrupt,0.015629246830940247,0.01751289889216423,3.3007097244262695,187,218,5569
cycle,20260922,2,ple,0.015706736594438553,0.01733436807990074,2.2570621967315674,143,174,5569
cycle,20260922,2,periodic,0.020164789631962776,0.019234534353017807,2.1978118419647217,78,109,5569
cycle,20260922,2,code_rbf,0.01563396491110325,0.017425205558538437,2.6729557514190674,123,154,5569
cycle,20260922,2,u_ple,0.015594584867358208,0.01752667874097824,3.754952907562256,156,187,5569
cycle,20260922,2,mpe_native,0.015982234850525856,0.017216473817825317,0.055891621857881546,76,107,5569
cycle,20260922,2,mpe_corrupt,0.015629246830940247,0.01751289889216423,3.3007097244262695,187,218,5569
cycle,20260922,3,ple,0.01566452719271183,0.01749732904136181,1.3873183727264404,259,290,5569
cycle,20260922,3,periodic,0.01572522148489952,0.01746124029159546,1.499405026435852,106,137,5569
cycle,20260922,3,code_rbf,0.015590010210871696,0.01749693602323532,1.2318655252456665,159,190,5569
cycle,20260922,3,u_ple,0.015669718384742737,0.0175531767308712,1.6510696411132812,145,176,5569
cycle,20260922,3,mpe_native,0.015982234850525856,0.017216473817825317,0.055891621857881546,76,107,5569
cycle,20260922,3,mpe_corrupt,0.015629246830940247,0.01751289889216423,3.3007097244262695,187,218,5569
tree,20260920,0,ple,0.12882688641548157,0.137221097946167,4.301949977874756,140,171,5569
tree,20260920,0,periodic,0.2067171335220337,0.24031169712543488,6.078888416290283,69,100,5569
tree,20260920,0,code_rbf,0.12790799140930176,0.13733413815498352,4.816428184509277,193,224,5569
tree,20260920,0,u_ple,0.12819504737854004,0.13759450614452362,7.003298282623291,154,185,5569
tree,20260920,0,mpe_native,0.1278434842824936,0.13796117901802063,0.8279795050621033,85,116,5569
tree,20260920,0,mpe_corrupt,0.12928085029125214,0.13623754680156708,2.8480610847473145,85,116,5569
tree,20260920,1,ple,0.1292329579591751,0.13928823173046112,1.6717216968536377,132,163,5569
tree,20260920,1,periodic,0.168126180768013,0.18425284326076508,1.394531011581421,89,120,5569
tree,20260920,1,code_rbf,0.13028907775878906,0.13750790059566498,1.581344485282898,162,193,5569
tree,20260920,1,u_ple,0.12801069021224976,0.13774509727954865,2.118861675262451,187,218,5569
tree,20260920,1,mpe_native,0.1278434842824936,0.13796117901802063,0.8279795050621033,85,116,5569
tree,20260920,1,mpe_corrupt,0.12928085029125214,0.13623754680156708,2.8480610847473145,85,116,5569
tree,20260920,2,ple,0.1282193809747696,0.1375724971294403,1.6998997926712036,130,161,5569
tree,20260920,2,periodic,0.14117881655693054,0.14806845784187317,1.555919885635376,64,95,5569
tree,20260920,2,code_rbf,0.12794166803359985,0.13814744353294373,1.8218320608139038,133,164,5569
tree,20260920,2,u_ple,0.1287873238325119,0.1374538242816925,1.6748427152633667,160,191,5569
tree,20260920,2,mpe_native,0.1278434842824936,0.13796117901802063,0.8279795050621033,85,116,5569
tree,20260920,2,mpe_corrupt,0.12928085029125214,0.13623754680156708,2.8480610847473145,85,116,5569
tree,20260920,3,ple,0.12825588881969452,0.1383705735206604,3.0380234718322754,281,300,5569
tree,20260920,3,periodic,0.14167574048042297,0.14744006097316742,2.8342463970184326,38,69,5569
tree,20260920,3,code_rbf,0.13053230941295624,0.13841880857944489,4.0080366134643555,109,140,5569
tree,20260920,3,u_ple,0.12821975350379944,0.13720282912254333,7.67514181137085,147,178,5569
tree,20260920,3,mpe_native,0.1278434842824936,0.13796117901802063,0.8279795050621033,85,116,5569
tree,20260920,3,mpe_corrupt,0.12928085029125214,0.13623754680156708,2.8480610847473145,85,116,5569
tree,20260921,0,ple,0.1309918314218521,0.14205461740493774,1.3888458013534546,278,300,5569
tree,20260921,0,periodic,0.14575111865997314,0.1552889496088028,1.4775696992874146,53,84,5569
tree,20260921,0,code_rbf,0.13091349601745605,0.14203980565071106,1.4759985208511353,282,300,5569
tree,20260921,0,u_ple,0.13408583402633667,0.1465434581041336,1.4874483346939087,141,172,5569
tree,20260921,0,mpe_native,0.13139189779758453,0.13920001685619354,0.772193431854248,78,109,5569
tree,20260921,0,mpe_corrupt,0.1308719962835312,0.14203554391860962,1.8501776456832886,294,300,5569
tree,20260921,1,ple,0.13150273263454437,0.14287586510181427,3.4158082008361816,171,202,5569
tree,20260921,1,periodic,0.6107544302940369,0.6913073658943176,2.1369364261627197,33,64,5569
tree,20260921,1,code_rbf,0.13099874556064606,0.14174729585647583,7.409712791442871,156,187,5569
tree,20260921,1,u_ple,0.13135060667991638,0.14222212135791779,3.7000627517700195,251,282,5569
tree,20260921,1,mpe_native,0.13139189779758453,0.13920001685619354,0.772193431854248,78,109,5569
tree,20260921,1,mpe_corrupt,0.1308719962835312,0.14203554391860962,1.8501776456832886,294,300,5569
tree,20260921,2,ple,0.1310911774635315,0.14199946820735931,1.8616242408752441,176,207,5569
tree,20260921,2,periodic,0.15129666030406952,0.15344521403312683,1.411871314048767,54,85,5569
tree,20260921,2,code_rbf,0.1311924010515213,0.143123060464859,3.8901824951171875,294,300,5569
tree,20260921,2,u_ple,0.13185040652751923,0.14037303626537323,2.866224527359009,132,163,5569
tree,20260921,2,mpe_native,0.13139189779758453,0.13920001685619354,0.772193431854248,78,109,5569
tree,20260921,2,mpe_corrupt,0.1308719962835312,0.14203554391860962,1.8501776456832886,294,300,5569
tree,20260921,3,ple,0.13103775680065155,0.14138588309288025,1.0705963373184204,146,177,5569
tree,20260921,3,periodic,0.13493120670318604,0.14999143779277802,0.8491182923316956,65,96,5569
tree,20260921,3,code_rbf,0.1323629915714264,0.14205776154994965,0.8166434168815613,192,223,5569
tree,20260921,3,u_ple,0.13289886713027954,0.13989217579364777,0.9914272427558899,150,181,5569
tree,20260921,3,mpe_native,0.13139189779758453,0.13920001685619354,0.772193431854248,78,109,5569
tree,20260921,3,mpe_corrupt,0.1308719962835312,0.14203554391860962,1.8501776456832886,294,300,5569
tree,20260922,0,ple,0.1337611824274063,0.11998208612203598,1.8008390665054321,79,110,5569
tree,20260922,0,periodic,0.19628898799419403,0.19301994144916534,1.841483235359192,86,117,5569
tree,20260922,0,code_rbf,0.12906064093112946,0.1195833683013916,2.424609422683716,89,120,5569
tree,20260922,0,u_ple,0.12944762408733368,0.12004276365041733,3.0695202350616455,142,173,5569
tree,20260922,0,mpe_native,0.12868045270442963,0.12022238224744797,0.7722892165184021,140,171,5569
tree,20260922,0,mpe_corrupt,0.12868207693099976,0.12030881643295288,1.6894179582595825,231,262,5569
tree,20260922,1,ple,0.12870562076568604,0.11985993385314941,2.902888059616089,167,198,5569
tree,20260922,1,periodic,0.3381047248840332,0.3110533058643341,3.034712076187134,52,83,5569
tree,20260922,1,code_rbf,0.12921978533267975,0.11973364651203156,2.971938371658325,143,174,5569
tree,20260922,1,u_ple,0.12873058021068573,0.11988582462072372,3.4407012462615967,175,206,5569
tree,20260922,1,mpe_native,0.12868045270442963,0.12022238224744797,0.7722892165184021,140,171,5569
tree,20260922,1,mpe_corrupt,0.12868207693099976,0.12030881643295288,1.6894179582595825,231,262,5569
tree,20260922,2,ple,0.12898720800876617,0.12056293338537216,2.5546820163726807,178,209,5569
tree,20260922,2,periodic,0.13197128474712372,0.11903463304042816,4.000977516174316,96,127,5569
tree,20260922,2,code_rbf,0.12868237495422363,0.1201617419719696,3.0059189796447754,138,169,5569
tree,20260922,2,u_ple,0.12915369868278503,0.11970170587301254,2.7183589935302734,270,300,5569
tree,20260922,2,mpe_native,0.12868045270442963,0.12022238224744797,0.7722892165184021,140,171,5569
tree,20260922,2,mpe_corrupt,0.12868207693099976,0.12030881643295288,1.6894179582595825,231,262,5569
tree,20260922,3,ple,0.12977847456932068,0.11986961215734482,4.6792311668396,105,136,5569
tree,20260922,3,periodic,0.12940578162670135,0.12037711590528488,4.982232570648193,62,93,5569
tree,20260922,3,code_rbf,0.1286800503730774,0.12028324604034424,10.485978126525879,292,300,5569
tree,20260922,3,u_ple,0.12870320677757263,0.11986622214317322,6.987218379974365,136,167,5569
tree,20260922,3,mpe_native,0.12868045270442963,0.12022238224744797,0.7722892165184021,140,171,5569
tree,20260922,3,mpe_corrupt,0.12868207693099976,0.12030881643295288,1.6894179582595825,231,262,5569
