dataset,model,seed,method,input_features,parameters,best_epoch,train_loss,val_loss,test_loss,val_metric,test_metric,first_gradient_norm,first_weight_norm,first_update_ratio,train_seconds
uci-bike-hourly,mlp,20260931,mmpe_ring,102,29825,29,0.05560029298067093,0.07383866608142853,0.08410017937421799,0.3754571234316302,0.40069773948141574,0.1996212899684906,9.427233695983887,0.017534131184220314,2.1861102799884975
uci-bike-hourly,mlp,20260931,mpe_corrupt,102,29825,39,0.09739287197589874,0.12662886083126068,0.1445743441581726,0.49168253432367237,0.5253684924385595,0.19507844746112823,12.085898399353027,0.01753345876932144,2.7039009230211377
uci-bike-hourly,mlp,20260932,qple,102,29825,21,0.06231638044118881,0.08044281601905823,0.0916922315955162,0.391888092902974,0.41839325369110725,0.20079416036605835,7.6839213371276855,0.017517633736133575,1.700452603166923
uci-bike-hourly,mlp,20260932,periodic,102,29825,21,0.049085136502981186,0.06964651495218277,0.08611851930618286,0.3646432049443149,0.40547742952063004,0.1781296730041504,7.445706844329834,0.01751917041838169,1.69151811581105
uci-bike-hourly,mlp,20260932,code_rbf,102,29825,21,0.058280572295188904,0.08214833587408066,0.09736396372318268,0.39602062461375453,0.43113921733061034,0.1471947431564331,8.814005851745605,0.017518652603030205,1.7876037161331624
uci-bike-hourly,mlp,20260932,mpe_ring,102,29825,21,0.057317543774843216,0.07992138713598251,0.09626300632953644,0.390615888998866,0.4286947081037624,0.1465049535036087,8.882101058959961,0.017517657950520515,1.9978575541172177
uci-bike-hourly,mlp,20260932,mmpe_ring,102,29825,21,0.057124655693769455,0.08295811712741852,0.09999171644449234,0.3979677410275997,0.43691851085816324,0.1461590975522995,8.934683799743652,0.017518363893032074,1.7716335710138083
uci-bike-hourly,mlp,20260932,mpe_corrupt,102,29825,40,0.09882436692714691,0.13189148902893066,0.14584359526634216,0.5017955567873003,0.52766961878811,0.1419275552034378,12.280668258666992,0.017517780885100365,2.494335836963728
uci-bike-hourly,resnet,20260930,qple,102,145921,5,0.07298359274864197,0.07888966053724289,0.08380042761564255,0.38808642891737577,0.3999830075453872,2.6517271995544434,6.591808795928955,0.01752733252942562,0.8950541981030256
uci-bike-hourly,resnet,20260930,periodic,102,145921,10,0.04491252824664116,0.05981341376900673,0.07776419818401337,0.3379229698402355,0.38530821066191834,3.1474618911743164,6.699539661407471,0.01752728596329689,1.286182336974889
uci-bike-hourly,resnet,20260930,code_rbf,102,145921,8,0.056887079030275345,0.09544036537408829,0.10313449054956436,0.4268590201982363,0.4437316270501128,3.5100574493408203,6.912542819976807,0.017527218908071518,1.030728786950931
uci-bike-hourly,resnet,20260930,mpe_ring,102,145921,18,0.04893789067864418,0.07416156679391861,0.08556877076625824,0.3762771483077074,0.40418113630485664,3.4986491203308105,7.096096992492676,0.017527341842651367,1.848646191181615
uci-bike-hourly,resnet,20260930,mmpe_ring,102,145921,14,0.05118313431739807,0.0731748640537262,0.08493087440729141,0.37376564196961226,0.4026717865103535,3.4963815212249756,7.0406084060668945,0.01752731017768383,1.5210356109309942
uci-bike-hourly,resnet,20260930,mpe_corrupt,102,145921,29,0.05334116891026497,0.07984427362680435,0.09425787627696991,0.3904274158715282,0.4242064369682339,3.5057566165924072,7.7386345863342285,0.017527250573039055,2.599076357902959
uci-bike-hourly,resnet,20260931,qple,102,145921,12,0.049724627286195755,0.07846404612064362,0.09120330959558487,0.38703815266597985,0.417276292017732,1.584474802017212,6.631107807159424,0.017537754029035568,1.3775682460982352
uci-bike-hourly,resnet,20260931,periodic,102,145921,12,0.04175630584359169,0.06292837113142014,0.08045390248298645,0.3466104403713075,0.39191506469637716,1.7494711875915527,6.68937873840332,0.017537647858262062,1.3949427660554647
uci-bike-hourly,resnet,20260931,code_rbf,102,145921,10,0.05588215962052345,0.07954683899879456,0.08741991966962814,0.38969954805443763,0.4085296894327257,1.4262973070144653,6.906350612640381,0.0175376757979393,1.1424836968071759
uci-bike-hourly,resnet,20260931,mpe_ring,102,145921,10,0.05453135073184967,0.07275276631116867,0.08553881198167801,0.37268607020220657,0.4041103919673503,1.4445688724517822,6.921532154083252,0.017537634819746017,1.2311764711048454
uci-bike-hourly,resnet,20260931,mmpe_ring,102,145921,10,0.05443350598216057,0.07008788734674454,0.08460082113742828,0.36579681531407005,0.40188861622220884,1.4458664655685425,6.930945873260498,0.017537645995616913,1.2283705009613186
uci-bike-hourly,resnet,20260931,mpe_corrupt,102,145921,22,0.0421823151409626,0.08220785111188889,0.09847411513328552,0.3961640486693625,0.4335901915522129,1.439333438873291,7.562209129333496,0.017537660896778107,2.0418839829508215
uci-bike-hourly,resnet,20260932,qple,102,145921,6,0.06063397601246834,0.08111555874347687,0.09970533847808838,0.3935233247927954,0.436292394646415,3.6547493934631348,6.618607044219971,0.01752181351184845,0.9632784121204168
uci-bike-hourly,resnet,20260932,periodic,102,145921,8,0.046695586293935776,0.07069869339466095,0.084904745221138,0.36738728638033535,0.4026098543313026,3.12509822845459,6.659743785858154,0.017521806061267853,1.0125494690146297
uci-bike-hourly,resnet,20260932,code_rbf,102,145921,7,0.05822942405939102,0.08826056867837906,0.09814517945051193,0.4104892416963537,0.4328654121084128,3.8597097396850586,6.90835428237915,0.017521830275654793,1.0313287880271673
uci-bike-hourly,resnet,20260932,mpe_ring,102,145921,15,0.04429106414318085,0.08064161241054535,0.09189211577177048,0.39237202040843044,0.41884905641046544,3.879754066467285,7.082600116729736,0.017521696165204048,1.5881307369563729
uci-bike-hourly,resnet,20260932,mmpe_ring,102,145921,13,0.046276431530714035,0.07991942763328552,0.09237466007471085,0.39061111231484347,0.41994736430916646,3.8794257640838623,7.05117654800415,0.01752178929746151,1.4594932168256491
uci-bike-hourly,resnet,20260932,mpe_corrupt,102,145921,29,0.04171315208077431,0.07241736352443695,0.09220979362726212,0.37182602000828524,0.4195724357917072,3.8150110244750977,7.745816707611084,0.017521895468235016,2.607304705074057
