dataset,split_seed,context_replicate,query_family,model,n_queries,variance_temperature,rmse,nll,crps,coverage90
elevators,20260923,0,difference,projective_shuffled,32,1.9689214146196305,1.0257259741629436,1.466727611796757,0.5753833270377462,0.9375
elevators,20260923,1,difference,projective_shuffled,32,1.9689214146196305,1.1314718469130123,1.5882188324850168,0.6176704120752615,0.8125
elevators,20260923,2,difference,projective_shuffled,32,1.9689214146196305,0.8719488678893687,1.5585045846080756,0.542368879736651,1.0
elevators,20260923,3,difference,projective_shuffled,32,1.9689214146196305,0.9917883076158874,1.7170586209669203,0.6430245018137966,1.0
elevators,20260923,0,dense,projective_shuffled,32,1.9689214146196305,0.6540890637850141,1.1304111145506313,0.3841360801244123,0.9375
elevators,20260923,1,dense,projective_shuffled,32,1.9689214146196305,0.6938606109148459,1.0068893351700958,0.3603008769675732,0.9375
elevators,20260923,2,dense,projective_shuffled,32,1.9689214146196305,0.7850218726579719,1.3540801997155236,0.47554841873005455,1.0
elevators,20260923,3,dense,projective_shuffled,32,1.9689214146196305,0.92864642477515,1.4894775177915287,0.5556199750990332,1.0
elevators,20260923,0,scaled_dense,projective_shuffled,32,1.9689214146196305,1.521583245870698,1.9745328232156494,0.8968374355111308,0.9375
elevators,20260923,1,scaled_dense,projective_shuffled,32,1.9689214146196305,1.6348800781103048,1.8594285830347714,0.8587711270758752,0.9375
elevators,20260923,2,scaled_dense,projective_shuffled,32,1.9689214146196305,1.8495994459306204,2.2021741762427944,1.1163050567157624,1.0
elevators,20260923,3,scaled_dense,projective_shuffled,32,1.9689214146196305,2.292007485808359,2.3799399072951015,1.3582508594624274,1.0
