dataset,split_seed,problem_type,model,model_family,transform,matched_normalized_loss_gap,matched_excess_disagreement,matched_disagreement,context_only_disagreement,query_only_disagreement
APSFailure,20260831,binary,xgboost,tree,asinh,2.2041999706938023e-10,3.095107966621766e-12,3.095107966621766e-12,0.029791105069569265,0.005944779301205138
APSFailure,20260831,binary,xgboost,tree,atomic_spacing,0.0,0.0,0.0,0.05024520689079919,0.005930725964948283
APSFailure,20260831,binary,xgboost,tree,composition,2.2041999706938023e-10,3.095107966621766e-12,3.095107966621766e-12,0.034480168555618564,0.005944989480295892
APSFailure,20260831,binary,xgboost,tree,empirical_cdf,0.0,0.0,0.0,0.031801234621764554,0.005943919964227258
APSFailure,20260831,binary,xgboost,tree,monotone_spline,0.00010238631490813721,1.81923570122715e-05,1.81923570122715e-05,0.03760670340573558,0.005946443503045829
APSFailure,20260831,binary,xgboost,tree,negative_affine,-0.0015304072524983555,8.884120886463603e-05,8.884120886463603e-05,0.005947714134995821,0.0059464984175935055
APSFailure,20260831,binary,xgboost,tree,positive_affine,0.0,0.0,0.0,0.0030807903649437474,0.003719846956551393
APSFailure,20260831,binary,xgboost,tree,quantile_gaussian,0.0,0.0,0.0,0.02892336321500234,0.005944340755559142
APSFailure,20260831,binary,xgboost,tree,random_monotone_pwl,0.0,0.0,0.0,0.03564325683101719,0.005946568660022151
APSFailure,20260831,binary,xgboost,tree,signed_power,1.1020999853469012e-10,1.547553983310883e-12,1.547553983310883e-12,0.05710734983570869,0.005935551385203655
APSFailure,20260841,binary,catboost,tree,asinh,0.00013049839056470877,1.8770587458283745e-05,1.8770587458283745e-05,0.2554033974106966,0.008464111867427897
APSFailure,20260841,binary,catboost,tree,atomic_spacing,0.0003398945127977872,1.8628783082163037e-05,1.8628783082163037e-05,0.05138015537413399,0.008299688647275963
APSFailure,20260841,binary,catboost,tree,composition,0.00022929256166639642,1.7677205932700292e-05,1.7677205932700292e-05,0.24022064848220057,0.008457629941156723
APSFailure,20260841,binary,catboost,tree,empirical_cdf,0.0003424383517088084,1.861887014325939e-05,1.861887014325939e-05,0.2537430660651873,0.008465217330636297
APSFailure,20260841,binary,catboost,tree,monotone_spline,0.0006551630032233489,7.63623488564773e-05,7.63623488564773e-05,0.23660793724338958,0.008458221377442725
APSFailure,20260841,binary,catboost,tree,negative_affine,0.003211191895174771,0.0005290701715097056,0.0005290701715097056,0.008173490106639461,0.00846704087776869
APSFailure,20260841,binary,catboost,tree,positive_affine,0.00010183040305459963,1.3817350237162041e-05,1.3817350237162041e-05,0.0029106477479677894,0.011057481278959466
APSFailure,20260841,binary,catboost,tree,quantile_gaussian,0.0003365456863276099,1.8725490357591034e-05,1.8725490357591034e-05,0.25139576211493664,0.008463169973894784
APSFailure,20260841,binary,catboost,tree,random_monotone_pwl,0.00034083830688302316,1.862380440504792e-05,1.862380440504792e-05,0.24140836889418138,0.008458137774481522
APSFailure,20260841,binary,catboost,tree,signed_power,0.00023317388474613254,1.2368058930364604e-05,1.2368058930364604e-05,0.20552665273125426,0.007643625216687253
APSFailure,20260841,binary,lightgbm,tree,asinh,-0.003958081603784559,0.0018950458311724448,0.0018950458311724448,0.4773936002742958,0.01233035149786843
APSFailure,20260841,binary,lightgbm,tree,atomic_spacing,0.0033835196340801094,0.0018619264909094351,0.0018619264909094351,0.09745941736226672,0.01233048439225654
APSFailure,20260841,binary,lightgbm,tree,composition,-0.003956899709644146,0.0018933431807633386,0.0018933431807633386,0.4442302306737715,0.012330333051823636
APSFailure,20260841,binary,lightgbm,tree,empirical_cdf,0.0044676938325324544,0.0003540035431617747,0.0003540035431617747,0.5116135859896287,0.012330220398940644
APSFailure,20260841,binary,lightgbm,tree,monotone_spline,-0.0039580816045838366,0.0018950458311672764,0.0018950458311672764,0.48076350127325806,0.012330335237200682
APSFailure,20260841,binary,lightgbm,tree,negative_affine,-0.005516262121183268,0.0011761648032788377,0.0011761648032788377,0.012330649057540227,0.01233072954737973
APSFailure,20260841,binary,lightgbm,tree,positive_affine,-0.00036743104525983433,0.0008873064437553104,0.0008873064437553104,0.00986463553628833,0.004642643055252351
APSFailure,20260841,binary,lightgbm,tree,quantile_gaussian,-0.005060637039655855,0.0019512235061817196,0.0019512235061817196,0.5227145607545938,0.012330351507570187
APSFailure,20260841,binary,lightgbm,tree,random_monotone_pwl,-0.00395630876257394,0.0018924918555587855,0.0018924918555587855,0.4745829758017103,0.012330332197935912
APSFailure,20260841,binary,lightgbm,tree,signed_power,-0.0039323805977305865,0.0018815822212118426,0.0018815822212118426,0.3976187634424704,0.012322425360962024
APSFailure,20260841,binary,linear,linear,asinh,-0.07294613570601431,0.006610183571989646,0.006610183571989646,0.05011785472827879,0.014641332429716459
APSFailure,20260841,binary,linear,linear,atomic_spacing,-0.0395087546813424,0.00887770610071149,0.00887770610071149,0.04843609420063196,0.18474184806882601
APSFailure,20260841,binary,linear,linear,composition,-0.015435084728560625,0.0026395050041828814,0.0026395050041828814,0.19648941644455373,0.014590990172456644
APSFailure,20260841,binary,linear,linear,empirical_cdf,-0.07172227623855032,0.00960965819328735,0.00960965819328735,0.4321359352689654,0.014656011531450908
APSFailure,20260841,binary,linear,linear,monotone_spline,-0.04782369423582603,0.004887318625160478,0.004887318625160478,0.20611205006878422,0.014618704741961107
APSFailure,20260841,binary,linear,linear,negative_affine,-7.062036141055235e-12,1.6744587273902134e-17,1.6744587273902134e-17,0.023312252164517242,0.02958568731241276
APSFailure,20260841,binary,linear,linear,positive_affine,-4.362084767469317e-12,1.583070381885711e-17,1.583070381885711e-17,0.012335268920386867,0.055911103661160914
APSFailure,20260841,binary,linear,linear,quantile_gaussian,-0.07475716971803723,0.008122417969193772,0.008122417969193772,0.23852512614352242,0.01464278400977606
APSFailure,20260841,binary,linear,linear,random_monotone_pwl,-0.051384855933293234,0.0031904815640466113,0.0031904815640466113,0.26847690229214877,0.014590596164021053
APSFailure,20260841,binary,linear,linear,signed_power,0.009489459742918288,0.005982305038883927,0.005982305038883927,0.3683969739468001,0.01911495377412392
APSFailure,20260841,binary,random_forest,tree,asinh,4.7033693778708814e-05,3.6093706003568183e-06,3.609370600356952e-06,0.30203463536936925,0.009979715665327156
APSFailure,20260841,binary,random_forest,tree,atomic_spacing,0.00016567853614814337,1.0864467864852513e-05,1.0864467864852646e-05,0.08035713901657561,0.009464028636603743
APSFailure,20260841,binary,random_forest,tree,composition,6.086290683592876e-05,1.1354748961546083e-06,1.1354748961547419e-06,0.29575535413863036,0.009958132075554
APSFailure,20260841,binary,random_forest,tree,empirical_cdf,0.0001727169069655997,1.214495620063044e-05,1.2144956200630575e-05,0.3045502961102807,0.00987774448375472
APSFailure,20260841,binary,random_forest,tree,monotone_spline,-0.00010229427873807244,3.365722037621085e-05,3.3657220376210986e-05,0.30448902799893074,0.00995955934495482
APSFailure,20260841,binary,random_forest,tree,negative_affine,-3.34836009482746e-05,8.442937466527786e-05,8.442937466527798e-05,0.010443700966492553,0.011096245642024813
APSFailure,20260841,binary,random_forest,tree,positive_affine,0.0,5.740020142123088e-20,1.911042714755177e-19,0.018325794659487016,0.017938366922891927
APSFailure,20260841,binary,random_forest,tree,quantile_gaussian,0.0001534462926569835,1.1432966865935737e-05,1.143296686593587e-05,0.30045764221228793,0.00998258230416742
APSFailure,20260841,binary,random_forest,tree,random_monotone_pwl,3.661275378030506e-05,1.258372437104821e-06,1.2583724371049548e-06,0.29841735714883977,0.009952091596032787
APSFailure,20260841,binary,random_forest,tree,signed_power,-3.2216690427714266e-05,1.6619469680066274e-05,1.6619469680066407e-05,0.2746734908950867,0.006964316202061315
APSFailure,20260841,binary,xgboost,tree,asinh,0.0,0.0,0.0,0.2116858235224622,0.009758824973862521
APSFailure,20260841,binary,xgboost,tree,atomic_spacing,0.0,0.0,0.0,0.023167760771686877,0.00974320393721916
APSFailure,20260841,binary,xgboost,tree,composition,0.0,0.0,0.0,0.20923312765445692,0.009758747046267372
APSFailure,20260841,binary,xgboost,tree,empirical_cdf,0.0,0.0,0.0,0.21343716595600484,0.009758272541379912
APSFailure,20260841,binary,xgboost,tree,monotone_spline,0.002642583514794727,0.0001794052796954763,0.0001794052796954763,0.2043926403678171,0.009759082967293763
APSFailure,20260841,binary,xgboost,tree,negative_affine,0.002542138057335018,0.00018615362986296516,0.00018615362986296516,0.009745858487627077,0.009751718764115411
APSFailure,20260841,binary,xgboost,tree,positive_affine,0.0,0.0,0.0,0.002715047448351705,0.0027802945412395024
APSFailure,20260841,binary,xgboost,tree,quantile_gaussian,0.0,0.0,0.0,0.21331852064865478,0.00975852966214337
APSFailure,20260841,binary,xgboost,tree,random_monotone_pwl,0.0,0.0,0.0,0.21044026510540115,0.00975910033759774
APSFailure,20260841,binary,xgboost,tree,signed_power,0.0,0.0,0.0,0.16937662122583075,0.009696293958948485
Food_Delivery_Time,20260831,regression,catboost,tree,asinh,0.0,0.0,0.0,0.5643366211547376,0.8678277030849618
Food_Delivery_Time,20260831,regression,catboost,tree,atomic_spacing,0.0,0.0,0.0,0.5634960334512541,0.8520777711330164
Food_Delivery_Time,20260831,regression,catboost,tree,categorical_bijection,0.0,0.0,0.0,0.1156100640083133,0.1133308743867719
Food_Delivery_Time,20260831,regression,catboost,tree,composition,1.649102422097322e-06,3.3962206076222686e-06,3.3962206076222686e-06,0.5691622589650599,0.8641112131552496
Food_Delivery_Time,20260831,regression,catboost,tree,empirical_cdf,0.0,0.0,0.0,0.5646910877124095,1.0564019362096324
Food_Delivery_Time,20260831,regression,catboost,tree,monotone_spline,0.0,0.0,0.0,0.564194748539183,0.8662581232780474
Food_Delivery_Time,20260831,regression,catboost,tree,negative_affine,-0.009619166832816311,0.07274918574308424,0.07274918574308424,0.9879550496742491,0.9333064436355184
Food_Delivery_Time,20260831,regression,catboost,tree,positive_affine,0.0,0.0,0.0,0.5617338319431436,0.7984723010277918
Food_Delivery_Time,20260831,regression,catboost,tree,quantile_gaussian,4.947307266291966e-06,1.0188661822866805e-05,1.0188661822866805e-05,0.5644380124466861,0.8716473388476155
Food_Delivery_Time,20260831,regression,catboost,tree,random_monotone_pwl,1.649102422097322e-06,3.3962206076222686e-06,3.3962206076222686e-06,0.5642014920555359,0.8653690648408304
Food_Delivery_Time,20260831,regression,catboost,tree,signed_power,2.82727776394256e-06,7.265403922015727e-06,7.265403922015727e-06,0.575644226629077,0.8296985782622851
Food_Delivery_Time,20260831,regression,lightgbm,tree,asinh,-0.0054356468928466505,0.0928316681556945,0.0928316681556945,0.5343192666282431,0.676095152653757
Food_Delivery_Time,20260831,regression,lightgbm,tree,atomic_spacing,-0.01490868399445224,0.09151874901467454,0.09151874901467454,0.978318971434657,0.6629276827515113
Food_Delivery_Time,20260831,regression,lightgbm,tree,categorical_bijection,-0.0022226252100877,0.19944172182013398,0.19944172182013398,0.24013070912894077,0.20857066828567608
Food_Delivery_Time,20260831,regression,lightgbm,tree,composition,-0.0054356468928466505,0.0928316681556945,0.0928316681556945,0.5342125266336276,0.6754857893008462
Food_Delivery_Time,20260831,regression,lightgbm,tree,empirical_cdf,-0.0036852558215826696,0.07497525496700481,0.07497525496700481,0.5358360334429407,0.807599653602412
Food_Delivery_Time,20260831,regression,lightgbm,tree,monotone_spline,-0.0054356468928466505,0.0928316681556945,0.0928316681556945,0.5337543291004034,0.6759930415024863
Food_Delivery_Time,20260831,regression,lightgbm,tree,negative_affine,-0.01521414452812632,0.10716982474351912,0.10716982474351912,0.9635895912236835,0.8906586906617456
Food_Delivery_Time,20260831,regression,lightgbm,tree,positive_affine,-0.0052495469135992135,0.077610330747702,0.077610330747702,0.68646672581791,0.5805715252371645
Food_Delivery_Time,20260831,regression,lightgbm,tree,quantile_gaussian,-0.00875062351860282,0.0997280795490343,0.0997280795490343,0.9211192085153804,0.678158970983874
Food_Delivery_Time,20260831,regression,lightgbm,tree,random_monotone_pwl,-0.0054356468928466505,0.0928316681556945,0.0928316681556945,0.5339491102086965,0.6762723120916262
Food_Delivery_Time,20260831,regression,lightgbm,tree,signed_power,-0.0054356468928466505,0.0928316681556945,0.0928316681556945,0.5363768399718655,0.6601094655384602
Food_Delivery_Time,20260831,regression,linear,linear,asinh,-0.008414562495802093,0.057045994968932374,0.057045994968932374,15.202962973856634,3.103245643210743
Food_Delivery_Time,20260831,regression,linear,linear,atomic_spacing,-0.005867174126235888,0.10332378913031881,0.10332378913031881,1.0004499635110944,1.9673471295810294
Food_Delivery_Time,20260831,regression,linear,linear,categorical_bijection,-1.0348300446473969e-08,3.0053371377100637e-07,3.0053371377100637e-07,0.3858502607403778,0.37405364203101465
Food_Delivery_Time,20260831,regression,linear,linear,composition,0.03133353839249255,0.1032352515420707,0.1032352515420707,16.285107427337238,3.3140245247667117
Food_Delivery_Time,20260831,regression,linear,linear,empirical_cdf,0.002081362680659773,0.12453656408303904,0.12453656408303904,38.13449384620331,2.506200716302394
Food_Delivery_Time,20260831,regression,linear,linear,monotone_spline,0.018698079006622893,0.08343446173478357,0.08343446173478357,8.765273234357794,2.8900480976149017
Food_Delivery_Time,20260831,regression,linear,linear,negative_affine,1.50279596342004e-08,1.93301037714879e-06,1.93301037714879e-06,1.5369600631438665,1.2534846298135538
Food_Delivery_Time,20260831,regression,linear,linear,positive_affine,9.540909093951147e-08,1.9885089476479544e-06,1.9885089476479544e-06,3.8252789474087776,1.4513089104582948
Food_Delivery_Time,20260831,regression,linear,linear,quantile_gaussian,0.013775978015389198,0.12105424295482817,0.12105424295482817,10.443949142490872,2.9623921788504624
Food_Delivery_Time,20260831,regression,linear,linear,random_monotone_pwl,0.014502275364584991,0.07253175321156081,0.07253175321156081,12.034659741050262,2.9345908951795168
Food_Delivery_Time,20260831,regression,linear,linear,signed_power,0.0727818300999855,0.18769943647715479,0.18769943647715479,16.36141067423048,5.632183288741463
Food_Delivery_Time,20260831,regression,mitra_default,TFM,asinh,-0.0002559476758985366,-0.0028003743862075204,0.002992732371202606,0.4103935242662587,0.9519304598840505
Food_Delivery_Time,20260831,regression,mitra_default,TFM,atomic_spacing,-2.7244991278093733e-05,-0.0015955274724398546,0.004197579284970272,0.4100774010661117,0.9482264503125171
Food_Delivery_Time,20260831,regression,mitra_default,TFM,categorical_bijection,0.0005067680152048632,-0.002648277374816057,0.003144829382594069,0.05386918268164691,0.05584644382973592
Food_Delivery_Time,20260831,regression,mitra_default,TFM,composition,0.0004493675534664437,0.00185349593293714,0.007646602690347265,0.4107335058211337,0.9504736090984675
Food_Delivery_Time,20260831,regression,mitra_default,TFM,empirical_cdf,-0.00013881066906698121,-0.002039889329250206,0.00375321742815992,0.4103577367341666,0.9893284309203042
Food_Delivery_Time,20260831,regression,mitra_default,TFM,monotone_spline,0.00030834064795794646,-0.002661697699350598,0.0031314090580595276,0.4102637944624248,0.9505660602230387
Food_Delivery_Time,20260831,regression,mitra_default,TFM,negative_affine,0.0057164425416260664,0.1641961795329366,0.1699892862903467,0.9425064097664618,0.9992057897777263
Food_Delivery_Time,20260831,regression,mitra_default,TFM,positive_affine,5.517925754920595e-05,-0.002936068778723433,0.0028570379786866927,0.420197816912326,0.9953153868098799
Food_Delivery_Time,20260831,regression,mitra_default,TFM,quantile_gaussian,0.0009784575219812474,-0.0009617899249754263,0.0048313168324347,0.4103308960850975,0.9504005428871127
Food_Delivery_Time,20260831,regression,mitra_default,TFM,random_monotone_pwl,0.0001174592894634262,0.0025319678955167037,0.00832507465292683,0.4106231609305164,0.952118344427534
Food_Delivery_Time,20260831,regression,mitra_default,TFM,signed_power,-4.7517127694382045e-05,-0.0017088546573981993,0.004084252100011927,0.4101474849831255,0.9468411745911185
Food_Delivery_Time,20260831,regression,random_forest,tree,asinh,-0.00019412332337795154,0.0035886457026515195,0.003588645702651638,0.9055960115940728,0.8227970662962264
Food_Delivery_Time,20260831,regression,random_forest,tree,atomic_spacing,-0.0008596417037728532,0.01765885490893548,0.017658854908935595,0.9052224897143639,0.806662573879445
Food_Delivery_Time,20260831,regression,random_forest,tree,categorical_bijection,0.00023820488453996292,0.008879840186176224,0.008879840186176342,0.1131390927186854,0.12187912886809447
Food_Delivery_Time,20260831,regression,random_forest,tree,composition,6.061886627770356e-06,0.003017618945278563,0.0030176189452786814,0.9059536939824975,0.8222024711476758
Food_Delivery_Time,20260831,regression,random_forest,tree,empirical_cdf,-8.985467084781101e-05,0.016960956126274775,0.016960956126274893,0.9176019303241346,0.9892798076684841
Food_Delivery_Time,20260831,regression,random_forest,tree,monotone_spline,-0.00016348258956697947,0.004104310533626576,0.004104310533626695,0.9056196318472404,0.8225351792851531
Food_Delivery_Time,20260831,regression,random_forest,tree,negative_affine,-0.0007504489972924529,0.010906337379256623,0.010906337379256741,1.10773942230483,1.028148968538682
Food_Delivery_Time,20260831,regression,random_forest,tree,positive_affine,0.0,2.4103203017944986e-17,1.4264657745146983e-16,0.8207263264526846,1.1957574445785761
Food_Delivery_Time,20260831,regression,random_forest,tree,quantile_gaussian,0.0018884938199865533,0.01759562731891476,0.017595627318914876,0.9057869907060657,0.8251450223484175
Food_Delivery_Time,20260831,regression,random_forest,tree,random_monotone_pwl,-0.00029590654262981084,0.0036758444610476494,0.0036758444610477683,0.9057313131293423,0.8223818580350098
Food_Delivery_Time,20260831,regression,random_forest,tree,signed_power,-5.692655885509375e-05,0.020894365447464536,0.020894365447464657,0.9041770612609517,0.7952393029152337
Food_Delivery_Time,20260831,regression,realmlp_default,trained neural,asinh,0.07910895555298109,0.22389879428309056,0.22389892871668002,1.0135438844845919,0.4063984703421455
Food_Delivery_Time,20260831,regression,realmlp_default,trained neural,atomic_spacing,0.03968405403146185,0.20851529493719476,0.20851542937078418,1.3197119524676115,0.3476898816459036
Food_Delivery_Time,20260831,regression,realmlp_default,trained neural,categorical_bijection,0.03391921493815878,0.16058406402389244,0.1605841984574819,0.18006231082125837,0.0782106007178286
Food_Delivery_Time,20260831,regression,realmlp_default,trained neural,composition,0.0021088675896784523,0.14577949224117445,0.1457796266747639,0.8039010434699566,0.40795493271082944
Food_Delivery_Time,20260831,regression,realmlp_default,trained neural,empirical_cdf,0.038989782648148064,0.1914282579776267,0.19142839241121615,0.9144974707841819,0.40521209490804716
Food_Delivery_Time,20260831,regression,realmlp_default,trained neural,monotone_spline,0.05016568207367791,0.1654618716783911,0.16546200611198056,0.6484675974992912,0.4052581110425253
Food_Delivery_Time,20260831,regression,realmlp_default,trained neural,negative_affine,0.02321496557312883,0.14929529180887982,0.14929542624246928,1.0817970118685822,0.9107613062998686
Food_Delivery_Time,20260831,regression,realmlp_default,trained neural,positive_affine,-1.0815940950426927e-07,7.171777162826996e-07,8.516113057400289e-07,0.6998600568125513,0.3729235829403344
Food_Delivery_Time,20260831,regression,realmlp_default,trained neural,quantile_gaussian,0.06859156782948425,0.21371852484321036,0.2137186592767998,0.9750343249887776,0.4013055528932372
Food_Delivery_Time,20260831,regression,realmlp_default,trained neural,random_monotone_pwl,0.03351007544302243,0.12071002179756644,0.12071015623115589,0.6780344056041088,0.4053920123252734
Food_Delivery_Time,20260831,regression,realmlp_default,trained neural,signed_power,0.08655432013178395,0.2425571614632862,0.24255729589687566,0.5636780440141819,0.4073065062583486
Food_Delivery_Time,20260831,regression,tabicl_v2_default,TFM,asinh,0.002779124918418651,0.012656077322803818,0.012656077322803818,0.4103674430908506,0.8812758910812885
Food_Delivery_Time,20260831,regression,tabicl_v2_default,TFM,atomic_spacing,-0.0036020631743892847,0.045884102490808286,0.045884102490808286,0.4110593103578284,0.8954141420828575
Food_Delivery_Time,20260831,regression,tabicl_v2_default,TFM,categorical_bijection,0.0018042013126704807,0.01702407067561268,0.01702407067561268,0.022572188201323902,0.02468116606978464
Food_Delivery_Time,20260831,regression,tabicl_v2_default,TFM,composition,0.003867875476303889,0.025349668765676597,0.025349668765676597,0.40793186096800543,0.8787706900320579
Food_Delivery_Time,20260831,regression,tabicl_v2_default,TFM,empirical_cdf,-0.0050248215178533995,0.03675929611570301,0.03675929611570301,0.42068918822950174,0.8857824556789513
Food_Delivery_Time,20260831,regression,tabicl_v2_default,TFM,monotone_spline,0.004527539009095428,0.028672794684286365,0.028672794684286365,0.4100610764862327,0.8813884916232407
Food_Delivery_Time,20260831,regression,tabicl_v2_default,TFM,negative_affine,0.003355691407916065,0.030191992273783427,0.030191992273783427,1.034232061453416,1.0810644462389514
Food_Delivery_Time,20260831,regression,tabicl_v2_default,TFM,positive_affine,-5.215217560103004e-06,0.00017477796351526802,0.00017477796351526802,0.40922634318195783,0.9247343355737886
Food_Delivery_Time,20260831,regression,tabicl_v2_default,TFM,quantile_gaussian,-0.012015528353019556,0.04696193143932406,0.04696193143932406,0.40030342812568437,0.8827230700618042
Food_Delivery_Time,20260831,regression,tabicl_v2_default,TFM,random_monotone_pwl,0.003808476228471233,0.02644752289137291,0.02644752289137291,0.40769949657936494,0.8812999809715635
Food_Delivery_Time,20260831,regression,tabicl_v2_default,TFM,signed_power,0.002467033789271273,0.03988032559007786,0.03988032559007786,0.4192143151352678,0.8812986372975772
Food_Delivery_Time,20260831,regression,tabicl_v2_single,TFM,asinh,0.0025310349213164417,0.02043040674988298,0.02043040674988298,0.4596789539059564,0.9363462828283148
Food_Delivery_Time,20260831,regression,tabicl_v2_single,TFM,atomic_spacing,-0.019688834537677915,0.09686911980599457,0.09686911980599457,0.41908814580273396,0.9525650979578489
Food_Delivery_Time,20260831,regression,tabicl_v2_single,TFM,categorical_bijection,0.003228791024728442,0.02543214685068258,0.02543214685068258,0.030448472300934514,0.03199133721840476
