dataset,split_seed,model,variance_temperature,validation_nll
sulfur,20260922,projective_shuffled,1.8708998661263885,1.2077238399317605
sulfur,20260923,projective_full,6.941497396042543,1.617688921467444
sulfur,20260923,projective_independent,7.069422136135069,1.6167662767139137
sulfur,20260923,projective_shuffled,6.79650880466312,1.6086137740271922
superconduct,20260921,projective_full,1.0328313393104405,1.4713220610786086
superconduct,20260921,projective_independent,1.0714650383065056,1.482069459783045
superconduct,20260921,projective_shuffled,1.0304080640032662,1.4688395493793782
superconduct,20260922,projective_full,1.0000610638189706,1.4309620017643645
superconduct,20260922,projective_independent,1.0191328348789417,1.429892415360912
superconduct,20260922,projective_shuffled,1.0041403751891838,1.4334667025348238
superconduct,20260923,projective_full,1.0623151965183024,1.4383616214193802
superconduct,20260923,projective_independent,1.0965494697900862,1.4461407375375324
superconduct,20260923,projective_shuffled,1.061404625706631,1.4373807615739254
wine_quality,20260921,projective_full,1.697368445478105,1.6114895837350305
wine_quality,20260921,projective_independent,1.7343349548650455,1.614015372605071
wine_quality,20260921,projective_shuffled,1.6891976133247504,1.611398702321441
wine_quality,20260922,projective_full,1.9814688488646504,1.571566329263236
wine_quality,20260922,projective_independent,2.023422240200074,1.5732114777357893
wine_quality,20260922,projective_shuffled,1.9838626749289372,1.5721013423274512
wine_quality,20260923,projective_full,1.2130221731642528,1.5596958952742468
wine_quality,20260923,projective_independent,1.2462228865497025,1.5650664768751286
wine_quality,20260923,projective_shuffled,1.2266513556270862,1.5656965662537647
