dataset,column,level,count,probability,gamma,lr_or_activation_multiplier,analytical_update_count_per_epoch
adult,4,Other-relative,787,0.030213452088452088,0.25,1.1832815975849729,787
adult,4,Own-child,4049,0.15544379606879608,0.25,0.9641985629299071,4049
adult,4,Unmarried,2745,0.10538237100737101,0.25,1.0122019237123283,2745
adult,4,Wife,1246,0.04783476658476658,0.25,1.1172367085078045,1246
adult,5,Amer-Indian-Eskimo,254,0.009751228501228502,0.25,1.2151902071341494,254
adult,5,Asian-Pac-Islander,835,0.03205620393120393,0.25,1.0472193689588845,835
adult,5,Black,2512,0.09643734643734644,0.25,0.9125276259686741,2512
adult,5,Other,217,0.008330773955773956,0.25,1.2393415466396855,217
adult,5,White,22230,0.8534244471744472,0.25,0.6948339701195531,22230
adult,6,Cambodia,13,0.0004990786240786241,0.25,1.1578974438001393,13
adult,6,Canada,95,0.003647113022113022,0.25,0.9030204042508482,95
adult,6,China,58,0.002226658476658477,0.25,0.9604715716900608,58
adult,6,Columbia,48,0.0018427518427518428,0.25,0.9834626242569096,48
adult,6,Cuba,79,0.003032862407862408,0.25,0.924080121186227,79
adult,6,Dominican-Republic,50,0.0019195331695331696,0.25,0.9784570429990839,50
adult,6,Ecuador,24,0.0009213759213759214,0.25,1.0724735965394265,24
adult,6,El-Salvador,77,0.0029560810810810812,0.25,0.9270468307976567,77
adult,6,England,74,0.002840909090909091,0.25,0.9316634310962058,74
adult,6,France,20,0.0007678132678132678,0.25,1.0971961240640946,20
adult,6,Germany,113,0.0043381449631449635,0.25,0.8836457820892798,113
adult,6,Greece,26,0.0009981572481572482,0.25,1.0617966375810812,26
adult,6,Guatemala,53,0.0020347051597051596,0.25,0.9713562312327234,53
adult,6,Haiti,33,0.001266891891891892,0.25,1.0306204881234586,33
adult,6,Holand-Netherlands,1,3.839066339066339e-05,0.25,1.595559537134379,1
adult,6,Honduras,12,0.0004606879606879607,0.25,1.1695407501055644,12
adult,6,Hong,16,0.0006142506142506142,0.25,1.1282309684945886,16
adult,6,Hungary,10,0.0003839066339066339,0.25,1.1965008575422444,10
adult,6,India,83,0.0031864250614250613,0.25,0.9183923397874892,83
adult,6,Iran,33,0.001266891891891892,0.25,1.0306204881234586,33
adult,6,Ireland,21,0.0008062039312039312,0.25,1.0905249403737944,21
adult,6,Italy,58,0.002226658476658477,0.25,0.9604715716900608,58
adult,6,Jamaica,63,0.0024186117936117937,0.25,0.9505948246648981,63
adult,6,Japan,50,0.0019195331695331696,0.25,0.9784570429990839,50
adult,6,Laos,16,0.0006142506142506142,0.25,1.1282309684945886,16
adult,6,Mexico,493,0.018926597051597053,0.25,0.7350335275788658,493
adult,6,Nicaragua,28,0.001074938574938575,0.25,1.05200610541734,28
adult,6,Outlying-US(Guam-USVI-etc),9,0.0003455159705159705,0.25,1.2123630748964385,9
adult,6,Peru,22,0.0008445945945945946,0.25,1.0842019376680745,22
adult,6,Philippines,155,0.005950552825552825,0.25,0.8494181800618377,155
adult,6,Poland,46,0.001765970515970516,0.25,0.9887085396534665,46
adult,6,Portugal,32,0.0012285012285012285,0.25,1.0345923597782596,32
adult,6,Puerto-Rico,97,0.003723894348894349,0.25,0.900671763118197,97
adult,6,Scotland,8,0.0003071253071253071,0.25,1.2303445953757615,8
adult,6,South,62,0.0023802211302211304,0.25,0.9524979574134437,62
adult,6,Taiwan,41,0.001574017199017199,0.25,1.0030325623030898,41
adult,6,Thailand,15,0.0005758599508599509,0.25,1.137369575719986,15
adult,6,Trinadad&Tobago,16,0.0006142506142506142,0.25,1.1282309684945886,16
adult,6,United-States,23363,0.8969210687960688,0.25,0.45378165853087105,23363
adult,6,Vietnam,59,0.00226504914004914,0.25,0.958421423193589,59
adult,6,Yugoslavia,13,0.0004990786240786241,0.25,1.1578974438001393,13
adult,6,nan,463,0.01777487714987715,0.25,0.7408245917002125,463
adult,0,Federal-gov,771,0.029599201474201475,0.5,0.9147147342192664,771
adult,0,Local-gov,1672,0.06418918918918919,0.5,0.7537723473033333,1672
adult,0,Never-worked,5,0.00019195331695331694,0.5,3.2233448286918143,5
adult,0,Private,18151,0.6968289312039312,0.5,0.4152638538160395,18151
adult,0,Self-emp-inc,891,0.03420608108108108,0.5,0.8822259808533315,891
adult,0,Self-emp-not-inc,2037,0.07820178132678132,0.5,0.7174663087748882,2037
adult,0,State-gov,1036,0.03977272727272727,0.5,0.849589879611614,1036
adult,0,Without-pay,12,0.0004606879606879607,0.5,2.5897268394292836,12
adult,0,nan,1473,0.056549447174447175,0.5,0.778034011700111,1473
adult,1,10th,758,0.02910012285012285,0.5,0.9787761100757288,758
adult,1,11th,950,0.03647113022113022,0.5,0.9250596983367185,950
adult,1,12th,344,0.013206388206388206,0.5,1.1925073138814228,344
adult,1,1st-4th,141,0.005413083538083538,0.5,1.490376121656792,141
adult,1,5th-6th,254,0.009751228501228502,0.5,1.2864479902292887,254
adult,1,7th-8th,504,0.01934889434889435,0.5,1.083909512869922,504
adult,1,9th,408,0.015663390663390665,0.5,1.142708929740861,408
adult,1,Assoc-acdm,845,0.032440110565110564,0.5,0.9525471560902048,845
adult,1,Assoc-voc,1132,0.04345823095823096,0.5,0.8853990573435543,1132
adult,1,Bachelors,4242,0.1628531941031941,0.5,0.6363675062940297,4242
adult,1,Doctorate,332,0.012745700245700245,0.5,1.2031399316146258,332
adult,1,HS-grad,8398,0.32240479115479115,0.5,0.5364839014533889,8398
adult,1,Masters,1389,0.05332463144963145,0.5,0.8412500451527588,1389
adult,1,Preschool,38,0.0014588452088452088,0.5,2.068496368726352,38
adult,1,Prof-school,473,0.018158783783783782,0.5,1.1012486189756194,473
adult,1,Some-college,5840,0.2242014742014742,0.5,0.5874859033105169,5840
adult,2,Divorced,3545,0.1360949017199017,0.5,0.7348316819913918,3545
adult,2,Married-AF-spouse,16,0.0006142506142506142,0.5,2.8350579250674097,16
adult,2,Married-civ-spouse,11998,0.46061117936117935,0.5,0.5417697071462984,11998
adult,2,Married-spouse-absent,337,0.012937653562653563,0.5,1.3233796654132397,337
adult,2,Never-married,8548,0.3281633906633907,0.5,0.5896927712182912,8548
adult,2,Separated,815,0.03128839066339066,0.5,1.061212923437881,815
adult,2,Widowed,789,0.030290233415233417,0.5,1.0698494840234296,789
adult,3,Adm-clerical,3009,0.11551750614250614,0.5,0.7543831024112649,3009
adult,3,Armed-Forces,7,0.00026873464373464373,0.5,3.4349703203304958,7
adult,3,Craft-repair,3268,0.12546068796068796,0.5,0.7389703050420012,3268
adult,3,Exec-managerial,3213,0.12334920147420148,0.5,0.7421126208226674,3213
adult,3,Farming-fishing,810,0.031096437346437345,0.5,1.0473123967724935,810
adult,3,Handlers-cleaners,1102,0.04230651105651106,0.5,0.9697328334096297,1102
adult,3,Machine-op-inspct,1625,0.06238482800982801,0.5,0.8800030099132876,1625
adult,3,Other-service,2611,0.10023802211302212,0.5,0.7816202113509058,2611
adult,3,Priv-house-serv,113,0.0043381449631449635,0.5,1.7136727389659605,113
adult,3,Prof-specialty,3300,0.1266891891891892,0.5,0.7371723104432418,3300
adult,3,Protective-serv,520,0.01996314496314496,0.5,1.1700290992302693,520
adult,3,Sales,2969,0.11398187960687961,0.5,0.7569112313495103,2969
adult,3,Tech-support,746,0.02863943488943489,0.5,1.069086368466391,746
adult,3,Transport-moving,1277,0.04902487714987715,0.5,0.9346516448423481,1277
adult,3,nan,1478,0.056741400491400494,0.5,0.9011122432345666,1478
adult,4,Husband,10581,0.4062116093366093,0.5,0.7312034390215316,10581
adult,4,Not-in-family,6640,0.2549140049140049,0.5,0.821538430682849,6640
adult,4,Other-relative,787,0.030213452088452088,0.5,1.4001553391832458,787
adult,4,Own-child,4049,0.15544379606879608,0.5,0.929678868756098,4049
adult,4,Unmarried,2745,0.10538237100737101,0.5,1.0245527343669383,2745
adult,4,Wife,1246,0.04783476658476658,0.5,1.2482178628373528,1246
adult,5,Amer-Indian-Eskimo,254,0.009751228501228502,0.5,1.476687239514737,254
adult,5,Asian-Pac-Islander,835,0.03205620393120393,0.5,1.0966684067226442,835
adult,5,Black,2512,0.09643734643734644,0.5,0.8327066681560245,2512
adult,5,Other,217,0.008330773955773956,0.5,1.535967469227248,217
adult,5,White,22230,0.8534244471744472,0.5,0.48279424603209997,22230
adult,6,Cambodia,13,0.0004990786240786241,0.5,1.340726490358897,13
adult,6,Canada,95,0.003647113022113022,0.5,0.8154458504933652,95
adult,6,China,58,0.002226658476658477,0.5,0.9225056400247756,58
adult,6,Columbia,48,0.0018427518427518428,0.5,0.9671987333102872,48
adult,6,Cuba,79,0.003032862407862408,0.5,0.8539240703715519,79
adult,6,Dominican-Republic,50,0.0019195331695331696,0.5,0.957378184994511,50
adult,6,Ecuador,24,0.0009213759213759214,0.5,1.1501996152742127,24
adult,6,El-Salvador,77,0.0029560810810810812,0.5,0.8594158264919791,77
adult,6,England,74,0.002840909090909091,0.5,0.8679967488419545,74
adult,6,France,20,0.0007678132678132678,0.5,1.2038393346612717,20
adult,6,Germany,113,0.0043381449631449635,0.5,0.780829868204175,113
adult,6,Greece,26,0.0009981572481572482,0.5,1.1274120995784904,26
adult,6,Guatemala,53,0.0020347051597051596,0.5,0.9435329279546399,53
adult,6,Haiti,33,0.001266891891891892,0.5,1.0621785905398358,33
adult,6,Holand-Netherlands,1,3.839066339066339e-05,0.5,2.5458102365404742,1
adult,6,Honduras,12,0.0004606879606879607,0.5,1.367825566157486,12
adult,6,Hong,16,0.0006142506142506142,0.5,1.2729051182702371,16
adult,6,Hungary,10,0.0003839066339066339,0.5,1.4316143020993264,10
adult,6,India,83,0.0031864250614250613,0.5,0.843444489780339,83
adult,6,Iran,33,0.001266891891891892,0.5,1.0621785905398358,33
adult,6,Ireland,21,0.0008062039312039312,0.5,1.1892446455772678,21
adult,6,Italy,58,0.002226658476658477,0.5,0.9225056400247756,58
adult,6,Jamaica,63,0.0024186117936117937,0.5,0.9036305206796884,63
adult,6,Japan,50,0.0019195331695331696,0.5,0.957378184994511,50
adult,6,Laos,16,0.0006142506142506142,0.5,1.2729051182702371,16
adult,6,Mexico,493,0.018926597051597053,0.5,0.5402742866650312,493
adult,6,Nicaragua,28,0.001074938574938575,0.5,1.1067168458353598,28
adult,6,Outlying-US(Guam-USVI-etc),9,0.0003455159705159705,0.5,1.4698242253723477,9
adult,6,Peru,22,0.0008445945945945946,0.5,1.1754938416432075,22
adult,6,Philippines,155,0.005950552825552825,0.5,0.7215112446195645,155
adult,6,Poland,46,0.001765970515970516,0.5,0.9775445763836904,46
adult,6,Portugal,32,0.0012285012285012285,0.5,1.0703813509115478,32
adult,6,Puerto-Rico,97,0.003723894348894349,0.5,0.8112096248784415,97
adult,6,Scotland,8,0.0003071253071253071,0.5,1.513747823370346,8
adult,6,South,62,0.0023802211302211304,0.5,0.9072523588767823,62
adult,6,Taiwan,41,0.001574017199017199,0.5,1.0060743210403016,41
adult,6,Thailand,15,0.0005758599508599509,0.5,1.293609551773461,15
adult,6,Trinadad&Tobago,16,0.0006142506142506142,0.5,1.2729051182702371,16
adult,6,United-States,23363,0.8969210687960688,0.5,0.25,23363
adult,6,Vietnam,59,0.00226504914004914,0.5,0.9185716244364246,59
adult,6,Yugoslavia,13,0.0004990786240786241,0.5,1.340726490358897,13
adult,6,nan,463,0.01777487714987715,0.5,0.5488210756677866,463
diamond,0,Fair,1044,0.030242461110628314,0.0,1.0,1044
diamond,0,Good,3165,0.09168332319457721,0.0,1.0,3165
diamond,0,Ideal,13766,0.39877176211581356,0.0,1.0,13766
diamond,0,Premium,8789,0.25459865009704236,0.0,1.0,8789
diamond,0,Very Good,7757,0.22470380348193852,0.0,1.0,7757
diamond,1,D,4311,0.12488050751716347,0.0,1.0,4311
diamond,1,E,6324,0.1831928391413922,0.0,1.0,6324
diamond,1,F,6187,0.1792242403174879,0.0,1.0,6187
diamond,1,G,7136,0.20671475333854755,0.0,1.0,7136
diamond,1,H,5331,0.15442773963674286,0.0,1.0,5331
diamond,1,I,3417,0.09898322760059095,0.0,1.0,3417
diamond,1,J,1815,0.052576692448075085,0.0,1.0,1815
diamond,2,I1,485,0.014049419194113727,0.0,1.0,485
diamond,2,IF,1156,0.03348686306885664,0.0,1.0,1156
diamond,2,SI1,8375,0.24260595000144838,0.0,1.0,8375
diamond,2,SI2,5881,0.1703600706816141,0.0,1.0,5881
diamond,2,VS1,5187,0.15025636569044928,0.0,1.0,5187
diamond,2,VS2,7823,0.2266156832073231,0.0,1.0,7823
diamond,2,VVS1,2344,0.06790069812577851,0.0,1.0,2344
diamond,2,VVS2,3270,0.09472495003041627,0.0,1.0,3270
diamond,0,Fair,1044,0.030242461110628314,0.25,1.216046881992035,1044
diamond,0,Good,3165,0.09168332319457721,0.25,1.05862261284985,3165
diamond,0,Ideal,13766,0.39877176211581356,0.25,0.8809208926609358,13766
diamond,0,Premium,8789,0.25459865009704236,0.25,0.9317415177854502,8789
diamond,0,Very Good,7757,0.22470380348193852,0.25,0.9464031059786646,7757
diamond,1,D,4311,0.12488050751716347,0.25,1.00650899444416,4311
diamond,1,E,6324,0.1831928391413922,0.25,0.9594358240719199,6324
diamond,1,F,6187,0.1792242403174879,0.25,0.9620660706337466,6187
diamond,1,G,7136,0.20671475333854755,0.25,0.9450571189105069,7136
diamond,1,H,5331,0.15442773963674286,0.25,0.9801416123648854,5331
diamond,1,I,3417,0.09898322760059095,0.25,1.0361778176264076,3417
diamond,1,J,1815,0.052576692448075085,0.25,1.1214510822950277,1815
diamond,2,I1,485,0.014049419194113727,0.25,1.2611012229079346,485
diamond,2,IF,1156,0.03348686306885664,0.25,1.1313524844387783,1156
diamond,2,SI1,8375,0.24260595000144838,0.25,0.8832722009602282,8375
diamond,2,SI2,5881,0.1703600706816141,0.25,0.9231797438132617,5881
diamond,2,VS1,5187,0.15025636569044928,0.25,0.9377846789061907,5187
diamond,2,VS2,7823,0.2266156832073231,0.25,0.8908323871370766,7823
diamond,2,VVS1,2344,0.06790069812577851,0.25,1.0356737366504174,2344
diamond,2,VVS2,3270,0.09472495003041627,0.25,0.9934572765097559,3270
diamond,0,Fair,1044,0.030242461110628314,0.5,1.4787700192025504,1044
diamond,0,Good,3165,0.09168332319457721,0.5,1.1206818364370434,3165
diamond,0,Ideal,13766,0.39877176211581356,0.5,0.77602161912654,13766
diamond,0,Premium,8789,0.25459865009704236,0.5,0.8681422559651345,8789
diamond,0,Very Good,7757,0.22470380348193852,0.5,0.8956788390060636,7757
diamond,1,D,4311,0.12488050751716347,0.5,1.0130603558969942,4311
diamond,1,E,6324,0.1831928391413922,0.5,0.9205171005125637,6324
diamond,1,F,6187,0.1792242403174879,0.5,0.9255711242646569,6187
diamond,1,G,7136,0.20671475333854755,0.5,0.8931329580034281,7136
diamond,1,H,5331,0.15442773963674286,0.5,0.9606775802892372,5331
diamond,1,I,3417,0.09898322760059095,0.5,1.0736644697410247,3417
diamond,1,J,1815,0.052576692448075085,0.5,1.2576525299806887,1815
diamond,2,I1,485,0.014049419194113727,0.5,1.590376294419888,485
diamond,2,IF,1156,0.03348686306885664,0.5,1.279958444045796,1156
diamond,2,SI1,8375,0.24260595000144838,0.5,0.7801697809891258,8375
diamond,2,SI2,5881,0.1703600706816141,0.5,0.8522608393871195,5881
diamond,2,VS1,5187,0.15025636569044928,0.5,0.8794401039911871,5187
diamond,2,VS2,7823,0.2266156832073231,0.5,0.7935823419723422,7823
diamond,2,VVS1,2344,0.06790069812577851,0.5,1.0726200887874382,2344
diamond,2,VVS2,3270,0.09472495003041627,0.5,0.9869573602501815,3270
