dataset,column,raw_dtype,semantic_type,ordinal_levels_order,cardinality,missing_rate,entropy,gini,min_frequency,median_frequency,max_frequency,categorical_covariance_condition,split_fingerprint
higgs-small,17,float32,numerical,,8542,0.0,8.702834968531981,0.999802119670273,1,6.0,30,nan,854796e3f97e6f7e
higgs-small,18,float32,numerical,,5898,0.0,8.448668809154858,0.9997560906298935,1,10.0,33,nan,854796e3f97e6f7e
higgs-small,19,float32,numerical,,6284,0.0,8.695307111927443,0.999825059527361,1,10.0,23,nan,854796e3f97e6f7e
higgs-small,20,float32,numerical,,3,0.0,0.8072769366494608,0.49008040035419753,3716,18303.0,40732,nan,854796e3f97e6f7e
higgs-small,21,float32,numerical,,59270,0.0,10.968697643550069,0.9999822131667155,1,1.0,4,nan,854796e3f97e6f7e
higgs-small,22,float32,numerical,,49453,0.0,10.72819094103607,0.9999756890337742,1,1.0,6,nan,854796e3f97e6f7e
higgs-small,23,float32,numerical,,34005,0.0,10.16860132977229,0.9999488834564981,1,1.0,15,nan,854796e3f97e6f7e
higgs-small,24,float32,numerical,,53466,0.0,10.83115395641371,0.9999786735261964,1,1.0,5,nan,854796e3f97e6f7e
higgs-small,25,float32,numerical,,55837,0.0,10.883977936280054,0.9999798914997887,1,1.0,7,nan,854796e3f97e6f7e
higgs-small,26,float32,numerical,,56304,0.0,10.89959032773513,0.9999804827096559,1,1.0,5,nan,854796e3f97e6f7e
higgs-small,27,float32,numerical,,57643,0.0,10.930667729997248,0.9999812582916724,1,1.0,4,nan,854796e3f97e6f7e
house,0,float32,numerical,,6715,0.0,8.427037953945565,0.9996730236044955,1,1.0,22,nan,ad7062e7d8d35668
house,1,float32,numerical,,11776,0.0,9.178048869316752,0.9997070020195756,1,1.0,182,nan,ad7062e7d8d35668
house,2,float32,numerical,,8982,0.0,6.704409201164854,0.8908961887408016,1,1.0,4815,nan,ad7062e7d8d35668
house,3,float32,numerical,,12753,0.0,9.34709580713444,0.9998779665034255,1,1.0,35,nan,ad7062e7d8d35668
house,4,float32,numerical,,10928,0.0,9.00558728713882,0.9996971245733314,1,1.0,106,nan,ad7062e7d8d35668
house,5,float32,numerical,,12493,0.0,9.299784995321092,0.9998604881271191,1,1.0,36,nan,ad7062e7d8d35668
house,6,float32,numerical,,6201,0.0,4.46509989682363,0.6789019784858779,1,1.0,8262,nan,ad7062e7d8d35668
house,7,float32,numerical,,10548,0.0,8.935866989497903,0.9996574266465212,1,1.0,100,nan,ad7062e7d8d35668
house,8,float32,numerical,,5786,0.0,6.217711410903501,0.8915488621673447,1,1.0,4798,nan,ad7062e7d8d35668
house,9,float32,numerical,,8314,0.0,8.188753614455631,0.9943447998521544,1,1.0,1058,nan,ad7062e7d8d35668
house,10,float32,numerical,,10661,0.0,8.990252269076205,0.9997412814615889,1,1.0,80,nan,ad7062e7d8d35668
house,11,float32,numerical,,7325,0.0,5.905197116309626,0.8352613881064005,1,1.0,5917,nan,ad7062e7d8d35668
house,12,float32,numerical,,7445,0.0,6.875299262686909,0.9252756093242547,1,1.0,3982,nan,ad7062e7d8d35668
house,13,float32,numerical,,11484,0.0,9.138583915407427,0.9997977051973725,1,1.0,68,nan,ad7062e7d8d35668
house,14,float32,numerical,,6339,0.0,7.472447237476514,0.9926630094120633,1,1.0,1109,nan,ad7062e7d8d35668
house,15,float32,numerical,,1787,0.0,4.501463239796043,0.9344122941356177,1,1.0,2701,nan,ad7062e7d8d35668
microsoft,0,float32,numerical,,17,0.0,1.581423479571461,0.7615253552,1,40.0,32794,nan,5804b08550f8982f
microsoft,1,float32,numerical,,8,0.0,0.5285769838811927,0.24902027599999998,1,530.0,86130,nan,5804b08550f8982f
microsoft,2,float32,numerical,,10,0.0,1.3593453611365092,0.7174778455999999,2,821.5,34216,nan,5804b08550f8982f
microsoft,3,float32,numerical,,8,0.0,0.9949767260737914,0.5533089471999999,2,1216.0,59878,nan,5804b08550f8982f
microsoft,4,float32,numerical,,17,0.0,1.552388896498041,0.750575278,1,39.0,33490,nan,5804b08550f8982f
microsoft,5,float32,numerical,,44,0.0,1.1210250331064748,0.48905833239999996,1,9.0,69811,nan,5804b08550f8982f
microsoft,6,float32,numerical,,27,0.0,0.615036411722579,0.25246545080000016,1,5.0,86130,nan,5804b08550f8982f
microsoft,7,float32,numerical,,38,0.0,1.6058274109377106,0.7311390282,1,10.0,38755,nan,5804b08550f8982f
microsoft,8,float32,numerical,,30,0.0,1.2722514416682977,0.5911222924,1,11.0,59878,nan,5804b08550f8982f
microsoft,9,float32,numerical,,45,0.0,1.0516946122003121,0.4476830046,1,8.0,73155,nan,5804b08550f8982f
microsoft,10,float32,numerical,,4470,0.0,7.378102289447025,0.9987074608,1,5.0,2118,nan,5804b08550f8982f
microsoft,11,float32,numerical,,122,0.0,1.2601605644255045,0.45972929139999996,1,3.5,72851,nan,5804b08550f8982f
microsoft,12,float32,numerical,,166,0.0,2.881239799389225,0.9295815326,1,2.0,10165,nan,5804b08550f8982f
microsoft,13,float32,numerical,,61,0.0,2.4404588311539803,0.8937143452,1,11.0,14971,nan,5804b08550f8982f
microsoft,14,float32,numerical,,4485,0.0,7.440292394070176,0.99914953,1,5.0,377,nan,5804b08550f8982f
microsoft,15,float32,numerical,,5574,0.0,8.368884635138654,0.9994201656,1,15.0,1797,nan,5804b08550f8982f
microsoft,16,float32,numerical,,5183,0.0,8.185392334973937,0.9987396716,1,16.0,3022,nan,5804b08550f8982f
microsoft,17,float32,numerical,,5283,0.0,8.236097837536608,0.998944,1,16.0,2721,nan,5804b08550f8982f
microsoft,18,float32,numerical,,5279,0.0,8.250099298454227,0.999072741,1,16.0,2498,nan,5804b08550f8982f
microsoft,19,float32,numerical,,5575,0.0,8.368753727640431,0.99942016,1,15.0,1797,nan,5804b08550f8982f
microsoft,20,float32,numerical,,399,0.0,4.019963126209713,0.9674220104,1,5.0,11747,nan,5804b08550f8982f
microsoft,21,float32,numerical,,45,0.0,0.6140936317531218,0.25221847619999993,1,3.0,86130,nan,5804b08550f8982f
microsoft,22,float32,numerical,,44,0.0,1.6108811356079702,0.7598586033999999,1,5.0,30556,nan,5804b08550f8982f
microsoft,23,float32,numerical,,12,0.0,1.0466784150421427,0.5615476605999999,2,146.5,59878,nan,5804b08550f8982f
microsoft,24,float32,numerical,,405,0.0,4.15434248162714,0.9745086168,1,6.0,8644,nan,5804b08550f8982f
microsoft,25,float32,numerical,,178,0.0,2.6279731372764172,0.8600625034,1,7.0,30189,nan,5804b08550f8982f
microsoft,26,float32,numerical,,20,0.0,0.2953018140539138,0.12127540579999996,1,9.0,93615,nan,5804b08550f8982f
microsoft,27,float32,numerical,,21,0.0,0.8500710149199379,0.5080098773999999,1,2.0,61245,nan,5804b08550f8982f
microsoft,28,float32,numerical,,5,0.0,0.5302860352193677,0.31451606220000006,1,878.0,80738,nan,5804b08550f8982f
microsoft,29,float32,numerical,,182,0.0,2.783804865354013,0.881891444,1,7.5,26845,nan,5804b08550f8982f
microsoft,30,float32,numerical,,295,0.0,3.6566757973442297,0.9579477718,1,6.0,11747,nan,5804b08550f8982f
microsoft,31,float32,numerical,,34,0.0,0.5437441044750049,0.24795377919999995,1,4.0,86130,nan,5804b08550f8982f
microsoft,32,float32,numerical,,36,0.0,1.1277009513036467,0.6020813115999999,1,3.5,53968,nan,5804b08550f8982f
microsoft,33,float32,numerical,,7,0.0,0.7999680986761543,0.5056843864,3,217.0,59878,nan,5804b08550f8982f
microsoft,34,float32,numerical,,302,0.0,3.7713594499430556,0.9652911106,1,6.0,8644,nan,5804b08550f8982f
microsoft,35,float32,numerical,,1099,0.0,4.566227744307577,0.9715709844,1,3.0,11747,nan,5804b08550f8982f
microsoft,36,float32,numerical,,103,0.0,0.7178418635000176,0.2546052428000001,1,3.0,86130,nan,5804b08550f8982f
microsoft,37,float32,numerical,,119,0.0,2.0059655496666973,0.7837308707999999,1,4.0,31987,nan,5804b08550f8982f
microsoft,38,float32,numerical,,52,0.0,1.3564864492226663,0.596206196,1,8.0,59878,nan,5804b08550f8982f
microsoft,39,float32,numerical,,1112,0.0,4.716032978082466,0.978527604,1,3.0,8644,nan,5804b08550f8982f
microsoft,40,float32,numerical,,5197,0.0,4.215240086213708,0.8587456924,1,1.0,36592,nan,5804b08550f8982f
microsoft,41,float32,numerical,,153,0.0,0.46813298390958147,0.1557418238,1,2.0,91807,nan,5804b08550f8982f
microsoft,42,float32,numerical,,204,0.0,1.3968755903575978,0.5609839137999999,1,2.0,63889,nan,5804b08550f8982f
microsoft,43,float32,numerical,,64,0.0,0.8604513003494431,0.3736512698000001,1,4.5,78177,nan,5804b08550f8982f
microsoft,44,float32,numerical,,5428,0.0,4.3367898400059115,0.8693365936,1,1.0,35143,nan,5804b08550f8982f
microsoft,45,float32,numerical,,30246,0.0,8.764432294588968,0.9860201216,1,1.0,11747,nan,5804b08550f8982f
microsoft,46,float32,numerical,,371,0.0,0.8372775376893401,0.2563276856000001,1,1.0,86130,nan,5804b08550f8982f
microsoft,47,float32,numerical,,443,0.0,3.0291951146152813,0.8812829916,1,2.0,30556,nan,5804b08550f8982f
microsoft,48,float32,numerical,,149,0.0,1.873418259856794,0.6298062306000001,1,5.0,59878,nan,5804b08550f8982f
microsoft,49,float32,numerical,,31906,0.0,9.051912412057625,0.9923234814,1,1.0,8644,nan,5804b08550f8982f
microsoft,50,float32,numerical,,15538,0.0,6.739341771241455,0.9086973549999999,1,2.0,30189,nan,5804b08550f8982f
microsoft,51,float32,numerical,,210,0.0,0.4298104148432398,0.12323420019999998,1,1.5,93615,nan,5804b08550f8982f
microsoft,52,float32,numerical,,229,0.0,1.8387774124031073,0.6142304426,1,2.0,61245,nan,5804b08550f8982f
microsoft,53,float32,numerical,,75,0.0,0.9855559341380544,0.3444738528000001,1,6.0,80738,nan,5804b08550f8982f
microsoft,54,float32,numerical,,16593,0.0,7.077172032924314,0.9277652636,1,2.0,26845,nan,5804b08550f8982f
microsoft,55,float32,numerical,,25224,0.0,8.51754259788806,0.9859681638,1,1.0,11747,nan,5804b08550f8982f
microsoft,56,float32,numerical,,300,0.0,0.8116013968706405,0.2561494928,1,2.0,86130,nan,5804b08550f8982f
microsoft,57,float32,numerical,,354,0.0,2.759867419670357,0.8725342308,1,2.0,30556,nan,5804b08550f8982f
microsoft,58,float32,numerical,,100,0.0,1.7253633111572038,0.6258497456,1,4.0,59878,nan,5804b08550f8982f
microsoft,59,float32,numerical,,26438,0.0,8.79571200168048,0.9922815648,1,1.0,8644,nan,5804b08550f8982f
microsoft,60,float32,numerical,,27637,0.0,8.757465639243748,0.9860371704,1,2.0,11747,nan,5804b08550f8982f
microsoft,61,float32,numerical,,463,0.0,0.8957406055047632,0.25697844579999995,1,2.0,86130,nan,5804b08550f8982f
microsoft,62,float32,numerical,,635,0.0,3.2528399021121617,0.8864184286,1,2.0,30556,nan,5804b08550f8982f
microsoft,63,float32,numerical,,275,0.0,2.111838150401117,0.6346852437999999,1,4.0,59878,nan,5804b08550f8982f
microsoft,64,float32,numerical,,29395,0.0,9.05377383269751,0.9923529422,1,2.0,8644,nan,5804b08550f8982f
microsoft,65,float32,numerical,,3318,0.0,4.361937353073686,0.8427242800000001,1,2.0,39279,nan,5804b08550f8982f
microsoft,66,float32,numerical,,622,0.0,0.6298979389442556,0.15690617019999986,1,1.0,91807,nan,5804b08550f8982f
microsoft,67,float32,numerical,,1032,0.0,2.2830469746068243,0.5888325238000001,1,2.0,63894,nan,5804b08550f8982f
microsoft,68,float32,numerical,,365,0.0,1.3662743205220087,0.3871134788,1,3.0,78177,nan,5804b08550f8982f
microsoft,69,float32,numerical,,3488,0.0,4.516372057664757,0.8541690846,1,2.0,37817,nan,5804b08550f8982f
microsoft,70,float32,numerical,,72449,0.0,10.124841920911669,0.9861843972,1,1.0,11747,nan,5804b08550f8982f
microsoft,71,float32,numerical,,7295,0.0,1.5868348405130142,0.25815579480000006,1,1.0,86130,nan,5804b08550f8982f
microsoft,72,float32,numerical,,18195,0.0,6.939004480338112,0.9065238834,1,2.0,30556,nan,5804b08550f8982f
microsoft,73,float32,numerical,,9213,0.0,4.032672148690546,0.6413803818000001,1,2.0,59878,nan,5804b08550f8982f
microsoft,74,float32,numerical,,75257,0.0,10.43470285408959,0.9925110788,1,1.0,8644,nan,5804b08550f8982f
microsoft,75,float32,numerical,,29864,0.0,7.538751101335844,0.9152595555999999,1,1.0,29099,nan,5804b08550f8982f
microsoft,76,float32,numerical,,2433,0.0,0.7084953665375824,0.12361899079999994,1,1.0,93615,nan,5804b08550f8982f
microsoft,77,float32,numerical,,4004,0.0,3.55949841044456,0.6247349278000001,1,3.0,61245,nan,5804b08550f8982f
microsoft,78,float32,numerical,,2189,0.0,1.8550791916200087,0.3480882678,1,5.0,80738,nan,5804b08550f8982f
microsoft,79,float32,numerical,,32027,0.0,7.911824831639434,0.933930381,1,1.0,25692,nan,5804b08550f8982f
microsoft,80,float32,numerical,,51942,0.0,9.70511155392661,0.9855869638,1,1.0,11994,nan,5804b08550f8982f
microsoft,81,float32,numerical,,5200,0.0,1.5308153170620715,0.25815309360000016,1,2.0,86130,nan,5804b08550f8982f
microsoft,82,float32,numerical,,8559,0.0,6.4171908543734455,0.9064417896,1,3.0,30556,nan,5804b08550f8982f
microsoft,83,float32,numerical,,4924,0.0,3.820288871662414,0.6413495274000001,1,4.0,59878,nan,5804b08550f8982f
microsoft,84,float32,numerical,,54522,0.0,10.016993615512606,0.992038977,1,1.0,8907,nan,5804b08550f8982f
microsoft,85,float32,numerical,,72961,0.0,10.138011540785168,0.986185059,1,1.0,11747,nan,5804b08550f8982f
microsoft,86,float32,numerical,,8112,0.0,1.613324155323359,0.25815761540000004,1,1.0,86130,nan,5804b08550f8982f
microsoft,87,float32,numerical,,20134,0.0,7.066309420045194,0.9065496214,1,1.0,30556,nan,5804b08550f8982f
microsoft,88,float32,numerical,,10986,0.0,4.1547190030344385,0.6414076094000001,1,2.0,59878,nan,5804b08550f8982f
microsoft,89,float32,numerical,,75789,0.0,10.44740132988005,0.9925116946,1,1.0,8644,nan,5804b08550f8982f
microsoft,90,float32,numerical,,62169,0.0,8.247650155967246,0.907713633,1,1.0,30377,nan,5804b08550f8982f
microsoft,91,float32,numerical,,7076,0.0,1.2695430336583287,0.20292327319999992,1,1.0,89279,nan,5804b08550f8982f
microsoft,92,float32,numerical,,18867,0.0,5.768734126079021,0.7919182426,1,1.0,45611,nan,5804b08550f8982f
microsoft,93,float32,numerical,,10069,0.0,3.080979188747268,0.4869053004,1,2.0,71629,nan,5804b08550f8982f
microsoft,94,float32,numerical,,64037,0.0,8.393347895246853,0.9147027896000001,1,1.0,29204,nan,5804b08550f8982f
microsoft,95,float32,numerical,,47585,0.0,7.5561359056260855,0.924438925,1,1.0,24846,nan,5804b08550f8982f
microsoft,96,float32,numerical,,5346,0.0,1.1841604177647946,0.2549374274,1,1.0,86130,nan,5804b08550f8982f
microsoft,97,float32,numerical,,14771,0.0,4.409544089379636,0.795499693,1,1.0,33333,nan,5804b08550f8982f
microsoft,98,float32,numerical,,9082,0.0,2.8593958234699426,0.6079651685999998,1,1.0,59878,nan,5804b08550f8982f
microsoft,99,float32,numerical,,48473,0.0,7.678081032535715,0.9222726872,1,1.0,26500,nan,5804b08550f8982f
microsoft,100,float32,numerical,,86472,0.0,10.384912539256248,0.9861914988,1,1.0,11747,nan,5804b08550f8982f
microsoft,101,float32,numerical,,11286,0.0,1.6811830346742702,0.25815990359999974,1,1.0,86130,nan,5804b08550f8982f
microsoft,102,float32,numerical,,45388,0.0,7.908948486501958,0.9066142834,1,1.0,30556,nan,5804b08550f8982f
microsoft,103,float32,numerical,,23154,0.0,4.584941260287586,0.6414473538000001,1,1.0,59878,nan,5804b08550f8982f
microsoft,104,float32,numerical,,90289,0.0,10.71363946891135,0.9925187344,1,1.0,8644,nan,5804b08550f8982f
microsoft,105,float32,numerical,,89157,0.0,11.182360591818146,0.9996539594,1,1.0,1812,nan,5804b08550f8982f
microsoft,106,float32,numerical,,15896,0.0,8.585513284729986,0.996767057,1,1.0,5506,nan,5804b08550f8982f
microsoft,107,float32,numerical,,52710,0.0,10.233636269114964,0.9989230772,1,1.0,3179,nan,5804b08550f8982f
microsoft,108,float32,numerical,,29907,0.0,9.40270616078915,0.998855773,1,1.0,3183,nan,5804b08550f8982f
microsoft,109,float32,numerical,,92335,0.0,11.256764022683534,0.9996573274,1,1.0,1812,nan,5804b08550f8982f
microsoft,110,float32,numerical,,89226,0.0,11.184068272850373,0.9996540268,1,1.0,1812,nan,5804b08550f8982f
microsoft,111,float32,numerical,,16420,0.0,8.645659633211299,0.9967961002,1,1.0,5506,nan,5804b08550f8982f
microsoft,112,float32,numerical,,53151,0.0,10.317271053713583,0.9989449024,1,1.0,3179,nan,5804b08550f8982f
microsoft,113,float32,numerical,,31049,0.0,9.511278161815397,0.9988846028,1,1.0,3183,nan,5804b08550f8982f
microsoft,114,float32,numerical,,92539,0.0,11.26092933270794,0.9996574534,1,1.0,1812,nan,5804b08550f8982f
microsoft,115,float32,numerical,,87728,0.0,11.155858120905132,0.9996531804,1,1.0,1812,nan,5804b08550f8982f
microsoft,116,float32,numerical,,14061,0.0,8.415344228265136,0.9966362916,1,1.0,5506,nan,5804b08550f8982f
microsoft,117,float32,numerical,,43789,0.0,9.815418341304557,0.9987746446,1,1.0,3179,nan,5804b08550f8982f
microsoft,118,float32,numerical,,25622,0.0,9.06308998556248,0.9986536962,1,1.0,3183,nan,5804b08550f8982f
microsoft,119,float32,numerical,,90428,0.0,11.218055163748303,0.9996559016,1,1.0,1812,nan,5804b08550f8982f
microsoft,120,float32,numerical,,20,0.0,1.6636198101427437,0.7758446778,1,37.0,32263,nan,5804b08550f8982f
microsoft,121,float32,numerical,,265,0.0,4.319661660710396,0.9839490362,1,13.0,2819,nan,5804b08550f8982f
microsoft,122,float32,numerical,,7016,0.0,4.397771336532461,0.868273515,1,1.0,35003,nan,5804b08550f8982f
microsoft,123,float32,numerical,,106,0.0,2.239331606279456,0.7447723242,1,40.0,47896,nan,5804b08550f8982f
microsoft,124,float32,numerical,,38386,0.0,9.595268455639571,0.9989214198,1,1.0,1687,nan,5804b08550f8982f
microsoft,125,float32,numerical,,39818,0.0,9.68976078566578,0.9944387124,1,2.0,7397,nan,5804b08550f8982f
