experiment,intervention_class,dataset,task,model,optimizer,weight_decay,seed,representation,split_fingerprint,regularizer,rank,effective_rank,sigma_max,sigma_min_nonzero,condition_number,log_condition_number,trace_cov,logdet_nonzero_cov,max_variance,min_nonzero_variance,target_kappa,phase,synthetic_control,input_features,parameters,best_epoch,train_loss,val_loss,test_loss,val_metric,test_metric,first_gradient_norm,first_weight_norm,first_update_ratio,train_seconds
cyclic_geometry,A,synthetic-hour-of-day,regression,mlp,AdamW,0.0001,0,full_fourier_phase_5,synthetic-2026,standard,23,22.98846935062077,0.21143694213998998,0.1970730397042863,1.0728861870566218,0.03055365397443986,0.958289722222222,-73.1078398613571,0.042111038999534,0.0,nan,5,True,23,137985,6,0.325050950050354,0.3107333481311798,0.3267599046230316,0.6858763737843958,0.7033415703766082,0.009564761072397232,9.245890617370605,0.008344539441168308,0.929842660902068
cyclic_geometry,A,synthetic-hour-of-day,regression,mlp,AdamW,0.0001,1,full_fourier_phase_5,synthetic-2026,standard,23,22.98846935062077,0.21143694213998998,0.1970730397042863,1.0728861870566218,0.03055365397443986,0.958289722222222,-73.1078398613571,0.042111038999534,0.0,nan,5,True,23,137985,3,0.3258607089519501,0.3106536865234375,0.3271482586860657,0.6857884409253643,0.7037593797993793,0.009372751228511333,9.312799453735352,0.008281071670353413,0.6618912790436298
cyclic_geometry,A,synthetic-hour-of-day,regression,mlp,AdamW,0.0001,2,full_fourier_phase_5,synthetic-2026,standard,23,22.98846935062077,0.21143694213998998,0.1970730397042863,1.0728861870566218,0.03055365397443986,0.958289722222222,-73.1078398613571,0.042111038999534,0.0,nan,5,True,23,137985,4,0.3256942629814148,0.31128498911857605,0.3288748264312744,0.6864849366403121,0.7056140370738149,0.009193838573992252,9.291319847106934,0.008311557583510876,0.8375966420862824
cyclic_geometry,A,synthetic-hour-of-day,regression,mlp,AdamW,0.0001,3,full_fourier_phase_5,synthetic-2026,standard,23,22.98846935062077,0.21143694213998998,0.1970730397042863,1.0728861870566218,0.03055365397443986,0.958289722222222,-73.1078398613571,0.042111038999534,0.0,nan,5,True,23,137985,6,0.3251420557498932,0.31096816062927246,0.32662278413772583,0.6861354786976221,0.7031940133187504,0.008243040181696415,9.33998966217041,0.008276935666799545,1.0059911399148405
cyclic_geometry,A,synthetic-hour-of-day,regression,mlp,AdamW,0.0001,4,full_fourier_phase_5,synthetic-2026,standard,23,22.98846935062077,0.21143694213998998,0.1970730397042863,1.0728861870566218,0.03055365397443986,0.958289722222222,-73.1078398613571,0.042111038999534,0.0,nan,5,True,23,137985,11,0.32473036646842957,0.31107980012893677,0.32658013701438904,0.6862586140356655,0.7031481034190392,0.008698607794940472,9.249832153320312,0.008336778730154037,1.301239252090454
cyclic_geometry,A,synthetic-hour-of-day,regression,mlp,AdamW,0.0001,0,full_fourier_phase_11,synthetic-2026,standard,23,22.988469350620775,0.2114369421399901,0.19707303970428627,1.0728861870566226,0.03055365397444022,0.9582897222222224,-73.10783986135709,0.04211103899953399,0.0,nan,11,True,23,137985,7,0.3248724341392517,0.31058475375175476,0.32651492953300476,0.6857123889029992,0.7030778451380115,0.00953085906803608,9.260403633117676,0.008347274735569954,0.9432444798294455
cyclic_geometry,A,synthetic-hour-of-day,regression,mlp,AdamW,0.0001,1,full_fourier_phase_11,synthetic-2026,standard,23,22.988469350620775,0.2114369421399901,0.19707303970428627,1.0728861870566226,0.03055365397444022,0.9582897222222224,-73.10783986135709,0.04211103899953399,0.0,nan,11,True,23,137985,4,0.3261762261390686,0.31066417694091797,0.32747089862823486,0.685800028408039,0.7041063442331392,0.00940963625907898,9.334671020507812,0.008283358067274094,0.8226900189183652
cyclic_geometry,A,synthetic-hour-of-day,regression,mlp,AdamW,0.0001,2,full_fourier_phase_11,synthetic-2026,standard,23,22.988469350620775,0.2114369421399901,0.19707303970428627,1.0728861870566226,0.03055365397444022,0.9582897222222224,-73.10783986135709,0.04211103899953399,0.0,nan,11,True,23,137985,20,0.3242630958557129,0.3103918135166168,0.3260592520236969,0.68549934056648,0.7025870639097889,0.009085388854146004,9.342599868774414,0.008305396884679794,1.9334995818790048
cyclic_geometry,A,synthetic-hour-of-day,regression,mlp,AdamW,0.0001,3,full_fourier_phase_11,synthetic-2026,standard,23,22.988469350620775,0.2114369421399901,0.19707303970428627,1.0728861870566226,0.03055365397444022,0.9582897222222224,-73.10783986135709,0.04211103899953399,0.0,nan,11,True,23,137985,25,0.3243670165538788,0.3096143901348114,0.3267204463481903,0.6846403267400945,0.7032991073863002,0.0082223666831851,9.377710342407227,0.008276543579995632,2.518408006057143
cyclic_geometry,A,synthetic-hour-of-day,regression,mlp,AdamW,0.0001,4,full_fourier_phase_11,synthetic-2026,standard,23,22.988469350620775,0.2114369421399901,0.19707303970428627,1.0728861870566226,0.03055365397444022,0.9582897222222224,-73.10783986135709,0.04211103899953399,0.0,nan,11,True,23,137985,3,0.3245834410190582,0.3110608458518982,0.32638561725616455,0.6862377125637522,0.7029386486689191,0.008686516433954239,9.261536598205566,0.008337563835084438,0.8248950119595975
