stage,source,task,outer_state_split,inner_fold,base_predictor,geometry_metric,operator,operator_hyperparameters,sample_size_condition,seed,status
retrospective,ACS,acs_occupation,2,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,rbf,frozen_geometry_only,full,task_split_2,complete
retrospective,ACS,acs_occupation,2,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,rbf_double,frozen_geometry_only,full,task_split_2,complete
retrospective,ACS,acs_occupation,2,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,kernel_ridge,frozen_geometry_only,full,task_split_2,complete
retrospective,ACS,acs_occupation,2,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,harmonic,frozen_geometry_only,full,task_split_2,complete
retrospective,ACS,acs_occupation,3,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,knn_1,frozen_geometry_only,full,task_split_3,complete
retrospective,ACS,acs_occupation,3,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,knn_3,frozen_geometry_only,full,task_split_3,complete
retrospective,ACS,acs_occupation,3,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,knn_5,frozen_geometry_only,full,task_split_3,complete
retrospective,ACS,acs_occupation,3,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,knn_10,frozen_geometry_only,full,task_split_3,complete
retrospective,ACS,acs_occupation,3,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,rbf_half,frozen_geometry_only,full,task_split_3,complete
retrospective,ACS,acs_occupation,3,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,rbf,frozen_geometry_only,full,task_split_3,complete
retrospective,ACS,acs_occupation,3,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,rbf_double,frozen_geometry_only,full,task_split_3,complete
retrospective,ACS,acs_occupation,3,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,kernel_ridge,frozen_geometry_only,full,task_split_3,complete
retrospective,ACS,acs_occupation,3,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,harmonic,frozen_geometry_only,full,task_split_3,complete
retrospective,ACS,acs_occupation,4,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,knn_1,frozen_geometry_only,full,task_split_4,complete
retrospective,ACS,acs_occupation,4,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,knn_3,frozen_geometry_only,full,task_split_4,complete
retrospective,ACS,acs_occupation,4,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,knn_5,frozen_geometry_only,full,task_split_4,complete
retrospective,ACS,acs_occupation,4,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,knn_10,frozen_geometry_only,full,task_split_4,complete
retrospective,ACS,acs_occupation,4,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,rbf_half,frozen_geometry_only,full,task_split_4,complete
retrospective,ACS,acs_occupation,4,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,rbf,frozen_geometry_only,full,task_split_4,complete
retrospective,ACS,acs_occupation,4,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,rbf_double,frozen_geometry_only,full,task_split_4,complete
retrospective,ACS,acs_occupation,4,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,kernel_ridge,frozen_geometry_only,full,task_split_4,complete
retrospective,ACS,acs_occupation,4,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,harmonic,frozen_geometry_only,full,task_split_4,complete
retrospective,ACS,acs_industry,0,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,knn_1,frozen_geometry_only,full,task_split_0,complete
retrospective,ACS,acs_industry,0,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,knn_3,frozen_geometry_only,full,task_split_0,complete
retrospective,ACS,acs_industry,0,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,knn_5,frozen_geometry_only,full,task_split_0,complete
retrospective,ACS,acs_industry,0,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,knn_10,frozen_geometry_only,full,task_split_0,complete
retrospective,ACS,acs_industry,0,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,rbf_half,frozen_geometry_only,full,task_split_0,complete
retrospective,ACS,acs_industry,0,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,rbf,frozen_geometry_only,full,task_split_0,complete
retrospective,ACS,acs_industry,0,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,rbf_double,frozen_geometry_only,full,task_split_0,complete
retrospective,ACS,acs_industry,0,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,kernel_ridge,frozen_geometry_only,full,task_split_0,complete
retrospective,ACS,acs_industry,0,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,harmonic,frozen_geometry_only,full,task_split_0,complete
retrospective,ACS,acs_industry,1,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,knn_1,frozen_geometry_only,full,task_split_1,complete
retrospective,ACS,acs_industry,1,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,knn_3,frozen_geometry_only,full,task_split_1,complete
retrospective,ACS,acs_industry,1,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,knn_5,frozen_geometry_only,full,task_split_1,complete
retrospective,ACS,acs_industry,1,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,knn_10,frozen_geometry_only,full,task_split_1,complete
retrospective,ACS,acs_industry,1,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,rbf_half,frozen_geometry_only,full,task_split_1,complete
retrospective,ACS,acs_industry,1,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,rbf,frozen_geometry_only,full,task_split_1,complete
retrospective,ACS,acs_industry,1,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,rbf_double,frozen_geometry_only,full,task_split_1,complete
retrospective,ACS,acs_industry,1,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,kernel_ridge,frozen_geometry_only,full,task_split_1,complete
retrospective,ACS,acs_industry,1,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,harmonic,frozen_geometry_only,full,task_split_1,complete
retrospective,ACS,acs_industry,2,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,knn_1,frozen_geometry_only,full,task_split_2,complete
retrospective,ACS,acs_industry,2,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,knn_3,frozen_geometry_only,full,task_split_2,complete
retrospective,ACS,acs_industry,2,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,knn_5,frozen_geometry_only,full,task_split_2,complete
retrospective,ACS,acs_industry,2,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,knn_10,frozen_geometry_only,full,task_split_2,complete
retrospective,ACS,acs_industry,2,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,rbf_half,frozen_geometry_only,full,task_split_2,complete
retrospective,ACS,acs_industry,2,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,rbf,frozen_geometry_only,full,task_split_2,complete
retrospective,ACS,acs_industry,2,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,rbf_double,frozen_geometry_only,full,task_split_2,complete
retrospective,ACS,acs_industry,2,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,kernel_ridge,frozen_geometry_only,full,task_split_2,complete
retrospective,ACS,acs_industry,2,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,harmonic,frozen_geometry_only,full,task_split_2,complete
retrospective,ACS,acs_industry,3,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,knn_1,frozen_geometry_only,full,task_split_3,complete
retrospective,ACS,acs_industry,3,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,knn_3,frozen_geometry_only,full,task_split_3,complete
retrospective,ACS,acs_industry,3,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,knn_5,frozen_geometry_only,full,task_split_3,complete
retrospective,ACS,acs_industry,3,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,knn_10,frozen_geometry_only,full,task_split_3,complete
retrospective,ACS,acs_industry,3,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,rbf_half,frozen_geometry_only,full,task_split_3,complete
retrospective,ACS,acs_industry,3,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,rbf,frozen_geometry_only,full,task_split_3,complete
retrospective,ACS,acs_industry,3,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,rbf_double,frozen_geometry_only,full,task_split_3,complete
retrospective,ACS,acs_industry,3,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,kernel_ridge,frozen_geometry_only,full,task_split_3,complete
retrospective,ACS,acs_industry,3,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,harmonic,frozen_geometry_only,full,task_split_3,complete
retrospective,ACS,acs_industry,4,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,knn_1,frozen_geometry_only,full,task_split_4,complete
retrospective,ACS,acs_industry,4,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,knn_3,frozen_geometry_only,full,task_split_4,complete
retrospective,ACS,acs_industry,4,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,knn_5,frozen_geometry_only,full,task_split_4,complete
retrospective,ACS,acs_industry,4,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,knn_10,frozen_geometry_only,full,task_split_4,complete
retrospective,ACS,acs_industry,4,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,rbf_half,frozen_geometry_only,full,task_split_4,complete
retrospective,ACS,acs_industry,4,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,rbf,frozen_geometry_only,full,task_split_4,complete
retrospective,ACS,acs_industry,4,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,rbf_double,frozen_geometry_only,full,task_split_4,complete
retrospective,ACS,acs_industry,4,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,kernel_ridge,frozen_geometry_only,full,task_split_4,complete
retrospective,ACS,acs_industry,4,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,harmonic,frozen_geometry_only,full,task_split_4,complete
retrospective,NYC_TLC,tlc_pickup_zone,0,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,knn_1,frozen_geometry_only,full,task_split_0,complete
retrospective,NYC_TLC,tlc_pickup_zone,0,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,knn_3,frozen_geometry_only,full,task_split_0,complete
retrospective,NYC_TLC,tlc_pickup_zone,0,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,knn_5,frozen_geometry_only,full,task_split_0,complete
retrospective,NYC_TLC,tlc_pickup_zone,0,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,knn_10,frozen_geometry_only,full,task_split_0,complete
retrospective,NYC_TLC,tlc_pickup_zone,0,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,rbf_half,frozen_geometry_only,full,task_split_0,complete
retrospective,NYC_TLC,tlc_pickup_zone,0,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,rbf,frozen_geometry_only,full,task_split_0,complete
retrospective,NYC_TLC,tlc_pickup_zone,0,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,rbf_double,frozen_geometry_only,full,task_split_0,complete
retrospective,NYC_TLC,tlc_pickup_zone,0,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,kernel_ridge,frozen_geometry_only,full,task_split_0,complete
retrospective,NYC_TLC,tlc_pickup_zone,0,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,harmonic,frozen_geometry_only,full,task_split_0,complete
retrospective,NYC_TLC,tlc_pickup_zone,1,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,knn_1,frozen_geometry_only,full,task_split_1,complete
retrospective,NYC_TLC,tlc_pickup_zone,1,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,knn_3,frozen_geometry_only,full,task_split_1,complete
retrospective,NYC_TLC,tlc_pickup_zone,1,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,knn_5,frozen_geometry_only,full,task_split_1,complete
retrospective,NYC_TLC,tlc_pickup_zone,1,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,knn_10,frozen_geometry_only,full,task_split_1,complete
retrospective,NYC_TLC,tlc_pickup_zone,1,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,rbf_half,frozen_geometry_only,full,task_split_1,complete
retrospective,NYC_TLC,tlc_pickup_zone,1,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,rbf,frozen_geometry_only,full,task_split_1,complete
retrospective,NYC_TLC,tlc_pickup_zone,1,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,rbf_double,frozen_geometry_only,full,task_split_1,complete
retrospective,NYC_TLC,tlc_pickup_zone,1,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,kernel_ridge,frozen_geometry_only,full,task_split_1,complete
retrospective,NYC_TLC,tlc_pickup_zone,1,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,harmonic,frozen_geometry_only,full,task_split_1,complete
retrospective,NYC_TLC,tlc_pickup_zone,2,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,knn_1,frozen_geometry_only,full,task_split_2,complete
retrospective,NYC_TLC,tlc_pickup_zone,2,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,knn_3,frozen_geometry_only,full,task_split_2,complete
retrospective,NYC_TLC,tlc_pickup_zone,2,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,knn_5,frozen_geometry_only,full,task_split_2,complete
retrospective,NYC_TLC,tlc_pickup_zone,2,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,knn_10,frozen_geometry_only,full,task_split_2,complete
retrospective,NYC_TLC,tlc_pickup_zone,2,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,rbf_half,frozen_geometry_only,full,task_split_2,complete
retrospective,NYC_TLC,tlc_pickup_zone,2,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,rbf,frozen_geometry_only,full,task_split_2,complete
retrospective,NYC_TLC,tlc_pickup_zone,2,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,rbf_double,frozen_geometry_only,full,task_split_2,complete
retrospective,NYC_TLC,tlc_pickup_zone,2,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,kernel_ridge,frozen_geometry_only,full,task_split_2,complete
retrospective,NYC_TLC,tlc_pickup_zone,2,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,harmonic,frozen_geometry_only,full,task_split_2,complete
retrospective,NYC_TLC,tlc_pickup_zone,3,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,knn_1,frozen_geometry_only,full,task_split_3,complete
retrospective,NYC_TLC,tlc_pickup_zone,3,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,knn_3,frozen_geometry_only,full,task_split_3,complete
retrospective,NYC_TLC,tlc_pickup_zone,3,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,knn_5,frozen_geometry_only,full,task_split_3,complete
retrospective,NYC_TLC,tlc_pickup_zone,3,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,knn_10,frozen_geometry_only,full,task_split_3,complete
retrospective,NYC_TLC,tlc_pickup_zone,3,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,rbf_half,frozen_geometry_only,full,task_split_3,complete
retrospective,NYC_TLC,tlc_pickup_zone,3,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,rbf,frozen_geometry_only,full,task_split_3,complete
retrospective,NYC_TLC,tlc_pickup_zone,3,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,rbf_double,frozen_geometry_only,full,task_split_3,complete
retrospective,NYC_TLC,tlc_pickup_zone,3,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,kernel_ridge,frozen_geometry_only,full,task_split_3,complete
retrospective,NYC_TLC,tlc_pickup_zone,3,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,harmonic,frozen_geometry_only,full,task_split_3,complete
retrospective,NYC_TLC,tlc_pickup_zone,4,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,knn_1,frozen_geometry_only,full,task_split_4,complete
retrospective,NYC_TLC,tlc_pickup_zone,4,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,knn_3,frozen_geometry_only,full,task_split_4,complete
retrospective,NYC_TLC,tlc_pickup_zone,4,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,knn_5,frozen_geometry_only,full,task_split_4,complete
retrospective,NYC_TLC,tlc_pickup_zone,4,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,knn_10,frozen_geometry_only,full,task_split_4,complete
retrospective,NYC_TLC,tlc_pickup_zone,4,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,rbf_half,frozen_geometry_only,full,task_split_4,complete
retrospective,NYC_TLC,tlc_pickup_zone,4,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,rbf,frozen_geometry_only,full,task_split_4,complete
retrospective,NYC_TLC,tlc_pickup_zone,4,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,rbf_double,frozen_geometry_only,full,task_split_4,complete
retrospective,NYC_TLC,tlc_pickup_zone,4,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,kernel_ridge,frozen_geometry_only,full,task_split_4,complete
retrospective,NYC_TLC,tlc_pickup_zone,4,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,harmonic,frozen_geometry_only,full,task_split_4,complete
retrospective,NYC_TLC,tlc_dropoff_zone,0,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,knn_1,frozen_geometry_only,full,task_split_0,complete
retrospective,NYC_TLC,tlc_dropoff_zone,0,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,knn_3,frozen_geometry_only,full,task_split_0,complete
retrospective,NYC_TLC,tlc_dropoff_zone,0,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,knn_5,frozen_geometry_only,full,task_split_0,complete
retrospective,NYC_TLC,tlc_dropoff_zone,0,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,knn_10,frozen_geometry_only,full,task_split_0,complete
retrospective,NYC_TLC,tlc_dropoff_zone,0,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,rbf_half,frozen_geometry_only,full,task_split_0,complete
retrospective,NYC_TLC,tlc_dropoff_zone,0,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,rbf,frozen_geometry_only,full,task_split_0,complete
retrospective,NYC_TLC,tlc_dropoff_zone,0,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,rbf_double,frozen_geometry_only,full,task_split_0,complete
retrospective,NYC_TLC,tlc_dropoff_zone,0,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,kernel_ridge,frozen_geometry_only,full,task_split_0,complete
retrospective,NYC_TLC,tlc_dropoff_zone,0,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,harmonic,frozen_geometry_only,full,task_split_0,complete
retrospective,NYC_TLC,tlc_dropoff_zone,1,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,knn_1,frozen_geometry_only,full,task_split_1,complete
retrospective,NYC_TLC,tlc_dropoff_zone,1,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,knn_3,frozen_geometry_only,full,task_split_1,complete
retrospective,NYC_TLC,tlc_dropoff_zone,1,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,knn_5,frozen_geometry_only,full,task_split_1,complete
retrospective,NYC_TLC,tlc_dropoff_zone,1,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,knn_10,frozen_geometry_only,full,task_split_1,complete
retrospective,NYC_TLC,tlc_dropoff_zone,1,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,rbf_half,frozen_geometry_only,full,task_split_1,complete
retrospective,NYC_TLC,tlc_dropoff_zone,1,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,rbf,frozen_geometry_only,full,task_split_1,complete
retrospective,NYC_TLC,tlc_dropoff_zone,1,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,rbf_double,frozen_geometry_only,full,task_split_1,complete
retrospective,NYC_TLC,tlc_dropoff_zone,1,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,kernel_ridge,frozen_geometry_only,full,task_split_1,complete
retrospective,NYC_TLC,tlc_dropoff_zone,1,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,harmonic,frozen_geometry_only,full,task_split_1,complete
retrospective,NYC_TLC,tlc_dropoff_zone,2,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,knn_1,frozen_geometry_only,full,task_split_2,complete
retrospective,NYC_TLC,tlc_dropoff_zone,2,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,knn_3,frozen_geometry_only,full,task_split_2,complete
retrospective,NYC_TLC,tlc_dropoff_zone,2,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,knn_5,frozen_geometry_only,full,task_split_2,complete
retrospective,NYC_TLC,tlc_dropoff_zone,2,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,knn_10,frozen_geometry_only,full,task_split_2,complete
retrospective,NYC_TLC,tlc_dropoff_zone,2,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,rbf_half,frozen_geometry_only,full,task_split_2,complete
retrospective,NYC_TLC,tlc_dropoff_zone,2,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,rbf,frozen_geometry_only,full,task_split_2,complete
retrospective,NYC_TLC,tlc_dropoff_zone,2,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,rbf_double,frozen_geometry_only,full,task_split_2,complete
retrospective,NYC_TLC,tlc_dropoff_zone,2,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,kernel_ridge,frozen_geometry_only,full,task_split_2,complete
retrospective,NYC_TLC,tlc_dropoff_zone,2,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,harmonic,frozen_geometry_only,full,task_split_2,complete
retrospective,NYC_TLC,tlc_dropoff_zone,3,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,knn_1,frozen_geometry_only,full,task_split_3,complete
retrospective,NYC_TLC,tlc_dropoff_zone,3,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,knn_3,frozen_geometry_only,full,task_split_3,complete
retrospective,NYC_TLC,tlc_dropoff_zone,3,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,knn_5,frozen_geometry_only,full,task_split_3,complete
retrospective,NYC_TLC,tlc_dropoff_zone,3,row_oof_3fold,catboost,haversine distance between official taxi-zone polygon centroids,knn_10,frozen_geometry_only,full,task_split_3,complete
