dataset,problem_type,model,seed,method,representation_id,member,is_reference,multiplier,learning_rate,validation_task_error,test_task_error,fit_seconds
bike-sharing,regression,tabm_d,0,MatrixAdam+DataInit,orthogonal_all__m5,5,False,1.0,0.002,77.87492854338704,81.40444360390316,0.5489587658084929
bike-sharing,regression,tabm_d,0,MatrixAdam+DataInit,orthogonal_all__m6,6,False,1.0,0.002,77.9088376499214,81.46805606271255,0.5103522681165487
bike-sharing,regression,tabm_d,0,MatrixAdam+DataInit,orthogonal_all__m7,7,False,1.0,0.002,77.80983602671803,81.35363321123323,0.5042758958879858
bike-sharing,regression,tabm_d,0,MatrixAdam+DataInit,rbf_reference,-1,True,2.0,0.004,75.05771899074075,76.88750455900617,0.4017838400322944
bike-sharing,regression,tabm_d,0,MatrixAdam+DataInit,orthogonal_all__m0,0,False,2.0,0.004,75.03056406637218,76.84505189875422,0.37773325899615884
bike-sharing,regression,tabm_d,0,MatrixAdam+DataInit,orthogonal_all__m1,1,False,2.0,0.004,75.01365970410616,76.83457115613048,0.3824882919434458
bike-sharing,regression,tabm_d,0,MatrixAdam+DataInit,orthogonal_all__m2,2,False,2.0,0.004,74.98802695623311,76.85485567992954,0.3965615730267018
bike-sharing,regression,tabm_d,0,MatrixAdam+DataInit,orthogonal_all__m3,3,False,2.0,0.004,75.01016165916477,76.84964358239304,0.36028687795624137
bike-sharing,regression,tabm_d,0,MatrixAdam+DataInit,orthogonal_all__m4,4,False,2.0,0.004,75.04683559531111,76.90416202466652,0.3380976419430226
bike-sharing,regression,tabm_d,0,MatrixAdam+DataInit,orthogonal_all__m5,5,False,2.0,0.004,75.02497572488386,76.84969176421177,0.32970885490067303
bike-sharing,regression,tabm_d,0,MatrixAdam+DataInit,orthogonal_all__m6,6,False,2.0,0.004,75.03507879351102,76.84213469104319,0.4072985169477761
bike-sharing,regression,tabm_d,0,MatrixAdam+DataInit,orthogonal_all__m7,7,False,2.0,0.004,75.01170674798287,76.84120279521782,0.36748916702345014
bike-sharing,regression,tabm_d,0,SoftBlockAdam-a0.1+DataInit,rbf_reference,-1,True,0.5,0.001,81.89295696135328,93.05972354264317,0.41652826918289065
bike-sharing,regression,tabm_d,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m0,0,False,0.5,0.001,81.49882458142773,93.00399204623206,0.3971374488901347
bike-sharing,regression,tabm_d,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m1,1,False,0.5,0.001,82.41429970910627,93.13783364377103,0.3992913628462702
bike-sharing,regression,tabm_d,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m2,2,False,0.5,0.001,82.1325063213239,92.87631214311214,0.4160451218485832
bike-sharing,regression,tabm_d,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m3,3,False,0.5,0.001,82.40281428075183,92.96736409424636,0.40294301393441856
