dataset,problem_type,model,seed,method,representation_id,member,is_reference,multiplier,learning_rate,validation_task_error,test_task_error,fit_seconds
credit-g,classification,controlled_mlp,2,BlockAdam+DataInit,orthogonal_all__m3,3,False,2.0,0.002,0.47369569139267476,0.5095050964701103,0.3036258739884943
credit-g,classification,controlled_mlp,2,BlockAdam+DataInit,orthogonal_all__m4,4,False,2.0,0.002,0.4736956890597697,0.5095051055121496,0.19140492589212954
credit-g,classification,controlled_mlp,2,BlockAdam+DataInit,orthogonal_all__m5,5,False,2.0,0.002,0.4736956898474117,0.5095050983207624,0.16320526087656617
credit-g,classification,controlled_mlp,2,BlockAdam+DataInit,orthogonal_all__m6,6,False,2.0,0.002,0.4736956909824892,0.5095051038890734,0.3352578589692712
credit-g,classification,controlled_mlp,2,BlockAdam+DataInit,orthogonal_all__m7,7,False,2.0,0.002,0.473695692232158,0.5095051078258622,0.2755975869949907
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,rbf_reference,-1,True,0.5,0.0005,0.4635952527434316,0.4866832508386085,0.5877025220543146
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,orthogonal_all__m0,0,False,0.5,0.0005,0.4635952499593383,0.48668325623730424,0.47044234396889806
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,orthogonal_all__m1,1,False,0.5,0.0005,0.4635952419056835,0.48668324881862346,0.4728083680383861
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,orthogonal_all__m2,2,False,0.5,0.0005,0.46359524574330574,0.4866832499644849,0.33235130994580686
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,orthogonal_all__m3,3,False,0.5,0.0005,0.46359524555928966,0.4866832483085504,0.4915245280135423
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,orthogonal_all__m4,4,False,0.5,0.0005,0.4635952459014998,0.4866832488708461,0.5155788289848715
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,orthogonal_all__m5,5,False,0.5,0.0005,0.4635952569572564,0.48668325474422935,0.3444006589706987
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,orthogonal_all__m6,6,False,0.5,0.0005,0.46359524188538026,0.4866832525272757,0.47919449699111283
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,orthogonal_all__m7,7,False,0.5,0.0005,0.4635952490947707,0.48668324695193205,0.4057463489007205
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,rbf_reference,-1,True,1.0,0.001,0.46795727571295986,0.512034094375618,0.26706071896478534
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,orthogonal_all__m0,0,False,1.0,0.001,0.46795727252015784,0.5120340989758754,0.37379817804321647
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,orthogonal_all__m1,1,False,1.0,0.001,0.4679572733704864,0.5120340980796201,0.32209908799268305
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,orthogonal_all__m2,2,False,1.0,0.001,0.4679572815213989,0.5120340967305569,0.3370275730267167
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,orthogonal_all__m3,3,False,1.0,0.001,0.4679572726282375,0.5120340949374117,0.3147707700263709
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,orthogonal_all__m4,4,False,1.0,0.001,0.4679572717412702,0.5120340940398009,0.413869904121384
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,orthogonal_all__m5,5,False,1.0,0.001,0.46795727567808704,0.5120340955981739,0.5743979818653315
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,orthogonal_all__m6,6,False,1.0,0.001,0.46795727354691896,0.5120341037556632,0.5952112008817494
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,orthogonal_all__m7,7,False,1.0,0.001,0.46795727371625906,0.5120340902053918,0.4023448450025171
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,rbf_reference,-1,True,2.0,0.002,0.4707134289279432,0.5173900133074373,0.4692204629536718
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,orthogonal_all__m0,0,False,2.0,0.002,0.4707134256993074,0.517390016955689,0.30422952212393284
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,orthogonal_all__m1,1,False,2.0,0.002,0.47071342053574583,0.517390016730389,0.46972530405037105
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,orthogonal_all__m2,2,False,2.0,0.002,0.47071342031605273,0.5173900124279283,0.36637533688917756
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,orthogonal_all__m3,3,False,2.0,0.002,0.4707134264576009,0.5173900138800345,0.4460607098881155
