dataset,problem_type,model,seed,method,track,representation_id,member,is_reference,split,selected_lr_multiplier,selected_learning_rate,task_error,disagreement,fit_seconds
wine-quality-red,regression,tabm_d,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m7,7,False,validation,0.5,0.001,0.6546406925451084,0.005441434346583045,1.3099699600134045
wine-quality-red,regression,tabm_d,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m7,7,False,test,0.5,0.001,0.7569637606760096,0.005644118543539017,1.3099699600134045
wine-quality-red,regression,tabm_d,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,rbf_reference,-1,True,validation,1.0,0.002,0.6844961974617385,0.0,0.5332253419328481
wine-quality-red,regression,tabm_d,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,rbf_reference,-1,True,test,1.0,0.002,0.7730945280620933,0.0,0.5332253419328481
wine-quality-red,regression,tabm_d,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m0,0,False,validation,0.5,0.001,0.685233595167359,0.3596741035074365,0.4087108059320599
wine-quality-red,regression,tabm_d,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m0,0,False,test,0.5,0.001,0.7145280828575125,0.35240756562883085,0.4087108059320599
wine-quality-red,regression,tabm_d,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m1,1,False,validation,0.5,0.001,0.6842235725619121,0.3611934135538995,0.41727671795524657
wine-quality-red,regression,tabm_d,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m1,1,False,test,0.5,0.001,0.7141405354285307,0.35440791623744966,0.41727671795524657
wine-quality-red,regression,tabm_d,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m2,2,False,validation,0.5,0.001,0.6848000909269687,0.36026555047325853,0.3732247359585017
wine-quality-red,regression,tabm_d,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m2,2,False,test,0.5,0.001,0.7140121496546041,0.35258043521147736,0.3732247359585017
wine-quality-red,regression,tabm_d,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m3,3,False,validation,0.5,0.001,0.6846563390340914,0.35942952366609027,0.40593147999607027
wine-quality-red,regression,tabm_d,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m3,3,False,test,0.5,0.001,0.7145485878832949,0.35242377919023804,0.40593147999607027
wine-quality-red,regression,tabm_d,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m4,4,False,validation,0.5,0.001,0.685605103611174,0.35926414308725685,0.3779210790526122
wine-quality-red,regression,tabm_d,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m4,4,False,test,0.5,0.001,0.7145838154674126,0.3529565393153978,0.3779210790526122
wine-quality-red,regression,tabm_d,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m5,5,False,validation,0.5,0.001,0.6843365232230904,0.33398383861034275,0.4154508581850678
wine-quality-red,regression,tabm_d,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m5,5,False,test,0.5,0.001,0.7247904952373936,0.3246495151180098,0.4154508581850678
wine-quality-red,regression,tabm_d,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m6,6,False,validation,0.5,0.001,0.6850834980716677,0.3624011342125828,0.369731874903664
wine-quality-red,regression,tabm_d,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m6,6,False,test,0.5,0.001,0.7143417392401612,0.3541810180610429,0.369731874903664
wine-quality-red,regression,tabm_d,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m7,7,False,validation,1.0,0.002,0.681861855272649,0.06810779019913665,0.514328998979181
wine-quality-red,regression,tabm_d,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m7,7,False,test,1.0,0.002,0.769621019436313,0.07383826249640883,0.514328998979181
