dataset,problem_type,model,seed,method,representation_id,member,is_reference,multiplier,learning_rate,validation_task_error,test_task_error,fit_seconds
house_16H,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m2,2,False,1.0,0.001,39311.64524292049,36118.79219751963,0.7225389659870416
house_16H,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m3,3,False,1.0,0.001,39360.905871765484,35999.78468641403,0.7258744300343096
house_16H,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m4,4,False,1.0,0.001,39306.28909829693,36102.70490368915,0.7338227229192853
house_16H,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m5,5,False,1.0,0.001,39303.639934205596,35919.22279605757,0.662727853981778
house_16H,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m6,6,False,1.0,0.001,39398.18985787985,35721.2644474983,0.7380876271054149
house_16H,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m7,7,False,1.0,0.001,39283.67619897501,36088.006299432476,0.7154979470651597
house_16H,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,rbf_reference,-1,True,2.0,0.002,38652.202668615246,36417.15168994887,0.6735456588212401
house_16H,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m0,0,False,2.0,0.002,38710.29604192528,36421.714346086264,0.7340906749013811
house_16H,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m1,1,False,2.0,0.002,38633.50111509857,36322.67829918737,0.7754466640762985
house_16H,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m2,2,False,2.0,0.002,38643.910544894854,36358.63571518752,0.7530987679492682
house_16H,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m3,3,False,2.0,0.002,38676.49738621435,36342.90389035406,0.7381932139396667
house_16H,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m4,4,False,2.0,0.002,38560.44829019387,36413.77362385857,0.7145151039585471
house_16H,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m5,5,False,2.0,0.002,38647.3121253683,36284.09972079337,0.7186587159521878
house_16H,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m6,6,False,2.0,0.002,38577.156978965904,36374.64355025131,0.7107695508748293
house_16H,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m7,7,False,2.0,0.002,38624.912279385404,36320.12795338216,0.736125947907567
