Scope,Method,Dimension,Parameters,Representation bytes,Precompute/fit seconds,Peak GPU bytes
neural mean,ft_transformer / uniform_ple,32.0,229477.0,,13.782507099376138,175218176.0
neural mean,ft_transformer / unknown_embedding,57.0,241821.8,,37.11787615896513,235454771.2
neural mean,mlp / character_3gram_hash,128.0,174678.33333333334,,13.370153038691369,108838954.66666667
neural mean,mlp / mpe,32.0,119705.70175438597,,344.93247813115994,425968119.01754385
neural mean,mlp / mpe_corrupt_0,32.0,138522.6,,19.95891548905832,98102169.6
neural mean,mlp / mpe_corrupt_1,32.0,131610.6,,16.636436899960973,98753024.0
neural mean,mlp / mpe_corrupt_2,32.0,116711.4,,19.076335323982253,99767449.6
neural mean,mlp / mpe_corrupt_3,32.0,100545.0,,18.179775324308626,100619110.4
neural mean,mlp / mpe_corrupt_4,32.0,139677.44444444444,,17.65333314651313,101632625.77777778
neural mean,mlp / mpe_corrupt_5,32.0,137842.77777777778,,12.882823738907636,101844821.33333333
neural mean,mlp / mpe_corrupt_6,32.0,132590.7142857143,,12.646063416198428,97805970.28571428
neural mean,mlp / mpe_corrupt_7,32.0,170945.0,,12.522432970335808,103364864.0
neural mean,mlp / mpe_corrupt_8,32.0,195457.0,,28.259814599063247,96326246.4
neural mean,mlp / mpe_corrupt_9,32.0,182298.6,,9.245686301542445,95738163.2
neural mean,mlp / mpe_equality,32.0,157588.6923076923,,31.975782204473106,164196155.07692307
neural mean,mlp / nystrom,32.0,137583.3448275862,,59.44331734106159,346497288.82758623
neural mean,mlp / q_ple,32.0,118939.94736842105,,37.3181863854386,198324439.57894737
neural mean,mlp / raw_coordinates,3.0,153089.0,,72.50560158087562,499205120.0
neural mean,mlp / similarity_same_metric,32.0,136438.33333333334,,136.61163381816974,302296021.3333333
neural mean,mlp / similarity_unnormalized,32.0,137822.86666666667,,82.21846024513296,339933405.8666667
neural mean,mlp / uniform_ple,32.0,149324.29411764705,,36.557992812698046,183611241.4117647
neural mean,mlp / unknown_embedding,124.55555555555556,150378.4814814815,,40.73100562642593,491632658.962963
neural mean,resnet / character_3gram_hash,128.0,378987.6666666667,,15.682091459825946,108931541.33333333
neural mean,resnet / mpe,32.0,317324.85185185185,,527.0050052532331,430730979.5555556
neural mean,resnet / mpe_corrupt_0,32.0,260267.66666666666,,7.650280096594037,118025728.0
neural mean,resnet / mpe_corrupt_1,32.0,197547.66666666666,,6.772497422294691,112442282.66666667
neural mean,resnet / mpe_corrupt_2,32.0,357291.6666666667,,6.394728064601723,121645824.0
neural mean,resnet / mpe_corrupt_3,32.0,361729.0,,8.562217152716281,114167040.0
neural mean,resnet / mpe_corrupt_4,32.0,310443.6666666667,,12.40395936195273,114050730.66666667
neural mean,resnet / mpe_corrupt_5,32.0,227755.66666666666,,8.022500303211725,102882901.33333333
neural mean,resnet / mpe_corrupt_6,32.0,301569.0,,8.746992304998761,115412736.0
neural mean,resnet / mpe_corrupt_7,32.0,192001.0,,6.324392451723624,106979328.0
neural mean,resnet / mpe_corrupt_8,32.0,247757.8,,10.229661274173607,104385740.8
neural mean,resnet / mpe_corrupt_9,32.0,263527.4,,7.367227571380015,100043776.0
neural mean,resnet / mpe_equality,32.0,253733.57142857142,,10.644877489257071,109979501.71428572
neural mean,resnet / nystrom,32.0,296373.70588235295,,45.89944044773138,134027866.35294117
neural mean,resnet / q_ple,32.0,305477.92307692306,,10.562078292201011,101433147.07692307
neural mean,resnet / similarity_same_metric,32.0,341894.5652173913,,118.05427163350734,186215691.13043478
neural mean,resnet / similarity_unnormalized,32.0,272199.4,,78.6163888606204,174027264.0
neural mean,resnet / uniform_ple,32.0,296235.6666666667,,7.965511631796187,98964096.0
neural mean,resnet / unknown_embedding,70.93333333333334,204005.26666666666,,46.64225634270762,131088725.33333333
neural mean,tabm / character_3gram_hash,128.0,107632.72727272728,,10.167029007055767,184470621.0909091
neural mean,tabm / mpe,32.0,114342.18867924529,,380.2651139246417,508456370.7169811
neural mean,tabm / mpe_corrupt_0,32.0,85560.0,,14.005541598822068,151145536.0
neural mean,tabm / mpe_corrupt_1,32.0,101210.28571428571,,13.389047030514728,235697664.0
neural mean,tabm / mpe_corrupt_2,32.0,134270.85714285713,,9.0644173961288,216878518.85714287
neural mean,tabm / mpe_corrupt_3,32.0,120081.14285714286,,14.614403397742924,216955684.57142857
neural mean,tabm / mpe_corrupt_4,32.0,142514.66666666666,,11.111958198986637,169006336.0
neural mean,tabm / mpe_corrupt_5,32.0,124594.66666666667,,5.123807694077389,226299050.66666666
neural mean,tabm / mpe_corrupt_6,32.0,147122.66666666666,,5.692276413837033,213956693.33333334
neural mean,tabm / mpe_corrupt_7,32.0,82781.33333333333,,6.111004386006648,152041216.0
neural mean,tabm / mpe_corrupt_8,32.0,151444.8,,10.140870077023283,131189555.2
neural mean,tabm / mpe_corrupt_9,32.0,92264.0,,7.929479550977703,150866304.0
neural mean,tabm / mpe_equality,32.0,130191.11111111111,,29.93462988238402,229913031.1111111
neural mean,tabm / nystrom,32.0,118317.64705882352,,39.97613683125169,297430618.35294116
neural mean,tabm / q_ple,32.0,132333.33333333334,,19.094421333361726,190505002.66666666
neural mean,tabm / similarity_same_metric,32.0,124282.0,,132.1419824773402,330708912.0
neural mean,tabm / similarity_unnormalized,32.0,137907.63636363635,,81.12472320242544,334787281.45454544
neural mean,tabm / uniform_ple,32.0,82925.33333333333,,14.526981448929291,159386240.0
neural mean,tabm / unknown_embedding,68.21428571428571,116385.14285714286,,14.087212489163946,296993828.5714286
