dataset,task,model,seed,representation,top_k,utility_columns,utility_statistics,selected_values,input_features,parameters,width,best_epoch,val_score,test_score,train_seconds,selected_numeric,members,activation,test_loss,test_auc,test_mae
adult,binclass,tabm,1,top1,1,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.008582651031315296},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.003506499821401756},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027499698005552017},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017893877469805152},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008277867058827862}}","{""3"":[0.0],""4"":[0.0]}",352,783888,512,12,0.8595117457392907,0.8607579387015539,8.161256863037124,3;4,16,relu,0.29757131869547776,0.9158237290488807,nan
adult,binclass,tabm,1,top2,2,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.008582651031315296},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.003506499821401756},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027499698005552017},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017893877469805152},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008277867058827862}}","{""3"":[0.0,15024.0],""4"":[0.0,1902.0]}",354,782400,511,12,0.8585905112851221,0.8606350961243167,9.411953721893951,3;4,16,relu,0.29727367708132674,0.916196421077591,nan
adult,binclass,tabm,1,top4,4,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.008582651031315296},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.003506499821401756},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027499698005552017},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017893877469805152},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008277867058827862}}","{""3"":[0.0,15024.0,7688.0,7298.0],""4"":[0.0,1902.0,1977.0,1887.0]}",358,781964,510,7,0.8592046675879011,0.8630305263804434,7.22379331686534,3;4,16,relu,0.2951276026988126,0.9165660707650662,nan
adult,binclass,tabm,1,top8,8,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.008582651031315296},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.003506499821401756},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027499698005552017},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017893877469805152},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008277867058827862}}","{""3"":[0.0,15024.0,7688.0,7298.0,99999.0,3103.0,5178.0,4386.0],""4"":[0.0,1902.0,1977.0,1887.0,1848.0,2415.0,1485.0,1602.0]}",366,783624,509,16,0.8691847075080608,0.8685584423561207,10.106018593069166,3;4,16,relu,0.2833713364238638,0.9234087143944141,nan
adult,binclass,tabm,1,top16,16,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.008582651031315296},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.003506499821401756},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027499698005552017},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017893877469805152},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008277867058827862}}","{""3"":[0.0,15024.0,7688.0,7298.0,99999.0,3103.0,5178.0,4386.0,5013.0,3325.0,2174.0,8614.0,4650.0,4064.0,10520.0,3137.0],""4"":[0.0,1902.0,1977.0,1887.0,1848.0,2415.0,1485.0,1602.0,1590.0,1876.0,1740.0,1672.0,1669.0,1719.0,1741.0,1564.0]}",382,781808,505,14,0.8679563949025026,0.8691112339536884,9.663757045054808,3;4,16,relu,0.28041727068133926,0.9252062571445359,nan
adult,binclass,tabm,1,top32,32,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.008582651031315296},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.003506499821401756},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027499698005552017},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017893877469805152},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008277867058827862}}","{""3"":[0.0,15024.0,7688.0,7298.0,99999.0,3103.0,5178.0,4386.0,5013.0,3325.0,2174.0,8614.0,4650.0,4064.0,10520.0,3137.0,27828.0,594.0,14084.0,20051.0,2829.0,3908.0,13550.0,1055.0,6849.0,14344.0,2176.0,3464.0,4787.0,2885.0,9386.0,2597.0],""4"":[0.0,1902.0,1977.0,1887.0,1848.0,2415.0,1485.0,1602.0,1590.0,1876.0,1740.0,1672.0,1669.0,1719.0,1741.0,1564.0,1980.0,1408.0,1579.0,2001.0,2258.0,2051.0,1974.0,2179.0,1504.0,2002.0,2339.0,2377.0,1721.0,1628.0,1762.0,2559.0]}",414,783084,499,12,0.8676493167511131,0.8697868681284934,9.269180924165994,3;4,16,relu,0.27891046968852956,0.9260874069864282,nan
adult,binclass,tabm,1,top64,64,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.008582651031315296},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.003506499821401756},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027499698005552017},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017893877469805152},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008277867058827862}}","{""3"":[0.0,15024.0,7688.0,7298.0,99999.0,3103.0,5178.0,4386.0,5013.0,3325.0,2174.0,8614.0,4650.0,4064.0,10520.0,3137.0,27828.0,594.0,14084.0,20051.0,2829.0,3908.0,13550.0,1055.0,6849.0,14344.0,2176.0,3464.0,4787.0,2885.0,9386.0,2597.0,3411.0,2407.0,1506.0,3674.0,4101.0,4865.0,2202.0,3781.0,3942.0,4416.0,2463.0,2635.0,2907.0,6497.0,2105.0,2354.0,2964.0,5455.0,7430.0,10605.0,914.0,1151.0,2580.0,2977.0,3471.0,4508.0,25236.0,1797.0,1831.0,4934.0,6418.0,3273.0],""4"":[0.0,1902.0,1977.0,1887.0,1848.0,2415.0,1485.0,1602.0,1590.0,1876.0,1740.0,1672.0,1669.0,1719.0,1741.0,1564.0,1980.0,1408.0,1579.0,2001.0,2258.0,2051.0,1974.0,2179.0,1504.0,2002.0,2339.0,2377.0,1721.0,1628.0,1762.0,2559.0,625.0,2444.0,2824.0,1617.0,1651.0,1340.0,2042.0,2205.0,1594.0,2392.0,880.0,1092.0,1380.0,1573.0,2174.0,2206.0,2246.0,2603.0,653.0,1258.0,1668.0,1726.0,1825.0,2231.0,2267.0,2547.0,213.0,323.0,419.0,810.0,1138.0,1735.0]}",478,782348,486,16,0.8701059419622293,0.8727350899821879,9.86197690689005,3;4,16,relu,0.2760229688566784,0.9276258489020703,nan
adult,binclass,tabm,1,full,-1,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.008582651031315296},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.003506499821401756},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027499698005552017},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017893877469805152},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008277867058827862}}",{},554,783904,472,14,0.8707200982650084,0.8723051409618574,9.723772506928071,3;4,16,relu,0.27358041762524127,0.9289210603406043,nan
adult,binclass,tabm,2,baseline_ple,0,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.011281832465863456},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0031689214969852024},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.02864447414772803},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017997842925303553},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008444663721890079}}",{},350,782832,512,9,0.8590511285122063,0.8631533689576807,7.3668300630524755,,16,relu,0.2984640528618477,0.915183279627124,nan
adult,binclass,tabm,2,top1,1,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.011281832465863456},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0031689214969852024},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.02864447414772803},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017997842925303553},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008444663721890079}}","{""3"":[0.0],""4"":[0.0]}",352,783888,512,9,0.860586519269154,0.8621092070511639,7.117656297981739,3;4,16,relu,0.2985864865391545,0.9150807286814996,nan
adult,binclass,tabm,2,top2,2,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.011281832465863456},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0031689214969852024},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.02864447414772803},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017997842925303553},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008444663721890079}}","{""3"":[0.0,15024.0],""4"":[0.0,1902.0]}",354,782400,511,11,0.8622754491017964,0.8630305263804434,7.991265259915963,3;4,16,relu,0.2980613202168547,0.9158348633905147,nan
adult,binclass,tabm,2,top4,4,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.011281832465863456},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0031689214969852024},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.02864447414772803},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017997842925303553},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008444663721890079}}","{""3"":[0.0,15024.0,7688.0,7298.0],""4"":[0.0,1902.0,1977.0,1887.0]}",358,781964,510,9,0.8602794411177644,0.8624777347828757,7.283433011034504,3;4,16,relu,0.29708177712039,0.9152250360219476,nan
adult,binclass,tabm,2,top8,8,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.011281832465863456},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0031689214969852024},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.02864447414772803},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017997842925303553},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008444663721890079}}","{""3"":[0.0,15024.0,7688.0,7298.0,99999.0,3103.0,5178.0,4386.0],""4"":[0.0,1902.0,1977.0,1887.0,1848.0,2415.0,1485.0,1602.0]}",366,783624,509,9,0.8687240902809765,0.8693569191081629,7.369255596073344,3;4,16,relu,0.2845231961494599,0.9224952279152687,nan
adult,binclass,tabm,2,top16,16,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.011281832465863456},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0031689214969852024},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.02864447414772803},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017997842925303553},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008444663721890079}}","{""3"":[0.0,15024.0,7688.0,7298.0,99999.0,3103.0,5178.0,4386.0,5013.0,3325.0,2174.0,8614.0,4650.0,4064.0,10520.0,3137.0],""4"":[0.0,1902.0,1977.0,1887.0,1848.0,2415.0,1485.0,1602.0,1590.0,1876.0,1740.0,1672.0,1669.0,1719.0,1741.0,1564.0]}",382,781808,505,9,0.8697988638108398,0.8708924513236288,6.943435358116403,3;4,16,relu,0.28116447716477805,0.9247090800399207,nan
adult,binclass,tabm,2,top32,32,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.011281832465863456},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0031689214969852024},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.02864447414772803},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017997842925303553},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008444663721890079}}","{""3"":[0.0,15024.0,7688.0,7298.0,99999.0,3103.0,5178.0,4386.0,5013.0,3325.0,2174.0,8614.0,4650.0,4064.0,10520.0,3137.0,27828.0,594.0,14084.0,20051.0,2829.0,3908.0,13550.0,1055.0,6849.0,14344.0,2176.0,3464.0,4787.0,2885.0,9386.0,2597.0],""4"":[0.0,1902.0,1977.0,1887.0,1848.0,2415.0,1485.0,1602.0,1590.0,1876.0,1740.0,1672.0,1669.0,1719.0,1741.0,1564.0,1980.0,1408.0,1579.0,2001.0,2258.0,2051.0,1974.0,2179.0,1504.0,2002.0,2339.0,2377.0,1721.0,1628.0,1762.0,2559.0]}",414,783084,499,9,0.8707200982650084,0.8713838216325779,7.471571221016347,3;4,16,relu,0.2788786078724605,0.9260276160945917,nan
adult,binclass,tabm,2,top64,64,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.011281832465863456},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0031689214969852024},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.02864447414772803},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017997842925303553},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008444663721890079}}","{""3"":[0.0,15024.0,7688.0,7298.0,99999.0,3103.0,5178.0,4386.0,5013.0,3325.0,2174.0,8614.0,4650.0,4064.0,10520.0,3137.0,27828.0,594.0,14084.0,20051.0,2829.0,3908.0,13550.0,1055.0,6849.0,14344.0,2176.0,3464.0,4787.0,2885.0,9386.0,2597.0,3411.0,2407.0,1506.0,3674.0,4101.0,4865.0,2202.0,3781.0,3942.0,4416.0,2463.0,2635.0,2907.0,6497.0,2105.0,2354.0,2964.0,5455.0,7430.0,10605.0,914.0,1151.0,2580.0,2977.0,3471.0,4508.0,25236.0,1797.0,1831.0,4934.0,6418.0,3273.0],""4"":[0.0,1902.0,1977.0,1887.0,1848.0,2415.0,1485.0,1602.0,1590.0,1876.0,1740.0,1672.0,1669.0,1719.0,1741.0,1564.0,1980.0,1408.0,1579.0,2001.0,2258.0,2051.0,1974.0,2179.0,1504.0,2002.0,2339.0,2377.0,1721.0,1628.0,1762.0,2559.0,625.0,2444.0,2824.0,1617.0,1651.0,1340.0,2042.0,2205.0,1594.0,2392.0,880.0,1092.0,1380.0,1573.0,2174.0,2206.0,2246.0,2603.0,653.0,1258.0,1668.0,1726.0,1825.0,2231.0,2267.0,2547.0,213.0,323.0,419.0,810.0,1138.0,1735.0]}",478,782348,486,9,0.8711807154920927,0.873042196425281,7.234001689124852,3;4,16,relu,0.27643577166688715,0.9271443644235515,nan
adult,binclass,tabm,2,full,-1,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.011281832465863456},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0031689214969852024},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.02864447414772803},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017997842925303553},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008444663721890079}}",{},554,783904,472,9,0.8727161062490404,0.8733493028683742,7.471591383917257,3;4,16,relu,0.27480347028812424,0.9277950072566633,nan
