model,seed,representation,profile,bucket,rows,accuracy,logloss
tabm,1,utility_identity,capital_gain,1-9,191,0.9790575916230366,0.05133843829022951
tabm,1,utility_identity,capital_gain,10-99,629,0.9872813990461049,0.039624883222251016
tabm,1,utility_identity,capital_gain,100-999,495,1.0,0.00022410189039382506
tabm,1,utility_identity,capital_gain,1000+,14958,0.8619467843294558,0.2950800337025143
tabm,1,utility_identity,capital_loss,unseen,12,0.9166666666666666,0.2087820700796684
tabm,1,utility_identity,capital_loss,1-9,127,0.9448818897637795,0.14723682352829115
tabm,1,utility_identity,capital_loss,10-99,363,0.9393939393939394,0.11845244258821525
tabm,1,utility_identity,capital_loss,100-999,261,0.9846743295019157,0.059249597830514165
tabm,1,utility_identity,capital_loss,1000+,15518,0.8682175538084804,0.28189817864636024
tabm,1,utility_identity,minimum_selected_frequency,unseen,20,0.85,0.4010198189662611
tabm,1,utility_identity,minimum_selected_frequency,1-9,318,0.9654088050314465,0.08963747893561891
tabm,1,utility_identity,minimum_selected_frequency,10-99,992,0.969758064516129,0.06847004859507866
tabm,1,utility_identity,minimum_selected_frequency,100-999,756,0.9947089947089947,0.020601951679244897
tabm,1,utility_identity,minimum_selected_frequency,1000+,14195,0.8569214512152167,0.30532865804859977
tabm,2,baseline_ple,capital_gain,unseen,8,0.75,0.5458500905914618
tabm,2,baseline_ple,capital_gain,1-9,191,0.9109947643979057,0.26766489205918625
tabm,2,baseline_ple,capital_gain,10-99,629,0.8108108108108109,0.3727804562622536
tabm,2,baseline_ple,capital_gain,100-999,495,0.9959595959595959,0.023514159087369767
tabm,2,baseline_ple,capital_gain,1000+,14958,0.8604091456077015,0.30469875877781116
tabm,2,baseline_ple,capital_loss,unseen,12,0.9166666666666666,0.24964400198539496
tabm,2,baseline_ple,capital_loss,1-9,127,0.8110236220472441,0.45335892925875937
tabm,2,baseline_ple,capital_loss,10-99,363,0.8347107438016529,0.40448221233966564
tabm,2,baseline_ple,capital_loss,100-999,261,0.9616858237547893,0.14296569142767873
tabm,2,baseline_ple,capital_loss,1000+,15518,0.8625467199381364,0.2973694963308502
tabm,2,baseline_ple,minimum_selected_frequency,unseen,20,0.85,0.3681264374278217
tabm,2,baseline_ple,minimum_selected_frequency,1-9,318,0.8710691823899371,0.3418257182363742
tabm,2,baseline_ple,minimum_selected_frequency,10-99,992,0.8195564516129032,0.3843809980526775
tabm,2,baseline_ple,minimum_selected_frequency,100-999,756,0.9841269841269841,0.06475337858580978
tabm,2,baseline_ple,minimum_selected_frequency,1000+,14195,0.8595984501585066,0.3038373112516302
tabm,2,utility_identity,capital_gain,unseen,8,0.75,0.64620187409824
tabm,2,utility_identity,capital_gain,1-9,191,0.9685863874345549,0.08131184041003965
tabm,2,utility_identity,capital_gain,10-99,629,0.9841017488076311,0.04432389086877184
tabm,2,utility_identity,capital_gain,100-999,495,1.0,0.0016929690932173125
tabm,2,utility_identity,capital_gain,1000+,14958,0.8633507153362749,0.2958054135708148
tabm,2,utility_identity,capital_loss,unseen,12,0.9166666666666666,0.22242743451353478
tabm,2,utility_identity,capital_loss,1-9,127,0.9212598425196851,0.21924665637219634
tabm,2,utility_identity,capital_loss,10-99,363,0.953168044077135,0.11175227395240137
tabm,2,utility_identity,capital_loss,100-999,261,0.9731800766283525,0.07732580985956154
tabm,2,utility_identity,capital_loss,1000+,15518,0.8693774971001418,0.2824341882568277
tabm,2,utility_identity,minimum_selected_frequency,unseen,20,0.85,0.3919372103474169
tabm,2,utility_identity,minimum_selected_frequency,1-9,318,0.949685534591195,0.13639901533832235
tabm,2,utility_identity,minimum_selected_frequency,10-99,992,0.9727822580645161,0.06899778508183385
tabm,2,utility_identity,minimum_selected_frequency,100-999,756,0.9907407407407407,0.027804306976836154
tabm,2,utility_identity,minimum_selected_frequency,1000+,14195,0.8584712927087003,0.3052762106235116
