stage,split_seed,model_seed,configuration,selected_columns,selected_features,mode_values,input_features,parameters,width,best_epoch,val_score,test_score,train_seconds,selected_numeric,members,model,activation
attribution,-1,2,identity_without_capital_gain,4;5,capital_loss;hours_per_week,,531,1316318,373,5,0.8619683709504069,0.8617406793194521,6.171451282920316,4;5,,resnet,gelu
attribution,-1,2,identity_without_capital_loss,3;5,capital_gain;hours_per_week,,559,1320229,372,9,0.8628896054045755,0.867821386892697,7.088534976821393,3;5,,resnet,gelu
attribution,-1,2,identity_without_hours_per_week,3;4,capital_gain;capital_loss,,554,1318369,372,16,0.8693382465837556,0.8714452429211965,9.300269621890038,3;4,,resnet,gelu
attribution,-1,2,identity_all_three,3;4;5,capital_gain;capital_loss;hours_per_week,,647,1320100,367,8,0.8679563949025026,0.8726122474049506,7.112311589065939,3;4;5,,resnet,gelu
attribution,-1,2,mode_indicators,3;4;5,capital_gain;capital_loss;hours_per_week,0;0;40,353,1320577,384,16,0.8604329801934593,0.8622320496284012,8.60896328696981,3;4;5,,resnet,gelu
attribution,-1,3,baseline_ple,,,,350,1319425,384,13,0.8576692768309535,0.858731036177139,7.6075691289734095,,,resnet,gelu
attribution,-1,3,identity_capital_gain,3,capital_gain,,466,1317993,377,12,0.8653462306156917,0.8697254468398747,7.395100561203435,3,,resnet,gelu
attribution,-1,3,identity_capital_loss,4,capital_loss,,438,1320437,379,13,0.8628896054045755,0.8620477857625453,9.042329511139542,4,,resnet,gelu
attribution,-1,3,identity_hours_per_week,5,hours_per_week,,443,1322332,379,12,0.8562874251497006,0.8603894109698421,8.696536038070917,5,,resnet,gelu
attribution,-1,3,identity_without_capital_gain,4;5,capital_loss;hours_per_week,,531,1316318,373,13,0.862582527253186,0.8608807812787912,9.535728418966755,4;5,,resnet,gelu
attribution,-1,3,identity_without_capital_loss,3;5,capital_gain;hours_per_week,,559,1320229,372,12,0.8671886995240289,0.8694797616854002,9.253115173894912,3;5,,resnet,gelu
attribution,-1,3,identity_without_hours_per_week,3;4,capital_gain;capital_loss,,554,1318369,372,12,0.8714877936434823,0.8739635157545605,9.20973710110411,3;4,,resnet,gelu
attribution,-1,3,identity_all_three,3;4;5,capital_gain;capital_loss;hours_per_week,,647,1320100,367,12,0.8696453247351451,0.873042196425281,9.325419688830152,3;4;5,,resnet,gelu
attribution,-1,3,mode_indicators,3;4;5,capital_gain;capital_loss;hours_per_week,0;0;40,353,1320577,384,13,0.8582834331337326,0.8576868742706222,9.174549971008673,3;4;5,,resnet,gelu
attribution,-1,4,baseline_ple,,,,350,1319425,384,18,0.8615077537233226,0.8596523555064185,10.642271643038839,,,resnet,gelu
attribution,-1,4,identity_capital_gain,3,capital_gain,,466,1317993,377,17,0.8651926915399969,0.8660401695227566,10.802702642045915,3,,resnet,gelu
attribution,-1,4,identity_capital_loss,4,capital_loss,,438,1320437,379,18,0.8618148318747121,0.8620477857625453,10.403915015049279,4,,resnet,gelu
attribution,-1,4,identity_hours_per_week,5,hours_per_week,,443,1322332,379,14,0.8590511285122063,0.8583625084454272,9.830168460961431,5,,resnet,gelu
attribution,-1,4,identity_without_capital_gain,4;5,capital_loss;hours_per_week,,531,1316318,373,14,0.8630431444802702,0.861924943185308,9.17843007016927,4;5,,resnet,gelu
attribution,-1,4,identity_without_capital_loss,3;5,capital_gain;hours_per_week,,559,1320229,372,7,0.8659603869184708,0.8690498126650698,6.767241231165826,3;5,,resnet,gelu
attribution,-1,4,identity_without_hours_per_week,3;4,capital_gain;capital_loss,,554,1318369,372,14,0.8707200982650084,0.8729193538480438,10.018880754942074,3;4,,resnet,gelu
attribution,-1,4,identity_all_three,3;4;5,capital_gain;capital_loss;hours_per_week,,647,1320100,367,14,0.8697988638108398,0.8717523493642897,10.14874548302032,3;4;5,,resnet,gelu
attribution,-1,4,mode_indicators,3;4;5,capital_gain;capital_loss;hours_per_week,0;0;40,353,1320577,384,18,0.8616612927990174,0.858731036177139,10.952252554008737,3;4;5,,resnet,gelu
