model,seed,representation,profile,bucket,rows,accuracy,logloss
resnet,0,utility_identity,capital_loss,unseen,12,0.9166666666666666,0.5428684092499477
resnet,0,utility_identity,capital_loss,1-9,127,0.9448818897637795,0.1623832226753195
resnet,0,utility_identity,capital_loss,10-99,363,0.9476584022038568,0.1051226469419401
resnet,0,utility_identity,capital_loss,100-999,261,0.9731800766283525,0.08152800114920128
resnet,0,utility_identity,capital_loss,1000+,15518,0.868410877690424,0.28720138861339967
resnet,0,utility_identity,minimum_selected_frequency,unseen,20,0.85,0.9024390869296186
resnet,0,utility_identity,minimum_selected_frequency,1-9,318,0.9654088050314465,0.1049456557972779
resnet,0,utility_identity,minimum_selected_frequency,10-99,992,0.967741935483871,0.07607668071822274
resnet,0,utility_identity,minimum_selected_frequency,100-999,756,0.9907407407407407,0.02895912416678604
resnet,0,utility_identity,minimum_selected_frequency,1000+,14195,0.8574850299401198,0.3095867490249153
mlp,1,baseline_ple,capital_gain,unseen,8,0.75,0.3475769321981538
mlp,1,baseline_ple,capital_gain,1-9,191,0.900523560209424,0.3148535188966127
mlp,1,baseline_ple,capital_gain,10-99,629,0.8060413354531002,0.3875224342385402
mlp,1,baseline_ple,capital_gain,100-999,495,1.0,0.006898673911341106
mlp,1,baseline_ple,capital_gain,1000+,14958,0.8549939831528279,0.30833851979016325
mlp,1,baseline_ple,capital_loss,unseen,12,0.9166666666666666,0.24454654242779428
mlp,1,baseline_ple,capital_loss,1-9,127,0.7716535433070866,0.44571130095316785
mlp,1,baseline_ple,capital_loss,10-99,363,0.8181818181818182,0.4204216704535094
mlp,1,baseline_ple,capital_loss,100-999,261,0.9386973180076629,0.18000746092648529
mlp,1,baseline_ple,capital_loss,1000+,15518,0.858229153241397,0.3004947005995382
mlp,1,baseline_ple,minimum_selected_frequency,unseen,20,0.85,0.28575869833593803
mlp,1,baseline_ple,minimum_selected_frequency,1-9,318,0.8490566037735849,0.3671143312273753
mlp,1,baseline_ple,minimum_selected_frequency,10-99,992,0.8104838709677419,0.39956116684542914
mlp,1,baseline_ple,minimum_selected_frequency,100-999,756,0.9788359788359788,0.06666242180942658
mlp,1,baseline_ple,minimum_selected_frequency,1000+,14195,0.8550898203592814,0.3066567574226587
mlp,1,utility_identity,capital_gain,unseen,8,0.75,0.9584550778810369
mlp,1,utility_identity,capital_gain,1-9,191,0.9528795811518325,0.11392477364376435
mlp,1,utility_identity,capital_gain,10-99,629,0.9777424483306836,0.06693153079402103
mlp,1,utility_identity,capital_gain,100-999,495,1.0,0.0035959261719265764
mlp,1,utility_identity,capital_gain,1000+,14958,0.862080492044391,0.2976798337765091
mlp,1,utility_identity,capital_loss,unseen,12,0.9166666666666666,0.31535743607687344
mlp,1,utility_identity,capital_loss,1-9,127,0.9291338582677166,0.22730474594345573
mlp,1,utility_identity,capital_loss,10-99,363,0.9393939393939394,0.14274455615702455
mlp,1,utility_identity,capital_loss,100-999,261,0.9808429118773946,0.07377013955937074
mlp,1,utility_identity,capital_loss,1000+,15518,0.8678309060445933,0.28497743717391644
mlp,1,utility_identity,minimum_selected_frequency,unseen,20,0.85,0.5725964927985387
mlp,1,utility_identity,minimum_selected_frequency,1-9,318,0.9433962264150944,0.15920545440496187
mlp,1,utility_identity,minimum_selected_frequency,10-99,992,0.9637096774193549,0.09467359551858784
mlp,1,utility_identity,minimum_selected_frequency,100-999,756,0.9933862433862434,0.027822737936639443
mlp,1,utility_identity,minimum_selected_frequency,1000+,14195,0.8572736879182811,0.3063735597993157
resnet,1,baseline_ple,capital_gain,unseen,8,0.75,0.5240569468799551
resnet,1,baseline_ple,capital_gain,1-9,191,0.9162303664921466,0.2737118287922167
resnet,1,baseline_ple,capital_gain,10-99,629,0.8155802861685215,0.37844902105666756
resnet,1,baseline_ple,capital_gain,100-999,495,0.997979797979798,0.015488081969790131
resnet,1,baseline_ple,capital_gain,1000+,14958,0.8572670143067255,0.3097247568689507
resnet,1,baseline_ple,capital_loss,unseen,12,0.9166666666666666,0.27856765864320343
resnet,1,baseline_ple,capital_loss,1-9,127,0.84251968503937,0.4206508745658511
resnet,1,baseline_ple,capital_loss,10-99,363,0.8071625344352618,0.4357814215650806
resnet,1,baseline_ple,capital_loss,100-999,261,0.9578544061302682,0.13216377596107376
resnet,1,baseline_ple,capital_loss,1000+,15518,0.860291274648795,0.3019459007869739
resnet,1,baseline_ple,minimum_selected_frequency,unseen,20,0.85,0.3767633739379041
resnet,1,baseline_ple,minimum_selected_frequency,1-9,318,0.8867924528301887,0.3323950326074732
resnet,1,baseline_ple,minimum_selected_frequency,10-99,992,0.8125,0.39942851842012916
resnet,1,baseline_ple,minimum_selected_frequency,100-999,756,0.9841269841269841,0.05576897632392377
resnet,1,baseline_ple,minimum_selected_frequency,1000+,14195,0.8567805565339909,0.30879986183291425
resnet,1,utility_identity,capital_gain,unseen,8,0.75,1.3800603961461302
resnet,1,utility_identity,capital_gain,1-9,191,0.9790575916230366,0.06956564726003285
resnet,1,utility_identity,capital_gain,10-99,629,0.9872813990461049,0.03832452419855005
resnet,1,utility_identity,capital_gain,100-999,495,1.0,0.0010745435480471438
resnet,1,utility_identity,capital_gain,1000+,14958,0.862548469046664,0.29819836189575616
resnet,1,utility_identity,capital_loss,unseen,12,0.9166666666666666,0.5680341128964562
resnet,1,utility_identity,capital_loss,1-9,127,0.9606299212598425,0.13708082883765355
resnet,1,utility_identity,capital_loss,10-99,363,0.953168044077135,0.13414833609194093
resnet,1,utility_identity,capital_loss,100-999,261,0.9731800766283525,0.08973227576021944
resnet,1,utility_identity,capital_loss,1000+,15518,0.8685397602783864,0.28438426338560363
resnet,1,utility_identity,minimum_selected_frequency,unseen,20,0.85,0.8928446261963255
resnet,1,utility_identity,minimum_selected_frequency,1-9,318,0.9716981132075472,0.09652925751273042
resnet,1,utility_identity,minimum_selected_frequency,10-99,992,0.9747983870967742,0.07338908439744207
resnet,1,utility_identity,minimum_selected_frequency,100-999,756,0.9907407407407407,0.03168257014510663
resnet,1,utility_identity,minimum_selected_frequency,1000+,14195,0.8572736879182811,0.30743990508240865
mlp,2,baseline_ple,capital_gain,unseen,8,0.75,0.4187636537706351
mlp,2,baseline_ple,capital_gain,1-9,191,0.8952879581151832,0.2742960174767491
mlp,2,baseline_ple,capital_gain,10-99,629,0.794912559618442,0.395432188384841
mlp,2,baseline_ple,capital_gain,100-999,495,0.9939393939393939,0.04655968105218002
mlp,2,baseline_ple,capital_gain,1000+,14958,0.8563979141596471,0.3081185799856683
mlp,2,baseline_ple,capital_loss,unseen,12,0.9166666666666666,0.24847568618184848
mlp,2,baseline_ple,capital_loss,1-9,127,0.7795275590551181,0.47892674697588666
mlp,2,baseline_ple,capital_loss,10-99,363,0.8071625344352618,0.44204674358631274
mlp,2,baseline_ple,capital_loss,100-999,261,0.9386973180076629,0.18048015842611922
mlp,2,baseline_ple,capital_loss,1000+,15518,0.8590668900631525,0.3006172549450687
mlp,2,baseline_ple,minimum_selected_frequency,unseen,20,0.85,0.3165908732173632
mlp,2,baseline_ple,minimum_selected_frequency,1-9,318,0.8490566037735849,0.35601961070439203
mlp,2,baseline_ple,minimum_selected_frequency,10-99,992,0.7993951612903226,0.41248973227408925
mlp,2,baseline_ple,minimum_selected_frequency,100-999,756,0.9748677248677249,0.09279413157413524
mlp,2,baseline_ple,minimum_selected_frequency,1000+,14195,0.8567805565339909,0.3055628055691763
mlp,2,utility_identity,capital_gain,unseen,8,0.75,1.2874932181626964
mlp,2,utility_identity,capital_gain,1-9,191,0.9476439790575916,0.10738726795865608
mlp,2,utility_identity,capital_gain,10-99,629,0.9825119236883942,0.07597105187796889
mlp,2,utility_identity,capital_gain,100-999,495,0.997979797979798,0.00443323274519305
mlp,2,utility_identity,capital_gain,1000+,14958,0.8621473459018585,0.2981462612323518
mlp,2,utility_identity,capital_loss,unseen,12,0.9166666666666666,0.2697820326518653
mlp,2,utility_identity,capital_loss,1-9,127,0.937007874015748,0.253067612871502
mlp,2,utility_identity,capital_loss,10-99,363,0.9504132231404959,0.1314700331021618
mlp,2,utility_identity,capital_loss,100-999,261,0.9655172413793104,0.09671494262086457
mlp,2,utility_identity,capital_loss,1000+,15518,0.8678953473385745,0.28561153099706155
mlp,2,utility_identity,minimum_selected_frequency,unseen,20,0.85,0.6768665068561976
mlp,2,utility_identity,minimum_selected_frequency,1-9,318,0.9433962264150944,0.16556778306535871
mlp,2,utility_identity,minimum_selected_frequency,10-99,992,0.9707661290322581,0.09627965085416046
mlp,2,utility_identity,minimum_selected_frequency,100-999,756,0.9867724867724867,0.03629239448798441
mlp,2,utility_identity,minimum_selected_frequency,1000+,14195,0.8572736879182811,0.3065395267521581
resnet,2,baseline_ple,capital_gain,unseen,8,0.75,0.4425453649591916
resnet,2,baseline_ple,capital_gain,1-9,191,0.900523560209424,0.2790833443834
resnet,2,baseline_ple,capital_gain,10-99,629,0.7980922098569158,0.3755882396097767
resnet,2,baseline_ple,capital_gain,100-999,495,0.997979797979798,0.014327472933475869
resnet,2,baseline_ple,capital_gain,1000+,14958,0.8557293755849713,0.30804499314139866
resnet,2,baseline_ple,capital_loss,unseen,12,0.9166666666666666,0.293617340887656
resnet,2,baseline_ple,capital_loss,1-9,127,0.8582677165354331,0.4222073679122474
resnet,2,baseline_ple,capital_loss,10-99,363,0.8236914600550964,0.415251234773567
resnet,2,baseline_ple,capital_loss,100-999,261,0.9616858237547893,0.14119678259487084
resnet,2,baseline_ple,capital_loss,1000+,15518,0.8573269751256605,0.3005018100674695
resnet,2,baseline_ple,minimum_selected_frequency,unseen,20,0.85,0.3531885505162703
resnet,2,baseline_ple,minimum_selected_frequency,1-9,318,0.8836477987421384,0.3362429386858013
resnet,2,baseline_ple,minimum_selected_frequency,10-99,992,0.8074596774193549,0.39010201707394593
resnet,2,baseline_ple,minimum_selected_frequency,100-999,756,0.9854497354497355,0.05812759174514794
resnet,2,baseline_ple,minimum_selected_frequency,1000+,14195,0.8545262416343783,0.3073620785567783
resnet,2,utility_identity,capital_gain,unseen,8,0.75,1.0218962110887286
resnet,2,utility_identity,capital_gain,1-9,191,0.9685863874345549,0.08969958765539761
resnet,2,utility_identity,capital_gain,10-99,629,0.9841017488076311,0.04729740414568262
resnet,2,utility_identity,capital_gain,100-999,495,1.0,0.0028643300732919433
resnet,2,utility_identity,capital_gain,1000+,14958,0.8612782457547801,0.2993986723925648
resnet,2,utility_identity,capital_loss,unseen,12,0.9166666666666666,0.3744146903570824
resnet,2,utility_identity,capital_loss,1-9,127,0.9291338582677166,0.23080716737343765
resnet,2,utility_identity,capital_loss,10-99,363,0.9393939393939394,0.1299807060132606
resnet,2,utility_identity,capital_loss,100-999,261,0.9731800766283525,0.10862266259871362
resnet,2,utility_identity,capital_loss,1000+,15518,0.8676375821626499,0.28518765597441675
resnet,2,utility_identity,minimum_selected_frequency,unseen,20,0.85,0.6334072986497409
resnet,2,utility_identity,minimum_selected_frequency,1-9,318,0.9528301886792453,0.1460538726371306
resnet,2,utility_identity,minimum_selected_frequency,10-99,992,0.967741935483871,0.07755349142182254
resnet,2,utility_identity,minimum_selected_frequency,100-999,756,0.9907407407407407,0.03937613534992562
resnet,2,utility_identity,minimum_selected_frequency,1000+,14195,0.8565692145121522,0.3077891048880728
