dataset,task,model,representation,runs,test_mean,test_std,primary_gain_mean,primary_gain_std,loss_gain_pct_mean,loss_gain_pct_std,wins,mean_parameters,mean_seconds,selected_columns
churn,binclass,resnet,variance_identity,3,0.8521666666666666,0.002896357866163793,0.13333333333333344,0.2778888666755547,0.12129730675920625,1.0303797566082187,2,1389661.0,2.891727262875065,1:3
churn,binclass,tabm,all_identity,3,0.8553333333333334,0.0014337208778404176,-0.150000000000002,0.2857738033247018,0.6540572956659316,0.621334419345175,1,879888.0,2.615063303305457,1;2;4:3
churn,binclass,tabm,baseline_ple,3,0.8568333333333333,0.0020548046676563273,0.0,0.0,0.0,0.0,0,881040.0,3.390442124955977,-:3
churn,binclass,tabm,utility_identity,3,0.8568333333333333,0.0020548046676563273,0.0,0.0,0.0,0.0,0,881040.0,3.200336711636434,-:3
churn,binclass,tabm,utility_top8,3,0.8568333333333333,0.0020548046676563273,0.0,0.0,0.0,0.0,0,881040.0,4.38850577462775,-:3
churn,binclass,tabm,variance_identity,3,0.8563333333333333,0.002013840995599082,-0.0500000000000019,0.25495097567964015,1.0274415715624134,0.8676819969628298,1,880419.0,2.649617668318873,1:3
diamond,regression,mlp,all_identity,3,0.1371222287416458,0.001085691415012128,0.37914013579210976,1.1817812667416325,0.7428779393685984,2.3458466006085623,1,507838.0,19.010330361314118,2:3
diamond,regression,mlp,baseline_ple,3,0.1376567035913467,0.001402809220940259,0.0,0.0,0.0,0.0,0,508801.0,13.670968539236734,-:3
diamond,regression,mlp,utility_identity,3,0.1376567035913467,0.001402809220940259,0.0,0.0,0.0,0.0,0,508801.0,12.668366003315896,-:3
diamond,regression,mlp,utility_top8,3,0.1376567035913467,0.001402809220940259,0.0,0.0,0.0,0.0,0,508801.0,12.424349758385992,-:3
diamond,regression,mlp,variance_identity,3,0.1371222287416458,0.001085691415012128,0.37914013579210976,1.1817812667416325,0.7428779393685984,2.3458466006085623,1,507838.0,17.5430540360976,2:3
diamond,regression,resnet,all_identity,3,0.1373048623402913,0.00301253978137384,-1.4113025485635795,2.3462516888667975,-2.897569072881641,4.723590939403055,1,1394524.0,24.8248155520608,2:3
diamond,regression,resnet,baseline_ple,3,0.1353984822829564,0.00042225239454778514,0.0,0.0,0.0,0.0,0,1397377.0,33.94457192571523,-:3
diamond,regression,resnet,utility_identity,3,0.1353984822829564,0.00042225239454778514,0.0,0.0,0.0,0.0,0,1397377.0,37.08828209262962,-:3
diamond,regression,resnet,utility_top8,3,0.1353984822829564,0.00042225239454778514,0.0,0.0,0.0,0.0,0,1397377.0,34.64526270492934,-:3
diamond,regression,resnet,variance_identity,3,0.1373048623402913,0.00301253978137384,-1.4113025485635795,2.3462516888667975,-2.897569072881641,4.723590939403055,1,1394524.0,25.0331038760487,2:3
diamond,regression,tabm,all_identity,3,0.1342067072788874,0.0013228734926433354,0.014525841268460349,1.5378011835299397,0.005407226656564716,3.069787842384826,1,889290.0,18.292905438691378,2:3
diamond,regression,tabm,baseline_ple,3,0.134237656990687,0.0007451299733318172,0.0,0.0,0.0,0.0,0,890016.0,23.220319195417687,-:3
diamond,regression,tabm,utility_identity,3,0.134237656990687,0.0007451299733318172,0.0,0.0,0.0,0.0,0,890016.0,22.771034349376958,-:3
diamond,regression,tabm,utility_top8,3,0.134237656990687,0.0007451299733318172,0.0,0.0,0.0,0.0,0,890016.0,22.584711794431012,-:3
diamond,regression,tabm,variance_identity,3,0.1342067072788874,0.0013228734926433354,0.014525841268460349,1.5378011835299397,0.005407226656564716,3.069787842384826,1,889290.0,20.825296524989728,2:3
