dataset,seed,model,view,view_split,rmse,train_seconds
JenaWeather,20261311,oracle_canonical,differences,seen,0.2982252836227417,4.055724886013195
JenaWeather,20261311,oracle_canonical,dst,heldout,0.2982252836227417,4.055724886013195
JenaWeather,20261311,oracle_canonical,hadamard,heldout,0.2982252836227417,4.055724886013195
JenaWeather,20261311,oracle_canonical,even_odd,heldout,0.2982252836227417,4.055724886013195
JenaWeather,20261312,levels_erm,levels,seen,0.2849499583244324,3.628640628186986
JenaWeather,20261312,levels_erm,reverse,seen,0.7639383673667908,3.628640628186986
JenaWeather,20261312,levels_erm,dct,seen,1.2995415925979614,3.628640628186986
JenaWeather,20261312,levels_erm,differences,seen,1.2764060497283936,3.628640628186986
JenaWeather,20261312,levels_erm,dst,heldout,1.3041077852249146,3.628640628186986
JenaWeather,20261312,levels_erm,hadamard,heldout,1.3505535125732422,3.628640628186986
JenaWeather,20261312,levels_erm,even_odd,heldout,0.3315374553203583,3.628640628186986
JenaWeather,20261312,view_aug,levels,seen,0.5057611465454102,9.67745162290521
JenaWeather,20261312,view_aug,reverse,seen,0.48039668798446655,9.67745162290521
JenaWeather,20261312,view_aug,dct,seen,0.6341832280158997,9.67745162290521
JenaWeather,20261312,view_aug,differences,seen,0.7540652751922607,9.67745162290521
JenaWeather,20261312,view_aug,dst,heldout,0.745566189289093,9.67745162290521
JenaWeather,20261312,view_aug,hadamard,heldout,0.8478572368621826,9.67745162290521
JenaWeather,20261312,view_aug,even_odd,heldout,0.5202996730804443,9.67745162290521
JenaWeather,20261312,view_consistent,levels,seen,0.49411407113075256,9.788280858192593
JenaWeather,20261312,view_consistent,reverse,seen,0.4704741835594177,9.788280858192593
JenaWeather,20261312,view_consistent,dct,seen,0.6282753944396973,9.788280858192593
JenaWeather,20261312,view_consistent,differences,seen,0.6810528635978699,9.788280858192593
JenaWeather,20261312,view_consistent,dst,heldout,0.7293928861618042,9.788280858192593
JenaWeather,20261312,view_consistent,hadamard,heldout,0.7991272211074829,9.788280858192593
JenaWeather,20261312,view_consistent,even_odd,heldout,0.5173831582069397,9.788280858192593
JenaWeather,20261312,oracle_canonical,levels,seen,0.2849499583244324,3.628640628186986
JenaWeather,20261312,oracle_canonical,reverse,seen,0.2849499583244324,3.628640628186986
JenaWeather,20261312,oracle_canonical,dct,seen,0.28494992852211,3.628640628186986
JenaWeather,20261312,oracle_canonical,differences,seen,0.2849499583244324,3.628640628186986
JenaWeather,20261312,oracle_canonical,dst,heldout,0.2849499583244324,3.628640628186986
JenaWeather,20261312,oracle_canonical,hadamard,heldout,0.28494992852211,3.628640628186986
JenaWeather,20261312,oracle_canonical,even_odd,heldout,0.2849499583244324,3.628640628186986
JenaWeather,20261313,levels_erm,levels,seen,0.2916114032268524,3.5380285549908876
JenaWeather,20261313,levels_erm,reverse,seen,0.7553423047065735,3.5380285549908876
JenaWeather,20261313,levels_erm,dct,seen,1.3467845916748047,3.5380285549908876
JenaWeather,20261313,levels_erm,differences,seen,1.3014143705368042,3.5380285549908876
JenaWeather,20261313,levels_erm,dst,heldout,1.4558113813400269,3.5380285549908876
JenaWeather,20261313,levels_erm,hadamard,heldout,1.3780248165130615,3.5380285549908876
JenaWeather,20261313,levels_erm,even_odd,heldout,0.32770904898643494,3.5380285549908876
JenaWeather,20261313,view_aug,levels,seen,0.4994734525680542,8.991386188892648
JenaWeather,20261313,view_aug,reverse,seen,0.4671604037284851,8.991386188892648
JenaWeather,20261313,view_aug,dct,seen,0.6920889616012573,8.991386188892648
JenaWeather,20261313,view_aug,differences,seen,0.7773867845535278,8.991386188892648
JenaWeather,20261313,view_aug,dst,heldout,0.7567023634910583,8.991386188892648
JenaWeather,20261313,view_aug,hadamard,heldout,0.9443196058273315,8.991386188892648
JenaWeather,20261313,view_aug,even_odd,heldout,0.5379993915557861,8.991386188892648
JenaWeather,20261313,view_consistent,levels,seen,0.5032265186309814,9.380144522059709
JenaWeather,20261313,view_consistent,reverse,seen,0.45403698086738586,9.380144522059709
JenaWeather,20261313,view_consistent,dct,seen,0.6268197894096375,9.380144522059709
JenaWeather,20261313,view_consistent,differences,seen,0.712291419506073,9.380144522059709
JenaWeather,20261313,view_consistent,dst,heldout,0.6802683472633362,9.380144522059709
JenaWeather,20261313,view_consistent,hadamard,heldout,0.9351884126663208,9.380144522059709
JenaWeather,20261313,view_consistent,even_odd,heldout,0.5294047594070435,9.380144522059709
JenaWeather,20261313,oracle_canonical,levels,seen,0.2916114032268524,3.5380285549908876
JenaWeather,20261313,oracle_canonical,reverse,seen,0.2916114032268524,3.5380285549908876
JenaWeather,20261313,oracle_canonical,dct,seen,0.2916114330291748,3.5380285549908876
JenaWeather,20261313,oracle_canonical,differences,seen,0.2916114032268524,3.5380285549908876
JenaWeather,20261313,oracle_canonical,dst,heldout,0.2916114330291748,3.5380285549908876
JenaWeather,20261313,oracle_canonical,hadamard,heldout,0.2916114032268524,3.5380285549908876
JenaWeather,20261313,oracle_canonical,even_odd,heldout,0.2916114032268524,3.5380285549908876
Electricity,20261311,levels_erm,levels,seen,0.23285208642482758,2.9608963748905808
Electricity,20261311,levels_erm,reverse,seen,1.4500963687896729,2.9608963748905808
Electricity,20261311,levels_erm,dct,seen,1.3567454814910889,2.9608963748905808
Electricity,20261311,levels_erm,differences,seen,1.1634265184402466,2.9608963748905808
Electricity,20261311,levels_erm,dst,heldout,1.2811721563339233,2.9608963748905808
Electricity,20261311,levels_erm,hadamard,heldout,1.5794800519943237,2.9608963748905808
Electricity,20261311,levels_erm,even_odd,heldout,0.7099761366844177,2.9608963748905808
Electricity,20261311,view_aug,levels,seen,0.7006465792655945,8.102467224001884
Electricity,20261311,view_aug,reverse,seen,0.704993486404419,8.102467224001884
Electricity,20261311,view_aug,dct,seen,0.462002158164978,8.102467224001884
Electricity,20261311,view_aug,differences,seen,0.5824044942855835,8.102467224001884
Electricity,20261311,view_aug,dst,heldout,0.7343236804008484,8.102467224001884
Electricity,20261311,view_aug,hadamard,heldout,1.5648921728134155,8.102467224001884
Electricity,20261311,view_aug,even_odd,heldout,0.9635427594184875,8.102467224001884
Electricity,20261311,view_consistent,levels,seen,0.6927527785301208,9.363539993064478
Electricity,20261311,view_consistent,reverse,seen,0.6912057399749756,9.363539993064478
Electricity,20261311,view_consistent,dct,seen,0.4803737699985504,9.363539993064478
Electricity,20261311,view_consistent,differences,seen,0.5705312490463257,9.363539993064478
Electricity,20261311,view_consistent,dst,heldout,0.6927732825279236,9.363539993064478
Electricity,20261311,view_consistent,hadamard,heldout,1.4633829593658447,9.363539993064478
Electricity,20261311,view_consistent,even_odd,heldout,0.9439170360565186,9.363539993064478
Electricity,20261311,oracle_canonical,levels,seen,0.23285208642482758,2.9608963748905808
Electricity,20261311,oracle_canonical,reverse,seen,0.23285208642482758,2.9608963748905808
Electricity,20261311,oracle_canonical,dct,seen,0.23285208642482758,2.9608963748905808
Electricity,20261311,oracle_canonical,differences,seen,0.23285210132598877,2.9608963748905808
Electricity,20261311,oracle_canonical,dst,heldout,0.23285208642482758,2.9608963748905808
Electricity,20261311,oracle_canonical,hadamard,heldout,0.23285208642482758,2.9608963748905808
Electricity,20261311,oracle_canonical,even_odd,heldout,0.23285208642482758,2.9608963748905808
Electricity,20261312,levels_erm,levels,seen,0.23761972784996033,3.3074785431381315
Electricity,20261312,levels_erm,reverse,seen,1.4234683513641357,3.3074785431381315
Electricity,20261312,levels_erm,dct,seen,1.397120475769043,3.3074785431381315
Electricity,20261312,levels_erm,differences,seen,1.1827064752578735,3.3074785431381315
Electricity,20261312,levels_erm,dst,heldout,1.358119249343872,3.3074785431381315
Electricity,20261312,levels_erm,hadamard,heldout,1.5656311511993408,3.3074785431381315
Electricity,20261312,levels_erm,even_odd,heldout,0.7503101825714111,3.3074785431381315
Electricity,20261312,view_aug,levels,seen,0.7075621485710144,8.892588343005627
Electricity,20261312,view_aug,reverse,seen,0.7093799114227295,8.892588343005627
Electricity,20261312,view_aug,dct,seen,0.46118655800819397,8.892588343005627
Electricity,20261312,view_aug,differences,seen,0.5755484104156494,8.892588343005627
Electricity,20261312,view_aug,dst,heldout,0.7689163684844971,8.892588343005627
Electricity,20261312,view_aug,hadamard,heldout,1.4923095703125,8.892588343005627
Electricity,20261312,view_aug,even_odd,heldout,1.145480990409851,8.892588343005627
Electricity,20261312,view_consistent,levels,seen,0.6906618475914001,9.315638969885185
Electricity,20261312,view_consistent,reverse,seen,0.6970289945602417,9.315638969885185
Electricity,20261312,view_consistent,dct,seen,0.49398916959762573,9.315638969885185
Electricity,20261312,view_consistent,differences,seen,0.5878558158874512,9.315638969885185
Electricity,20261312,view_consistent,dst,heldout,0.7267438769340515,9.315638969885185
Electricity,20261312,view_consistent,hadamard,heldout,1.4686753749847412,9.315638969885185
Electricity,20261312,view_consistent,even_odd,heldout,1.0679020881652832,9.315638969885185
Electricity,20261312,oracle_canonical,levels,seen,0.23761972784996033,3.3074785431381315
Electricity,20261312,oracle_canonical,reverse,seen,0.23761972784996033,3.3074785431381315
Electricity,20261312,oracle_canonical,dct,seen,0.23761972784996033,3.3074785431381315
Electricity,20261312,oracle_canonical,differences,seen,0.23761972784996033,3.3074785431381315
Electricity,20261312,oracle_canonical,dst,heldout,0.23761974275112152,3.3074785431381315
Electricity,20261312,oracle_canonical,hadamard,heldout,0.23761972784996033,3.3074785431381315
Electricity,20261312,oracle_canonical,even_odd,heldout,0.23761972784996033,3.3074785431381315
Electricity,20261313,levels_erm,levels,seen,0.23161455988883972,3.077033980982378
Electricity,20261313,levels_erm,reverse,seen,1.4555323123931885,3.077033980982378
Electricity,20261313,levels_erm,dct,seen,1.3746073246002197,3.077033980982378
Electricity,20261313,levels_erm,differences,seen,1.2586396932601929,3.077033980982378
Electricity,20261313,levels_erm,dst,heldout,1.251768708229065,3.077033980982378
Electricity,20261313,levels_erm,hadamard,heldout,1.5503931045532227,3.077033980982378
Electricity,20261313,levels_erm,even_odd,heldout,0.660862386226654,3.077033980982378
Electricity,20261313,view_aug,levels,seen,0.6959323287010193,8.833012939896435
Electricity,20261313,view_aug,reverse,seen,0.7176238894462585,8.833012939896435
Electricity,20261313,view_aug,dct,seen,0.4392406642436981,8.833012939896435
Electricity,20261313,view_aug,differences,seen,0.5889132022857666,8.833012939896435
Electricity,20261313,view_aug,dst,heldout,0.7503737211227417,8.833012939896435
Electricity,20261313,view_aug,hadamard,heldout,1.4945796728134155,8.833012939896435
Electricity,20261313,view_aug,even_odd,heldout,0.9487397074699402,8.833012939896435
Electricity,20261313,view_consistent,levels,seen,0.68201744556427,9.289940112037584
Electricity,20261313,view_consistent,reverse,seen,0.6941016912460327,9.289940112037584
Electricity,20261313,view_consistent,dct,seen,0.47566765546798706,9.289940112037584
Electricity,20261313,view_consistent,differences,seen,0.5762026906013489,9.289940112037584
Electricity,20261313,view_consistent,dst,heldout,0.7684686183929443,9.289940112037584
Electricity,20261313,view_consistent,hadamard,heldout,1.4601399898529053,9.289940112037584
Electricity,20261313,view_consistent,even_odd,heldout,0.9548624753952026,9.289940112037584
Electricity,20261313,oracle_canonical,levels,seen,0.23161455988883972,3.077033980982378
Electricity,20261313,oracle_canonical,reverse,seen,0.23161455988883972,3.077033980982378
Electricity,20261313,oracle_canonical,dct,seen,0.23161455988883972,3.077033980982378
Electricity,20261313,oracle_canonical,differences,seen,0.23161455988883972,3.077033980982378
Electricity,20261313,oracle_canonical,dst,heldout,0.23161455988883972,3.077033980982378
Electricity,20261313,oracle_canonical,hadamard,heldout,0.23161455988883972,3.077033980982378
Electricity,20261313,oracle_canonical,even_odd,heldout,0.23161455988883972,3.077033980982378
Traffic,20261311,levels_erm,levels,seen,0.5870804786682129,2.9354090008419007
Traffic,20261311,levels_erm,reverse,seen,1.8494112491607666,2.9354090008419007
Traffic,20261311,levels_erm,dct,seen,1.8665622472763062,2.9354090008419007
Traffic,20261311,levels_erm,differences,seen,1.4085854291915894,2.9354090008419007
Traffic,20261311,levels_erm,dst,heldout,2.0298678874969482,2.9354090008419007
Traffic,20261311,levels_erm,hadamard,heldout,1.8401463031768799,2.9354090008419007
Traffic,20261311,levels_erm,even_odd,heldout,1.125656008720398,2.9354090008419007
Traffic,20261311,view_aug,levels,seen,0.7585011720657349,8.086709789931774
Traffic,20261311,view_aug,reverse,seen,0.7708725929260254,8.086709789931774
Traffic,20261311,view_aug,dct,seen,0.763546884059906,8.086709789931774
Traffic,20261311,view_aug,differences,seen,0.8019754886627197,8.086709789931774
Traffic,20261311,view_aug,dst,heldout,1.1990864276885986,8.086709789931774
Traffic,20261311,view_aug,hadamard,heldout,1.658966302871704,8.086709789931774
Traffic,20261311,view_aug,even_odd,heldout,1.4612382650375366,8.086709789931774
Traffic,20261311,view_consistent,levels,seen,0.7411945462226868,9.067066245013848
Traffic,20261311,view_consistent,reverse,seen,0.7665599584579468,9.067066245013848
Traffic,20261311,view_consistent,dct,seen,0.7283040285110474,9.067066245013848
Traffic,20261311,view_consistent,differences,seen,0.7868800759315491,9.067066245013848
Traffic,20261311,view_consistent,dst,heldout,1.134636640548706,9.067066245013848
Traffic,20261311,view_consistent,hadamard,heldout,1.6102534532546997,9.067066245013848
Traffic,20261311,view_consistent,even_odd,heldout,1.3834114074707031,9.067066245013848
Traffic,20261311,oracle_canonical,levels,seen,0.5870804786682129,2.9354090008419007
Traffic,20261311,oracle_canonical,reverse,seen,0.5870804786682129,2.9354090008419007
Traffic,20261311,oracle_canonical,dct,seen,0.5870805382728577,2.9354090008419007
Traffic,20261311,oracle_canonical,differences,seen,0.5870804786682129,2.9354090008419007
Traffic,20261311,oracle_canonical,dst,heldout,0.5870805382728577,2.9354090008419007
Traffic,20261311,oracle_canonical,hadamard,heldout,0.5870805382728577,2.9354090008419007
Traffic,20261311,oracle_canonical,even_odd,heldout,0.5870804786682129,2.9354090008419007
Traffic,20261312,levels_erm,levels,seen,0.6149619817733765,2.8250959599390626
Traffic,20261312,levels_erm,reverse,seen,1.7770861387252808,2.8250959599390626
Traffic,20261312,levels_erm,dct,seen,1.833116888999939,2.8250959599390626
Traffic,20261312,levels_erm,differences,seen,1.4053400754928589,2.8250959599390626
Traffic,20261312,levels_erm,dst,heldout,2.05755877494812,2.8250959599390626
Traffic,20261312,levels_erm,hadamard,heldout,1.8376045227050781,2.8250959599390626
Traffic,20261312,levels_erm,even_odd,heldout,1.1419603824615479,2.8250959599390626
Traffic,20261312,view_aug,levels,seen,0.749679446220398,7.435324143851176
Traffic,20261312,view_aug,reverse,seen,0.760708749294281,7.435324143851176
Traffic,20261312,view_aug,dct,seen,0.7353404760360718,7.435324143851176
Traffic,20261312,view_aug,differences,seen,0.8259642124176025,7.435324143851176
Traffic,20261312,view_aug,dst,heldout,1.1229009628295898,7.435324143851176
Traffic,20261312,view_aug,hadamard,heldout,1.6417570114135742,7.435324143851176
Traffic,20261312,view_aug,even_odd,heldout,1.536576271057129,7.435324143851176
Traffic,20261312,view_consistent,levels,seen,0.7469284534454346,9.303081535035744
Traffic,20261312,view_consistent,reverse,seen,0.7398679852485657,9.303081535035744
Traffic,20261312,view_consistent,dct,seen,0.7144164443016052,9.303081535035744
Traffic,20261312,view_consistent,differences,seen,0.7911292314529419,9.303081535035744
Traffic,20261312,view_consistent,dst,heldout,1.1369826793670654,9.303081535035744
Traffic,20261312,view_consistent,hadamard,heldout,1.5610538721084595,9.303081535035744
Traffic,20261312,view_consistent,even_odd,heldout,1.4648003578186035,9.303081535035744
Traffic,20261312,oracle_canonical,levels,seen,0.6149619817733765,2.8250959599390626
Traffic,20261312,oracle_canonical,reverse,seen,0.6149619817733765,2.8250959599390626
Traffic,20261312,oracle_canonical,dct,seen,0.6149619817733765,2.8250959599390626
Traffic,20261312,oracle_canonical,differences,seen,0.6149619817733765,2.8250959599390626
Traffic,20261312,oracle_canonical,dst,heldout,0.6149619817733765,2.8250959599390626
Traffic,20261312,oracle_canonical,hadamard,heldout,0.6149619817733765,2.8250959599390626
Traffic,20261312,oracle_canonical,even_odd,heldout,0.6149619817733765,2.8250959599390626
Traffic,20261313,levels_erm,levels,seen,0.5923043489456177,3.6108122658915818
Traffic,20261313,levels_erm,reverse,seen,1.7983063459396362,3.6108122658915818
Traffic,20261313,levels_erm,dct,seen,1.834773063659668,3.6108122658915818
Traffic,20261313,levels_erm,differences,seen,1.4175409078598022,3.6108122658915818
Traffic,20261313,levels_erm,dst,heldout,2.2497363090515137,3.6108122658915818
Traffic,20261313,levels_erm,hadamard,heldout,1.922021508216858,3.6108122658915818
Traffic,20261313,levels_erm,even_odd,heldout,1.096116065979004,3.6108122658915818
Traffic,20261313,view_aug,levels,seen,0.754176139831543,8.945824796101078
Traffic,20261313,view_aug,reverse,seen,0.7839555740356445,8.945824796101078
Traffic,20261313,view_aug,dct,seen,0.7393431663513184,8.945824796101078
Traffic,20261313,view_aug,differences,seen,0.8168599009513855,8.945824796101078
Traffic,20261313,view_aug,dst,heldout,1.2110295295715332,8.945824796101078
Traffic,20261313,view_aug,hadamard,heldout,1.650529384613037,8.945824796101078
Traffic,20261313,view_aug,even_odd,heldout,1.3908995389938354,8.945824796101078
Traffic,20261313,view_consistent,levels,seen,0.7547750473022461,9.375612686155364
Traffic,20261313,view_consistent,reverse,seen,0.7518041133880615,9.375612686155364
Traffic,20261313,view_consistent,dct,seen,0.7248047590255737,9.375612686155364
Traffic,20261313,view_consistent,differences,seen,0.8114601373672485,9.375612686155364
Traffic,20261313,view_consistent,dst,heldout,1.1162480115890503,9.375612686155364
Traffic,20261313,view_consistent,hadamard,heldout,1.6483192443847656,9.375612686155364
Traffic,20261313,view_consistent,even_odd,heldout,1.38749361038208,9.375612686155364
Traffic,20261313,oracle_canonical,levels,seen,0.5923043489456177,3.6108122658915818
Traffic,20261313,oracle_canonical,reverse,seen,0.5923043489456177,3.6108122658915818
Traffic,20261313,oracle_canonical,dct,seen,0.5923043489456177,3.6108122658915818
Traffic,20261313,oracle_canonical,differences,seen,0.5923043489456177,3.6108122658915818
Traffic,20261313,oracle_canonical,dst,heldout,0.5923043489456177,3.6108122658915818
Traffic,20261313,oracle_canonical,hadamard,heldout,0.5923044085502625,3.6108122658915818
Traffic,20261313,oracle_canonical,even_odd,heldout,0.5923043489456177,3.6108122658915818
