dataset,model,view,view_split,rmse,train_seconds
JenaWeather,levels_erm,hadamard,heldout,1.3753630717595418,3.7407980230636895
JenaWeather,levels_erm,levels,seen,0.29159554839134216,3.7407980230636895
JenaWeather,levels_erm,reverse,seen,0.7569115956624349,3.7407980230636895
JenaWeather,oracle_canonical,dct,seen,0.29159555832544964,3.7407980230636895
JenaWeather,oracle_canonical,differences,seen,0.29159554839134216,3.7407980230636895
JenaWeather,oracle_canonical,dst,heldout,0.29159555832544964,3.7407980230636895
JenaWeather,oracle_canonical,even_odd,heldout,0.29159554839134216,3.7407980230636895
JenaWeather,oracle_canonical,hadamard,heldout,0.2915955384572347,3.7407980230636895
JenaWeather,oracle_canonical,levels,seen,0.29159554839134216,3.7407980230636895
JenaWeather,oracle_canonical,reverse,seen,0.29159554839134216,3.7407980230636895
JenaWeather,view_aug,dct,seen,0.6395227313041687,9.503056317878267
JenaWeather,view_aug,differences,seen,0.7831419110298157,9.503056317878267
JenaWeather,view_aug,dst,heldout,0.7446713844935099,9.503056317878267
JenaWeather,view_aug,even_odd,heldout,0.53267902135849,9.503056317878267
JenaWeather,view_aug,hadamard,heldout,0.8971805572509766,9.503056317878267
JenaWeather,view_aug,levels,seen,0.49801890055338544,9.503056317878267
JenaWeather,view_aug,reverse,seen,0.4714600245157878,9.503056317878267
JenaWeather,view_consistent,dct,seen,0.6022931734720866,9.776052370745068
JenaWeather,view_consistent,differences,seen,0.7076605757077535,9.776052370745068
JenaWeather,view_consistent,dst,heldout,0.6908420324325562,9.776052370745068
JenaWeather,view_consistent,even_odd,heldout,0.5287267168362936,9.776052370745068
JenaWeather,view_consistent,hadamard,heldout,0.8620529174804688,9.776052370745068
JenaWeather,view_consistent,levels,seen,0.495684285958608,9.776052370745068
JenaWeather,view_consistent,reverse,seen,0.45856544375419617,9.776052370745068
Traffic,levels_erm,dct,seen,1.8448173999786377,3.1237724088908485
Traffic,levels_erm,differences,seen,1.4104888041814168,3.1237724088908485
Traffic,levels_erm,dst,heldout,2.1123876571655273,3.1237724088908485
Traffic,levels_erm,even_odd,heldout,1.1212441523869832,3.1237724088908485
Traffic,levels_erm,hadamard,heldout,1.8665907780329387,3.1237724088908485
Traffic,levels_erm,levels,seen,0.598115603129069,3.1237724088908485
Traffic,levels_erm,reverse,seen,1.8082679112752278,3.1237724088908485
Traffic,oracle_canonical,dct,seen,0.5981156229972839,3.1237724088908485
Traffic,oracle_canonical,differences,seen,0.598115603129069,3.1237724088908485
Traffic,oracle_canonical,dst,heldout,0.5981156229972839,3.1237724088908485
Traffic,oracle_canonical,even_odd,heldout,0.598115603129069,3.1237724088908485
Traffic,oracle_canonical,hadamard,heldout,0.5981156428654989,3.1237724088908485
Traffic,oracle_canonical,levels,seen,0.598115603129069,3.1237724088908485
Traffic,oracle_canonical,reverse,seen,0.598115603129069,3.1237724088908485
Traffic,view_aug,dct,seen,0.7460768421490988,8.155952909961343
Traffic,view_aug,differences,seen,0.814933200677236,8.155952909961343
Traffic,view_aug,dst,heldout,1.177672306696574,8.155952909961343
Traffic,view_aug,even_odd,heldout,1.462904691696167,8.155952909961343
Traffic,view_aug,hadamard,heldout,1.6504175662994385,8.155952909961343
Traffic,view_aug,levels,seen,0.7541189193725586,8.155952909961343
Traffic,view_aug,reverse,seen,0.7718456387519836,8.155952909961343
Traffic,view_consistent,dct,seen,0.7225084106127421,9.248586822068319
Traffic,view_consistent,differences,seen,0.7964898149172465,9.248586822068319
Traffic,view_consistent,dst,heldout,1.1292891105016072,9.248586822068319
Traffic,view_consistent,even_odd,heldout,1.4119017918904622,9.248586822068319
Traffic,view_consistent,hadamard,heldout,1.6065421899159749,9.248586822068319
Traffic,view_consistent,levels,seen,0.7476326823234558,9.248586822068319
Traffic,view_consistent,reverse,seen,0.7527440190315247,9.248586822068319
