backbone,source,task,split,operator,selected,test_gain,decision_score,rule
tabm,NYC_TLC,tlc_pickup_zone,0,rbf_double,False,0.0,-0.00974497987355872,per_backbone_lcb
tabm,NYC_TLC,tlc_pickup_zone,1,rbf_double,False,0.0,-0.002701988188198323,per_backbone_lcb
tabm,STRING_BENCHMARK,medical_charges,0,rbf_double,False,0.0,-0.003063374172718606,per_backbone_lcb
tabm,STRING_BENCHMARK,medical_charges,1,rbf_half,False,0.0,-0.010965078069256309,per_backbone_lcb
ft_transformer,ACS,acs_occupation,0,kernel_ridge,True,0.0182346137769978,0.004644062193737187,backbone_worst
mlp,ACS,acs_occupation,0,kernel_ridge,True,0.017810320879257,0.004644062193737187,backbone_worst
resnet,ACS,acs_occupation,0,kernel_ridge,True,0.017679754876716,0.004644062193737187,backbone_worst
tabm,ACS,acs_occupation,0,kernel_ridge,True,0.022825444308477,0.004644062193737187,backbone_worst
ft_transformer,ACS,acs_occupation,1,kernel_ridge,True,0.0126103202062291,0.012325123570007741,backbone_worst
mlp,ACS,acs_occupation,1,kernel_ridge,True,0.0115141522630014,0.012325123570007741,backbone_worst
resnet,ACS,acs_occupation,1,kernel_ridge,True,0.0131552003322322,0.012325123570007741,backbone_worst
tabm,ACS,acs_occupation,1,kernel_ridge,True,0.014187308355511,0.012325123570007741,backbone_worst
ft_transformer,BTS,airline_origin_airport,0,kernel_ridge,False,0.0,-0.006158665103905005,backbone_worst
mlp,BTS,airline_origin_airport,0,kernel_ridge,False,0.0,-0.006158665103905005,backbone_worst
resnet,BTS,airline_origin_airport,0,kernel_ridge,False,0.0,-0.006158665103905005,backbone_worst
tabm,BTS,airline_origin_airport,0,kernel_ridge,False,0.0,-0.006158665103905005,backbone_worst
ft_transformer,BTS,airline_origin_airport,1,rbf_double,False,0.0,-0.008476639119510848,backbone_worst
mlp,BTS,airline_origin_airport,1,rbf_double,False,0.0,-0.008476639119510848,backbone_worst
resnet,BTS,airline_origin_airport,1,rbf_double,False,0.0,-0.008476639119510848,backbone_worst
tabm,BTS,airline_origin_airport,1,rbf_double,False,0.0,-0.008476639119510848,backbone_worst
ft_transformer,NYC_TLC,tlc_pickup_zone,0,knn_3,False,0.0,-0.024187177213983238,backbone_worst
mlp,NYC_TLC,tlc_pickup_zone,0,knn_3,False,0.0,-0.024187177213983238,backbone_worst
resnet,NYC_TLC,tlc_pickup_zone,0,knn_3,False,0.0,-0.024187177213983238,backbone_worst
tabm,NYC_TLC,tlc_pickup_zone,0,knn_3,False,0.0,-0.024187177213983238,backbone_worst
ft_transformer,NYC_TLC,tlc_pickup_zone,1,rbf,False,0.0,-0.025310353386717784,backbone_worst
mlp,NYC_TLC,tlc_pickup_zone,1,rbf,False,0.0,-0.025310353386717784,backbone_worst
resnet,NYC_TLC,tlc_pickup_zone,1,rbf,False,0.0,-0.025310353386717784,backbone_worst
tabm,NYC_TLC,tlc_pickup_zone,1,rbf,False,0.0,-0.025310353386717784,backbone_worst
ft_transformer,STRING_BENCHMARK,medical_charges,0,rbf_double,False,0.0,-0.003477362461697129,backbone_worst
mlp,STRING_BENCHMARK,medical_charges,0,rbf_double,False,0.0,-0.003477362461697129,backbone_worst
resnet,STRING_BENCHMARK,medical_charges,0,rbf_double,False,0.0,-0.003477362461697129,backbone_worst
tabm,STRING_BENCHMARK,medical_charges,0,rbf_double,False,0.0,-0.003477362461697129,backbone_worst
ft_transformer,STRING_BENCHMARK,medical_charges,1,rbf_half,False,0.0,-0.02195621486028676,backbone_worst
mlp,STRING_BENCHMARK,medical_charges,1,rbf_half,False,0.0,-0.02195621486028676,backbone_worst
resnet,STRING_BENCHMARK,medical_charges,1,rbf_half,False,0.0,-0.02195621486028676,backbone_worst
tabm,STRING_BENCHMARK,medical_charges,1,rbf_half,False,0.0,-0.02195621486028676,backbone_worst
