dataset,problem_type,model,seed,pair,method,split,reconstruction_error,coordinate_error,disagreement,disagreement_reduction,task_error,relative_task_change
credit-g,classification,catboost,0,local_vs_spectral_hat,GramAnchor,test,2.2040031984818126e-16,1.1511609960611418e-16,0.0,1.0,0.4945148972617255,0.0241911418922772
credit-g,classification,catboost,0,onehot_vs_helmert,Raw,validation,1.6264399465171795e-16,0.0,0.0865875159768497,0.0,0.4538528753306498,0.0
credit-g,classification,catboost,0,onehot_vs_helmert,GramAnchor,validation,1.6264399465171795e-16,5.407521673497937e-17,0.0,1.0,0.4471999385760734,-0.014658796090538
credit-g,classification,catboost,0,onehot_vs_helmert,Raw,test,1.6264399465171795e-16,0.0,0.0866508151381203,0.0,0.4698787101436025,0.0
credit-g,classification,catboost,0,onehot_vs_helmert,GramAnchor,test,1.6264399465171795e-16,5.407521673497937e-17,0.0,1.0,0.4979185918876729,0.0596747227289804
credit-g,classification,catboost,1,local_vs_spectral_hat,Raw,validation,2.2040031984818126e-16,0.0,0.0912156909183119,0.0,0.4444589697141888,0.0
credit-g,classification,catboost,1,local_vs_spectral_hat,GramAnchor,validation,2.2040031984818126e-16,1.1511609960611418e-16,0.0,1.0,0.4605129037588306,0.0361201711261792
credit-g,classification,catboost,1,local_vs_spectral_hat,Raw,test,2.2040031984818126e-16,0.0,0.0864272325732884,0.0,0.4956416044370513,0.0
credit-g,classification,catboost,1,local_vs_spectral_hat,GramAnchor,test,2.2040031984818126e-16,1.1511609960611418e-16,0.0,1.0,0.486800516084322,-0.0178376638958123
credit-g,classification,catboost,1,onehot_vs_helmert,Raw,validation,1.6264399465171795e-16,0.0,0.0817433434443916,0.0,0.4794797084553505,0.0
credit-g,classification,catboost,1,onehot_vs_helmert,GramAnchor,validation,1.6264399465171795e-16,5.407521673497937e-17,0.0,1.0,0.4623772684823818,-0.0356687460832583
credit-g,classification,catboost,1,onehot_vs_helmert,Raw,test,1.6264399465171795e-16,0.0,0.0893736720520785,0.0,0.4863942246510373,0.0
credit-g,classification,catboost,1,onehot_vs_helmert,GramAnchor,test,1.6264399465171795e-16,5.407521673497937e-17,0.0,1.0,0.4875884358209197,0.002455233038055
credit-g,classification,catboost,2,local_vs_spectral_hat,Raw,validation,2.2040031984818126e-16,0.0,0.086560300729412,0.0,0.4503922734086956,0.0
credit-g,classification,catboost,2,local_vs_spectral_hat,GramAnchor,validation,2.2040031984818126e-16,1.1511609960611418e-16,0.0,1.0,0.4650270701372007,0.0324934453642928
credit-g,classification,catboost,2,local_vs_spectral_hat,Raw,test,2.2040031984818126e-16,0.0,0.0804054850144329,0.0,0.4972935158739809,0.0
credit-g,classification,catboost,2,local_vs_spectral_hat,GramAnchor,test,2.2040031984818126e-16,1.1511609960611418e-16,0.0,1.0,0.4865833734964216,-0.021536863111389
credit-g,classification,catboost,2,onehot_vs_helmert,Raw,validation,1.6264399465171795e-16,0.0,0.0904229744984941,0.0,0.4416928739076262,0.0
credit-g,classification,catboost,2,onehot_vs_helmert,GramAnchor,validation,1.6264399465171795e-16,5.407521673497937e-17,0.0,1.0,0.4512109675082669,0.0215491219417575
credit-g,classification,catboost,2,onehot_vs_helmert,Raw,test,1.6264399465171795e-16,0.0,0.0776521374095213,0.0,0.4794926873386611,0.0
