dataset,problem_type,model,seed,method,track,split,disagreement,max_disagreement,task_error,orbit_mean_task_error,worst_orbit_task_error,runtime_seconds,raw_disagreement,raw_task_error,raw_worst_orbit_task_error,disagreement_reduction,relative_task_change,worst_orbit_gain,failure,predictive_rank
phoneme,classification,tabm_d,0,Raw+HybridSpectral-t0.10@0.25,hybrid_prediction_mixture,test,0.0693251504720115,0.0892419272578442,0.3269804020906527,0.3298846550882541,0.3343552482782826,0.0,0.092433534085054,0.3352074138510378,0.3492128878375446,0.2500000009929186,-0.0245430483349663,0.0425460802757481,False,23.5
phoneme,classification,tabm_d,0,Raw+HybridSpectral-t0.10@0.25,hybrid_prediction_mixture,validation,0.0741499930323687,0.096661845540003,0.272388399228082,0.2772108023716191,0.2925013691302968,0.0,0.0988666573623903,0.2764863924503944,0.3024536196468358,0.2499999998930278,-0.0148216814071515,0.0329050468239061,False,7.5
phoneme,classification,tabm_d,0,Raw+HybridSpectral-t0.10@0.5,hybrid_prediction_mixture,test,0.046216766920155,0.0594946180753207,0.3266066499348848,0.3296071187911168,0.3329733289396944,0.0,0.092433534085054,0.3352074138510378,0.3492128878375446,0.5000000013238913,-0.0256580360718843,0.0465033206489359,False,16.5
phoneme,classification,tabm_d,0,Raw+HybridSpectral-t0.10@0.5,hybrid_prediction_mixture,validation,0.0494333286952965,0.0644412302503268,0.2749011988488253,0.2776368980842063,0.286825520110247,0.0,0.0988666573623903,0.2764863924503944,0.3024536196468358,0.4999999998573698,-0.0057333512420634,0.0516710613509509,False,14.5
phoneme,classification,tabm_d,0,Raw+HybridSpectral-t0.10@0.75,hybrid_prediction_mixture,test,0.0231083834294845,0.0297473089893727,0.3319155886307927,0.3338541747515008,0.3359228773577822,0.0,0.092433534085054,0.3352074138510378,0.3492128878375446,0.7500000009929186,-0.0098202637657291,0.0380570446928779,False,32.5
phoneme,classification,tabm_d,0,Raw+HybridSpectral-t0.10@0.75,hybrid_prediction_mixture,validation,0.0247166643511735,0.0322206150703258,0.2818559732106717,0.2824542389885599,0.2868349645185793,0.0,0.0988666573623903,0.2764863924503944,0.3024536196468358,0.7499999998930276,0.0194207776834465,0.0516398353787064,False,24.5
phoneme,classification,tabm_d,0,Raw+HybridSpectral-t0.10@1,hybrid_prediction_mixture,test,0.0,0.0,0.3440795228233782,0.3440795228233782,0.3440795228233782,0.0,0.092433534085054,0.3352074138510378,0.3492128878375446,1.0,0.0264675201255634,0.0146998154791883,False,46.5
phoneme,classification,tabm_d,0,Raw+HybridSpectral-t0.10@1,hybrid_prediction_mixture,validation,0.0,0.0,0.2936773944652649,0.2936773944652649,0.2936773944652649,0.0,0.0988666573623903,0.2764863924503944,0.3024536196468358,1.0,0.0621766657755311,0.0290167636010393,False,32.5
phoneme,classification,tabm_d,0,Raw+NystromGram@0.25,hybrid_prediction_mixture,test,0.0693251506947683,0.0892419275478429,0.3273079644207985,0.3296980660378605,0.3347621747763801,0.0,0.092433534085054,0.3352074138510378,0.3492128878375446,0.2499999985830058,-0.0235658553594811,0.0413808125772467,False,26.0
phoneme,classification,tabm_d,0,Raw+NystromGram@0.25,hybrid_prediction_mixture,validation,0.0741499928489278,0.0966618454302175,0.2792648790746775,0.2828400812908895,0.2964488234849618,0.0,0.0988666573623903,0.2764863924503944,0.3024536196468358,0.2500000017484654,0.0100492707784221,0.0198536098489599,False,22.0
phoneme,classification,tabm_d,0,Raw+NystromGram@0.5,hybrid_prediction_mixture,test,0.046216767217164,0.0594946184619857,0.3260502729283437,0.3287713259762684,0.3325679254946798,0.0,0.092433534085054,0.3352074138510378,0.3492128878375446,0.4999999981106743,-0.0273178352993213,0.0476642269589092,False,14.0
phoneme,classification,tabm_d,0,Raw+NystromGram@0.5,hybrid_prediction_mixture,validation,0.0494333284507085,0.0644412301039461,0.285263819577042,0.2872814938693232,0.2942949988129991,0.0,0.0988666573623903,0.2764863924503944,0.3024536196468358,0.5000000023312872,0.0317463259180915,0.0269747832522661,False,27.0
phoneme,classification,tabm_d,0,Raw+NystromGram@0.75,hybrid_prediction_mixture,test,0.0231083836522412,0.0297473092793713,0.3303149221773788,0.332437551562787,0.3355000177347719,0.0,0.092433534085054,0.3352074138510378,0.3492128878375446,0.7499999985830059,-0.0145954160662842,0.0392679382129562,False,28.0
phoneme,classification,tabm_d,0,Raw+NystromGram@0.75,hybrid_prediction_mixture,validation,0.0247166641677326,0.0322206149605402,0.2945253107574505,0.2950433387583318,0.2997902784478899,0.0,0.0988666573623903,0.2764863924503944,0.3024536196468358,0.7500000017484653,0.0652434217365417,0.008805783848961,False,37.0
