dataset,problem_type,model,seed,method,track,split,disagreement,max_disagreement,task_error,orbit_mean_task_error,worst_orbit_task_error,runtime_seconds,raw_disagreement,raw_task_error,raw_worst_orbit_task_error,disagreement_reduction,relative_task_change,worst_orbit_gain,failure,predictive_rank
bike-sharing,regression,controlled_mlp,0,Raw+NystromGram@0.75,hybrid_prediction_mixture,test,0.039758677973954985,0.048452222433161,65.69276270314819,65.07001643469482,65.46101306355797,0.0,0.15903471189582002,76.40112529010118,80.96999380999816,0.7500000000000001,-0.1401597495624898,0.19153985342808735,False,3.0
bike-sharing,regression,controlled_mlp,0,Raw+NystromGram@0.75,hybrid_prediction_mixture,validation,0.038684929224011316,0.0495393442554441,63.50969700225556,62.98055454582402,63.61166469713202,0.0,0.15473971689604546,70.5029563057822,72.74657242109483,0.7500000000000003,-0.09919100800817209,0.12557165815435578,False,1.0
bike-sharing,regression,controlled_mlp,0,Raw+NystromGram@1,hybrid_prediction_mixture,test,0.0,0.0,65.66404051050382,65.66404051050382,65.66404051050382,0.0,0.15903471189582002,76.40112529010118,80.96999380999816,1.0,-0.14053568895520563,0.1890324128640894,False,1.5
bike-sharing,regression,controlled_mlp,0,Raw+NystromGram@1,hybrid_prediction_mixture,validation,0.0,0.0,64.38926880463784,64.38926880463784,64.38926880463784,0.0,0.15473971689604546,70.5029563057822,72.74657242109483,1.0,-0.08671533537726224,0.11488243828287316,False,4.5
bike-sharing,regression,controlled_mlp,0,Raw+PCA@0.25,hybrid_prediction_mixture,test,0.119276033921865,0.1453566672994831,75.54455809391435,75.90108638869881,79.4355130449166,0.0,0.15903471189582002,76.40112529010118,80.96999380999816,0.2500000000000001,-0.01121144738293286,0.01895122739767428,False,23.5
bike-sharing,regression,controlled_mlp,0,Raw+PCA@0.25,hybrid_prediction_mixture,validation,0.11605478767203405,0.1486180327663323,69.94611093759043,70.39635654997235,72.35184191149764,0.0,0.15473971689604546,70.5029563057822,72.74657242109483,0.25000000000000033,-0.007898184663018226,0.00542610457730265,False,19.5
bike-sharing,regression,controlled_mlp,0,Raw+PCA@0.5,hybrid_prediction_mixture,test,0.07951735594791,0.0969044448663221,75.60838068880018,76.01058046712481,78.49299685018353,0.0,0.15903471189582002,76.40112529010118,80.96999380999816,0.5000000000000001,-0.010376085408308856,0.030591541918936992,False,27.5
bike-sharing,regression,controlled_mlp,0,Raw+PCA@0.5,hybrid_prediction_mixture,validation,0.07736985844802269,0.0990786885108882,70.48790129880351,71.08420017775754,72.55540327353602,0.0,0.15473971689604546,70.5029563057822,72.74657242109483,0.5000000000000002,-0.00021353724393347254,0.0026278784167620157,False,24.5
bike-sharing,regression,controlled_mlp,0,Raw+PCA@0.75,hybrid_prediction_mixture,test,0.039758677973954985,0.048452222433161,76.59029223032734,76.8723544958726,78.1638622576479,0.0,0.15903471189582002,76.40112529010118,80.96999380999816,0.7500000000000001,0.0024759706026302158,0.03465643777786421,False,33.5
bike-sharing,regression,controlled_mlp,0,Raw+PCA@0.75,hybrid_prediction_mixture,validation,0.038684929224011316,0.0495393442554441,72.10356600407161,72.54242127858802,73.352275681228,0.0,0.15473971689604546,70.5029563057822,72.74657242109483,0.7500000000000003,0.02270273166060317,-0.00832621029382724,False,33.5
bike-sharing,regression,controlled_mlp,0,Raw+PCA@1,hybrid_prediction_mixture,test,0.0,0.0,78.45582934516733,78.45582934516733,78.45582934516733,0.0,0.15903471189582002,76.40112529010118,80.96999380999816,1.0,0.026893636019944444,0.03105057005105487,False,39.5
bike-sharing,regression,controlled_mlp,0,Raw+PCA@1,hybrid_prediction_mixture,validation,0.0,0.0,74.72347983247734,74.72347983247734,74.72347983247734,0.0,0.15473971689604546,70.5029563057822,72.74657242109483,1.0,0.05986307167588931,-0.027175265384864446,False,39.5
bike-sharing,regression,controlled_mlp,1,GramAnchor,representation,test,0.0,0.0,74.62494948159544,74.62494948159544,74.62494948159544,0.4540068071801215,0.14120777793351133,78.00769345797514,78.63266746492822,1.0,-0.0433642353263794,0.050967595435069096,False,24.5
bike-sharing,regression,controlled_mlp,1,GramAnchor,representation,validation,0.0,0.0,70.05461356020079,70.05461356020079,70.05461356020079,0.4540068071801215,0.12947026008001605,73.34231252782743,76.40138994440308,1.0,-0.044826769900106776,0.08307147800348665,False,13.5
bike-sharing,regression,controlled_mlp,1,GramAnchor-m8,representation,test,0.0,0.0,77.8276483630356,77.8276483630356,77.8276483630356,1.527108974987641,0.14120777793351133,78.00769345797514,78.63266746492822,1.0,-0.0023080427962727163,0.010237718340811297,False,41.5
bike-sharing,regression,controlled_mlp,1,GramAnchor-m8,representation,validation,0.0,0.0,73.78139829520846,73.78139829520846,73.78139829520846,1.527108974987641,0.12947026008001605,73.34231252782743,76.40138994440308,1.0,0.005986800146428883,0.034292460531165365,False,31.5
bike-sharing,regression,controlled_mlp,1,GramDistance,representation,test,0.0,0.0,71.80657024830613,71.80657024830613,71.80657024830613,0.529206519946456,0.14120777793351133,78.00769345797514,78.63266746492822,1.0,-0.07949373881961681,0.08680994091503595,False,6.5
bike-sharing,regression,controlled_mlp,1,GramDistance,representation,validation,0.0,0.0,66.66043588341718,66.66043588341718,66.66043588341718,0.529206519946456,0.12947026008001605,73.34231252782743,76.40138994440308,1.0,-0.09110534443367906,0.12749707915097283,False,6.5
bike-sharing,regression,controlled_mlp,1,HybridSpectral-t0.01,representation,test,0.0,0.0,75.08322522815524,75.08322522815524,75.08322522815524,0.4191304831765592,0.14120777793351133,78.00769345797514,78.63266746492822,1.0,-0.03748948469288333,0.045139537436601644,False,30.5
bike-sharing,regression,controlled_mlp,1,HybridSpectral-t0.01,representation,validation,0.0,0.0,74.40144730178629,74.40144730178629,74.40144730178629,0.4191304831765592,0.12947026008001605,73.34231252782743,76.40138994440308,1.0,0.014440978712758812,0.0261767834861661,False,36.5
bike-sharing,regression,controlled_mlp,1,HybridSpectral-t0.05,representation,test,0.0,0.0,73.45997050618561,73.45997050618561,73.45997050618561,0.5817184110637754,0.14120777793351133,78.00769345797514,78.63266746492822,1.0,-0.05829839019967314,0.06578305334802148,False,15.5
bike-sharing,regression,controlled_mlp,1,HybridSpectral-t0.05,representation,validation,0.0,0.0,76.62046448900898,76.62046448900898,76.62046448900898,0.5817184110637754,0.12947026008001605,73.34231252782743,76.40138994440308,1.0,0.04469659938712402,-0.0028674156944699836,False,43.5
bike-sharing,regression,controlled_mlp,1,HybridSpectral-t0.10,representation,test,0.0,0.0,73.45997050618561,73.45997050618561,73.45997050618561,0.5859696248080581,0.14120777793351133,78.00769345797514,78.63266746492822,1.0,-0.05829839019967314,0.06578305334802148,False,15.5
bike-sharing,regression,controlled_mlp,1,HybridSpectral-t0.10,representation,validation,0.0,0.0,76.62046448900898,76.62046448900898,76.62046448900898,0.5859696248080581,0.12947026008001605,73.34231252782743,76.40138994440308,1.0,0.04469659938712402,-0.0028674156944699836,False,43.5
bike-sharing,regression,controlled_mlp,1,NystromGram,representation,test,0.0,0.0,68.19383884095623,68.19383884095623,68.19383884095623,0.638133673928678,0.14120777793351133,78.00769345797514,78.63266746492822,1.0,-0.12580624015381117,0.132754349566329,False,2.5
bike-sharing,regression,controlled_mlp,1,NystromGram,representation,validation,0.0,0.0,65.44034249282525,65.44034249282525,65.44034249282525,0.638133673928678,0.12947026008001605,73.34231252782743,76.40138994440308,1.0,-0.10774094465597912,0.14346659739507525,False,2.5
bike-sharing,regression,controlled_mlp,1,PCA,representation,test,0.0,0.0,75.08322522815524,75.08322522815524,75.08322522815524,0.4557187270838767,0.14120777793351133,78.00769345797514,78.63266746492822,1.0,-0.03748948469288333,0.045139537436601644,False,30.5
bike-sharing,regression,controlled_mlp,1,PCA,representation,validation,0.0,0.0,74.40144730178629,74.40144730178629,74.40144730178629,0.4557187270838767,0.12947026008001605,73.34231252782743,76.40138994440308,1.0,0.014440978712758812,0.0261767834861661,False,36.5
bike-sharing,regression,controlled_mlp,1,Raw,representation,test,0.14120777793351133,0.1999958672325489,78.00769345797514,75.48612597303716,78.63266746492822,11.405578363221139,0.14120777793351133,78.00769345797514,78.63266746492822,0.0,0.0,0.0,False,43.5
bike-sharing,regression,controlled_mlp,1,Raw,representation,validation,0.12947026008001605,0.1822186831622259,73.34231252782743,72.21327375776953,76.40138994440308,11.405578363221139,0.12947026008001605,73.34231252782743,76.40138994440308,0.0,0.0,0.0,False,29.5
bike-sharing,regression,controlled_mlp,1,Raw+GramAnchor-m8@0.25,hybrid_prediction_mixture,test,0.10590583345013348,0.1499969004244116,76.04835807330173,73.92113224588351,76.17266148910919,0.0,0.14120777793351133,78.00769345797514,78.63266746492822,0.2500000000000001,-0.025117207006369907,0.031284783476488866,False,37.0
bike-sharing,regression,controlled_mlp,1,Raw+GramAnchor-m8@0.25,hybrid_prediction_mixture,validation,0.09710269506001201,0.1366640123716694,71.82605793903298,70.85346132806106,74.00890528686973,0.0,0.12947026008001605,73.34231252782743,76.40138994440308,0.2500000000000002,-0.020673667580622824,0.03131467450100508,False,17.0
bike-sharing,regression,controlled_mlp,1,Raw+GramAnchor-m8@0.5,hybrid_prediction_mixture,test,0.07060388896675562,0.0999979336162744,75.35290777289332,73.79916061339203,75.19535506315725,0.0,0.14120777793351133,78.00769345797514,78.63266746492822,0.5000000000000002,-0.034032357161182115,0.04371354187245497,False,33.0
