dataset,problem_type,model,seed,method,track,split,disagreement,max_disagreement,task_error,orbit_mean_task_error,worst_orbit_task_error,runtime_seconds,raw_disagreement,raw_task_error,raw_worst_orbit_task_error,disagreement_reduction,relative_task_change,worst_orbit_gain,failure,predictive_rank
eeg-eye-state,classification,catboost,2,Raw,baseline,test,0.10984479296473178,0.1172258733275474,0.4023777767697611,0.4369857710775206,0.4506681404343745,20.629513922380283,0.10984479296473178,0.4023777767697611,0.4506681404343745,0.0,0.0,0.0,False,1.0
eeg-eye-state,classification,catboost,2,Raw,baseline,validation,0.11029006340676399,0.1147817080076837,0.4103171586536964,0.4426444009182725,0.4585276946897925,20.629513922380283,0.11029006340676399,0.4103171586536964,0.4585276946897925,0.0,0.0,0.0,False,1.0
eeg-eye-state,classification,catboost,2,Raw+GramAnchor@0.75,hybrid_prediction_mixture,test,0.0274611982411829,0.0293064683318868,0.4079104101746122,0.41549903152052714,0.4192816261766112,3.1914282930083573,0.10984479296473178,0.4023777767697611,0.4506681404343745,0.7500000000000004,0.013749848337217829,0.069644404478008,False,2.0
eeg-eye-state,classification,catboost,2,Raw+GramAnchor@0.75,hybrid_prediction_mixture,validation,0.027572515851690953,0.0286954270019209,0.4154073234299307,0.42193073445178675,0.4258379231804942,3.1914282930083573,0.11029006340676399,0.4103171586536964,0.4585276946897925,0.7500000000000004,0.012405439716281413,0.07129290528768148,False,2.0
eeg-eye-state,classification,controlled_mlp,0,BlockAdam+DataInit[equal-HPO],optimizer,test,9.780323121264287e-07,1.9649922583708915e-06,0.6071972649883605,0.6071972170834734,0.6071975912627556,5.985061462270096,0.12199075734490686,0.5646256516185995,0.5680469720059875,0.9999919827343201,0.07539794419138049,-0.06892144696857118,False,4.0
eeg-eye-state,classification,controlled_mlp,0,BlockAdam+DataInit[equal-HPO],optimizer,validation,9.534059266300794e-07,1.8780724185146284e-06,0.5116432124782049,0.5116431945597719,0.511643229457978,5.985061462270096,0.12585652691645005,0.5320501951480753,0.5349697146146815,0.9999924246604448,-0.03835537108334471,0.04360337514340344,False,3.0
eeg-eye-state,classification,controlled_mlp,0,GramAnchor,interface,test,0.0,0.0,0.5342408166041023,0.5342408166041023,0.5342408166041023,0.4280205070972442,0.12199075734490686,0.5646256516185995,0.5680469720059875,1.0,-0.05381412432714254,0.059512957674086354,False,2.0
eeg-eye-state,classification,controlled_mlp,0,GramAnchor,interface,validation,0.0,0.0,0.4997065946839516,0.4997065946839516,0.4997065946839516,0.4280205070972442,0.12585652691645005,0.5320501951480753,0.5349697146146815,1.0,-0.06079050578136164,0.06591610509415198,False,2.0
eeg-eye-state,classification,controlled_mlp,0,Raw,baseline,test,0.12199075734490686,0.1546460687272196,0.5646256516185995,0.5541859504052209,0.5680469720059875,3.4301031918730587,0.12199075734490686,0.5646256516185995,0.5680469720059875,0.0,0.0,0.0,False,3.0
eeg-eye-state,classification,controlled_mlp,0,Raw,baseline,validation,0.12585652691645005,0.1672363273808728,0.5320501951480753,0.5271872826196353,0.5349697146146815,3.4301031918730587,0.12585652691645005,0.5320501951480753,0.5349697146146815,0.0,0.0,0.0,False,4.0
