method,track,median_disagreement,median_disagreement_reduction,median_relative_task_change,median_task_error,median_predictive_rank,mean_predictive_rank,median_worst_orbit_gain,failure_fraction,paper_method_score,wins,ties,losses,units,model_families,datasets,runtime_seconds,performance_preserving_eligible,pareto_frontier
Raw+GramAnchor@0.25,hybrid_prediction_mixture,0.10453177841378761,0.2500000000000001,-0.006718093312325058,26.832028564669496,13.0,15.21111111111111,0.02135809204351609,0.0,0.2500000000000001,75,0,15,90,5,6,0.0,True,False
Raw+GramAnchor-m8@0.25,hybrid_prediction_mixture,0.1045317784137876,0.2500000000000001,-0.00615231392088614,26.758640604879414,11.0,14.966666666666667,0.020675380573618663,0.0,0.2500000000000001,71,0,19,90,5,6,0.0,True,False
Raw+NystromGram@0.25,hybrid_prediction_mixture,0.10453177841378758,0.2500000000000001,-0.006710980439860981,27.06920660574004,14.5,14.077777777777778,0.014832758286198039,0.0,0.2500000000000001,78,0,12,90,5,6,0.0,True,False
Raw+HybridSpectral-t0.05@0.25,hybrid_prediction_mixture,0.1045317784137876,0.2500000000000001,-0.006588815054663004,27.127499867535253,12.75,14.016666666666667,0.013930857305313613,0.0,0.2500000000000001,76,0,14,90,5,6,0.0,True,False
Raw+HybridSpectral-t0.10@0.25,hybrid_prediction_mixture,0.1045317784137876,0.2500000000000001,-0.006588815054663004,27.127499867535253,12.75,14.016666666666667,0.013930857305313613,0.0,0.2500000000000001,76,0,14,90,5,6,0.0,True,False
Raw+HybridSpectral-t0.01@0.25,hybrid_prediction_mixture,0.1045317784137876,0.2500000000000001,-0.006839727726486843,27.167522408816964,13.0,14.161111111111111,0.013596369054865942,0.0,0.2500000000000001,75,0,15,90,5,6,0.0,True,False
Raw+PCA@0.25,hybrid_prediction_mixture,0.1045317784137876,0.2500000000000001,-0.006841944460860849,27.343853604165083,12.75,14.405555555555555,0.013480584250954872,0.0,0.2500000000000001,73,0,17,90,5,6,0.0,True,False
Raw+GramDistance@0.25,hybrid_prediction_mixture,0.10453177841378761,0.2500000000000001,-0.003059377157124436,26.89735652783625,15.0,16.622222222222224,0.011968893463734125,0.0,0.2500000000000001,65,0,25,90,5,6,0.0,True,False
BlockAdam,optimizer,0.08413647458833215,0.055203085933675455,0.0031409511651663046,37.4622595776524,38.0,31.61111111111111,-0.0001716765986496565,0.027777777777777776,0.03255388566339949,11,0,25,36,2,6,157.13846772699617,True,False
MatrixAdam,optimizer,0.09129080113562466,0.011640409715400868,0.0010160212318102613,34.58634099153227,38.0,29.97222222222222,-0.0005088154966297556,0.1111111111111111,-0.021217474221428216,15,0,21,36,2,6,273.5356138679199,True,False
AdamW,optimizer,0.09012764887428865,0.0,0.0,37.17442499062369,31.25,28.930555555555557,0.0,0.0,0.0,0,36,0,36,2,6,101.05527966772206,True,False
Raw,representation,0.13937570455171683,0.0,0.0,27.109321786012114,24.0,22.116666666666667,0.0,0.0,0.0,0,90,0,90,5,6,770.1750438907184,True,False
