method,track,median_disagreement,median_disagreement_reduction,median_relative_task_change,median_task_error,median_predictive_rank,mean_predictive_rank,median_worst_orbit_gain,failure_fraction,paper_method_score,wins,ties,losses,units,model_families,datasets,runtime_seconds,performance_preserving_eligible,pareto_frontier
Raw+GramAnchor@0.25,hybrid_prediction_mixture,0.10453177841378755,0.2500000000000001,-0.0067180933123250006,26.832028564669496,13.0,15.322222222222223,0.02135809204351605,0.0,0.2500000000000001,75,0,15,90,5,6,0.0,True,False
Raw+GramAnchor-m8@0.25,hybrid_prediction_mixture,0.10453177841378755,0.2500000000000001,-0.0061523139208860995,26.758640604879414,11.5,15.077777777777778,0.0206753805736186,0.0,0.2500000000000001,71,0,19,90,5,6,0.0,True,False
Raw+NystromGram@0.25,hybrid_prediction_mixture,0.10453177841378755,0.2500000000000001,-0.00671098043986095,27.06920660574004,15.0,14.177777777777777,0.014832758286198,0.0,0.2500000000000001,78,0,12,90,5,6,0.0,True,False
Raw+HybridSpectral-t0.05@0.25,hybrid_prediction_mixture,0.10453177841378755,0.2500000000000001,-0.00658881505466295,27.127499867535253,12.75,14.161111111111111,0.01393085730531355,0.0,0.2500000000000001,76,0,14,90,5,6,0.0,True,False
Raw+HybridSpectral-t0.10@0.25,hybrid_prediction_mixture,0.10453177841378755,0.2500000000000001,-0.00658881505466295,27.127499867535253,12.75,14.161111111111111,0.01393085730531355,0.0,0.2500000000000001,76,0,14,90,5,6,0.0,True,False
Raw+HybridSpectral-t0.01@0.25,hybrid_prediction_mixture,0.10453177841378755,0.2500000000000001,-0.0068397277264867495,27.167522408816964,13.25,14.305555555555555,0.0135963690548659,0.0,0.2500000000000001,75,0,15,90,5,6,0.0,True,False
Raw+PCA@0.25,hybrid_prediction_mixture,0.10453177841378755,0.2500000000000001,-0.0068419444608608,27.343853604165083,13.0,14.561111111111112,0.013480584250954799,0.0,0.2500000000000001,73,0,17,90,5,6,0.0,True,False
Raw+GramDistance@0.25,hybrid_prediction_mixture,0.10453177841378755,0.2500000000000001,-0.0030593771571243997,26.89735652783625,15.0,16.755555555555556,0.011968893463734101,0.0,0.2500000000000001,65,0,25,90,5,6,0.0,True,False
BlockAdam,optimizer,0.08413647458833215,0.0552030859336754,0.00314095116516625,37.4622595776524,39.0,32.638888888888886,-0.0001716765986496,0.027777777777777776,0.0325538856633997,11,0,25,36,2,6,157.13846772699617,True,False
MatrixAdam,optimizer,0.0912908011356246,0.01164040971540085,0.0010160212318102,34.58634099153227,38.5,30.97222222222222,-0.0005088154966297,0.1111111111111111,-0.021217474221427925,15,0,21,36,2,6,273.5356138679199,True,False
AdamW,optimizer,0.09012764887428865,0.0,0.0,37.17442499062369,32.5,29.819444444444443,0.0,0.0,0.0,0,36,0,36,2,6,101.05527966772206,True,False
AdamW[equal-HPO],optimizer_equal_hpo,0.09435002688939835,0.0,0.0,32.14329868390942,33.0,28.416666666666668,0.0,0.0,0.0,0,36,0,36,2,6,96.9405425330624,True,False
Raw,representation,0.1393757045517168,0.0,0.0,27.109321786012114,24.0,22.383333333333333,0.0,0.0,0.0,0,90,0,90,5,6,770.1750438907184,True,False
