dataset,split_seed,model,task,method,orbitcover_budget,canonical_iid_equivalent_budget,bracket
bank_marketing_subscription,2026082811,resnet,classification,OC2-INDEPENDENT,16,15.719674843658213,interpolated
bank_marketing_subscription,2026082811,resnet,classification,OC2-COUPLED,16,21.069339987658275,interpolated
bank_marketing_subscription,2026082811,tabm,classification,OC2-INDEPENDENT,16,14.922928960244468,interpolated
bank_marketing_subscription,2026082811,tabm,classification,OC2-COUPLED,16,25.962244037915607,interpolated
bank_marketing_subscription,2026082821,ft_transformer,classification,OC2-INDEPENDENT,16,15.341044013597395,interpolated
bank_marketing_subscription,2026082821,ft_transformer,classification,OC2-COUPLED,16,17.172810886117237,interpolated
bank_marketing_subscription,2026082821,mlp,classification,OC2-INDEPENDENT,16,15.39279030292237,interpolated
bank_marketing_subscription,2026082821,mlp,classification,OC2-COUPLED,16,36.088265747503705,interpolated
bank_marketing_subscription,2026082821,resnet,classification,OC2-INDEPENDENT,16,15.618494607076027,interpolated
bank_marketing_subscription,2026082821,resnet,classification,OC2-COUPLED,16,22.749469946493473,interpolated
bank_marketing_subscription,2026082821,tabm,classification,OC2-INDEPENDENT,16,15.455603287200649,interpolated
bank_marketing_subscription,2026082821,tabm,classification,OC2-COUPLED,16,33.24221035258948,interpolated
credit_card_default,2026082801,ft_transformer,classification,OC2-INDEPENDENT,16,14.713574886249276,interpolated
credit_card_default,2026082801,ft_transformer,classification,OC2-COUPLED,16,24.762589437769176,interpolated
credit_card_default,2026082801,mlp,classification,OC2-INDEPENDENT,16,15.40807895911843,interpolated
credit_card_default,2026082801,mlp,classification,OC2-COUPLED,16,51.14730348023607,interpolated
credit_card_default,2026082801,resnet,classification,OC2-INDEPENDENT,16,15.099576041823784,interpolated
credit_card_default,2026082801,resnet,classification,OC2-COUPLED,16,32.81695590308996,interpolated
credit_card_default,2026082801,tabm,classification,OC2-INDEPENDENT,16,15.600801943281024,interpolated
credit_card_default,2026082801,tabm,classification,OC2-COUPLED,16,,>64
credit_card_default,2026082811,ft_transformer,classification,OC2-INDEPENDENT,16,15.238354599722282,interpolated
credit_card_default,2026082811,ft_transformer,classification,OC2-COUPLED,16,26.520035875571363,interpolated
credit_card_default,2026082811,mlp,classification,OC2-INDEPENDENT,16,14.872724360411409,interpolated
credit_card_default,2026082811,mlp,classification,OC2-COUPLED,16,50.8310450612901,interpolated
credit_card_default,2026082811,resnet,classification,OC2-INDEPENDENT,16,14.86240599839407,interpolated
credit_card_default,2026082811,resnet,classification,OC2-COUPLED,16,36.84735858430985,interpolated
credit_card_default,2026082811,tabm,classification,OC2-INDEPENDENT,16,15.025256731998123,interpolated
credit_card_default,2026082811,tabm,classification,OC2-COUPLED,16,,>64
credit_card_default,2026082821,ft_transformer,classification,OC2-INDEPENDENT,16,15.685291134386134,interpolated
credit_card_default,2026082821,ft_transformer,classification,OC2-COUPLED,16,26.361673648136968,interpolated
credit_card_default,2026082821,mlp,classification,OC2-INDEPENDENT,16,15.423595622425625,interpolated
credit_card_default,2026082821,mlp,classification,OC2-COUPLED,16,53.86250024227206,interpolated
credit_card_default,2026082821,resnet,classification,OC2-INDEPENDENT,16,14.633013638617685,interpolated
credit_card_default,2026082821,resnet,classification,OC2-COUPLED,16,39.698571163403905,interpolated
credit_card_default,2026082821,tabm,classification,OC2-INDEPENDENT,16,15.165365001274386,interpolated
credit_card_default,2026082821,tabm,classification,OC2-COUPLED,16,,>64
fremtpl_claim_count,2026082801,ft_transformer,regression,OC2-INDEPENDENT,16,14.990476596761177,interpolated
fremtpl_claim_count,2026082801,ft_transformer,regression,OC2-COUPLED,16,18.884035383962132,interpolated
fremtpl_claim_count,2026082801,mlp,regression,OC2-INDEPENDENT,16,14.457887721537793,interpolated
fremtpl_claim_count,2026082801,mlp,regression,OC2-COUPLED,16,43.6248884026321,interpolated
fremtpl_claim_count,2026082801,resnet,regression,OC2-INDEPENDENT,16,14.590722491809744,interpolated
fremtpl_claim_count,2026082801,resnet,regression,OC2-COUPLED,16,23.49499764517138,interpolated
fremtpl_claim_count,2026082801,tabm,regression,OC2-INDEPENDENT,16,15.324130988556385,interpolated
fremtpl_claim_count,2026082801,tabm,regression,OC2-COUPLED,16,35.89907374207155,interpolated
fremtpl_claim_count,2026082811,ft_transformer,regression,OC2-INDEPENDENT,16,15.071143002155974,interpolated
fremtpl_claim_count,2026082811,ft_transformer,regression,OC2-COUPLED,16,19.808365764818756,interpolated
fremtpl_claim_count,2026082811,mlp,regression,OC2-INDEPENDENT,16,14.805103674179346,interpolated
fremtpl_claim_count,2026082811,mlp,regression,OC2-COUPLED,16,40.77768246725552,interpolated
fremtpl_claim_count,2026082811,resnet,regression,OC2-INDEPENDENT,16,15.773491451106045,interpolated
fremtpl_claim_count,2026082811,resnet,regression,OC2-COUPLED,16,23.22836757288732,interpolated
fremtpl_claim_count,2026082811,tabm,regression,OC2-INDEPENDENT,16,14.490585083471347,interpolated
fremtpl_claim_count,2026082811,tabm,regression,OC2-COUPLED,16,34.70395015155463,interpolated
fremtpl_claim_count,2026082821,ft_transformer,regression,OC2-INDEPENDENT,16,15.623526575800398,interpolated
fremtpl_claim_count,2026082821,ft_transformer,regression,OC2-COUPLED,16,19.06267633161666,interpolated
fremtpl_claim_count,2026082821,mlp,regression,OC2-INDEPENDENT,16,14.809734155144236,interpolated
fremtpl_claim_count,2026082821,mlp,regression,OC2-COUPLED,16,44.765876690548666,interpolated
fremtpl_claim_count,2026082821,resnet,regression,OC2-INDEPENDENT,16,15.069726173338141,interpolated
fremtpl_claim_count,2026082821,resnet,regression,OC2-COUPLED,16,24.752765083673832,interpolated
fremtpl_claim_count,2026082821,tabm,regression,OC2-INDEPENDENT,16,13.99412504944026,interpolated
fremtpl_claim_count,2026082821,tabm,regression,OC2-COUPLED,16,35.03608853617967,interpolated
german_credit_risk,2026082801,ft_transformer,classification,OC2-INDEPENDENT,16,15.306103053110723,interpolated
german_credit_risk,2026082801,ft_transformer,classification,OC2-COUPLED,16,18.39329770274584,interpolated
german_credit_risk,2026082801,mlp,classification,OC2-INDEPENDENT,16,15.16625859617539,interpolated
german_credit_risk,2026082801,mlp,classification,OC2-COUPLED,16,35.432073817822406,interpolated
german_credit_risk,2026082801,resnet,classification,OC2-INDEPENDENT,16,14.776913367439134,interpolated
german_credit_risk,2026082801,resnet,classification,OC2-COUPLED,16,20.946958942476332,interpolated
german_credit_risk,2026082801,tabm,classification,OC2-INDEPENDENT,16,14.683222594613893,interpolated
german_credit_risk,2026082801,tabm,classification,OC2-COUPLED,16,37.879861899371676,interpolated
german_credit_risk,2026082811,ft_transformer,classification,OC2-INDEPENDENT,16,14.94621383598007,interpolated
german_credit_risk,2026082811,ft_transformer,classification,OC2-COUPLED,16,18.203320941859218,interpolated
german_credit_risk,2026082811,mlp,classification,OC2-INDEPENDENT,16,15.667033298347828,interpolated
german_credit_risk,2026082811,mlp,classification,OC2-COUPLED,16,39.39314302036246,interpolated
german_credit_risk,2026082811,resnet,classification,OC2-INDEPENDENT,16,14.874319605155387,interpolated
german_credit_risk,2026082811,resnet,classification,OC2-COUPLED,16,22.65782293713914,interpolated
german_credit_risk,2026082811,tabm,classification,OC2-INDEPENDENT,16,15.447320677133119,interpolated
german_credit_risk,2026082811,tabm,classification,OC2-COUPLED,16,40.42999846336172,interpolated
german_credit_risk,2026082821,ft_transformer,classification,OC2-INDEPENDENT,16,15.27098464231597,interpolated
german_credit_risk,2026082821,ft_transformer,classification,OC2-COUPLED,16,18.365876376582094,interpolated
german_credit_risk,2026082821,mlp,classification,OC2-INDEPENDENT,16,15.472429822249854,interpolated
german_credit_risk,2026082821,mlp,classification,OC2-COUPLED,16,37.80377439908898,interpolated
german_credit_risk,2026082821,resnet,classification,OC2-INDEPENDENT,16,14.7299732552441,interpolated
german_credit_risk,2026082821,resnet,classification,OC2-COUPLED,16,22.419122155933888,interpolated
german_credit_risk,2026082821,tabm,classification,OC2-INDEPENDENT,16,15.860147753659746,interpolated
german_credit_risk,2026082821,tabm,classification,OC2-COUPLED,16,38.295537908131124,interpolated
heloc_credit_risk,2026082801,ft_transformer,classification,OC2-INDEPENDENT,16,14.766018567282947,interpolated
heloc_credit_risk,2026082801,ft_transformer,classification,OC2-COUPLED,16,22.998194336926,interpolated
heloc_credit_risk,2026082801,mlp,classification,OC2-INDEPENDENT,16,14.843753993360982,interpolated
heloc_credit_risk,2026082801,mlp,classification,OC2-COUPLED,16,60.60063454709235,interpolated
heloc_credit_risk,2026082801,resnet,classification,OC2-INDEPENDENT,16,15.183248609007684,interpolated
heloc_credit_risk,2026082801,resnet,classification,OC2-COUPLED,16,32.42425893007614,interpolated
heloc_credit_risk,2026082801,tabm,classification,OC2-INDEPENDENT,16,15.297312828515844,interpolated
heloc_credit_risk,2026082801,tabm,classification,OC2-COUPLED,16,,>64
heloc_credit_risk,2026082811,ft_transformer,classification,OC2-INDEPENDENT,16,14.811641375730199,interpolated
heloc_credit_risk,2026082811,ft_transformer,classification,OC2-COUPLED,16,24.688387330357795,interpolated
heloc_credit_risk,2026082811,mlp,classification,OC2-INDEPENDENT,16,15.229742927646335,interpolated
heloc_credit_risk,2026082811,mlp,classification,OC2-COUPLED,16,56.34927789414363,interpolated
heloc_credit_risk,2026082811,resnet,classification,OC2-INDEPENDENT,16,14.974272823299899,interpolated
heloc_credit_risk,2026082811,resnet,classification,OC2-COUPLED,16,31.194393316151118,interpolated
heloc_credit_risk,2026082811,tabm,classification,OC2-INDEPENDENT,16,14.599801769776569,interpolated
heloc_credit_risk,2026082811,tabm,classification,OC2-COUPLED,16,,>64
heloc_credit_risk,2026082821,ft_transformer,classification,OC2-INDEPENDENT,16,15.349674860726559,interpolated
heloc_credit_risk,2026082821,ft_transformer,classification,OC2-COUPLED,16,23.039100604931754,interpolated
heloc_credit_risk,2026082821,mlp,classification,OC2-INDEPENDENT,16,15.081080405237916,interpolated
heloc_credit_risk,2026082821,mlp,classification,OC2-COUPLED,16,59.301350486181775,interpolated
heloc_credit_risk,2026082821,resnet,classification,OC2-INDEPENDENT,16,15.2183342770398,interpolated
heloc_credit_risk,2026082821,resnet,classification,OC2-COUPLED,16,28.28506622971277,interpolated
heloc_credit_risk,2026082821,tabm,classification,OC2-INDEPENDENT,16,15.444848668658603,interpolated
heloc_credit_risk,2026082821,tabm,classification,OC2-COUPLED,16,,>64
kdd17_stock_return,2026082801,ft_transformer,regression,OC2-INDEPENDENT,16,15.157606849727378,interpolated
kdd17_stock_return,2026082801,ft_transformer,regression,OC2-COUPLED,16,30.424359517724525,interpolated
kdd17_stock_return,2026082801,mlp,regression,OC2-INDEPENDENT,16,14.312735294056385,interpolated
kdd17_stock_return,2026082801,mlp,regression,OC2-COUPLED,16,,>64
kdd17_stock_return,2026082801,resnet,regression,OC2-INDEPENDENT,16,15.27571375512574,interpolated
kdd17_stock_return,2026082801,resnet,regression,OC2-COUPLED,16,37.932100234767155,interpolated
kdd17_stock_return,2026082801,tabm,regression,OC2-INDEPENDENT,16,15.285363473322851,interpolated
kdd17_stock_return,2026082801,tabm,regression,OC2-COUPLED,16,,>64
kdd17_stock_return,2026082811,ft_transformer,regression,OC2-INDEPENDENT,16,14.937286827575036,interpolated
kdd17_stock_return,2026082811,ft_transformer,regression,OC2-COUPLED,16,30.32660570149056,interpolated
kdd17_stock_return,2026082811,mlp,regression,OC2-INDEPENDENT,16,14.620078007284299,interpolated
kdd17_stock_return,2026082811,mlp,regression,OC2-COUPLED,16,,>64
kdd17_stock_return,2026082811,resnet,regression,OC2-INDEPENDENT,16,14.880074070765753,interpolated
kdd17_stock_return,2026082811,resnet,regression,OC2-COUPLED,16,40.76835545114381,interpolated
kdd17_stock_return,2026082811,tabm,regression,OC2-INDEPENDENT,16,16.009409466752142,interpolated
kdd17_stock_return,2026082811,tabm,regression,OC2-COUPLED,16,,>64
kdd17_stock_return,2026082821,ft_transformer,regression,OC2-INDEPENDENT,16,14.827848641408108,interpolated
kdd17_stock_return,2026082821,ft_transformer,regression,OC2-COUPLED,16,28.451553349394196,interpolated
kdd17_stock_return,2026082821,mlp,regression,OC2-INDEPENDENT,16,15.10028914403744,interpolated
kdd17_stock_return,2026082821,mlp,regression,OC2-COUPLED,16,,>64
kdd17_stock_return,2026082821,resnet,regression,OC2-INDEPENDENT,16,15.098965916968371,interpolated
kdd17_stock_return,2026082821,resnet,regression,OC2-COUPLED,16,38.983150867248206,interpolated
kdd17_stock_return,2026082821,tabm,regression,OC2-INDEPENDENT,16,14.489818152076776,interpolated
kdd17_stock_return,2026082821,tabm,regression,OC2-COUPLED,16,,>64
lendingclub_loan_default,2026082801,ft_transformer,classification,OC2-INDEPENDENT,16,14.615043553565489,interpolated
lendingclub_loan_default,2026082801,ft_transformer,classification,OC2-COUPLED,16,19.940456628024045,interpolated
lendingclub_loan_default,2026082801,mlp,classification,OC2-INDEPENDENT,16,15.067528603307991,interpolated
lendingclub_loan_default,2026082801,mlp,classification,OC2-COUPLED,16,42.05212356430065,interpolated
lendingclub_loan_default,2026082801,resnet,classification,OC2-INDEPENDENT,16,14.872330083716907,interpolated
lendingclub_loan_default,2026082801,resnet,classification,OC2-COUPLED,16,33.63161439536967,interpolated
lendingclub_loan_default,2026082801,tabm,classification,OC2-INDEPENDENT,16,15.41303644252885,interpolated
lendingclub_loan_default,2026082801,tabm,classification,OC2-COUPLED,16,48.6990498887501,interpolated
lendingclub_loan_default,2026082811,ft_transformer,classification,OC2-INDEPENDENT,16,14.683280902268933,interpolated
lendingclub_loan_default,2026082811,ft_transformer,classification,OC2-COUPLED,16,19.319428829758078,interpolated
lendingclub_loan_default,2026082811,mlp,classification,OC2-INDEPENDENT,16,15.050927786915176,interpolated
lendingclub_loan_default,2026082811,mlp,classification,OC2-COUPLED,16,40.349981471948624,interpolated
lendingclub_loan_default,2026082811,resnet,classification,OC2-INDEPENDENT,16,14.587622318812771,interpolated
lendingclub_loan_default,2026082811,resnet,classification,OC2-COUPLED,16,29.292813506136707,interpolated
lendingclub_loan_default,2026082811,tabm,classification,OC2-INDEPENDENT,16,14.902684129779797,interpolated
lendingclub_loan_default,2026082811,tabm,classification,OC2-COUPLED,16,42.79266540269418,interpolated
lendingclub_loan_default,2026082821,ft_transformer,classification,OC2-INDEPENDENT,16,15.668143870776493,interpolated
lendingclub_loan_default,2026082821,ft_transformer,classification,OC2-COUPLED,16,17.628836337057997,interpolated
lendingclub_loan_default,2026082821,mlp,classification,OC2-INDEPENDENT,16,15.347064361060498,interpolated
lendingclub_loan_default,2026082821,mlp,classification,OC2-COUPLED,16,43.17145084294948,interpolated
lendingclub_loan_default,2026082821,resnet,classification,OC2-INDEPENDENT,16,14.580780837203134,interpolated
lendingclub_loan_default,2026082821,resnet,classification,OC2-COUPLED,16,28.3116944108648,interpolated
lendingclub_loan_default,2026082821,tabm,classification,OC2-INDEPENDENT,16,14.783196506871928,interpolated
lendingclub_loan_default,2026082821,tabm,classification,OC2-COUPLED,16,44.42873849224482,interpolated
openml-abalone-183,2026082801,ft_transformer,regression,OC2-INDEPENDENT,16,15.688633521274628,interpolated
openml-abalone-183,2026082801,ft_transformer,regression,OC2-COUPLED,16,51.863112073699035,interpolated
openml-abalone-183,2026082801,mlp,regression,OC2-INDEPENDENT,16,15.952794584969336,interpolated
openml-abalone-183,2026082801,mlp,regression,OC2-COUPLED,16,,>64
openml-abalone-183,2026082801,resnet,regression,OC2-INDEPENDENT,16,14.323460076918463,interpolated
openml-abalone-183,2026082801,resnet,regression,OC2-COUPLED,16,,>64
openml-abalone-183,2026082801,tabm,regression,OC2-INDEPENDENT,16,14.529115191695052,interpolated
openml-abalone-183,2026082801,tabm,regression,OC2-COUPLED,16,,>64
openml-abalone-183,2026082811,ft_transformer,regression,OC2-INDEPENDENT,16,16.42398032869616,interpolated
openml-abalone-183,2026082811,ft_transformer,regression,OC2-COUPLED,16,51.97617006146116,interpolated
openml-abalone-183,2026082811,mlp,regression,OC2-INDEPENDENT,16,15.473726056095082,interpolated
openml-abalone-183,2026082811,mlp,regression,OC2-COUPLED,16,,>64
openml-abalone-183,2026082811,resnet,regression,OC2-INDEPENDENT,16,16.232326562870345,interpolated
openml-abalone-183,2026082811,resnet,regression,OC2-COUPLED,16,,>64
openml-abalone-183,2026082811,tabm,regression,OC2-INDEPENDENT,16,16.87361963201839,interpolated
openml-abalone-183,2026082811,tabm,regression,OC2-COUPLED,16,,>64
openml-abalone-183,2026082821,ft_transformer,regression,OC2-INDEPENDENT,16,13.97738433921299,interpolated
openml-abalone-183,2026082821,ft_transformer,regression,OC2-COUPLED,16,49.848546658956806,interpolated
openml-abalone-183,2026082821,mlp,regression,OC2-INDEPENDENT,16,14.900443344296097,interpolated
openml-abalone-183,2026082821,mlp,regression,OC2-COUPLED,16,,>64
openml-abalone-183,2026082821,resnet,regression,OC2-INDEPENDENT,16,14.016766229635463,interpolated
openml-abalone-183,2026082821,resnet,regression,OC2-COUPLED,16,,>64
openml-abalone-183,2026082821,tabm,regression,OC2-INDEPENDENT,16,14.979139961038978,interpolated
openml-abalone-183,2026082821,tabm,regression,OC2-COUPLED,16,,>64
openml-kin8nm-189,2026082801,ft_transformer,regression,OC2-INDEPENDENT,16,14.77789685736416,interpolated
openml-kin8nm-189,2026082801,ft_transformer,regression,OC2-COUPLED,16,,>64
openml-kin8nm-189,2026082801,mlp,regression,OC2-INDEPENDENT,16,15.68385839273296,interpolated
openml-kin8nm-189,2026082801,mlp,regression,OC2-COUPLED,16,,>64
openml-kin8nm-189,2026082801,resnet,regression,OC2-INDEPENDENT,16,15.41451906048462,interpolated
openml-kin8nm-189,2026082801,resnet,regression,OC2-COUPLED,16,,>64
openml-kin8nm-189,2026082801,tabm,regression,OC2-INDEPENDENT,16,14.562670418572692,interpolated
openml-kin8nm-189,2026082801,tabm,regression,OC2-COUPLED,16,,>64
openml-kin8nm-189,2026082811,ft_transformer,regression,OC2-INDEPENDENT,16,14.7966802186921,interpolated
openml-kin8nm-189,2026082811,ft_transformer,regression,OC2-COUPLED,16,,>64
openml-kin8nm-189,2026082811,mlp,regression,OC2-INDEPENDENT,16,14.757944994990657,interpolated
openml-kin8nm-189,2026082811,mlp,regression,OC2-COUPLED,16,,>64
openml-kin8nm-189,2026082811,resnet,regression,OC2-INDEPENDENT,16,15.9267705060246,interpolated
openml-kin8nm-189,2026082811,resnet,regression,OC2-COUPLED,16,,>64
openml-kin8nm-189,2026082811,tabm,regression,OC2-INDEPENDENT,16,15.432785298428835,interpolated
openml-kin8nm-189,2026082811,tabm,regression,OC2-COUPLED,16,,>64
openml-kin8nm-189,2026082821,ft_transformer,regression,OC2-INDEPENDENT,16,14.375620756124647,interpolated
openml-kin8nm-189,2026082821,ft_transformer,regression,OC2-COUPLED,16,,>64
openml-kin8nm-189,2026082821,mlp,regression,OC2-INDEPENDENT,16,14.907640508913596,interpolated
openml-kin8nm-189,2026082821,mlp,regression,OC2-COUPLED,16,,>64
openml-kin8nm-189,2026082821,resnet,regression,OC2-INDEPENDENT,16,14.755354251725981,interpolated
openml-kin8nm-189,2026082821,resnet,regression,OC2-COUPLED,16,,>64
openml-kin8nm-189,2026082821,tabm,regression,OC2-INDEPENDENT,16,15.28299466975893,interpolated
openml-kin8nm-189,2026082821,tabm,regression,OC2-COUPLED,16,,>64
openml-pol-201,2026082801,ft_transformer,regression,OC2-INDEPENDENT,16,15.194873075272541,interpolated
openml-pol-201,2026082801,ft_transformer,regression,OC2-COUPLED,16,,>64
openml-pol-201,2026082801,mlp,regression,OC2-INDEPENDENT,16,14.623734566423213,interpolated
openml-pol-201,2026082801,mlp,regression,OC2-COUPLED,16,,>64
openml-pol-201,2026082801,resnet,regression,OC2-INDEPENDENT,16,15.036556110651105,interpolated
openml-pol-201,2026082801,resnet,regression,OC2-COUPLED,16,,>64
openml-pol-201,2026082801,tabm,regression,OC2-INDEPENDENT,16,14.983333045326464,interpolated
openml-pol-201,2026082801,tabm,regression,OC2-COUPLED,16,,>64
openml-pol-201,2026082811,ft_transformer,regression,OC2-INDEPENDENT,16,14.890790441584581,interpolated
openml-pol-201,2026082811,ft_transformer,regression,OC2-COUPLED,16,,>64
openml-pol-201,2026082811,mlp,regression,OC2-INDEPENDENT,16,14.787285875223395,interpolated
openml-pol-201,2026082811,mlp,regression,OC2-COUPLED,16,,>64
openml-pol-201,2026082811,resnet,regression,OC2-INDEPENDENT,16,15.416462831351751,interpolated
openml-pol-201,2026082811,resnet,regression,OC2-COUPLED,16,,>64
openml-pol-201,2026082811,tabm,regression,OC2-INDEPENDENT,16,15.525081828622508,interpolated
openml-pol-201,2026082811,tabm,regression,OC2-COUPLED,16,,>64
openml-pol-201,2026082821,ft_transformer,regression,OC2-INDEPENDENT,16,15.436283398382976,interpolated
openml-pol-201,2026082821,ft_transformer,regression,OC2-COUPLED,16,,>64
openml-pol-201,2026082821,mlp,regression,OC2-INDEPENDENT,16,14.535859450302024,interpolated
openml-pol-201,2026082821,mlp,regression,OC2-COUPLED,16,,>64
openml-pol-201,2026082821,resnet,regression,OC2-INDEPENDENT,16,15.2986821571193,interpolated
openml-pol-201,2026082821,resnet,regression,OC2-COUPLED,16,,>64
openml-pol-201,2026082821,tabm,regression,OC2-INDEPENDENT,16,15.482418852304269,interpolated
openml-pol-201,2026082821,tabm,regression,OC2-COUPLED,16,,>64
openml-puma32h-308,2026082801,ft_transformer,regression,OC2-INDEPENDENT,16,15.4912421450453,interpolated
openml-puma32h-308,2026082801,ft_transformer,regression,OC2-COUPLED,16,,>64
openml-puma32h-308,2026082801,mlp,regression,OC2-INDEPENDENT,16,14.791520786712155,interpolated
openml-puma32h-308,2026082801,mlp,regression,OC2-COUPLED,16,,>64
openml-puma32h-308,2026082801,resnet,regression,OC2-INDEPENDENT,16,15.0730369546664,interpolated
openml-puma32h-308,2026082801,resnet,regression,OC2-COUPLED,16,,>64
openml-puma32h-308,2026082801,tabm,regression,OC2-INDEPENDENT,16,14.698672672864838,interpolated
openml-puma32h-308,2026082801,tabm,regression,OC2-COUPLED,16,,>64
openml-puma32h-308,2026082811,ft_transformer,regression,OC2-INDEPENDENT,16,14.593917613359464,interpolated
openml-puma32h-308,2026082811,ft_transformer,regression,OC2-COUPLED,16,,>64
openml-puma32h-308,2026082811,mlp,regression,OC2-INDEPENDENT,16,14.888499379708097,interpolated
openml-puma32h-308,2026082811,mlp,regression,OC2-COUPLED,16,,>64
openml-puma32h-308,2026082811,resnet,regression,OC2-INDEPENDENT,16,14.999195678066132,interpolated
openml-puma32h-308,2026082811,resnet,regression,OC2-COUPLED,16,,>64
openml-puma32h-308,2026082811,tabm,regression,OC2-INDEPENDENT,16,15.028433528841333,interpolated
openml-puma32h-308,2026082811,tabm,regression,OC2-COUPLED,16,,>64
openml-puma32h-308,2026082821,ft_transformer,regression,OC2-INDEPENDENT,16,14.246797810449644,interpolated
openml-puma32h-308,2026082821,ft_transformer,regression,OC2-COUPLED,16,,>64
openml-puma32h-308,2026082821,mlp,regression,OC2-INDEPENDENT,16,15.044645977501668,interpolated
openml-puma32h-308,2026082821,mlp,regression,OC2-COUPLED,16,,>64
openml-puma32h-308,2026082821,resnet,regression,OC2-INDEPENDENT,16,15.185525884249568,interpolated
openml-puma32h-308,2026082821,resnet,regression,OC2-COUPLED,16,,>64
openml-puma32h-308,2026082821,tabm,regression,OC2-INDEPENDENT,16,15.139512604167965,interpolated
openml-puma32h-308,2026082821,tabm,regression,OC2-COUPLED,16,,>64
