axis,dataset,model,condition,slope
training_size,kdd17_stock_return,resnet,20,-0.30022328011821037
training_size,kdd17_stock_return,resnet,50,-0.10810158147088621
training_size,kdd17_stock_return,resnet,100,0.050938460237307706
training_size,kdd17_stock_return,resnet,200,0.18760751236691908
training_size,kdd17_stock_return,resnet,convergence,0.280690521477622
training_size,kdd17_stock_return,tabm,20,-0.07272537495171962
training_size,kdd17_stock_return,tabm,50,-0.24943169613773483
training_size,kdd17_stock_return,tabm,100,-0.29727772730777563
training_size,kdd17_stock_return,tabm,200,-0.3076928759396514
training_size,kdd17_stock_return,tabm,convergence,0.25825658366716575
training_size,openml-abalone-183,ft_transformer,20,0.15365645177184334
training_size,openml-abalone-183,ft_transformer,50,-0.06104033550376604
training_size,openml-abalone-183,ft_transformer,100,-0.2626243443791975
training_size,openml-abalone-183,ft_transformer,200,-0.04681003653847333
training_size,openml-abalone-183,ft_transformer,convergence,-0.2508631911792167
training_size,openml-abalone-183,mlp,20,-0.025488208421527915
training_size,openml-abalone-183,mlp,50,0.11397513224480245
training_size,openml-abalone-183,mlp,100,0.9531552385635669
training_size,openml-abalone-183,mlp,200,0.6986282724543813
training_size,openml-abalone-183,mlp,convergence,-2.0407955838815672
training_size,openml-abalone-183,resnet,20,0.277932467694501
training_size,openml-abalone-183,resnet,50,-0.14502068868176454
training_size,openml-abalone-183,resnet,100,0.384436856793849
training_size,openml-abalone-183,resnet,200,0.219241258757759
training_size,openml-abalone-183,resnet,convergence,0.2328108445411331
training_size,openml-abalone-183,tabm,20,1.396348009750709
training_size,openml-abalone-183,tabm,50,1.1758464924919008
training_size,openml-abalone-183,tabm,100,-0.10715083258418608
training_size,openml-abalone-183,tabm,200,0.37134355424221616
training_size,openml-abalone-183,tabm,convergence,0.5951727834051325
optimization_budget,bank_marketing_subscription,ft_transformer,2048,0.22488955181784678
optimization_budget,bank_marketing_subscription,ft_transformer,8192,0.30277164515569444
optimization_budget,bank_marketing_subscription,ft_transformer,27126,0.4758195506144846
optimization_budget,bank_marketing_subscription,mlp,2048,1.4118023150459371
optimization_budget,bank_marketing_subscription,mlp,8192,1.3631778387059117
optimization_budget,bank_marketing_subscription,mlp,27126,1.4783542311560256
optimization_budget,bank_marketing_subscription,resnet,2048,0.3968025161298128
optimization_budget,bank_marketing_subscription,resnet,8192,0.4678982564565591
optimization_budget,bank_marketing_subscription,resnet,27126,0.6012019393503157
optimization_budget,bank_marketing_subscription,tabm,2048,1.2139216260226404
optimization_budget,bank_marketing_subscription,tabm,8192,0.762727730579838
optimization_budget,bank_marketing_subscription,tabm,27126,0.7313041027335159
optimization_budget,credit_card_default,ft_transformer,2048,0.4995169886966434
optimization_budget,credit_card_default,ft_transformer,8192,0.5616160262725002
optimization_budget,credit_card_default,ft_transformer,18000,0.6989700608886504
optimization_budget,credit_card_default,mlp,2048,1.051848661205693
optimization_budget,credit_card_default,mlp,8192,1.0261534242662906
optimization_budget,credit_card_default,mlp,18000,1.0606214346037115
optimization_budget,credit_card_default,resnet,2048,0.756095809085988
optimization_budget,credit_card_default,resnet,8192,0.8646574584769414
optimization_budget,credit_card_default,resnet,18000,1.0134001288188688
optimization_budget,credit_card_default,tabm,2048,0.8980350366604868
optimization_budget,credit_card_default,tabm,8192,0.6765132843535753
optimization_budget,credit_card_default,tabm,18000,0.6508558263177548
optimization_budget,fremtpl_claim_count,ft_transformer,2048,0.26156447560020246
optimization_budget,fremtpl_claim_count,ft_transformer,8192,0.25000264738067535
optimization_budget,fremtpl_claim_count,ft_transformer,32768,0.42681161756958697
optimization_budget,fremtpl_claim_count,ft_transformer,72000,0.5053073368608415
optimization_budget,fremtpl_claim_count,mlp,2048,1.229301229382895
optimization_budget,fremtpl_claim_count,mlp,8192,1.4151243579302977
optimization_budget,fremtpl_claim_count,mlp,32768,1.6203599365180794
optimization_budget,fremtpl_claim_count,mlp,72000,1.3674384356795346
optimization_budget,fremtpl_claim_count,resnet,2048,0.3213807486242328
optimization_budget,fremtpl_claim_count,resnet,8192,0.3460142989644385
optimization_budget,fremtpl_claim_count,resnet,32768,0.6689545393400176
optimization_budget,fremtpl_claim_count,resnet,72000,0.8596023380143377
optimization_budget,fremtpl_claim_count,tabm,2048,0.6027433252567315
optimization_budget,fremtpl_claim_count,tabm,8192,0.4344678845603445
optimization_budget,fremtpl_claim_count,tabm,32768,0.5413887101345571
optimization_budget,fremtpl_claim_count,tabm,72000,0.47481835285190144
optimization_budget,heloc_credit_risk,ft_transformer,2048,0.3729955302228209
optimization_budget,heloc_credit_risk,ft_transformer,6000,0.38788169209186873
optimization_budget,heloc_credit_risk,mlp,2048,1.4182933209290294
optimization_budget,heloc_credit_risk,mlp,6000,1.4523425822824227
optimization_budget,heloc_credit_risk,resnet,2048,0.6232992177282738
optimization_budget,heloc_credit_risk,resnet,6000,0.7241439051199773
optimization_budget,heloc_credit_risk,tabm,2048,1.1532824612788586
optimization_budget,heloc_credit_risk,tabm,6000,0.9079095376759502
optimization_budget,kdd17_stock_return,ft_transformer,2048,-0.13197080914456694
optimization_budget,kdd17_stock_return,ft_transformer,8192,0.05518611730191507
optimization_budget,kdd17_stock_return,ft_transformer,32768,0.33180492734223743
optimization_budget,kdd17_stock_return,ft_transformer,73649,0.41216280901074787
optimization_budget,kdd17_stock_return,mlp,2048,0.8406655610339806
optimization_budget,kdd17_stock_return,mlp,8192,0.7792435896020513
optimization_budget,kdd17_stock_return,mlp,32768,0.7426708653212283
optimization_budget,kdd17_stock_return,mlp,73649,0.6347498109477141
optimization_budget,kdd17_stock_return,resnet,2048,-0.2505196864060688
optimization_budget,kdd17_stock_return,resnet,8192,-0.02566131870195919
optimization_budget,kdd17_stock_return,resnet,32768,0.37809835155622135
optimization_budget,kdd17_stock_return,resnet,73649,0.4718701198467715
optimization_budget,kdd17_stock_return,tabm,2048,0.5513965357206609
optimization_budget,kdd17_stock_return,tabm,8192,0.33719796634186816
optimization_budget,kdd17_stock_return,tabm,32768,0.2765825685660545
optimization_budget,kdd17_stock_return,tabm,73649,0.15733924751783004
optimization_budget,openml-abalone-183,ft_transformer,2048,0.8236145388441038
optimization_budget,openml-abalone-183,ft_transformer,2505,0.8010917128908995
optimization_budget,openml-abalone-183,mlp,2048,-0.05433861819737505
optimization_budget,openml-abalone-183,mlp,2505,0.025193415787373667
optimization_budget,openml-abalone-183,resnet,2048,0.6336261907414166
optimization_budget,openml-abalone-183,resnet,2505,0.6406704604051117
optimization_budget,openml-abalone-183,tabm,2048,0.42883651088517705
optimization_budget,openml-abalone-183,tabm,2505,0.31342339464421537
