dataset,model,task,method,budget,residual_mean,residual_median,canonical_joint_distance
lendingclub_loan_default,catboost_native,classification,OC2-INDEPENDENT,16,3.371015293810257e-05,3.321255270443469e-05,5.712764626971559e-06
lendingclub_loan_default,xgboost,classification,CANONICAL-INDEPENDENT,16,1.4953669575659082e-14,1.4953669575659082e-14,0.002010802333718126
lendingclub_loan_default,xgboost,classification,IID-JOINT,16,0.00012231052357796434,0.00011217223796646893,0.002010802333718126
lendingclub_loan_default,xgboost,classification,SRS-JOINT,16,6.104245968511482e-05,5.702853013699503e-05,0.002010802333718126
lendingclub_loan_default,xgboost,classification,OC1-INDEPENDENT,16,5.315491491848079e-05,4.949062334851132e-05,0.002010802333718126
lendingclub_loan_default,xgboost,classification,OC2-INDEPENDENT,16,2.696433039033881e-15,2.700281918075511e-15,0.002010802333718126
openml-abalone-183,catboost_native,regression,CANONICAL-INDEPENDENT,16,0.00017700088393464907,0.00017666511364321022,4.744792645106302e-05
openml-abalone-183,catboost_native,regression,IID-JOINT,16,0.00018015960419865706,0.000179244299383064,4.744792645106302e-05
openml-abalone-183,catboost_native,regression,SRS-JOINT,16,0.00017770708849434663,0.00017668320506704127,4.744792645106302e-05
openml-abalone-183,catboost_native,regression,OC1-INDEPENDENT,16,0.00017957626174417004,0.0001787164320270104,4.744792645106302e-05
openml-abalone-183,catboost_native,regression,OC2-INDEPENDENT,16,0.0001764159589638582,0.00017583967710214037,4.744792645106302e-05
openml-abalone-183,xgboost,regression,CANONICAL-INDEPENDENT,16,8.13198568265655e-15,8.13198568265655e-15,0.005936726508995341
openml-abalone-183,xgboost,regression,IID-JOINT,16,0.0002489159283108502,0.00021319810211316742,0.005936726508995341
openml-abalone-183,xgboost,regression,SRS-JOINT,16,2.8340694762254252e-15,2.767918635434079e-15,0.005936726508995341
openml-abalone-183,xgboost,regression,OC1-INDEPENDENT,16,6.075147260549878e-05,4.779680165994815e-05,0.005936726508995341
openml-abalone-183,xgboost,regression,OC2-INDEPENDENT,16,2.8034755870497726e-15,2.7535829535263798e-15,0.005936726508995341
openml-kin8nm-189,catboost_native,regression,CANONICAL-INDEPENDENT,16,0.00038857768826587385,0.00038809251838073356,0.00028742360420213643
openml-kin8nm-189,catboost_native,regression,IID-JOINT,16,0.00023224439023113397,0.0002314397320045027,0.00028742360420213643
openml-kin8nm-189,catboost_native,regression,SRS-JOINT,16,0.00023246456684865223,0.00023110087130462015,0.00028742360420213643
openml-kin8nm-189,catboost_native,regression,OC1-INDEPENDENT,16,0.00023255463796532195,0.00023090071152829134,0.00028742360420213643
openml-kin8nm-189,catboost_native,regression,OC2-INDEPENDENT,16,0.00023091039749536212,0.00023047561210645624,0.00028742360420213643
openml-kin8nm-189,xgboost,regression,CANONICAL-INDEPENDENT,16,7.260411179569273e-15,7.260411179569273e-15,0.00012484698584267243
openml-kin8nm-189,xgboost,regression,IID-JOINT,16,1.0541839535003433e-05,9.505677132528401e-06,0.00012484698584267243
openml-kin8nm-189,xgboost,regression,SRS-JOINT,16,5.878969768604647e-15,5.869423520346273e-15,0.00012484698584267243
openml-kin8nm-189,xgboost,regression,OC1-INDEPENDENT,16,5.868725232257539e-15,5.858052950062331e-15,0.00012484698584267243
openml-kin8nm-189,xgboost,regression,OC2-INDEPENDENT,16,6.1107417019638985e-15,6.0778734582261094e-15,0.00012484698584267243
openml-pol-201,catboost_native,regression,CANONICAL-INDEPENDENT,16,0.00012381684394147655,0.00012034275494159983,7.330290007868781e-05
openml-pol-201,catboost_native,regression,IID-JOINT,16,6.937088951369964e-05,6.84355319255216e-05,7.330290007868781e-05
openml-pol-201,catboost_native,regression,SRS-JOINT,16,6.926001080038554e-05,6.802570965827392e-05,7.330290007868781e-05
openml-pol-201,catboost_native,regression,OC1-INDEPENDENT,16,6.88892211809552e-05,6.752038530307165e-05,7.330290007868781e-05
openml-pol-201,catboost_native,regression,OC2-INDEPENDENT,16,7.026292269032844e-05,6.867486527465747e-05,7.330290007868781e-05
openml-pol-201,xgboost,regression,CANONICAL-INDEPENDENT,16,1.6586350145447216e-14,1.6586350145447216e-14,0.00028578994808455774
openml-pol-201,xgboost,regression,IID-JOINT,16,1.0681750505597391e-05,8.656230040624482e-06,0.00028578994808455774
