dataset,split_seed,model,task,total_variance,schema_only_mass,initialization_main_mass,order_main_mass,schema_initialization_mass,schema_order_mass,initialization_order_mass,joint_higher_mass,fanova_reconstruction_error
heloc_credit_risk,2026082801,resnet,classification,0.01317321770566847,0.0015332373551940727,0.0009135208962290134,0.0024585318965587963,0.004274148416888238,0.000922128727546796,0.00044668087540865797,0.0026249695378428987,-1.734723475976807e-18
heloc_credit_risk,2026082811,resnet,classification,0.012155389776145671,0.001236443299184512,0.0008301173532186325,0.0022767987535658334,0.0039917966849463285,0.00083144180879258,0.0004424066581821258,0.0025463852182556566,1.734723475976807e-18
heloc_credit_risk,2026082821,resnet,classification,0.013155717443244282,0.0014667372524264258,0.0009698016525784977,0.002327865328842265,0.0043526111164658016,0.0008862396492494364,0.00043232881446020566,0.00272013362922165,0.0
heloc_credit_risk,2026082801,tabm,classification,0.0006874634912507615,0.00010706672670308328,0.00010459613063870576,0.00013041915798609388,0.0002993149701605685,8.749271950154696e-06,7.5570019271929386e-06,2.9760231884962478e-05,-2.168404344971009e-19
heloc_credit_risk,2026082811,tabm,classification,0.0006950505541795024,0.00010127851808897426,0.00010788896052939882,9.626549662835403e-05,0.00034748270135923906,8.499940309925929e-06,6.852491814796608e-06,2.6782445448813627e-05,2.168404344971009e-19
heloc_credit_risk,2026082821,tabm,classification,0.000844784800715984,8.967928632695345e-05,0.00010263267309749104,0.00031258739560072104,0.0002898769426577087,9.35677547954052e-06,1.2289787550414813e-05,2.836194000315449e-05,-2.168404344971009e-19
kdd17_stock_return,2026082801,ft_transformer,regression,0.17664697458626324,0.022314413273119275,0.011056106676425799,0.0026466156913153016,0.06405765840806929,0.018213443478962053,0.006468064353317045,0.0518906727050545,0.0
kdd17_stock_return,2026082811,ft_transformer,regression,0.17852035698358495,0.020741615951986002,0.014834650289103012,0.003283058656402834,0.06106565196491085,0.017745766792070888,0.0064352962503954605,0.05441431707871592,-2.7755575615628914e-17
kdd17_stock_return,2026082821,ft_transformer,regression,0.19912606449817097,0.024040759508966024,0.016173253134471897,0.003125850753742906,0.06825159450042524,0.019899125016893955,0.007905834793290663,0.05972964679038026,0.0
kdd17_stock_return,2026082801,mlp,regression,0.010677589177427782,0.0015000401445920124,0.0013592143785677955,0.0016773669974416098,0.004202752711613011,0.00032782770496714704,0.0004874362952285863,0.0011229509450176192,0.0
kdd17_stock_return,2026082811,mlp,regression,0.029285503771655928,0.0042333636128938975,0.005075334707913468,0.004667748090144239,0.010489774430763142,0.0008345530845055206,0.001149783047825367,0.002834946797610301,-6.938893903907228e-18
kdd17_stock_return,2026082821,mlp,regression,0.014834007876666219,0.002067721278637466,0.0017221238688201967,0.0021022425691046443,0.0055144326691186464,0.0004942595588441775,0.0009915860980527517,0.001941641834088337,0.0
kdd17_stock_return,2026082801,resnet,regression,0.11878635403707778,0.01700460178557398,0.01038707019086953,0.0057416047182316104,0.048378549017681266,0.008269578406057139,0.004678737421238934,0.024326212497425323,0.0
kdd17_stock_return,2026082811,resnet,regression,0.10865112185188947,0.014278062897163452,0.008936779246954449,0.008890165088491234,0.04328165126344921,0.006941988269516397,0.0042049750673493575,0.02211750001896537,0.0
kdd17_stock_return,2026082821,resnet,regression,0.11399321598919479,0.016351329892983567,0.010299868176205443,0.006273582670537569,0.045057477028593675,0.007848162987614636,0.004210417546081299,0.02395237768717859,0.0
kdd17_stock_return,2026082801,tabm,regression,0.01257493170691884,0.0021619824927698885,0.001742624777865976,0.0011495899974696333,0.006449445376976796,0.0002092810554783822,0.0001837514870790665,0.0006782565192790971,5.204170427930421e-18
kdd17_stock_return,2026082811,tabm,regression,0.020720984604259203,0.0031441151441380277,0.002552224441464852,0.004728639436824583,0.008639977928150461,0.000304115961650734,0.00037527952099630183,0.0009766321710342426,0.0
kdd17_stock_return,2026082821,tabm,regression,0.014148371271482545,0.002363669835927624,0.0018180124945324535,0.0022620953641449386,0.006263090945526665,0.0002715702987352194,0.00027838867476421257,0.0008915436578514313,1.734723475976807e-18
