dataset,view,model,seed,rmse,fit_predict_seconds
JenaWeather,reverse,lightgbm,20261221,0.26350367069244385,0.4701457340270281
JenaWeather,reverse,lightgbm,20261222,0.2649967670440674,0.4603371461853385
JenaWeather,reverse,lightgbm,20261223,0.2650302052497864,0.4570107110776007
JenaWeather,reverse,mlp,20261221,0.27451053261756897,0.3624030298087746
JenaWeather,reverse,mlp,20261222,0.2601895034313202,0.35722422087565064
JenaWeather,reverse,mlp,20261223,0.2858041524887085,0.2617819309234619
JenaWeather,reverse,tabpfn,20261221,0.2633877992630005,0.7162119701970369
JenaWeather,reverse,tabpfn,20261222,0.26787230372428894,0.596401201095432
JenaWeather,reverse,tabpfn,20261223,0.26977717876434326,0.5886505050584674
Electricity,levels,lightgbm,20261221,0.21867060661315918,0.44944110698997974
Electricity,levels,lightgbm,20261222,0.21620984375476837,0.4472274398431182
Electricity,levels,lightgbm,20261223,0.21833238005638123,0.4474994190968573
Electricity,levels,mlp,20261221,0.23013313114643097,0.9632723750546575
Electricity,levels,mlp,20261222,0.22396409511566162,0.6907645119354129
Electricity,levels,mlp,20261223,0.22623959183692932,0.6819426910951734
Electricity,levels,tabpfn,20261221,0.19853785634040833,0.6889232548419386
Electricity,levels,tabpfn,20261222,0.19820640981197357,0.6086289149243385
Electricity,levels,tabpfn,20261223,0.19800081849098206,0.6107243839651346
Electricity,differences,lightgbm,20261221,0.41366177797317505,0.494288062909618
Electricity,differences,lightgbm,20261222,0.41465499997138977,0.48761479114182293
Electricity,differences,lightgbm,20261223,0.4143652617931366,0.496982553973794
Electricity,differences,mlp,20261221,0.2690124809741974,0.9953080820851028
Electricity,differences,mlp,20261222,0.26942047476768494,1.0950193570461124
Electricity,differences,mlp,20261223,0.25476065278053284,0.9993628449738026
Electricity,differences,tabpfn,20261221,0.26589101552963257,0.6738463719375432
Electricity,differences,tabpfn,20261222,0.2706153988838196,0.6054153279401362
Electricity,differences,tabpfn,20261223,0.2714988589286804,0.61710624396801
Electricity,dct,lightgbm,20261221,0.2681066691875458,0.4903620609547943
Electricity,dct,lightgbm,20261222,0.27105438709259033,0.4869240871630609
Electricity,dct,lightgbm,20261223,0.2696346342563629,0.4875249839387834
Electricity,dct,mlp,20261221,0.2523401081562042,0.7577790259383619
Electricity,dct,mlp,20261222,0.2600835859775543,0.9556902479380369
Electricity,dct,mlp,20261223,0.25009846687316895,1.017439876915887
Electricity,dct,tabpfn,20261221,0.2054922729730606,0.6726981890387833
Electricity,dct,tabpfn,20261222,0.2043536752462387,0.6191051059868187
Electricity,dct,tabpfn,20261223,0.20513856410980225,0.6195363360457122
Electricity,reverse,lightgbm,20261221,0.21740180253982544,0.45023181522265077
Electricity,reverse,lightgbm,20261222,0.21752391755580902,0.44834709307178855
Electricity,reverse,lightgbm,20261223,0.21774297952651978,0.4497502399608493
Electricity,reverse,mlp,20261221,0.22708116471767426,0.6070911621209234
Electricity,reverse,mlp,20261222,0.22767141461372375,0.52019666088745
Electricity,reverse,mlp,20261223,0.2253892570734024,0.7197317199315876
Electricity,reverse,tabpfn,20261221,0.19870541989803314,0.6872467817738652
Electricity,reverse,tabpfn,20261222,0.19849053025245667,0.6173927229829133
Electricity,reverse,tabpfn,20261223,0.19789643585681915,0.6068667219951749
Traffic,levels,lightgbm,20261221,0.5579474568367004,0.360617513069883
Traffic,levels,lightgbm,20261222,0.5561145544052124,0.37270315387286246
Traffic,levels,lightgbm,20261223,0.5550051331520081,0.36785090900957584
Traffic,levels,mlp,20261221,0.5810520052909851,1.3137922729365528
Traffic,levels,mlp,20261222,0.5559749007225037,1.054584494791925
Traffic,levels,mlp,20261223,0.5451504588127136,0.5311474699992687
Traffic,levels,tabpfn,20261221,0.5100510120391846,0.7009227790404111
Traffic,levels,tabpfn,20261222,0.5108978152275085,0.6227207239717245
Traffic,levels,tabpfn,20261223,0.5165086388587952,0.616990254027769
Traffic,differences,lightgbm,20261221,0.6180427074432373,0.3846112568862736
Traffic,differences,lightgbm,20261222,0.6139060258865356,0.38588255387730896
Traffic,differences,lightgbm,20261223,0.6155544519424438,0.42514464003033936
Traffic,differences,mlp,20261221,0.5776073336601257,2.0212602051906288
Traffic,differences,mlp,20261222,0.5657077431678772,1.050127601949498
Traffic,differences,mlp,20261223,0.5848764777183533,0.9298203440848738
Traffic,differences,tabpfn,20261221,0.5872411727905273,0.6878560569602996
Traffic,differences,tabpfn,20261222,0.5880919098854065,0.6201270318124443
Traffic,differences,tabpfn,20261223,0.5849881172180176,0.6191801340319216
Traffic,dct,lightgbm,20261221,0.6002089381217957,0.370496645802632
Traffic,dct,lightgbm,20261222,0.5969336032867432,0.3905769200064242
Traffic,dct,lightgbm,20261223,0.5970860719680786,0.42713777208700776
Traffic,dct,mlp,20261221,0.5852495431900024,1.3497314709238708
Traffic,dct,mlp,20261222,0.5637918710708618,1.3861729118507355
Traffic,dct,mlp,20261223,0.5443150997161865,0.8678558489773422
Traffic,dct,tabpfn,20261221,0.5645255446434021,0.694000257877633
Traffic,dct,tabpfn,20261222,0.6005609035491943,0.6302309238817543
Traffic,dct,tabpfn,20261223,0.5775426626205444,0.6385032951366156
Traffic,reverse,lightgbm,20261221,0.551382303237915,0.4282213249243796
Traffic,reverse,lightgbm,20261222,0.5527130365371704,0.4244334341492504
Traffic,reverse,lightgbm,20261223,0.5576216578483582,0.42782045085914433
Traffic,reverse,mlp,20261221,0.5622057914733887,1.2746490249410272
Traffic,reverse,mlp,20261222,0.5570725202560425,1.0586208500899374
Traffic,reverse,mlp,20261223,0.5451067090034485,0.7830790791194886
Traffic,reverse,tabpfn,20261221,0.5120754837989807,0.6558519799727947
Traffic,reverse,tabpfn,20261222,0.5076735615730286,0.6090762470848858
Traffic,reverse,tabpfn,20261223,0.5040701031684875,0.613872657995671
