dataset,task,model,remedy,seed,1.0,3000.0,sensitivity,adamw_k1,baseline_gain
adult,binclass,resnet,adamw,4,0.8520975370063264,0.8439899269086666,0.8107610097659812,0.8520975370063264,0.0
adult,binclass,resnet,anchor_whiten_adamw,0,0.8519132731404705,0.8519132731404705,0.0,0.8522203795835637,-0.03071064430931747
adult,binclass,resnet,anchor_whiten_adamw,1,0.8480437319574965,0.8480437319574965,0.0,0.8527731711811314,-0.47294392236348903
adult,binclass,resnet,anchor_whiten_adamw,2,0.8493950003071065,0.8493950003071065,0.0,0.8510533750998096,-0.16583747927031434
adult,binclass,resnet,anchor_whiten_adamw,3,0.850316319636386,0.850316319636386,0.0,0.8505005835022419,-0.018426386585590482
adult,binclass,resnet,anchor_whiten_adamw,4,0.8514219028315214,0.8514219028315214,0.0,0.8520975370063264,-0.06756341748049843
adult,binclass,resnet,anchor_whiten_sgd,0,0.8512990602542841,0.8512990602542841,0.0,0.8522203795835637,-0.09213193292795241
adult,binclass,resnet,anchor_whiten_sgd,1,0.8498249493274369,0.8498249493274369,0.0,0.8527731711811314,-0.2948221853694477
adult,binclass,resnet,anchor_whiten_sgd,2,0.8473680977826915,0.8473680977826915,0.0,0.8510533750998096,-0.36852773171180964
adult,binclass,resnet,anchor_whiten_sgd,3,0.8501934770591487,0.8501934770591487,0.0,0.8505005835022419,-0.03071064430931747
adult,binclass,resnet,anchor_whiten_sgd,4,0.8519132731404705,0.8519132731404705,0.0,0.8520975370063264,-0.018426386585590482
adult,binclass,resnet,natural_hybrid_invariant_init,0,0.8466924636078865,0.8507462686567164,-0.4053805048829906,0.8522203795835637,-0.5527915975677145
adult,binclass,resnet,natural_hybrid_invariant_init,1,0.8506848473680978,0.8512376389656655,-0.055279159756771445,0.8527731711811314,-0.2088323813033588
adult,binclass,resnet,natural_hybrid_invariant_init,2,0.8480437319574965,0.8497021067501996,-0.16583747927031434,0.8510533750998096,-0.3009643142313112
adult,binclass,resnet,natural_hybrid_invariant_init,3,0.8495178428843437,0.8503777409250046,-0.08598980406608892,0.8505005835022419,-0.0982740617898159
adult,binclass,resnet,natural_hybrid_invariant_init,4,0.8500092131932928,0.8489036299981574,0.11055831951354289,0.8520975370063264,-0.2088323813033588
adult,binclass,resnet,natural_hybrid_invariant_init_lr01,0,0.8461396720103188,0.8463239358761747,-0.018426386585590482,0.8522203795835637,-0.6080707573244859
adult,binclass,resnet,natural_hybrid_invariant_init_lr01,1,0.8510533750998096,0.85148332412014,-0.04299490203304446,0.8527731711811314,-0.17197960813217783
adult,binclass,resnet,natural_hybrid_invariant_init_lr01,2,0.8481051532461151,0.8499477919046742,-0.18426386585590482,0.8510533750998096,-0.2948221853694477
adult,binclass,resnet,natural_hybrid_invariant_init_lr01,3,0.8479208893802592,0.8497635280388183,-0.18426386585590482,0.8505005835022419,-0.25796941219826675
adult,binclass,resnet,natural_hybrid_invariant_init_lr01,4,0.8500092131932928,0.8493335790184878,0.06756341748049843,0.8520975370063264,-0.2088323813033588
adult,binclass,resnet,whiten_sgd,0,0.8509305325225723,0.8506848473680978,0.024568515447453976,0.8522203795835637,-0.12898470609913337
adult,binclass,resnet,whiten_sgd,1,0.8532031202014618,0.8515447454087587,0.16583747927031434,0.8527731711811314,0.04299490203304446
adult,binclass,resnet,whiten_sgd,2,0.8477366255144033,0.8490264725753947,-0.12898470609913337,0.8510533750998096,-0.3316749585406287
adult,binclass,resnet,whiten_sgd,3,0.852158958294945,0.8507462686567164,0.14126896382286036,0.8505005835022419,0.16583747927031434
adult,binclass,resnet,whiten_sgd,4,0.8515447454087587,0.851667587985996,-0.012284257723726988,0.8520975370063264,-0.055279159756771445
california,regression,mlp,adamw,0,0.5053605923362454,0.6276438111772578,24.197220894432206,0.5053605923362454,0.0
california,regression,mlp,adamw,1,0.5030436268210856,0.6388424605397205,26.995438661413278,0.5030436268210856,0.0
california,regression,mlp,adamw,2,0.5051872358467477,0.6370413793104461,26.100054416991906,0.5051872358467477,0.0
california,regression,mlp,adamw,3,0.5082579147024191,0.6329336744635299,24.530018353793356,0.5082579147024191,0.0
california,regression,mlp,adamw,4,0.50727827067767,0.6414450907090625,26.44836725455635,0.50727827067767,0.0
california,regression,mlp,anchor_whiten_adamw,0,0.4906220394300575,0.4906220394300575,0.0,0.5053605923362454,2.916442858762029
california,regression,mlp,anchor_whiten_adamw,1,0.4859520328174262,0.4859520328174262,0.0,0.5030436268210856,3.3976365254177554
california,regression,mlp,anchor_whiten_adamw,2,0.48616246794953,0.48616246794953,0.0,0.5051872358467477,3.765884517119717
california,regression,mlp,anchor_whiten_adamw,3,0.4842257314625122,0.4842257314625122,0.0,0.5082579147024191,4.728344123077268
california,regression,mlp,anchor_whiten_adamw,4,0.4916178015960888,0.4916178015960888,0.0,0.50727827067767,3.0871555094722303
california,regression,mlp,anchor_whiten_sgd,0,0.4848490123764684,0.4848490469647544,7.133826228410991e-06,0.5053605923362454,4.058800838615747
california,regression,mlp,anchor_whiten_sgd,1,0.4828436527300006,0.4828436527300006,0.0,0.5030436268210856,4.015551139915223
california,regression,mlp,anchor_whiten_sgd,2,0.4845226027213627,0.4845226027213627,0.0,0.5051872358467477,4.090489952848649
california,regression,mlp,anchor_whiten_sgd,3,0.4830053529671119,0.4830053529671119,0.0,0.5082579147024191,4.968454205005815
california,regression,mlp,anchor_whiten_sgd,4,0.4891182099307798,0.4891182099307798,0.0,0.50727827067767,3.5799011699496264
california,regression,mlp,natural_hybrid_invariant_init,0,0.4954908595106921,0.4967012765797207,0.24428645772071209,0.5053605923362454,1.9530080056156045
california,regression,mlp,natural_hybrid_invariant_init,1,0.4913994457464881,0.4912237026652555,-0.035763793132816774,0.5030436268210856,2.314745770298555
california,regression,mlp,natural_hybrid_invariant_init,2,0.4909467542591486,0.4901170504542662,-0.16900077201537722,0.5051872358467477,2.8188522150070945
california,regression,mlp,natural_hybrid_invariant_init,3,0.4880095861874878,0.4864855225408924,-0.3123019894961408,0.5082579147024191,3.9838688054246107
california,regression,mlp,natural_hybrid_invariant_init,4,0.4803867430096318,0.4813373328741299,0.19788012020119933,0.50727827067767,5.301139280441467
california,regression,mlp,natural_hybrid_invariant_init_lr01,0,0.4943415253547627,0.496210987625485,0.37817220986658007,0.5053605923362454,2.180436533553664
california,regression,mlp,natural_hybrid_invariant_init_lr01,1,0.4952480843311662,0.4941888872485869,-0.21387202012295248,0.5030436268210856,1.5496752317850195
california,regression,mlp,natural_hybrid_invariant_init_lr01,2,0.4958813266714941,0.4958455277954705,-0.007219242608692533,0.5051872358467477,1.8420713183016093
california,regression,mlp,natural_hybrid_invariant_init_lr01,3,0.488387566977039,0.4888525027176271,0.09519811150514995,0.5082579147024191,3.909500895232301
california,regression,mlp,natural_hybrid_invariant_init_lr01,4,0.4900137352439451,0.4930931649359777,0.6284374233917296,0.50727827067767,3.4033658509877176
california,regression,mlp,whiten_sgd,0,0.4876362056399763,0.4848171565650503,-0.5781049565887417,0.5053605923362454,3.507275194199567
california,regression,mlp,whiten_sgd,1,0.4914607707775893,0.4893669342955,-0.4260434619789612,0.5030436268210856,2.302554972556266
california,regression,mlp,whiten_sgd,2,0.4908551298894998,0.4934458616884534,0.5277996788047835,0.5051872358467477,2.836988930099509
california,regression,mlp,whiten_sgd,3,0.4868760242899803,0.4871121931068778,0.04850697202474485,0.5082579147024191,4.2068976781124485
california,regression,mlp,whiten_sgd,4,0.4870420826511292,0.4886263299153874,0.32527933841663825,0.50727827067767,3.9891691003258143
california,regression,resnet,adamw,0,0.5004644129213744,0.6083850535251614,21.564098828489893,0.5004644129213744,0.0
california,regression,resnet,adamw,1,0.5235484274768041,0.6039831407174177,15.363375958984664,0.5235484274768041,0.0
california,regression,resnet,adamw,2,0.5054461637558418,0.6054947871693344,19.79412063790467,0.5054461637558418,0.0
california,regression,resnet,adamw,3,0.5048174524809816,0.6070891688013944,20.259148295643705,0.5048174524809816,0.0
california,regression,resnet,adamw,4,0.4995979763567462,0.6113857256899422,22.375540859551467,0.4995979763567462,0.0
california,regression,resnet,anchor_whiten_adamw,0,0.4794096585180476,0.4794096585180476,0.0,0.5004644129213744,4.207043270154482
california,regression,resnet,anchor_whiten_adamw,1,0.4985201707762918,0.4985201707762918,0.0,0.5235484274768041,4.780504607975575
california,regression,resnet,anchor_whiten_adamw,2,0.4849673043146332,0.4849673043146332,0.0,0.5054461637558418,4.051640097342009
california,regression,resnet,anchor_whiten_adamw,3,0.4873168174069313,0.4873168174069313,0.0,0.5048174524809816,3.4667254446219204
california,regression,resnet,anchor_whiten_adamw,4,0.508764390974509,0.508764390974509,0.0,0.4995979763567462,-1.8347581558691837
california,regression,resnet,anchor_whiten_sgd,0,0.5177897199736243,0.5177897199736243,0.0,0.5004644129213744,-3.461845958460143
california,regression,resnet,anchor_whiten_sgd,1,0.5090422732643383,0.5090423078526243,6.794776746398615e-06,0.5235484274768041,2.7707378059326735
california,regression,resnet,anchor_whiten_sgd,2,0.5166138566023228,0.5166138911906089,6.695191306053062e-06,0.5054461637558418,-2.2094722736634735
california,regression,resnet,anchor_whiten_sgd,3,0.5123734710902603,0.5123734710902603,0.0,0.5048174524809816,-1.4967823660104826
california,regression,resnet,anchor_whiten_sgd,4,0.5209674495745062,0.5209674149862202,-6.6392412887510935e-06,0.4995979763567462,-4.277333822205243
california,regression,resnet,natural_hybrid_invariant_init,0,0.5014148298444425,0.4998752360574272,-0.3070499106484319,0.5004644129213744,-0.1899069940897858
california,regression,resnet,natural_hybrid_invariant_init,1,0.5004223535655825,0.5002562260278616,-0.03319746540842075,0.5235484274768041,4.417179519127898
california,regression,resnet,natural_hybrid_invariant_init,2,0.5117447944036861,0.4931431795975527,-3.634939721821514,0.5054461637558418,-1.2461526270257517
california,regression,resnet,natural_hybrid_invariant_init,3,0.4969688515603181,0.4984062715504507,0.2892374412640869,0.5048174524809816,1.5547404080605187
california,regression,resnet,natural_hybrid_invariant_init,4,0.5053740471795045,0.500764155007964,-0.9121742988719629,0.4995979763567462,-1.1561437588037444
california,regression,resnet,natural_hybrid_invariant_init_lr01,0,0.5064410266264368,0.5051823934867059,-0.24852511419049103,0.5004644129213744,-1.1942135246290255
california,regression,resnet,natural_hybrid_invariant_init_lr01,1,0.5070341119667034,0.5072615645355256,0.044859421378952415,0.5235484274768041,3.1543052453982017
california,regression,resnet,natural_hybrid_invariant_init_lr01,2,0.496332427097677,0.4955271080344339,-0.1622539691698643,0.5054461637558418,1.8031072964216368
california,regression,resnet,natural_hybrid_invariant_init_lr01,3,0.5035612059329857,0.504382919843799,0.16318054312600674,0.5048174524809816,0.24885164762469664
california,regression,resnet,natural_hybrid_invariant_init_lr01,4,0.5127894298178539,0.5073230970963429,-1.065999492901532,0.4995979763567462,-2.6404137097000873
california,regression,resnet,whiten_sgd,0,0.5115261618477973,0.5125932796478736,0.20861451078504295,0.5004644129213744,-2.2102968044924154
california,regression,resnet,whiten_sgd,1,0.5137537512318993,0.5147038914486792,0.18494078427684216,0.5235484274768041,1.87082526292924
california,regression,resnet,whiten_sgd,2,0.5101745553952632,0.5116080323207903,0.28097773798547965,0.5054461637558418,-0.9354886788111968
california,regression,resnet,whiten_sgd,3,0.5099553002502262,0.5115457734059667,0.3118848171516505,0.5048174524809816,-1.0177634992597828
california,regression,resnet,whiten_sgd,4,0.5153522834582809,0.5150397437058665,-0.06064584604478813,0.4995979763567462,-3.1533969005280897
diamond,regression,mlp,adamw,0,0.1473283010341193,0.1802772036165514,22.364272411450358,0.1473283010341193,0.0
diamond,regression,mlp,adamw,1,0.1508339079844569,0.1813149472376363,20.20834682366011,0.1508339079844569,0.0
diamond,regression,mlp,adamw,2,0.1459065509454493,0.1740686555516672,19.3014668798161,0.1459065509454493,0.0
diamond,regression,mlp,adamw,3,0.1524554734473211,0.1818251669726054,19.264440207476436,0.1524554734473211,0.0
diamond,regression,mlp,adamw,4,0.1459849696716508,0.1919697850467638,31.499691700140065,0.1459849696716508,0.0
diamond,regression,mlp,anchor_whiten_adamw,0,0.143962866627735,0.143962866627735,0.0,0.1473283010341193,2.284309520140957
diamond,regression,mlp,anchor_whiten_adamw,1,0.1440634804550207,0.1440634804550207,0.0,0.1508339079844569,4.488664133885507
diamond,regression,mlp,anchor_whiten_adamw,2,0.1433342383327289,0.1433342531988382,1.037163866843587e-05,0.1459065509454493,1.7629863745337362
diamond,regression,mlp,anchor_whiten_adamw,3,0.1433200560645211,0.1433200709306303,1.037266491879579e-05,0.1524554734473211,5.992187211275567
diamond,regression,mlp,anchor_whiten_adamw,4,0.1434686874246278,0.1434686874246278,0.0,0.1459849696716508,1.7236584373601203
diamond,regression,mlp,anchor_whiten_sgd,0,0.1393253838526522,0.1393253838526522,0.0,0.1473283010341193,5.432029776555793
diamond,regression,mlp,anchor_whiten_sgd,1,0.1399839078933249,0.1399839078933249,0.0,0.1508339079844569,7.193342820667392
diamond,regression,mlp,anchor_whiten_sgd,2,0.1423219603567593,0.1423219752228686,1.0445407917735222e-05,0.1459065509454493,2.456771519484549
diamond,regression,mlp,anchor_whiten_sgd,3,0.1409510672277738,0.1409510672277738,0.0,0.1524554734473211,7.546076214523371
diamond,regression,mlp,anchor_whiten_sgd,4,0.1409337630766272,0.1409337630766272,0.0,0.1459849696716508,3.4600867516599707
diamond,regression,mlp,natural_hybrid_invariant_init,0,0.1415386650612982,0.1400149631955116,-1.076526944158125,0.1473283010341193,3.929751400228468
diamond,regression,mlp,natural_hybrid_invariant_init,1,0.1427891278393911,0.1417402941008188,-0.7345333320839661,0.1508339079844569,5.333535577354922
diamond,regression,mlp,natural_hybrid_invariant_init,2,0.1449371022301786,0.1441143225485959,-0.5676805103195892,0.1459065509454493,0.6644312465676333
diamond,regression,mlp,natural_hybrid_invariant_init,3,0.1445784573449442,0.1445408312224767,-0.026024708769524833,0.1524554734473211,5.166765039169744
diamond,regression,mlp,natural_hybrid_invariant_init,4,0.1452345879420304,0.1429678482045844,-1.560743738503076,0.1459849696716508,0.5140130051115341
diamond,regression,mlp,natural_hybrid_invariant_init_lr01,0,0.1463284362593588,0.1441211906910613,-1.5084187494392904,0.1473283010341193,0.678664430216274
diamond,regression,mlp,natural_hybrid_invariant_init_lr01,1,0.1453160244884062,0.1455871079902611,0.18654756267195036,0.1508339079844569,3.6582513638904772
diamond,regression,mlp,natural_hybrid_invariant_init_lr01,2,0.1481343563428154,0.1471933464945065,-0.6352407851499435,0.1459065509454493,-1.5268714001738213
diamond,regression,mlp,natural_hybrid_invariant_init_lr01,3,0.1473848219814213,0.146413292010858,-0.6591791186515542,0.1524554734473211,3.325988468135842
diamond,regression,mlp,natural_hybrid_invariant_init_lr01,4,0.1458987759703207,0.1467887801978529,0.6100148692907905,0.1459849696716508,0.059042860045101925
diamond,regression,mlp,whiten_sgd,0,0.140336398209337,0.1386544317446612,-1.1985247492007378,0.1473283010341193,4.74579749831167
diamond,regression,mlp,whiten_sgd,1,0.1410113938990393,0.1398617530737613,-0.8152822218757065,0.1508339079844569,6.512139224311408
diamond,regression,mlp,whiten_sgd,2,0.1414481155899629,0.1412029437165003,-0.17332989728425452,0.1459065509454493,3.055678670077874
diamond,regression,mlp,whiten_sgd,3,0.141069936637197,0.2851633128378843,102.14322033139209,0.1524554734473211,7.468106295349392
diamond,regression,mlp,whiten_sgd,4,0.1815308774742385,0.1396363828577964,-23.078439987372093,0.1459849696716508,-24.349018863063428
diamond,regression,resnet,adamw,0,0.1516363954269373,0.1686613015777602,11.227453740830953,0.1516363954269373,0.0
diamond,regression,resnet,adamw,1,0.1521892214309668,0.1785536120460245,17.32342827380624,0.1521892214309668,0.0
diamond,regression,resnet,adamw,2,0.153651333006203,0.1684278887967005,9.616939535370616,0.153651333006203,0.0
diamond,regression,resnet,adamw,3,0.1494513598258331,0.1724068177988922,15.359818739562364,0.1494513598258331,0.0
diamond,regression,resnet,adamw,4,0.151692960972567,0.1716259605453451,13.140358949406298,0.151692960972567,0.0
diamond,regression,resnet,anchor_whiten_adamw,0,0.1499595131716189,0.1499594983055097,-9.913415221444018e-06,0.1516363954269373,1.105857370585128
diamond,regression,resnet,anchor_whiten_adamw,1,0.1474218385934103,0.147421823727301,-1.0084061784784884e-05,0.1521892214309668,3.1325364521422436
diamond,regression,resnet,anchor_whiten_adamw,2,0.1519683556460993,0.1519683556460993,0.0,0.153651333006203,1.0953223295731225
diamond,regression,resnet,anchor_whiten_adamw,3,0.1502997389475142,0.1502997538136234,9.890974734127765e-06,0.1494513598258331,-0.5676623636411017
diamond,regression,resnet,anchor_whiten_adamw,4,0.1514010500516773,0.1514010649177866,9.819026541065028e-06,0.151692960972567,0.19243537670971247
diamond,regression,resnet,anchor_whiten_sgd,0,0.1477336552345622,0.1477336552345622,0.0,0.1516363954269373,2.5737489877590463
diamond,regression,resnet,anchor_whiten_sgd,1,0.1463909779809,0.1463909779809,0.0,0.1521892214309668,3.8098909998674824
diamond,regression,resnet,anchor_whiten_sgd,2,0.1482425816180281,0.1482425964841374,1.0028231514700929e-05,0.153651333006203,3.520146088128336
diamond,regression,resnet,anchor_whiten_sgd,3,0.1479104281394461,0.1479104281394461,0.0,0.1494513598258331,1.0310589934964538
diamond,regression,resnet,anchor_whiten_sgd,4,0.1499397561124489,0.1499397561124489,0.0,0.151692960972567,1.1557588756113446
diamond,regression,resnet,natural_hybrid_invariant_init,0,0.1512726514662361,0.1496440394675957,-1.076607029000167,0.1516363954269373,0.23987906048350185
diamond,regression,resnet,natural_hybrid_invariant_init,1,0.1496237174962749,0.1493270940187585,-0.1982462957610955,0.1521892214309668,1.6857330043281806
diamond,regression,resnet,natural_hybrid_invariant_init,2,0.152584169354947,0.1536208574822763,0.6794205006403456,0.153651333006203,0.6945358887403348
diamond,regression,resnet,natural_hybrid_invariant_init,3,0.154676618827751,0.1516701563610043,-1.9437084218234062,0.1494513598258331,-3.4962940504571383
diamond,regression,resnet,natural_hybrid_invariant_init,4,0.1517615829327843,0.1503840743851903,-0.9076793487348511,0.151692960972567,-0.04523740572888101
diamond,regression,resnet,natural_hybrid_invariant_init_lr01,0,0.1524061179646691,0.1515434079136879,-0.5660599866346586,0.1516363954269373,-0.5076106798533588
diamond,regression,resnet,natural_hybrid_invariant_init_lr01,1,0.1520002137181846,0.1507795277568844,-0.8030817401108301,0.1521892214309668,0.12419257487820666
diamond,regression,resnet,natural_hybrid_invariant_init_lr01,2,0.1550320229011728,0.15583456980809,0.5176652487007729,0.153651333006203,-0.8985863434806933
diamond,regression,resnet,natural_hybrid_invariant_init_lr01,3,0.1570985607455846,0.1542146842155691,-1.8357116171712207,0.1494513598258331,-5.116849340590376
diamond,regression,resnet,natural_hybrid_invariant_init_lr01,4,0.1528484739109918,0.1514534976850496,-0.9126530283544327,0.151692960972567,-0.7617445997601543
diamond,regression,resnet,whiten_sgd,0,0.1495017262039129,0.1478334514258401,-1.115889976947393,0.1516363954269373,1.4077551876738947
diamond,regression,resnet,whiten_sgd,1,0.1488194163884681,0.1491258366319687,0.20590071573775806,0.1521892214309668,2.2142205675368736
diamond,regression,resnet,whiten_sgd,2,0.150566213955507,0.1486488575172435,-1.2734307305024652,0.153651333006203,2.007870019957101
diamond,regression,resnet,whiten_sgd,3,0.1522270110806358,0.1491526550930242,-2.019586383380473,0.1494513598258331,-1.85722716610767
diamond,regression,resnet,whiten_sgd,4,0.1530431456113916,0.1479535101240019,-3.3256213253178535,0.151692960972567,-0.8900773181352717
