git_commit,git_dirty,task_id,task_seed,seed,alpha,model,split,magnitude_multiplier,training_seconds,residual_usage,gate_mean,mae,rmse,r2,nrmse,relative_error
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,4,0.0,PenalizedScalarResidual,iid,1.0,0.8141724041197449,3.7037945000439925e-05,0.02482590265572071,4.703693602241309e-05,5.9410200924283486e-05,0.9999999986281907,3.7037945000438475e-05,3.744235245376227e-05
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,4,0.0,AdaptiveResidual,iid,1.0,0.9922604020684958,4.254751225399343e-07,0.00037664696088768324,5.047471257358797e-07,6.824774570497187e-07,0.9999999999998189,4.254751225376612e-07,3.6049670921894415e-07
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,4,0.0,PureMLP,iid,1.0,0.6440474290866405,-1.0,-1.0,0.007437102662152029,0.010256818438453306,0.999959111887923,0.006394381289621912,0.005112318114414569
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,4,0.0,PureProgram,ood,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,4,0.0,UnpenalizedResidual,ood,4.0,0.26080573513172567,0.01862693179167081,1.0,0.11300724619293478,0.14156541459333483,0.9996530374120285,0.01862693179167081,0.019306186493525196
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,4,0.0,PenalizedScalarResidual,ood,4.0,0.8141724041197449,0.00038881033087563544,0.02482590265572071,0.0024277795397033407,0.002954973814484777,0.9999998488265266,0.0003888103308756371,0.00037980347605065556
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,4,0.0,AdaptiveResidual,ood,4.0,0.9922604020684958,1.1387438567145554e-05,0.0005871865024005274,6.866453394664529e-05,8.654498121019762e-05,0.9999999998703263,1.138743856714338e-05,1.1588746731773383e-05
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,4,0.0,PureMLP,ood,4.0,0.6440474290866405,-1.0,-1.0,0.3788849056873005,0.494968786333371,0.9957584563285685,0.06512713467849986,0.06833890417714747
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,0,0.1,PureProgram,iid,1.0,0.0,0.0,0.0,0.1325467417322983,0.15968943888463005,0.9902625679062389,0.09867842770211295,0.09935024583253492
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,0,0.1,UnpenalizedResidual,iid,1.0,0.6286497430410236,0.09622950599267246,1.0,0.04016149554938473,0.051546698565167824,0.9989854025595052,0.03185274620020659,0.027801314131269586
