task,source_unit,split,setting,support_bin,states,mean_support_distance,mean_mpe_advantage
acs_occupation,ACS,2,isolated_field,medium,29,6.0,-0.0536046898880528
acs_occupation,ACS,2,isolated_field,far,30,6.866666666666666,0.014157514232633946
acs_occupation,ACS,3,full_table,near,29,4.413793103448276,-0.02300273417809368
acs_occupation,ACS,3,full_table,medium,29,6.0,0.021973902463236907
acs_occupation,ACS,3,full_table,far,30,6.533333333333333,-0.0014536760899305353
acs_occupation,ACS,3,isolated_field,near,29,4.413793103448276,-0.07922632824194896
acs_occupation,ACS,3,isolated_field,medium,29,6.0,0.024923693788502295
acs_occupation,ACS,3,isolated_field,far,30,6.533333333333333,0.026685522509781717
acs_occupation,ACS,4,full_table,near,29,4.482758620689655,-0.016801730206714445
acs_occupation,ACS,4,full_table,medium,29,6.0,-0.010852163784612519
acs_occupation,ACS,4,full_table,far,30,6.533333333333333,-0.00700894066783425
acs_occupation,ACS,4,isolated_field,near,29,4.482758620689655,-0.038003659413656944
acs_occupation,ACS,4,isolated_field,medium,29,6.0,-0.07467541468156345
acs_occupation,ACS,4,isolated_field,far,30,6.533333333333333,-0.048114625200592516
airline_destination_airport,BTS,0,full_table,near,14,60.34987258911133,-0.002445966436045063
airline_destination_airport,BTS,0,full_table,medium,14,121.96252332414899,-0.00021842136839312194
airline_destination_airport,BTS,0,full_table,far,15,405.94757690429685,-0.0003230864292190142
airline_destination_airport,BTS,0,isolated_field,near,14,60.34987258911133,0.0
airline_destination_airport,BTS,0,isolated_field,medium,14,121.96252332414899,0.0
airline_destination_airport,BTS,0,isolated_field,far,15,405.94757690429685,0.0
airline_destination_airport,BTS,1,full_table,near,14,82.39615944453648,0.0
airline_destination_airport,BTS,1,full_table,medium,14,147.80182266235352,0.0
airline_destination_airport,BTS,1,full_table,far,15,243.1437784830729,0.0
airline_destination_airport,BTS,1,isolated_field,near,14,82.39615944453648,0.00017990224213419132
airline_destination_airport,BTS,1,isolated_field,medium,14,147.80182266235352,5.102312662956322e-05
airline_destination_airport,BTS,1,isolated_field,far,15,243.1437784830729,0.00019212839497385984
airline_destination_airport,BTS,2,full_table,near,14,57.44903237479074,0.0
airline_destination_airport,BTS,2,full_table,medium,14,137.57542528424943,0.0
airline_destination_airport,BTS,2,full_table,far,15,225.3594523111979,0.0
airline_destination_airport,BTS,2,isolated_field,near,14,57.44903237479074,0.0
airline_destination_airport,BTS,2,isolated_field,medium,14,137.57542528424943,0.0
airline_destination_airport,BTS,2,isolated_field,far,15,225.3594523111979,0.0
airline_destination_airport,BTS,3,isolated_field,near,14,61.455680165972026,0.0
airline_destination_airport,BTS,3,isolated_field,medium,14,142.4952757699149,0.0
airline_destination_airport,BTS,3,isolated_field,far,15,349.5645385742188,0.0
airline_origin_airport,BTS,0,full_table,near,14,63.29778017316546,0.0
airline_origin_airport,BTS,0,full_table,medium,14,124.09666388375419,0.0
airline_origin_airport,BTS,0,full_table,far,15,403.1389190673828,0.0
airline_origin_airport,BTS,0,isolated_field,near,14,63.29778017316546,0.0
airline_origin_airport,BTS,0,isolated_field,medium,14,124.09666388375419,0.0
airline_origin_airport,BTS,0,isolated_field,far,15,403.1389190673828,0.0
airline_origin_airport,BTS,1,full_table,near,14,78.28332887377057,0.00033453983921401454
airline_origin_airport,BTS,1,full_table,medium,14,143.868656703404,0.0006266291343198187
airline_origin_airport,BTS,1,full_table,far,15,237.20380554199218,0.0009683392588498041
airline_origin_airport,BTS,1,isolated_field,near,14,78.28332887377057,0.0
airline_origin_airport,BTS,1,isolated_field,medium,14,143.868656703404,0.0
airline_origin_airport,BTS,1,isolated_field,far,15,237.20380554199218,0.0
airline_origin_airport,BTS,2,full_table,near,14,52.13145909990583,-7.622966122900714e-05
airline_origin_airport,BTS,2,full_table,medium,14,133.1138632638114,-0.00030860653645885846
airline_origin_airport,BTS,2,full_table,far,15,222.1649383544922,-0.0006447123066974776
airline_origin_airport,BTS,2,isolated_field,near,14,52.13145909990583,0.0
airline_origin_airport,BTS,2,isolated_field,medium,14,133.1138632638114,0.0
airline_origin_airport,BTS,2,isolated_field,far,15,222.1649383544922,0.0
airline_origin_airport,BTS,3,full_table,near,14,62.58490358080183,-0.0015498862638278963
airline_origin_airport,BTS,3,full_table,medium,14,144.97363989693778,-0.0006222141495657545
airline_origin_airport,BTS,3,full_table,far,15,352.26539204915366,-0.0012457596610557786
airline_origin_airport,BTS,3,isolated_field,near,14,62.58490358080183,0.0
airline_origin_airport,BTS,3,isolated_field,medium,14,144.97363989693778,0.0
airline_origin_airport,BTS,3,isolated_field,far,15,352.26539204915366,0.0
airline_origin_airport,BTS,4,isolated_field,near,14,56.32580988747733,0.0
airline_origin_airport,BTS,4,isolated_field,medium,14,119.79325866699219,0.0
airline_origin_airport,BTS,4,isolated_field,far,15,242.10428568522136,0.0
citibike_start_station,CITI_BIKE,0,full_table,near,100,0.1272310924318299,0.0
citibike_start_station,CITI_BIKE,0,full_table,medium,100,0.24008133366703988,0.0
citibike_start_station,CITI_BIKE,0,full_table,far,101,0.4133441250513096,0.0
citibike_start_station,CITI_BIKE,0,isolated_field,near,100,0.1272310924318299,-0.01107339041856332
citibike_start_station,CITI_BIKE,0,isolated_field,medium,100,0.24008133366703988,-0.009326709985493502
citibike_start_station,CITI_BIKE,0,isolated_field,far,101,0.4133441250513096,-0.013705362880801203
citibike_start_station,CITI_BIKE,1,full_table,near,100,0.12877225848264062,0.0
citibike_start_station,CITI_BIKE,1,full_table,medium,100,0.2288552124798298,0.0
citibike_start_station,CITI_BIKE,1,full_table,far,101,0.3471637925889232,0.0
citibike_start_station,CITI_BIKE,1,isolated_field,near,100,0.12877225848264062,-0.002579367339803693
citibike_start_station,CITI_BIKE,1,isolated_field,medium,100,0.2288552124798298,-0.012840548697571074
citibike_start_station,CITI_BIKE,1,isolated_field,far,101,0.3471637925889232,-0.0064928747822468914
citibike_start_station,CITI_BIKE,2,isolated_field,near,100,0.13940916799008846,-0.00986668929663738
citibike_start_station,CITI_BIKE,2,isolated_field,medium,100,0.24274032577872276,-0.01554465170316518
citibike_start_station,CITI_BIKE,2,isolated_field,far,101,0.3814063880703237,-0.01067247513134452
employee_salaries,STRING_BENCHMARK,0,full_table,near,6,0.23503603165348372,0.0
employee_salaries,STRING_BENCHMARK,0,full_table,medium,6,0.6502297421296438,0.0
employee_salaries,STRING_BENCHMARK,0,full_table,far,7,0.8187794600214277,0.0
employee_salaries,STRING_BENCHMARK,0,isolated_field,near,6,0.23503603165348372,0.0
employee_salaries,STRING_BENCHMARK,0,isolated_field,medium,6,0.6502297421296438,0.0
employee_salaries,STRING_BENCHMARK,0,isolated_field,far,7,0.8187794600214277,0.0
employee_salaries,STRING_BENCHMARK,1,full_table,near,6,0.28616299852728844,0.0005735964145658032
employee_salaries,STRING_BENCHMARK,1,full_table,medium,6,0.6421486337979635,-0.12779835626768785
employee_salaries,STRING_BENCHMARK,1,full_table,far,7,0.7891597322055272,-0.03807950428836996
employee_salaries,STRING_BENCHMARK,1,isolated_field,near,6,0.28616299852728844,-0.0006838350186184847
employee_salaries,STRING_BENCHMARK,1,isolated_field,medium,6,0.6421486337979635,-0.1291588734437409
employee_salaries,STRING_BENCHMARK,1,isolated_field,far,7,0.7891597322055272,0.24834020597093545
employee_salaries,STRING_BENCHMARK,2,full_table,near,6,0.3109918652723233,0.0
employee_salaries,STRING_BENCHMARK,2,full_table,medium,6,0.693551649649938,0.0
employee_salaries,STRING_BENCHMARK,2,full_table,far,7,0.7727127160344806,0.0
employee_salaries,STRING_BENCHMARK,2,isolated_field,near,6,0.3109918652723233,0.06892471388700232
employee_salaries,STRING_BENCHMARK,2,isolated_field,medium,6,0.693551649649938,0.050058889447095876
employee_salaries,STRING_BENCHMARK,2,isolated_field,far,7,0.7727127160344806,0.20298394263171998
employee_salaries,STRING_BENCHMARK,3,full_table,near,6,0.25678712626298267,0.0
employee_salaries,STRING_BENCHMARK,3,full_table,medium,6,0.5698260068893433,0.0
employee_salaries,STRING_BENCHMARK,3,full_table,far,7,0.7577734845025199,0.0
employee_salaries,STRING_BENCHMARK,3,isolated_field,near,6,0.25678712626298267,-0.3004901061491371
employee_salaries,STRING_BENCHMARK,3,isolated_field,medium,6,0.5698260068893433,0.10157153097899575
employee_salaries,STRING_BENCHMARK,3,isolated_field,far,7,0.7577734845025199,0.038108236610369585
employee_salaries,STRING_BENCHMARK,4,full_table,near,6,0.13721383921802044,0.0
employee_salaries,STRING_BENCHMARK,4,full_table,medium,6,0.6677369773387909,0.0
employee_salaries,STRING_BENCHMARK,4,full_table,far,7,0.7751655663762774,0.0
employee_salaries,STRING_BENCHMARK,4,isolated_field,near,6,0.13721383921802044,-0.948965317287305
employee_salaries,STRING_BENCHMARK,4,isolated_field,medium,6,0.6677369773387909,-0.7103307770573469
employee_salaries,STRING_BENCHMARK,4,isolated_field,far,7,0.7751655663762774,-0.3684606162694987
medical_charges,STRING_BENCHMARK,0,full_table,near,7,0.22340860324246542,0.0
medical_charges,STRING_BENCHMARK,0,full_table,medium,6,0.3832128047943115,0.0
medical_charges,STRING_BENCHMARK,0,full_table,far,7,0.7684211816106524,0.0
medical_charges,STRING_BENCHMARK,0,isolated_field,near,7,0.22340860324246542,-0.4544784443214743
medical_charges,STRING_BENCHMARK,0,isolated_field,medium,6,0.3832128047943115,0.6163331480220227
medical_charges,STRING_BENCHMARK,0,isolated_field,far,7,0.7684211816106524,-0.5486034130048286
medical_charges,STRING_BENCHMARK,1,full_table,near,7,0.23348737827369145,0.0
medical_charges,STRING_BENCHMARK,1,full_table,medium,6,0.5728378693262736,0.0
medical_charges,STRING_BENCHMARK,1,full_table,far,7,0.8047919188226972,0.0
medical_charges,STRING_BENCHMARK,1,isolated_field,near,7,0.23348737827369145,-0.16841175425624014
medical_charges,STRING_BENCHMARK,1,isolated_field,medium,6,0.5728378693262736,0.07204909791974483
medical_charges,STRING_BENCHMARK,1,isolated_field,far,7,0.8047919188226972,0.552844884103063
medical_charges,STRING_BENCHMARK,2,full_table,near,7,0.17529924852507456,0.0
medical_charges,STRING_BENCHMARK,2,full_table,medium,6,0.2606910914182663,0.0
medical_charges,STRING_BENCHMARK,2,full_table,far,7,0.584798880985805,0.0
medical_charges,STRING_BENCHMARK,2,isolated_field,near,7,0.17529924852507456,0.12905393735069376
medical_charges,STRING_BENCHMARK,2,isolated_field,medium,6,0.2606910914182663,0.3465445281077453
medical_charges,STRING_BENCHMARK,2,isolated_field,far,7,0.584798880985805,0.2610247755165909
medical_charges,STRING_BENCHMARK,3,full_table,near,7,0.18965350942952292,0.0
medical_charges,STRING_BENCHMARK,3,full_table,medium,6,0.5092274124423662,0.0
medical_charges,STRING_BENCHMARK,3,full_table,far,7,0.8364327124186924,0.0
medical_charges,STRING_BENCHMARK,3,isolated_field,near,7,0.18965350942952292,-0.24450974132424896
medical_charges,STRING_BENCHMARK,3,isolated_field,medium,6,0.5092274124423662,-0.46400626202061895
medical_charges,STRING_BENCHMARK,3,isolated_field,far,7,0.8364327124186924,-0.01143974408893883
medical_charges,STRING_BENCHMARK,4,full_table,near,7,0.23436489275523595,0.0
medical_charges,STRING_BENCHMARK,4,full_table,medium,6,0.5213859975337982,0.0
medical_charges,STRING_BENCHMARK,4,full_table,far,7,0.7520179748535156,0.0
medical_charges,STRING_BENCHMARK,4,isolated_field,near,7,0.23436489275523595,-0.33336538095872736
medical_charges,STRING_BENCHMARK,4,isolated_field,medium,6,0.5213859975337982,0.10832946980156989
medical_charges,STRING_BENCHMARK,4,isolated_field,far,7,0.7520179748535156,0.10405798495305696
tlc_dropoff_zone,NYC_TLC,0,isolated_field,near,11,0.652087926864624,-0.02250716555126919
tlc_dropoff_zone,NYC_TLC,0,isolated_field,medium,11,1.25774470242587,-0.008044009658069638
tlc_dropoff_zone,NYC_TLC,0,isolated_field,far,12,1.9447965224583943,0.0064537920800090505
tlc_pickup_zone,NYC_TLC,0,full_table,near,6,0.5487677852312723,0.009533954397855815
tlc_pickup_zone,NYC_TLC,0,full_table,medium,6,0.8174793620904287,0.029588344306499075
tlc_pickup_zone,NYC_TLC,0,full_table,far,7,1.5992730685642786,0.05168734824534666
tlc_pickup_zone,NYC_TLC,0,isolated_field,near,6,0.5487677852312723,0.0
tlc_pickup_zone,NYC_TLC,0,isolated_field,medium,6,0.8174793620904287,0.0
tlc_pickup_zone,NYC_TLC,0,isolated_field,far,7,1.5992730685642786,0.0
tlc_pickup_zone,NYC_TLC,1,full_table,near,6,0.5485927959283193,-0.009565451539741643
tlc_pickup_zone,NYC_TLC,1,full_table,medium,6,1.0418180425961812,0.0003401057507228707
tlc_pickup_zone,NYC_TLC,1,full_table,far,7,2.0101127454212735,-0.025528133241919666
tlc_pickup_zone,NYC_TLC,1,isolated_field,near,6,0.5485927959283193,0.0
tlc_pickup_zone,NYC_TLC,1,isolated_field,medium,6,1.0418180425961812,0.0
tlc_pickup_zone,NYC_TLC,1,isolated_field,far,7,2.0101127454212735,0.0
tlc_pickup_zone,NYC_TLC,2,full_table,near,6,0.4872501343488693,-0.0035108177485663563
tlc_pickup_zone,NYC_TLC,2,full_table,medium,6,0.9562042454878489,-0.011745700897778433
tlc_pickup_zone,NYC_TLC,2,full_table,far,7,2.2198080846241544,-0.11458665255469992
tlc_pickup_zone,NYC_TLC,2,isolated_field,near,6,0.4872501343488693,0.0
tlc_pickup_zone,NYC_TLC,2,isolated_field,medium,6,0.9562042454878489,0.0
tlc_pickup_zone,NYC_TLC,2,isolated_field,far,7,2.2198080846241544,0.0
tlc_pickup_zone,NYC_TLC,3,full_table,near,6,0.480574831366539,0.03076132651629217
tlc_pickup_zone,NYC_TLC,3,full_table,medium,6,0.7384891013304392,0.024537977417663837
tlc_pickup_zone,NYC_TLC,3,full_table,far,7,1.57296998160226,0.014130546931090202
tlc_pickup_zone,NYC_TLC,3,isolated_field,near,6,0.480574831366539,-0.0003966007441930837
tlc_pickup_zone,NYC_TLC,3,isolated_field,medium,6,0.7384891013304392,0.00956440786759464
tlc_pickup_zone,NYC_TLC,3,isolated_field,far,7,1.57296998160226,0.053892544838372185
tlc_pickup_zone,NYC_TLC,4,full_table,near,6,0.503285750746727,0.0
tlc_pickup_zone,NYC_TLC,4,full_table,medium,6,0.9468927681446075,0.0
tlc_pickup_zone,NYC_TLC,4,full_table,far,7,1.9866713796343123,0.0
tlc_pickup_zone,NYC_TLC,4,isolated_field,near,6,0.503285750746727,-0.0038008847596360438
tlc_pickup_zone,NYC_TLC,4,isolated_field,medium,6,0.9468927681446075,0.0009357536644056808
tlc_pickup_zone,NYC_TLC,4,isolated_field,far,7,1.9866713796343123,-0.07051028771629779
