model,transform,meta_model,target,datasets,rows,group_folds,mae,fold_mean_baseline_mae,mae_improvement_fraction,r2,target_std
mitra_default,random_monotone_pwl,ridge,matched_excess_disagreement,8,16,5,0.035771797629318314,0.01041484973653582,-2.4346916695138705,-11.832753507846327,0.014824252628761948
mitra_default,random_monotone_pwl,random_forest,matched_excess_disagreement,8,16,5,0.012925634135650697,0.01041484973653582,-0.24107735230273342,-0.5680053471408812,0.014824252628761948
mitra_default,signed_power,ridge,matched_excess_disagreement,8,16,5,0.041176568257953336,0.00988153747244693,-3.167020402722506,-17.971465697992045,0.015644443283852467
mitra_default,signed_power,random_forest,matched_excess_disagreement,8,16,5,0.011241709021408124,0.00988153747244693,-0.13764776511284937,-0.1738766521655879,0.015644443283852467
tabicl_v2_default,asinh,ridge,matched_excess_disagreement,7,11,5,0.022898096961013747,0.007042312110545652,-2.2515027169449833,-24.448928002240244,0.0071791431738685366
tabicl_v2_default,asinh,random_forest,matched_excess_disagreement,7,11,5,0.005894661976135424,0.007042312110545652,0.16296496326705767,-0.14558209297404856,0.0071791431738685366
tabicl_v2_default,composition,ridge,matched_excess_disagreement,6,10,5,0.0325200782391253,0.014558912193145892,-1.2336887404565324,-3.713101211314079,0.015886005309058863
tabicl_v2_default,composition,random_forest,matched_excess_disagreement,6,10,5,0.016494485642021484,0.014558912193145892,-0.13294766966084381,-0.8686858695696182,0.015886005309058863
tabicl_v2_default,monotone_spline,ridge,matched_excess_disagreement,7,11,5,0.055550565895602186,0.013973583095929288,-2.9753988303676304,-29.371495359534975,0.0160009407705718
tabicl_v2_default,monotone_spline,random_forest,matched_excess_disagreement,7,11,5,0.011990836627307839,0.013973583095929288,0.14189248777566954,-0.165735355195765,0.0160009407705718
tabicl_v2_default,random_monotone_pwl,ridge,matched_excess_disagreement,7,11,5,0.0473864220981093,0.019758714961410392,-1.398254248348488,-8.935248606102457,0.022221477306847655
tabicl_v2_default,random_monotone_pwl,random_forest,matched_excess_disagreement,7,11,5,0.01571489971736621,0.019758714961410392,0.20465982995057752,0.2013595230527454,0.022221477306847655
tabicl_v2_default,signed_power,ridge,matched_excess_disagreement,7,11,5,0.06457991719005393,0.025595375196267398,-1.5231088309841105,-11.292961363233399,0.027579627692423215
tabicl_v2_default,signed_power,random_forest,matched_excess_disagreement,7,11,5,0.021087054595737273,0.025595375196267398,0.17613809393142155,0.1160891182509124,0.027579627692423215
tabicl_v2_single,asinh,ridge,matched_excess_disagreement,8,15,5,0.0215897837333385,0.009165114234850743,-1.3556480781485964,-10.900800161372235,0.00938631493879644
tabicl_v2_single,asinh,random_forest,matched_excess_disagreement,8,15,5,0.010046566996545847,0.009165114234850743,-0.09617477088756199,-0.6387080823868294,0.00938631493879644
tabicl_v2_single,composition,ridge,matched_excess_disagreement,7,14,5,0.03903871207188246,0.018962680051935497,-1.058712796132308,-6.981600152654644,0.02134111474800763
tabicl_v2_single,composition,random_forest,matched_excess_disagreement,7,14,5,0.016672141703239256,0.018962680051935497,0.1207919103429923,0.07799549333238953,0.02134111474800763
tabicl_v2_single,monotone_spline,ridge,matched_excess_disagreement,8,15,5,0.04747629751833861,0.019682318441324002,-1.4121293261194152,-13.051895469914886,0.022807540588427034
tabicl_v2_single,monotone_spline,random_forest,matched_excess_disagreement,8,15,5,0.01569316107056247,0.019682318441324002,0.20267720912319453,0.1794897930131354,0.022807540588427034
tabicl_v2_single,random_monotone_pwl,ridge,matched_excess_disagreement,8,15,5,0.04497920195884646,0.020613736889857306,-1.1820013614793847,-9.29917789941551,0.024004593828819202
tabicl_v2_single,random_monotone_pwl,random_forest,matched_excess_disagreement,8,15,5,0.015973554150809775,0.020613736889857306,0.2251014827559319,0.20036603918891682,0.024004593828819202
tabicl_v2_single,signed_power,ridge,matched_excess_disagreement,8,15,5,0.05418826229810504,0.029663048613587366,-0.8267934292257382,-4.72264593801138,0.031717441462955236
