dataset,split_seed,problem_type,model,model_family,transform,matched_normalized_loss_gap,matched_excess_disagreement,matched_disagreement,context_only_disagreement,query_only_disagreement,mean_missing_rate,max_missing_rate,mean_unique_fraction,max_unique_fraction,mean_largest_atom_mass,max_largest_atom_mass,mean_binned_entropy,max_binned_entropy,mean_zero_mass,max_zero_mass,mean_skewness,max_skewness,mean_excess_kurtosis,max_excess_kurtosis,mean_robust_scale_iqr,max_robust_scale_iqr,mean_tail_heaviness_q99_q01_over_iqr,max_tail_heaviness_q99_q01_over_iqr,mean_spacing_irregularity,max_spacing_irregularity
Food_Delivery_Time,20260831,regression,tabicl_v2_single,TFM,asinh,0.0025310349213164,0.0204304067498829,0.0204304067498829,0.4596789539059564,0.9363462828283148,0.0,0.0,0.3028157552083333,0.7158203125,0.07918294270833333,0.20068359375,1.7316134192740875,2.432897572342807,0.026204427083333332,0.07861328125,-1.793078188704533,0.0355131932287016,5.66060371248961,11.660344271839149,6.6030429166666655,10.0,8.494507513830952,18.288158769680603,10.869690800658523,31.4695782360351
Food_Delivery_Time,20260831,regression,tabicl_v2_single,TFM,composition,0.0053727269689214,0.035236413880896,0.035236413880896,0.4110079332950995,0.934089492481326,0.0,0.0,0.3028157552083333,0.7158203125,0.07918294270833333,0.20068359375,1.7316134192740875,2.432897572342807,0.026204427083333332,0.07861328125,-1.793078188704533,0.0355131932287016,5.66060371248961,11.660344271839149,6.6030429166666655,10.0,8.494507513830952,18.288158769680603,10.869690800658523,31.4695782360351
Food_Delivery_Time,20260831,regression,tabicl_v2_single,TFM,monotone_spline,0.0031236905476377,0.0340511636248317,0.0340511636248317,0.42905820201464,0.9358546656121804,0.0,0.0,0.3028157552083333,0.7158203125,0.07918294270833333,0.20068359375,1.7316134192740875,2.432897572342807,0.026204427083333332,0.07861328125,-1.793078188704533,0.0355131932287016,5.66060371248961,11.660344271839149,6.6030429166666655,10.0,8.494507513830952,18.288158769680603,10.869690800658523,31.4695782360351
Food_Delivery_Time,20260831,regression,tabicl_v2_single,TFM,random_monotone_pwl,0.0033424609171,0.0338269374657615,0.0338269374657615,0.4258654557614994,0.9359010705516336,0.0,0.0,0.3028157552083333,0.7158203125,0.07918294270833333,0.20068359375,1.7316134192740875,2.432897572342807,0.026204427083333332,0.07861328125,-1.793078188704533,0.0355131932287016,5.66060371248961,11.660344271839149,6.6030429166666655,10.0,8.494507513830952,18.288158769680603,10.869690800658523,31.4695782360351
Food_Delivery_Time,20260831,regression,tabicl_v2_single,TFM,signed_power,0.0021185261726505,0.0518044073849279,0.0518044073849279,0.4401469539933944,0.935815952643676,0.0,0.0,0.3028157552083333,0.7158203125,0.07918294270833333,0.20068359375,1.7316134192740875,2.432897572342807,0.026204427083333332,0.07861328125,-1.793078188704533,0.0355131932287016,5.66060371248961,11.660344271839149,6.6030429166666655,10.0,8.494507513830952,18.288158769680603,10.869690800658523,31.4695782360351
Food_Delivery_Time,20260831,regression,tabpfn_v25_default,TFM,asinh,0.0039143037528872,0.0209679009011657,0.0209679009011657,0.4211615356382845,0.7581463979443531,0.0,0.0,0.3028157552083333,0.7158203125,0.07918294270833333,0.20068359375,1.7316134192740875,2.432897572342807,0.026204427083333332,0.07861328125,-1.793078188704533,0.0355131932287016,5.66060371248961,11.660344271839149,6.6030429166666655,10.0,8.494507513830952,18.288158769680603,10.869690800658523,31.4695782360351
Food_Delivery_Time,20260831,regression,tabpfn_v25_default,TFM,composition,0.0047150118929609,0.0229535702712481,0.0229535702712481,0.4204423641878079,0.758206811512498,0.0,0.0,0.3028157552083333,0.7158203125,0.07918294270833333,0.20068359375,1.7316134192740875,2.432897572342807,0.026204427083333332,0.07861328125,-1.793078188704533,0.0355131932287016,5.66060371248961,11.660344271839149,6.6030429166666655,10.0,8.494507513830952,18.288158769680603,10.869690800658523,31.4695782360351
Food_Delivery_Time,20260831,regression,tabpfn_v25_default,TFM,monotone_spline,0.0159421055037584,0.0332810748731782,0.0332810748731782,0.4322817117829811,0.764952178104398,0.0,0.0,0.3028157552083333,0.7158203125,0.07918294270833333,0.20068359375,1.7316134192740875,2.432897572342807,0.026204427083333332,0.07861328125,-1.793078188704533,0.0355131932287016,5.66060371248961,11.660344271839149,6.6030429166666655,10.0,8.494507513830952,18.288158769680603,10.869690800658523,31.4695782360351
Food_Delivery_Time,20260831,regression,tabpfn_v25_default,TFM,random_monotone_pwl,0.0128362210481154,0.0274452725769976,0.0274452725769976,0.4318470722348463,0.7622138855601849,0.0,0.0,0.3028157552083333,0.7158203125,0.07918294270833333,0.20068359375,1.7316134192740875,2.432897572342807,0.026204427083333332,0.07861328125,-1.793078188704533,0.0355131932287016,5.66060371248961,11.660344271839149,6.6030429166666655,10.0,8.494507513830952,18.288158769680603,10.869690800658523,31.4695782360351
Food_Delivery_Time,20260831,regression,tabpfn_v25_default,TFM,signed_power,0.0085770663362877,0.0320859599981392,0.0320859599981392,0.4221559268008523,0.755852010937322,0.0,0.0,0.3028157552083333,0.7158203125,0.07918294270833333,0.20068359375,1.7316134192740875,2.432897572342807,0.026204427083333332,0.07861328125,-1.793078188704533,0.0355131932287016,5.66060371248961,11.660344271839149,6.6030429166666655,10.0,8.494507513830952,18.288158769680603,10.869690800658523,31.4695782360351
