task_type,rho,method,episodes,loss_mean,loss_ci_low,loss_ci_high
regression,0.75,M1 robust,420,0.7375142221854574,0.7065476045444922,0.769993373566219
regression,0.75,M2 rank,420,0.6883384902755998,0.656349571783453,0.720774001265903
regression,0.75,M3 augmentation,420,0.726449272537655,0.6952335479711019,0.7587008821594384
regression,0.75,M4 50/50,420,0.6968875777757801,0.6648569783347059,0.7290378627316904
regression,0.75,M4 tuned fixed,420,0.6882492521088338,0.6567571919764783,0.7208274126524619
regression,0.75,M5 learned gate,420,0.6867040938029572,0.6547563114309715,0.7180581758346357
regression,0.75,Oracle gate,420,0.6800989361181854,0.6483304280805169,0.7120034909218041
regression,0.9,M0 raw,420,0.718681115733601,0.6897109012149217,0.7483493166279205
regression,0.9,M1 robust,420,0.7317460995579306,0.7030717718566764,0.7614021033604682
regression,0.9,M2 rank,420,0.6843450367786424,0.6548671112078924,0.7143834667332786
regression,0.9,M3 augmentation,420,0.7221073092252893,0.6930746100438115,0.7509874589488109
regression,0.9,M4 50/50,420,0.6908701953315118,0.6620327772181529,0.7207044970251765
regression,0.9,M4 tuned fixed,420,0.6839771561127211,0.6545589237359745,0.7133401851638074
regression,0.9,M5 learned gate,420,0.6824923504783776,0.6531041011675102,0.7128895983249846
regression,0.9,Oracle gate,420,0.6754357944935173,0.6467683213281424,0.7048399639338241
regression,1.0,M0 raw,420,0.7383676755045921,0.7046120999539375,0.7724615167670733
regression,1.0,M1 robust,420,0.7524645518768642,0.7187396349248458,0.786610267394945
regression,1.0,M2 rank,420,0.7013326825690531,0.6684541008391816,0.7368666616657662
regression,1.0,M3 augmentation,420,0.7421962819370802,0.709392778163665,0.7758559817041074
regression,1.0,M4 50/50,420,0.7089740150042032,0.6756983529351838,0.7430097799171581
regression,1.0,M4 tuned fixed,420,0.7010929789604466,0.6671820217965786,0.7342123038863612
regression,1.0,M5 learned gate,420,0.6989361338213157,0.666031624070196,0.7329166752169204
regression,1.0,Oracle gate,420,0.6916092513984808,0.6583958465794758,0.7245061449150049
