run,task_type,context_size,rho,effective_rho,tasks,mechanism_accuracy,mechanism_accuracy_ci_low,mechanism_accuracy_ci_high,mechanism_log_loss,stable_mechanism_accuracy,combined_mechanism_accuracy,empirical_mi_c_w_nats,raw_mean_loss,rank_mean_loss,rank_minus_raw_loss,rank_minus_raw_ci_low,rank_minus_raw_ci_high,uniform_expert_loss,stable_expert_loss,combined_expert_loss,oracle_expert_loss,marginal_query_utility,marginal_query_utility_ci_low,marginal_query_utility_ci_high,population_mi_c_w_nats,finite_schedule_mi_residual,relative_shape_risk_reduction
development,regression,64,0.5,0.5,420,0.530952380952381,0.4857142857142857,0.5785714285714286,1.4757812005688755,0.6238095238095238,0.7119047619047619,0.447633820871845,0.657612098796165,0.6176191297633812,-0.0399929690327837,-0.0477416335744736,-0.0324097706765932,0.449946481827903,0.42250618582525,0.3569911822045829,0.2199780645670255,0.0655150036206671,0.0404314872074593,0.0915720441014769,0.44196707305565425,0.005666747816190754,0.1550628270511626
development,regression,64,0.75,0.7428571428571429,420,0.7380952380952381,0.6952380952380952,0.7785714285714286,1.1241698787471832,0.569047619047619,0.8166666666666667,0.9273000774330894,0.6762083744402955,0.6333130387960288,-0.0428953356442665,-0.0517907836183294,-0.0344265213784624,0.4626875256162439,0.4339901239369889,0.3062633500193526,0.2171252650313797,0.1277267739176363,0.100888662805209,0.1547877702605497,0.9273000774330895,-1.1102230246251565e-16,0.2943080196363661
development,regression,64,0.9,0.9,420,0.85,0.8142857142857143,0.8833333333333333,0.7863868032687811,0.638095238095238,0.9142857142857144,1.4194809777960735,0.6699850126759416,0.6283019115590629,-0.0416831011168786,-0.0504907783394524,-0.0333032534091229,0.4669251743335735,0.4358822082208211,0.2704649709371594,0.229646659102706,0.1654172372836616,0.1352597598747916,0.1957828630147547,1.3708036601357194,0.0486773176603541,0.37949986065928165
development,regression,64,1.0,1.0,420,0.9047619047619048,0.8761904761904762,0.930952380952381,0.5133222283563117,0.6142857142857143,0.9738095238095238,1.7917594692280547,0.6621160717927472,0.6160252367715349,-0.0460908350212123,-0.0548894926652031,-0.0372570471296924,0.4578111428279374,0.4259986078715405,0.2207646279369168,0.2056932807923709,0.2052339799346237,0.1757648431730786,0.2369538225459163,1.791759469228055,-2.220446049250313e-16,0.48177148033430156
independent_replication,classification,96,0.0,0.0,630,0.1269841269841269,0.1015873015873015,0.1523809523809524,1.8784959947072783,0.4761904761904761,0.4555555555555555,0.0004082188158639,0.676080661168683,0.6658062658270596,-0.0102743953416233,-0.0122108840314734,-0.0083357894917038,0.63154202206059,0.6330185397040581,0.6318577231606184,0.6600850358683862,0.0011608165434396,0.0006878616503735,0.0016413436884974,0.0,0.0004082188158639,0.0018337796930596886
independent_replication,classification,96,0.1,0.0952380952380952,630,0.1841269841269841,0.1539682539682539,0.2142857142857142,1.8482952421016656,0.4777777777777778,0.473015873015873,0.021389035531843,0.6771843733884176,0.6669413269244714,-0.0102430464639461,-0.0123495065771828,-0.0081722989251285,0.6305935854461296,0.6304766004225172,0.6294362645958242,0.6562632881264023,0.001040335826693,0.0004454592921205,0.0016304681546006,0.020360946084921103,0.0010280894469218982,0.0016500784105164465
independent_replication,classification,96,0.25,0.2476190476190476,630,0.3587301587301587,0.3222222222222222,0.3968253968253968,1.7261789642317504,0.4492063492063492,0.5079365079365079,0.1309123228758394,0.6698029092494023,0.6589044478629889,-0.0108984613864134,-0.0129388478361772,-0.0088793355507453,0.6277598683369119,0.6283997703108235,0.6263021290992258,0.654008118187244,0.0020976412115976,0.0009793178397909,0.003177517573435,0.122126153887478,0.008786168988361404,0.0033380680749772553
independent_replication,classification,96,0.5,0.4952380952380952,630,0.5698412698412698,0.5317460317460317,0.6079365079365079,1.430192001332368,0.4539682539682539,0.6238095238095238,0.4377888603287656,0.6710242964379828,0.6592909703787319,-0.0117333260592508,-0.0138053348326993,-0.0096034397136961,0.6269208460349338,0.6270991567890798,0.6253064701407948,0.6528295601226515,0.001792686648285,0.0001032754802262,0.0034324103356218,0.4342775723010823,0.0035112880276833014,0.0028586972712003776
independent_replication,classification,96,0.75,0.7523809523809524,630,0.7714285714285715,0.7380952380952381,0.8047619047619048,0.9741999589318427,0.5174603174603175,0.8031746031746032,0.9703373137650756,0.6761543953397595,0.6648032328762101,-0.0113511624635493,-0.0136198575031294,-0.0091045160959406,0.6293363471557519,0.6281531909057558,0.628507783675833,0.6517623530886497,-0.0003545927700772,-0.0027429005159255,0.0019989163661267,0.9505739342137282,0.019763379551347438,-0.0005645004677376556
independent_replication,classification,96,0.9,0.8952380952380953,630,0.8920634920634921,0.8666666666666667,0.9158730158730158,0.7029255073098706,0.4507936507936508,0.9047619047619048,1.3637286793123586,0.6769508404436757,0.6676089215494264,-0.0093419188942492,-0.011373698518974,-0.0073161737693786,0.6293691776508005,0.6293542878311839,0.6312409918051716,0.653849605161183,-0.0018867039739876,-0.0043766653788814,0.000561043194727,1.355003163274837,0.008725516037521697,-0.0029978408194998806
independent_replication,classification,96,1.0,1.0,630,0.9777777777777776,0.9650793650793652,0.9888888888888888,0.2479168198365838,0.4888888888888889,0.992063492063492,1.7917594692280547,0.6739510011751405,0.6635772805491665,-0.0103737206259739,-0.0124838448697001,-0.0082730442205591,0.6288222791742338,0.6278027652907465,0.6318247862391266,0.6508120740047099,-0.00402202094838,-0.006564949689129,-0.001576117765969,1.791759469228055,-2.220446049250313e-16,-0.006406504033981646
independent_replication,regression,96,0.0,0.0,630,0.1444444444444444,0.1174603174603174,0.1714285714285714,1.8467414352064275,0.626984126984127,0.6079365079365079,0.0004082188158639,0.652853576594144,0.6104481497592021,-0.0424054268349418,-0.0483252726714646,-0.0365362866995328,0.463370275932274,0.4548047696206957,0.4621882089669658,0.2532225127972342,-0.00738343934627,-0.0144243316833352,-0.0006750517538906,0.0,0.0004082188158639,-0.016234305001743367
independent_replication,regression,96,0.1,0.0952380952380952,630,0.2238095238095238,0.192063492063492,0.2571428571428571,1.8279733614147664,0.653968253968254,0.6587301587301587,0.021389035531843,0.6665024282117692,0.6266546296016987,-0.0398477986100705,-0.0453243286703337,-0.0344170532541174,0.4685927298532398,0.467559186886527,0.4609199765097854,0.2519380825108657,0.0066392103767414,-0.0023980354637172,0.0157027965263048,0.020360946084921103,0.0010280894469218982,0.014199721795548176
independent_replication,regression,96,0.25,0.2476190476190476,630,0.3523809523809524,0.3158730158730158,0.3904761904761905,1.7333448438413297,0.6634920634920635,0.6873015873015873,0.1309123228758394,0.6582402988264675,0.6173065213258765,-0.0409337775005911,-0.046827775798933,-0.0351710176018641,0.4631075667027717,0.4565557191153229,0.4408532489395409,0.2440870893144152,0.0157024701757819,0.0008670940920395,0.0309410985504292,0.122126153887478,0.008786168988361404,0.034393327075628116
independent_replication,regression,96,0.5,0.4952380952380952,630,0.5714285714285714,0.5333333333333333,0.6095238095238096,1.4674954818366006,0.6317460317460317,0.7095238095238096,0.4377888603287656,0.6611090251888382,0.6163111765043368,-0.0447978486845014,-0.051096205132639,-0.0386714263967893,0.4772998626627458,0.4709940523146124,0.3867182110125335,0.2395278142658277,0.0842758413020788,0.0598680446068391,0.1090845507344946,0.4342775723010823,0.0035112880276833014,0.17893185888000263
independent_replication,regression,96,0.75,0.7523809523809524,630,0.7888888888888889,0.7571428571428571,0.8206349206349206,0.9545645576536884,0.6349206349206349,0.8539682539682539,0.9703373137650756,0.6605175238695763,0.614733827248524,-0.0457836966210521,-0.0525527379570726,-0.0393052956838712,0.475553962903436,0.4637736272496954,0.3062485536119381,0.2315712950402753,0.1575250736377572,0.1269621806791133,0.1875592840201334,0.9505739342137282,0.019763379551347438,0.3396594036015459
independent_replication,regression,96,0.9,0.8952380952380953,630,0.8984126984126984,0.8746031746031746,0.9206349206349206,0.6329212879930262,0.6317460317460317,0.9253968253968254,1.3637286793123586,0.6547093387835474,0.6125850689897164,-0.0421242697938309,-0.0483394238585629,-0.0361737881795456,0.4717479346111682,0.4629143121836346,0.2482632206317958,0.2109426686054443,0.2146510915518388,0.1847778543038802,0.2451472407295428,1.355003163274837,0.008725516037521697,0.4636950854668938
independent_replication,regression,96,1.0,1.0,630,0.9873015873015872,0.9777777777777776,0.9952380952380953,0.2451992599138797,0.638095238095238,0.9936507936507936,1.7917594692280547,0.646378707572748,0.6068406155199659,-0.039538092052782,-0.0459668416119939,-0.0333294957489272,0.4657134318861572,0.4508258115321835,0.2074310980902993,0.205775738106804,0.2433947134418842,0.2172686225185189,0.2710364808561115,1.791759469228055,-2.220446049250313e-16,0.5398863756595462
