scope,task_type,unit,lambda,loss
real_panel,regression,diamond,0.1,0.15709843221505465
real_panel,regression,diamond,0.2,0.15659741601141283
real_panel,regression,diamond,0.30000000000000004,0.15615049782119464
real_panel,regression,diamond,0.4,0.15575767764440013
real_panel,regression,diamond,0.5,0.15541895548102927
real_panel,regression,diamond,0.6000000000000001,0.15513433133108204
real_panel,regression,diamond,0.7000000000000001,0.15490380519455849
real_panel,regression,diamond,0.8,0.15472737707145853
real_panel,regression,diamond,0.9,0.1546050469617823
real_panel,regression,diamond,1.0,0.1545368148655297
real_panel,regression,geographical_origin_of_music,0.0,1.3049160190364666
real_panel,regression,geographical_origin_of_music,0.1,1.2277138589585432
real_panel,regression,geographical_origin_of_music,0.2,1.158905802519481
real_panel,regression,geographical_origin_of_music,0.30000000000000004,1.0984918497192802
real_panel,regression,geographical_origin_of_music,0.4,1.0464720005579407
real_panel,regression,geographical_origin_of_music,0.5,1.0028462550354629
real_panel,regression,geographical_origin_of_music,0.6000000000000001,0.9676146131518463
real_panel,regression,geographical_origin_of_music,0.7000000000000001,0.9407770749070911
real_panel,regression,geographical_origin_of_music,0.8,0.9223336403011974
real_panel,regression,geographical_origin_of_music,0.9,0.9122843093341649
real_panel,regression,geographical_origin_of_music,1.0,0.9106290820059939
real_panel,regression,house,0.0,1.6190685984878563
real_panel,regression,house,0.1,1.4227286419668483
real_panel,regression,house,0.2,1.248890755811732
real_panel,regression,house,0.30000000000000004,1.0975549400225073
real_panel,regression,house,0.4,0.9687211945991744
real_panel,regression,house,0.5,0.8623895195417332
real_panel,regression,house,0.6000000000000001,0.7785599148501837
real_panel,regression,house,0.7000000000000001,0.717232380524526
real_panel,regression,house,0.8,0.67840691656476
real_panel,regression,house,0.9,0.6620835229708856
real_panel,regression,house,1.0,0.668262199742903
real_panel,regression,miami_housing,0.0,0.32084593392540023
real_panel,regression,miami_housing,0.1,0.3155689561046041
real_panel,regression,miami_housing,0.2,0.3112694167171871
real_panel,regression,miami_housing,0.30000000000000004,0.3079473157631492
real_panel,regression,miami_housing,0.4,0.30560265324249036
real_panel,regression,miami_housing,0.5,0.3042354291552106
real_panel,regression,miami_housing,0.6000000000000001,0.30384564350131
real_panel,regression,miami_housing,0.7000000000000001,0.3044332962807884
real_panel,regression,miami_housing,0.8,0.30599838749364594
real_panel,regression,miami_housing,0.9,0.3085409171398826
real_panel,regression,miami_housing,1.0,0.31206088521949826
real_panel,regression,naval_propulsion_plant,0.0,0.6515486809654665
real_panel,regression,naval_propulsion_plant,0.1,0.6396755671374843
real_panel,regression,naval_propulsion_plant,0.2,0.62834111359852
real_panel,regression,naval_propulsion_plant,0.30000000000000004,0.6175453203485735
real_panel,regression,naval_propulsion_plant,0.4,0.6072881873876447
real_panel,regression,naval_propulsion_plant,0.5,0.5975697147157335
real_panel,regression,naval_propulsion_plant,0.6000000000000001,0.5883899023328402
real_panel,regression,naval_propulsion_plant,0.7000000000000001,0.5797487502389644
real_panel,regression,naval_propulsion_plant,0.8,0.5716462584341065
real_panel,regression,naval_propulsion_plant,0.9,0.5640824269182664
real_panel,regression,naval_propulsion_plant,1.0,0.5570572556914439
real_panel,regression,physiochemical_protein,0.0,2.890849417417452
real_panel,regression,physiochemical_protein,0.1,2.618376967541276
real_panel,regression,physiochemical_protein,0.2,2.370505979089939
real_panel,regression,physiochemical_protein,0.30000000000000004,2.1472364520634426
real_panel,regression,physiochemical_protein,0.4,1.9485683864617858
real_panel,regression,physiochemical_protein,0.5,1.7745017822849696
real_panel,regression,physiochemical_protein,0.6000000000000001,1.6250366395329934
real_panel,regression,physiochemical_protein,0.7000000000000001,1.500172958205857
real_panel,regression,physiochemical_protein,0.8,1.399910738303561
real_panel,regression,physiochemical_protein,0.9,1.3242499798261052
real_panel,regression,physiochemical_protein,1.0,1.2731906827734891
real_panel,regression,solar_flare,0.0,2.115656018826487
real_panel,regression,solar_flare,0.1,2.1156132148612508
real_panel,regression,solar_flare,0.2,2.1155710735724242
real_panel,regression,solar_flare,0.30000000000000004,2.1155295949600066
real_panel,regression,solar_flare,0.4,2.1154887790239987
real_panel,regression,solar_flare,0.5,2.1154486257643996
real_panel,regression,solar_flare,0.6000000000000001,2.1154091351812103
real_panel,regression,solar_flare,0.7000000000000001,2.11537030727443
real_panel,regression,solar_flare,0.8,2.1153321420440587
real_panel,regression,solar_flare,0.9,2.1152946394900973
real_panel,regression,solar_flare,1.0,2.1152577996125452
real_panel,regression,superconductivity,0.0,0.43706538259027106
real_panel,regression,superconductivity,0.1,0.41947121692252126
real_panel,regression,superconductivity,0.2,0.4043444767884431
real_panel,regression,superconductivity,0.30000000000000004,0.39168516218803645
real_panel,regression,superconductivity,0.4,0.38149327312130155
real_panel,regression,superconductivity,0.5,0.3737688095882382
real_panel,regression,superconductivity,0.6000000000000001,0.3685117715888465
real_panel,regression,superconductivity,0.7000000000000001,0.3657221591231265
real_panel,regression,superconductivity,0.8,0.36539997219107806
real_panel,regression,superconductivity,0.9,0.3675452107927013
real_panel,regression,superconductivity,1.0,0.3721578749279962
real_panel,regression,wine_quality,0.0,0.9999167589585001
real_panel,regression,wine_quality,0.1,0.9499790293070081
real_panel,regression,wine_quality,0.2,0.9054097455021803
real_panel,regression,wine_quality,0.30000000000000004,0.8662089075440168
real_panel,regression,wine_quality,0.4,0.8323765154325173
real_panel,regression,wine_quality,0.5,0.8039125691676821
real_panel,regression,wine_quality,0.6000000000000001,0.780817068749511
real_panel,regression,wine_quality,0.7000000000000001,0.763090014178004
real_panel,regression,wine_quality,0.8,0.7507314054531613
real_panel,regression,wine_quality,0.9,0.7437412425749828
real_panel,regression,wine_quality,1.0,0.7421195255434684
synthetic_test,classification,n64_d12_r0.00,0.0,0.6459547401704114
synthetic_test,classification,n64_d12_r0.00,0.1,0.6449630405726821
synthetic_test,classification,n64_d12_r0.00,0.2,0.6441947179407392
synthetic_test,classification,n64_d12_r0.00,0.30000000000000004,0.6436495567979595
synthetic_test,classification,n64_d12_r0.00,0.4,0.6433291810822198
synthetic_test,classification,n64_d12_r0.00,0.5,0.6432371342249371
synthetic_test,classification,n64_d12_r0.00,0.6000000000000001,0.6433790969631125
synthetic_test,classification,n64_d12_r0.00,0.7000000000000001,0.6437632901871628
synthetic_test,classification,n64_d12_r0.00,0.8,0.6444011712819069
synthetic_test,classification,n64_d12_r0.00,0.9,0.6453086697165773
synthetic_test,classification,n64_d12_r0.00,1.0,0.646508586866495
synthetic_test,classification,n64_d12_r0.25,0.0,0.636948545035619
synthetic_test,classification,n64_d12_r0.25,0.1,0.635932012995937
