dataset,problem_type,condition,function_matched,optimizer,momentum,weight_decay,epoch,epoch_order,disagreement,disagreement_seed_sd,initial_max_logit_difference,reference_task,seeds,members
bike-sharing,regression,matched_sgd_momentum,True,sgd,0.9,0.0001,final,100,3.0326721298046275e-08,3.746808050566146e-09,1.4901161193847656e-08,177.25695153986658,3,4
bike-sharing,regression,matched_sgd_plain,True,sgd,0.0,0.0,0,0,1.4108014126422466e-08,1.4184410011136693e-09,1.4901161193847656e-08,183.73772923069077,3,4
bike-sharing,regression,matched_sgd_plain,True,sgd,0.0,0.0,1,1,1.49317639584268e-08,2.301733559408391e-09,1.4901161193847656e-08,183.73072053639086,3,4
bike-sharing,regression,matched_sgd_plain,True,sgd,0.0,0.0,10,10,1.614141415635352e-08,1.4984142632614645e-09,1.4901161193847656e-08,183.67052324696468,3,4
bike-sharing,regression,matched_sgd_plain,True,sgd,0.0,0.0,2,2,1.5403993368076782e-08,1.3830439514733574e-09,1.4901161193847656e-08,183.72377829388594,3,4
bike-sharing,regression,matched_sgd_plain,True,sgd,0.0,0.0,20,20,1.583721083552129e-08,2.5954425469874982e-09,1.4901161193847656e-08,183.6089814066545,3,4
bike-sharing,regression,matched_sgd_plain,True,sgd,0.0,0.0,5,5,1.543318491083086e-08,3.2748827004334408e-09,1.4901161193847656e-08,183.70334168960508,3,4
bike-sharing,regression,matched_sgd_plain,True,sgd,0.0,0.0,final,100,1.8468946594333787e-08,1.5848537769508593e-09,1.4901161193847656e-08,183.22502619271313,3,4
bike-sharing,regression,ordinary_adamw,False,adamw,0.0,0.0001,0,0,0.00691478477875745,0.002004277080681903,0.0267825908958911,183.73772923069077,3,4
bike-sharing,regression,ordinary_adamw,False,adamw,0.0,0.0001,1,1,0.030000786829651783,0.00824421391196968,0.0267825908958911,173.57528481272269,3,4
bike-sharing,regression,ordinary_adamw,False,adamw,0.0,0.0001,10,10,0.07389724645196023,0.005408558735078032,0.0267825908958911,115.27077073737318,3,4
bike-sharing,regression,ordinary_adamw,False,adamw,0.0,0.0001,2,2,0.07917687476894646,0.017466020313835203,0.0267825908958911,150.53027556539462,3,4
bike-sharing,regression,ordinary_adamw,False,adamw,0.0,0.0001,20,20,0.09192554716150064,0.007528255658246067,0.0267825908958911,101.98882583828119,3,4
bike-sharing,regression,ordinary_adamw,False,adamw,0.0,0.0001,5,5,0.09318560890965899,0.012233422048011219,0.0267825908958911,130.56783637581805,3,4
bike-sharing,regression,ordinary_adamw,False,adamw,0.0,0.0001,final,100,0.12649581843110425,0.013895180610371077,0.0267825908958911,75.8949625317461,3,4
credit-g,classification,matched_adamw,True,adamw,0.0,0.0001,0,0,5.338138640866405e-09,9.501639641475258e-10,1.862645149230957e-08,0.693348746519986,3,4
credit-g,classification,matched_adamw,True,adamw,0.0,0.0001,1,1,0.0004251364122862917,7.100870128562779e-05,1.862645149230957e-08,0.6383627166269311,3,4
credit-g,classification,matched_adamw,True,adamw,0.0,0.0001,10,10,0.012032717779110934,0.0023019683858140063,1.862645149230957e-08,0.4861926006033889,3,4
credit-g,classification,matched_adamw,True,adamw,0.0,0.0001,2,2,0.0018674317643896582,0.00029628719553307715,1.862645149230957e-08,0.5996882736797353,3,4
credit-g,classification,matched_adamw,True,adamw,0.0,0.0001,20,20,0.010551203865936908,0.0018979094246323982,1.862645149230957e-08,0.5581980282312135,3,4
credit-g,classification,matched_adamw,True,adamw,0.0,0.0001,5,5,0.0035114988999403666,0.0009233865294436157,1.862645149230957e-08,0.5613819066712237,3,4
credit-g,classification,matched_adamw,True,adamw,0.0,0.0001,final,100,0.10661927452811504,0.03915251643355838,1.862645149230957e-08,2.732958596055424,3,4
credit-g,classification,matched_adamw_no_weight_decay,True,adamw,0.0,0.0,0,0,5.338138640866405e-09,9.501639641475258e-10,1.862645149230957e-08,0.693348746519986,3,4
credit-g,classification,matched_adamw_no_weight_decay,True,adamw,0.0,0.0,1,1,0.00042513617837185836,7.100846128298461e-05,1.862645149230957e-08,0.6383626734856648,3,4
credit-g,classification,matched_adamw_no_weight_decay,True,adamw,0.0,0.0,10,10,0.012032718738997283,0.002301967850536987,1.862645149230957e-08,0.48619273553090087,3,4
credit-g,classification,matched_adamw_no_weight_decay,True,adamw,0.0,0.0,2,2,0.0018674325295714416,0.000296287967830129,1.862645149230957e-08,0.5996882775067878,3,4
credit-g,classification,matched_adamw_no_weight_decay,True,adamw,0.0,0.0,20,20,0.010551194937386217,0.0018979083574016085,1.862645149230957e-08,0.5581985712118719,3,4
credit-g,classification,matched_adamw_no_weight_decay,True,adamw,0.0,0.0,5,5,0.0035115013696912084,0.000923388691904897,1.862645149230957e-08,0.5613818100101856,3,4
credit-g,classification,matched_adamw_no_weight_decay,True,adamw,0.0,0.0,final,100,0.10449300272241491,0.03561228060279274,1.862645149230957e-08,2.7217793594452915,3,4
credit-g,classification,matched_sgd_momentum,True,sgd,0.9,0.0001,0,0,5.338138640866405e-09,9.501639641475258e-10,1.862645149230957e-08,0.693348746519986,3,4
credit-g,classification,matched_sgd_momentum,True,sgd,0.9,0.0001,1,1,4.3904768634304185e-09,1.1860746282022069e-09,1.862645149230957e-08,0.692770604499349,3,4
credit-g,classification,matched_sgd_momentum,True,sgd,0.9,0.0001,10,10,5.3441557359528285e-09,8.01498063745781e-10,1.862645149230957e-08,0.6736140150072121,3,4
credit-g,classification,matched_sgd_momentum,True,sgd,0.9,0.0001,2,2,5.1923346997684625e-09,1.3241435544466538e-09,1.862645149230957e-08,0.6915356184532162,3,4
credit-g,classification,matched_sgd_momentum,True,sgd,0.9,0.0001,20,20,7.269057586701976e-09,1.0915863601345931e-09,1.862645149230957e-08,0.6535136518928722,3,4
credit-g,classification,matched_sgd_momentum,True,sgd,0.9,0.0001,5,5,5.746399363258993e-09,1.853737501262826e-09,1.862645149230957e-08,0.6855670602096468,3,4
credit-g,classification,matched_sgd_momentum,True,sgd,0.9,0.0001,final,100,1.0064141105453946e-08,1.7042788070234171e-09,1.862645149230957e-08,0.6115723720290287,3,4
credit-g,classification,matched_sgd_plain,True,sgd,0.0,0.0,0,0,5.338138640866405e-09,9.501639641475258e-10,1.862645149230957e-08,0.693348746519986,3,4
credit-g,classification,matched_sgd_plain,True,sgd,0.0,0.0,1,1,4.324413042107531e-09,7.800977187654368e-10,1.862645149230957e-08,0.6930432650482596,3,4
credit-g,classification,matched_sgd_plain,True,sgd,0.0,0.0,10,10,5.813493502363944e-09,8.660082199103969e-10,1.862645149230957e-08,0.6903180822471117,3,4
credit-g,classification,matched_sgd_plain,True,sgd,0.0,0.0,2,2,5.564975594903273e-09,5.908134179377589e-10,1.862645149230957e-08,0.6927346756428578,3,4
credit-g,classification,matched_sgd_plain,True,sgd,0.0,0.0,20,20,4.377374128194361e-09,1.451296155917034e-09,1.862645149230957e-08,0.6874346969341419,3,4
credit-g,classification,matched_sgd_plain,True,sgd,0.0,0.0,5,5,6.61996951814255e-09,6.475855699238874e-10,1.862645149230957e-08,0.691821450981862,3,4
credit-g,classification,matched_sgd_plain,True,sgd,0.0,0.0,final,100,6.427771432936081e-09,7.730284747352818e-10,1.862645149230957e-08,0.6678529002177406,3,4
credit-g,classification,ordinary_adamw,False,adamw,0.0,0.0001,0,0,0.001919602505117592,0.0008619105644195706,0.0204806998372077,0.693348746519986,3,4
credit-g,classification,ordinary_adamw,False,adamw,0.0,0.0001,1,1,0.005484885408283158,0.0020336787289120415,0.0204806998372077,0.6383627166269311,3,4
credit-g,classification,ordinary_adamw,False,adamw,0.0,0.0001,10,10,0.036963654866398174,0.005459941579262614,0.0204806998372077,0.4861926006033889,3,4
credit-g,classification,ordinary_adamw,False,adamw,0.0,0.0001,2,2,0.011783411419418527,0.0047373478373401515,0.0204806998372077,0.5996882736797353,3,4
credit-g,classification,ordinary_adamw,False,adamw,0.0,0.0001,20,20,0.023210171003910113,0.003345465901688871,0.0204806998372077,0.5581980282312135,3,4
