dataset,problem_type,model,model_seed,orbit_member,condition,function_matched,optimizer,momentum,weight_decay,epoch,split,initial_max_logit_difference,reference_rmse,reference_mae,transformed_rmse,transformed_mae,prediction_rmse_normalized,prediction_pearson,prediction_spearman,reference_log_loss,reference_accuracy,reference_roc_auc,transformed_log_loss,transformed_accuracy,transformed_roc_auc,probability_rmse,probability_mad,js_divergence,label_flip_rate
bike-sharing,regression,controlled_mlp,1,3,ordinary_adamw,False,adamw,0.0,0.0001,1,test,0.0173612646758556,174.5691439120515,136.66784465312958,174.61607779099012,137.06297183036804,0.0229234807408813,0.9667929723436232,0.9675166261830376,,,,,,,,,,
bike-sharing,regression,controlled_mlp,1,3,ordinary_adamw,False,adamw,0.0,0.0001,2,validation,0.0173612646758556,152.07971499633584,114.63684019446372,152.57742455888916,115.93300008773804,0.066091523944767,0.9798671213617288,0.9787079423208972,,,,,,,,,,
bike-sharing,regression,controlled_mlp,1,3,ordinary_adamw,False,adamw,0.0,0.0001,2,test,0.0173612646758556,152.53753028228235,115.15566849708556,151.72753506443354,115.1328019052744,0.0615196038308846,0.9833043526964416,0.9838812034366736,,,,,,,,,,
bike-sharing,regression,controlled_mlp,1,3,ordinary_adamw,False,adamw,0.0,0.0001,5,validation,0.0173612646758556,132.30572409899398,94.93478152155876,133.08561370978225,95.42977410554886,0.100116303145264,0.9900937377211254,0.9902544918745706,,,,,,,,,,
bike-sharing,regression,controlled_mlp,1,3,ordinary_adamw,False,adamw,0.0,0.0001,5,test,0.0173612646758556,131.74291142234898,95.76012136042118,130.94475429988503,96.29946503043176,0.0961161650029031,0.9910103231601936,0.9912661576887424,,,,,,,,,,
bike-sharing,regression,controlled_mlp,1,3,ordinary_adamw,False,adamw,0.0,0.0001,10,validation,0.0173612646758556,114.10716981263248,80.03381943702698,114.5721654325159,80.42272087931633,0.0723656525518917,0.9951962505250256,0.9945310711833372,,,,,,,,,,
bike-sharing,regression,controlled_mlp,1,3,ordinary_adamw,False,adamw,0.0,0.0001,10,test,0.0173612646758556,115.00851373804984,83.98130011558533,114.67066062165024,83.95189602673054,0.073749111132994,0.9955447167421012,0.9956199359700622,,,,,,,,,,
bike-sharing,regression,controlled_mlp,1,3,ordinary_adamw,False,adamw,0.0,0.0001,20,validation,0.0173612646758556,100.28421105087536,71.7041546702385,98.69400967441794,70.56186839938164,0.083225773603001,0.9960443108398492,0.9948894197756922,,,,,,,,,,
bike-sharing,regression,controlled_mlp,1,3,ordinary_adamw,False,adamw,0.0,0.0001,20,test,0.0173612646758556,105.54351288370644,77.351282954216,103.32332311858524,76.6168781220913,0.0876335348606533,0.9961221147651942,0.9957747000205994,,,,,,,,,,
bike-sharing,regression,controlled_mlp,1,3,ordinary_adamw,False,adamw,0.0,0.0001,final,validation,0.0173612646758556,75.01331859134099,46.03802463412285,71.01411217578402,43.80483961105347,0.1122411892640012,0.991855229300158,0.9918030441748684,,,,,,,,,,
bike-sharing,regression,controlled_mlp,1,3,ordinary_adamw,False,adamw,0.0,0.0001,final,test,0.0173612646758556,75.8775660355757,46.89046613872051,74.70343584548075,46.25004585087299,0.1085313753200779,0.9936441590053616,0.9933565899623488,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_adamw,True,adamw,0.0,0.0001,0,validation,1.210719347000122e-08,173.90093836679276,132.4422180056572,173.9009382746531,132.44221794605255,1.2266318396693641e-08,0.99999999999792,0.9999999999999998,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_adamw,True,adamw,0.0,0.0001,0,test,1.210719347000122e-08,183.37649775430367,144.82380551099777,183.37649775667316,144.82380557060242,1.5569300932755105e-08,0.9999999999962575,1.0,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_adamw,True,adamw,0.0,0.0001,1,validation,1.210719347000122e-08,165.08995096961678,125.61946254968645,165.11149457611992,125.63237679004668,0.0018307333551361,0.9998739254671306,0.999786135271229,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_adamw,True,adamw,0.0,0.0001,1,test,1.210719347000122e-08,171.6892832798356,133.82863447070122,171.70016933478087,133.8425816297531,0.001796405403543,0.9998771409371467,0.9998565012702988,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_adamw,True,adamw,0.0,0.0001,2,validation,1.210719347000122e-08,149.4525182304694,112.87428349256516,149.5212880147631,112.6542681157589,0.0132913383790198,0.9995798470079866,0.999477140077821,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_adamw,True,adamw,0.0,0.0001,2,test,1.210719347000122e-08,147.26667339135196,109.71780636906624,147.35251464994235,109.66093270480631,0.0127549928092445,0.9995977440389916,0.9995011966274132,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_adamw,True,adamw,0.0,0.0001,5,validation,1.210719347000122e-08,131.2879832371383,94.9007147848606,131.2396313182523,94.65054938197136,0.023059971432531,0.999418583829852,0.9991009098191804,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_adamw,True,adamw,0.0,0.0001,5,test,1.210719347000122e-08,130.233490177028,95.33620283007622,130.03796394931322,95.0783619582653,0.0207928150495941,0.9995280182360944,0.9994365551435666,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_adamw,True,adamw,0.0,0.0001,10,validation,1.210719347000122e-08,114.44000479149788,78.55896109342575,114.16664923081052,78.65259143710136,0.0269366339395993,0.9993261770703356,0.9991323815518424,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_adamw,True,adamw,0.0,0.0001,10,test,1.210719347000122e-08,115.2637593416862,82.36687529087067,115.24029811692078,82.43732933700085,0.0243806687672502,0.9995135511294908,0.9995218497156132,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_adamw,True,adamw,0.0,0.0001,20,validation,1.210719347000122e-08,95.54873085796189,64.9679918885231,94.90947156016964,65.14896482229233,0.0549837589219606,0.9993055202284424,0.9986846246280612,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_adamw,True,adamw,0.0,0.0001,20,test,1.210719347000122e-08,99.93590041132347,69.78592151403427,99.0767255844784,69.76555190980434,0.0604085939583066,0.9991976558204476,0.9987432014682828,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_adamw,True,adamw,0.0,0.0001,final,validation,1.210719347000122e-08,72.06910849720828,45.22584921121597,71.43019211716785,45.07627075910568,0.0611019731849475,0.9980662783314992,0.997407158388647,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_adamw,True,adamw,0.0,0.0001,final,test,1.210719347000122e-08,78.2724529543439,47.64843778312206,76.26971891424112,46.50195971131325,0.059957095654979,0.9983085675487912,0.9986425288392212,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_adamw_no_weight_decay,True,adamw,0.0,0.0,0,validation,1.210719347000122e-08,173.90093836679276,132.4422180056572,173.9009382746531,132.44221794605255,1.2266318396693641e-08,0.99999999999792,0.9999999999999998,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_adamw_no_weight_decay,True,adamw,0.0,0.0,0,test,1.210719347000122e-08,183.37649775430367,144.82380551099777,183.37649775667316,144.82380557060242,1.5569300932755105e-08,0.9999999999962575,1.0,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_adamw_no_weight_decay,True,adamw,0.0,0.0,1,validation,1.210719347000122e-08,165.08993872027415,125.61945343017578,165.11148276740315,125.63236755132677,0.0018307385180369,0.9998739250775264,0.999786135271229,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_adamw_no_weight_decay,True,adamw,0.0,0.0,1,test,1.210719347000122e-08,171.68926596144345,133.82861870527267,171.70015322172915,133.84256693720818,0.0017964060565448,0.9998771411928852,0.9998565012702988,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_adamw_no_weight_decay,True,adamw,0.0,0.0,2,validation,1.210719347000122e-08,149.4524939542078,112.87425431609154,149.52126283088137,112.65424120426178,0.0132913756695353,0.9995798473859188,0.999477140077821,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_adamw_no_weight_decay,True,adamw,0.0,0.0,2,test,1.210719347000122e-08,147.26661821126677,109.71774731576444,147.3524603573296,109.66087733209132,0.0127550261286297,0.9995977442328126,0.9995011966274132,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_adamw_no_weight_decay,True,adamw,0.0,0.0,5,validation,1.210719347000122e-08,131.28797333366535,94.90072268247604,131.2396218124259,94.6505552828312,0.0230599815631329,0.9994185849647904,0.9991009098191804,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_adamw_no_weight_decay,True,adamw,0.0,0.0,5,test,1.210719347000122e-08,130.23348859430865,95.3362158536911,130.03796398377196,95.07837085425854,0.0207927970213615,0.9995280200841936,0.9994365551435666,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_adamw_no_weight_decay,True,adamw,0.0,0.0,10,validation,1.210719347000122e-08,114.43994634658178,78.55891379714012,114.16659598367605,78.65255537629128,0.0269366064323418,0.9993261801702368,0.9991323815518424,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_adamw_no_weight_decay,True,adamw,0.0,0.0,10,test,1.210719347000122e-08,115.26372158893156,82.36684295535088,115.24026179650517,82.43730403482914,0.0243806495100533,0.999513553049289,0.9995218497156132,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_adamw_no_weight_decay,True,adamw,0.0,0.0,20,validation,1.210719347000122e-08,95.54855748032143,64.96788540482521,94.90933049397798,65.14886826276779,0.0549835685027845,0.9993055206017336,0.9986846246280612,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_adamw_no_weight_decay,True,adamw,0.0,0.0,20,test,1.210719347000122e-08,99.93582069875552,69.78588709235191,99.07668009381962,69.76552498340607,0.0604084039976098,0.999197656194336,0.9987432014682828,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_adamw_no_weight_decay,True,adamw,0.0,0.0,final,validation,1.210719347000122e-08,72.06983846757541,45.22602933645248,71.4307445750863,45.076333701610565,0.0611036843584481,0.9980661192546364,0.997407158388647,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_adamw_no_weight_decay,True,adamw,0.0,0.0,final,test,1.210719347000122e-08,78.27307896434596,47.648578464984894,76.27042008488966,46.50201204419136,0.0599583314537406,0.9983084477863544,0.9986425288392212,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_sgd_momentum,True,sgd,0.9,0.0001,0,validation,1.210719347000122e-08,173.90093836679276,132.4422180056572,173.9009382746531,132.44221794605255,1.2266318396693641e-08,0.99999999999792,0.9999999999999998,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_sgd_momentum,True,sgd,0.9,0.0001,0,test,1.210719347000122e-08,183.37649775430367,144.82380551099777,183.37649775667316,144.82380557060242,1.5569300932755105e-08,0.9999999999962575,1.0,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_sgd_momentum,True,sgd,0.9,0.0001,1,validation,1.210719347000122e-08,173.89025597535368,132.4253375530243,173.89025618011743,132.42533791065216,1.3437078566819417e-08,0.9999999999975736,0.9999999999999998,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_sgd_momentum,True,sgd,0.9,0.0001,1,test,1.210719347000122e-08,183.3663665173818,144.80394631624222,183.36636656872483,144.80394637584686,1.79778801692409e-08,0.999999999995108,1.0,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_sgd_momentum,True,sgd,0.9,0.0001,2,validation,1.210719347000122e-08,173.86572323661977,132.38392001390457,173.8657232090404,132.38392007350922,1.4513703655948429e-08,0.9999999999972656,0.9999999999999998,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_sgd_momentum,True,sgd,0.9,0.0001,2,test,1.210719347000122e-08,183.344147183664,144.756038159132,183.34414732303625,144.7560382783413,1.5569300932755105e-08,0.999999999996498,1.0,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_sgd_momentum,True,sgd,0.9,0.0001,5,validation,1.210719347000122e-08,173.77270617351672,132.26476204395294,173.7727062557256,132.26476204395294,1.5515801855350686e-08,0.9999999999974436,0.9999999999999998,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_sgd_momentum,True,sgd,0.9,0.0001,5,test,1.210719347000122e-08,183.2436923039916,144.60512945055962,183.24369251489765,144.60512951016426,1.3730832785065324e-08,0.999999999997793,1.0,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_sgd_momentum,True,sgd,0.9,0.0001,10,validation,1.210719347000122e-08,173.58610561906664,132.0365599989891,173.58610563271864,132.03656005859375,1.819389038715861e-08,0.9999999999977096,0.9999999999999998,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_sgd_momentum,True,sgd,0.9,0.0001,10,test,1.210719347000122e-08,183.0368541591069,144.310702085495,183.0368538233537,144.31070166826248,1.79778801692409e-08,0.9999999999975344,0.9999999999999998,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_sgd_momentum,True,sgd,0.9,0.0001,20,validation,1.210719347000122e-08,173.21097111914014,131.63383787870407,173.21097115450277,131.63383787870407,2.052547655050624e-08,0.999999999998532,1.0,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_sgd_momentum,True,sgd,0.9,0.0001,20,test,1.210719347000122e-08,182.59654417812015,143.7641742825508,182.5965443530715,143.76417449116707,1.834859711314196e-08,0.9999999999987528,1.0,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_sgd_momentum,True,sgd,0.9,0.0001,final,validation,1.210719347000122e-08,167.72597018807966,127.30051624774931,167.7259717995543,127.30051696300508,3.638778077431722e-08,0.999999999999906,0.9999999999999998,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_sgd_momentum,True,sgd,0.9,0.0001,final,test,1.210719347000122e-08,175.47273792069285,137.0337947010994,175.47273876780602,137.03379526734352,3.3432735053951734e-08,0.9999999999999198,1.0,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_sgd_plain,True,sgd,0.0,0.0,0,validation,1.210719347000122e-08,173.90093836679276,132.4422180056572,173.9009382746531,132.44221794605255,1.2266318396693641e-08,0.99999999999792,0.9999999999999998,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_sgd_plain,True,sgd,0.0,0.0,0,test,1.210719347000122e-08,183.37649775430367,144.82380551099777,183.37649775667316,144.82380557060242,1.5569300932755105e-08,0.9999999999962575,1.0,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_sgd_plain,True,sgd,0.0,0.0,1,validation,1.210719347000122e-08,173.89656321066576,132.43597102165222,173.89656321631216,132.4359711408615,1.900289874786885e-08,0.9999999999950192,0.9999999999999998,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_sgd_plain,True,sgd,0.0,0.0,1,test,1.210719347000122e-08,183.3720617325056,144.8161996603012,183.37206166465413,144.8161996603012,1.2712280979029397e-08,0.999999999997534,0.9999999999999998,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_sgd_plain,True,sgd,0.0,0.0,2,validation,1.210719347000122e-08,173.8922090339097,132.42978703975675,173.89220923575394,132.42978698015213,1.819389038715861e-08,0.999999999995467,1.0,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_sgd_plain,True,sgd,0.0,0.0,2,test,1.210719347000122e-08,183.36763137630624,144.8086560368538,183.3676312051601,144.8086559176445,1.3730832785065324e-08,0.999999999997138,1.0,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_sgd_plain,True,sgd,0.0,0.0,5,validation,1.210719347000122e-08,173.87918322824171,132.41133350133896,173.8791832844227,132.41133362054825,1.7347193836990745e-08,0.9999999999960032,0.9999999999999998,,,,,,,,,,
