dataset,problem_type,model,variant,scope,selected_feature,mean_disagreement,mean_disagreement_seed_sd,max_disagreement,label_flip_rate,task_original,orbit_mean,orbit_worst,orbit_best,orbit_span,seeds,meaningful
adult,classification,tabm_d,orthogonal_one,one,fnlwgt,0.05321698599920302,0.01727113255854572,0.08216089141238357,0.024088541666666668,0.3551256996215048,0.3761329059982422,0.4063255338852434,0.3573757267123949,0.048949807172848504,3,False
adult,classification,tabpfn_2_6,condition_le_3_all,all,fnlwgt,0.03648995978092834,0.004923022583244744,0.04720233369588787,0.01904296875,0.3485880076688886,0.3438412391059887,0.34949459784849957,0.33149632605770346,0.017998271790796123,3,False
adult,classification,tabpfn_2_6,orthogonal_all,all,fnlwgt,0.036195656611037554,0.003498701415353059,0.0435004300614558,0.020914713541666668,0.3485880076688886,0.3477406741373034,0.3530361037489301,0.3426077630300452,0.010428340718884932,3,False
adult,classification,tabpfn_2_6,orthogonal_one,one,fnlwgt,0.015645444961825506,0.0006517041839092201,0.0268800562418743,0.007975260416666666,0.3485880076688886,0.3500609263770395,0.3528137108254459,0.34832179872215024,0.004491912103295599,3,False
bank-marketing,classification,catboost,condition_le_3_all,all,V6,0.04771733432048184,0.004688428050467236,0.05535765267903253,0.019612630208333332,0.2545775293896108,0.26069826397067036,0.2660965969856967,0.25378110380824825,0.012315493177448464,3,False
bank-marketing,classification,catboost,orthogonal_all,all,V6,0.04698859886059944,0.004252632847864979,0.051037790416655966,0.019449869791666668,0.2545775293896108,0.26004343624612153,0.26668087429325343,0.25476595457098233,0.011914919722271081,3,False
bank-marketing,classification,catboost,orthogonal_one,one,V6,0.042208653838318205,0.0015358364173914487,0.0471508982544879,0.019694010416666668,0.2545775293896108,0.2569293714722269,0.26088345965357695,0.25162123474484116,0.009262224908735813,3,False
bank-marketing,classification,controlled_mlp,condition_le_3_all,all,V6,0.04525474837512944,0.018717832213648995,0.0630012590636235,0.021728515625,0.2533905131076043,0.2503001033274724,0.25568427922274245,0.244483014774588,0.011201264448154438,3,False
bank-marketing,classification,controlled_mlp,orthogonal_all,all,V6,0.0399074628917837,0.026436555569497585,0.05239097000336116,0.020751953125,0.2533905131076043,0.2519791504686751,0.2582423427763887,0.24824502305863258,0.0099973197177561,3,False
bank-marketing,classification,controlled_mlp,orthogonal_one,one,V6,0.025394760439072152,0.020467015741285555,0.062223088952788164,0.01318359375,0.2533905131076043,0.25660143688714865,0.2643466717414016,0.2494330722402033,0.014913599501198305,3,False
