dataset,problem_type,model,model_seed,split,reference_log_loss,reference_accuracy,reference_roc_auc,transformed_log_loss,transformed_accuracy,transformed_roc_auc,probability_rmse,probability_mad,js_divergence,label_flip_rate,reference_rmse,reference_mae,transformed_rmse,transformed_mae,prediction_rmse_normalized,prediction_pearson,prediction_spearman
phoneme,classification,controlled_mlp,1,validation,0.2696541211841536,0.890625,0.9496869244935544,0.2784859982717459,0.890625,0.9474769797421732,0.0759573811907527,0.0402224161507336,0.0049952612720148,0.03125,,,,,,,
phoneme,classification,controlled_mlp,1,test,0.3575072661374746,0.84765625,0.9150092081031306,0.3925932931481999,0.849609375,0.9124125230202578,0.058678667223861,0.0339877499556535,0.0035378722909798,0.033203125,,,,,,,
phoneme,classification,controlled_mlp,2,validation,0.2809321191611634,0.88671875,0.945340699815838,0.2800863779060731,0.8984375,0.949097605893186,0.0842332939877814,0.0467803898264714,0.0049597227292124,0.05078125,,,,,,,
phoneme,classification,controlled_mlp,2,test,0.3612684917891376,0.841796875,0.9170349907918968,0.3671298913190706,0.833984375,0.9105340699815836,0.0823876675485615,0.0472576223692991,0.0051138467329413,0.05859375,,,,,,,
credit-g,classification,tabm_d,0,validation,0.4538200100503246,0.8125,0.8422619047619047,0.6113942667239731,0.7,0.4825148809523809,0.2091972742603685,0.1790986445218788,0.0293048962573294,0.225,,,,,,,
credit-g,classification,tabm_d,0,test,0.4871646272607488,0.755,0.7948809523809524,0.6079393483412207,0.7,0.56,0.2119195569686265,0.1808658100748435,0.0304541962861638,0.215,,,,,,,
credit-g,classification,tabm_d,1,validation,0.4525717437466939,0.79375,0.8409598214285714,0.6106738411241992,0.7,0.4966517857142857,0.206087367661323,0.1758887037032608,0.0283605108935462,0.20625,,,,,,,
credit-g,classification,tabm_d,1,test,0.4842417537235758,0.75,0.7944047619047618,0.6075952322795355,0.7,0.5678571428571428,0.2090901939395407,0.1780745484488083,0.0296748123699167,0.21,,,,,,,
credit-g,classification,tabm_d,2,validation,0.4643615051457354,0.8,0.8342633928571428,0.4579284170385255,0.75625,0.8351934523809523,0.0531436175995373,0.0399444905771866,0.0018539641685505,0.06875,,,,,,,
credit-g,classification,tabm_d,2,test,0.4907290262989475,0.755,0.7928571428571428,0.4865382797181047,0.765,0.7948809523809524,0.0489128037878881,0.0351077366162403,0.0015829375539863,0.07,,,,,,,
house_16H,regression,tabm_d,0,validation,,,,,,,,,,,40834.23841681203,20946.30938720703,43250.68200624816,22896.502410888672,0.1787575136905573,0.9594428500258472,0.955327306019684
house_16H,regression,tabm_d,0,test,,,,,,,,,,,32794.46399051163,17619.37671661377,33132.97603593699,18653.505825042725,0.2321582890922458,0.959827239681947,0.955323436301942
house_16H,regression,tabm_d,1,validation,,,,,,,,,,,41415.71004410161,20833.36975097656,43295.30019803093,22774.728729248047,0.1709641695427509,0.9576818111850433,0.950842584115358
house_16H,regression,tabm_d,1,test,,,,,,,,,,,32661.22763419861,17591.66635131836,33620.67305591016,18719.89926147461,0.2206446526690888,0.9589226540419667,0.95573453110516
house_16H,regression,tabm_d,2,validation,,,,,,,,,,,40454.43544312608,20083.854042053223,42738.27221137229,22362.829872131348,0.1830619319523296,0.9532394324839644,0.9496294918745706
house_16H,regression,tabm_d,2,test,,,,,,,,,,,32233.509484656566,16894.96054840088,33619.29288918597,18656.39080429077,0.2303698988447489,0.9558812604326506,0.9564920792277496
phoneme,classification,tabm_d,0,validation,0.2778116252956187,0.91015625,0.9464456721915284,0.2823207050939785,0.90625,0.945340699815838,0.0915794433268113,0.0522397768482973,0.0063678548213463,0.04296875,,,,,,,
phoneme,classification,tabm_d,0,test,0.3226484568418613,0.841796875,0.9284714548802948,0.3388196195799109,0.8515625,0.9221915285451197,0.0813038054974269,0.0445664831703084,0.0053241804432263,0.048828125,,,,,,,
phoneme,classification,tabm_d,1,validation,0.2804657242898406,0.9140625,0.945561694290976,0.2838323488672863,0.90234375,0.9423204419889504,0.0955684738331719,0.0543492991287952,0.007195727551181,0.04296875,,,,,,,
phoneme,classification,tabm_d,1,test,0.3231035611621691,0.84375,0.928342541436464,0.3331457049569252,0.853515625,0.919815837937385,0.0824622112770274,0.0456471053840265,0.0055529472197562,0.048828125,,,,,,,
phoneme,classification,tabm_d,2,validation,0.2768751256187432,0.90234375,0.9468876611418048,0.2837155922010536,0.91015625,0.9451197053407,0.0862781464219172,0.0507140937548512,0.0057508554166977,0.0546875,,,,,,,
phoneme,classification,tabm_d,2,test,0.3245710233988463,0.849609375,0.9288213627992632,0.33225085214248,0.84765625,0.9225046040515652,0.0807036197189833,0.0435138583189546,0.0049637963406164,0.048828125,,,,,,,
