panel,dataset,feature,basis_a,basis_b,scope,member,dimension,condition_number,orthogonality_error,reconstruction_error,passes
development,adult,age,rbf,condition_le_3_all,all,1,8,3.0,2.5909619978968736,2.1206248915510432e-16,True
development,adult,capital-gain,rbf,condition_le_3_all,all,1,8,2.999999999999999,2.5909619978968768,2.7590570236352294e-16,True
development,adult,capital-loss,rbf,condition_le_3_all,all,1,8,3.0000000000000013,2.5909619978968745,3.4564318878166823e-16,True
development,adult,education-num,rbf,condition_le_3_all,all,1,8,2.9999999999999973,2.590961997896875,2.4899157872502145e-16,True
development,adult,fnlwgt,rbf,condition_le_3_all,all,1,8,3.0000000000000013,2.590961997896875,2.804768288825066e-16,True
development,adult,hours-per-week,rbf,condition_le_3_all,all,1,8,2.999999999999997,2.5909619978968736,2.500521967383556e-16,True
development,adult,age,rbf,condition_le_3_all,all,2,8,3.0,2.5909619978968745,2.9177818774112427e-16,True
development,adult,capital-gain,rbf,condition_le_3_all,all,2,8,2.9999999999999982,2.590961997896874,2.7635902468167786e-16,True
development,adult,capital-loss,rbf,condition_le_3_all,all,2,8,2.9999999999999987,2.5909619978968754,3.26613298899422e-16,True
development,adult,education-num,rbf,condition_le_3_all,all,2,8,2.9999999999999987,2.590961997896875,1.9018891974391648e-16,True
development,adult,fnlwgt,rbf,condition_le_3_all,all,2,8,2.999999999999999,2.590961997896876,2.992305650046727e-16,True
development,adult,hours-per-week,rbf,condition_le_3_all,all,2,8,3.0000000000000004,2.5909619978968768,2.6957063608345824e-16,True
development,adult,age,rbf,condition_le_3_all,all,3,8,3.000000000000002,2.5909619978968776,2.38060213825235e-16,True
development,adult,capital-gain,rbf,condition_le_3_all,all,3,8,3.0,2.590961997896874,2.918604364217545e-16,True
development,adult,capital-loss,rbf,condition_le_3_all,all,3,8,2.9999999999999987,2.590961997896875,2.1024175785921792e-16,True
development,adult,education-num,rbf,condition_le_3_all,all,3,8,2.999999999999999,2.590961997896876,2.988039820604399e-16,True
development,adult,fnlwgt,rbf,condition_le_3_all,all,3,8,3.0000000000000004,2.590961997896874,2.5854531873870823e-16,True
development,adult,hours-per-week,rbf,condition_le_3_all,all,3,8,3.000000000000001,2.590961997896876,3.215512439034994e-16,True
development,adult,age,rbf,condition_le_3_all,all,4,8,2.9999999999999987,2.590961997896873,2.248587080004066e-16,True
development,adult,capital-gain,rbf,condition_le_3_all,all,4,8,2.9999999999999987,2.590961997896875,4.460357834290702e-16,True
development,adult,capital-loss,rbf,condition_le_3_all,all,4,8,2.999999999999997,2.590961997896874,2.871945480222074e-16,True
development,adult,education-num,rbf,condition_le_3_all,all,4,8,2.9999999999999996,2.5909619978968754,3.1367968939391817e-16,True
development,adult,fnlwgt,rbf,condition_le_3_all,all,4,8,3.0,2.590961997896875,2.1748038453900782e-16,True
development,adult,hours-per-week,rbf,condition_le_3_all,all,4,8,3.0000000000000013,2.590961997896877,3.0694359543933617e-16,True
development,adult,age,rbf,condition_le_3_all,all,5,8,2.9999999999999982,2.5909619978968728,3.099901335517844e-16,True
development,adult,capital-gain,rbf,condition_le_3_all,all,5,8,2.999999999999999,2.5909619978968768,2.376899998630095e-16,True
development,adult,capital-loss,rbf,condition_le_3_all,all,5,8,3.0,2.590961997896874,3.138474002888056e-16,True
development,adult,education-num,rbf,condition_le_3_all,all,5,8,2.999999999999999,2.5909619978968736,3.090941306968972e-16,True
development,adult,fnlwgt,rbf,condition_le_3_all,all,5,8,2.999999999999999,2.590961997896874,2.286786230706364e-16,True
development,adult,hours-per-week,rbf,condition_le_3_all,all,5,8,3.0000000000000027,2.5909619978968754,1.6965808552599744e-16,True
development,adult,age,rbf,condition_le_3_all,all,6,8,3.0,2.5909619978968754,2.8161436465695664e-16,True
development,adult,capital-gain,rbf,condition_le_3_all,all,6,8,2.9999999999999964,2.5909619978968736,3.87276740529974e-16,True
development,adult,capital-loss,rbf,condition_le_3_all,all,6,8,2.9999999999999982,2.5909619978968736,3.0722502373613717e-16,True
development,adult,education-num,rbf,condition_le_3_all,all,6,8,3.000000000000001,2.590961997896876,2.678099522605588e-16,True
development,adult,fnlwgt,rbf,condition_le_3_all,all,6,8,3.0,2.590961997896875,2.880513446077854e-16,True
development,adult,hours-per-week,rbf,condition_le_3_all,all,6,8,3.0000000000000013,2.5909619978968754,3.546248473646957e-16,True
development,adult,age,rbf,condition_le_3_all,all,7,8,2.9999999999999987,2.5909619978968768,3.068055872576324e-16,True
development,adult,capital-gain,rbf,condition_le_3_all,all,7,8,2.999999999999999,2.590961997896874,2.2057223989167909e-16,True
development,adult,capital-loss,rbf,condition_le_3_all,all,7,8,3.0,2.590961997896876,2.2621567338496773e-16,True
development,adult,education-num,rbf,condition_le_3_all,all,7,8,3.0000000000000013,2.5909619978968763,2.782906221300427e-16,True
development,adult,fnlwgt,rbf,condition_le_3_all,all,7,8,2.9999999999999987,2.5909619978968736,2.794111318568347e-16,True
development,adult,hours-per-week,rbf,condition_le_3_all,all,7,8,2.9999999999999987,2.5909619978968723,2.4765407822847705e-16,True
development,bank-marketing,V6,rbf,orthogonal_one,one,0,8,1.0000000000000007,1.1130677564037058e-15,1.7781918528333152e-16,True
development,bank-marketing,V6,rbf,orthogonal_one,one,1,8,1.0000000000000007,1.0790796020229581e-15,2.4209734870577544e-16,True
development,bank-marketing,V6,rbf,orthogonal_one,one,2,8,1.0000000000000009,7.860943814538659e-16,2.1714835508097952e-16,True
development,bank-marketing,V6,rbf,orthogonal_one,one,3,8,1.0000000000000002,1.1621416893358924e-15,1.6288423340318938e-16,True
development,bank-marketing,V6,rbf,orthogonal_one,one,4,8,1.0000000000000007,8.8651068849730365e-16,2.6668731022021086e-16,True
development,bank-marketing,V6,rbf,orthogonal_one,one,5,8,1.0000000000000004,1.1036962791468211e-15,1.7308041573848656e-16,True
development,bank-marketing,V6,rbf,orthogonal_one,one,6,8,1.0000000000000007,1.0056958209529261e-15,1.9258177095423198e-16,True
development,bank-marketing,V6,rbf,orthogonal_one,one,7,8,1.000000000000001,1.4558610606395534e-15,2.362554943037945e-16,True
development,bank-marketing,V1,rbf,orthogonal_all,all,0,8,1.0000000000000004,1.0831996005284702e-15,1.959032561135476e-16,True
development,bank-marketing,V10,rbf,orthogonal_all,all,0,8,1.0000000000000004,1.0191510765301843e-15,2.163903405394115e-16,True
development,bank-marketing,V12,rbf,orthogonal_all,all,0,8,1.0000000000000007,7.910183815973938e-16,2.6816301239782334e-16,True
development,bank-marketing,V13,rbf,orthogonal_all,all,0,8,1.0000000000000004,1.6036618988139018e-15,1.474659570925393e-16,True
development,bank-marketing,V14,rbf,orthogonal_all,all,0,8,1.0000000000000009,1.476596050536167e-15,2.828284968520729e-16,True
development,bank-marketing,V6,rbf,orthogonal_all,all,0,8,1.0000000000000004,8.50117345577621e-16,2.0224186499239816e-16,True
development,bank-marketing,V1,rbf,orthogonal_all,all,1,8,1.0000000000000004,1.2667023895229234e-15,2.7183045512172803e-16,True
development,bank-marketing,V10,rbf,orthogonal_all,all,1,8,1.0000000000000009,1.1370923729650726e-15,2.0394939189540086e-16,True
development,bank-marketing,V12,rbf,orthogonal_all,all,1,8,1.0000000000000004,1.2335595097504166e-15,2.5665462161915806e-16,True
development,bank-marketing,V13,rbf,orthogonal_all,all,1,8,1.0000000000000009,1.0568895801987168e-15,2.6196330046537416e-16,True
development,bank-marketing,V14,rbf,orthogonal_all,all,1,8,1.0000000000000009,1.385764961171893e-15,3.2142646130183716e-16,True
development,bank-marketing,V6,rbf,orthogonal_all,all,1,8,1.0000000000000009,8.664528637031116e-16,1.8233671981797182e-16,True
development,bank-marketing,V1,rbf,orthogonal_all,all,2,8,1.0000000000000007,1.0200768790175199e-15,2.0015363938049813e-16,True
development,bank-marketing,V10,rbf,orthogonal_all,all,2,8,1.0000000000000009,1.2006199418227201e-15,2.3570170519847534e-16,True
development,bank-marketing,V12,rbf,orthogonal_all,all,2,8,1.0000000000000007,1.162447729758483e-15,2.309787609793892e-16,True
development,bank-marketing,V13,rbf,orthogonal_all,all,2,8,1.0000000000000004,1.1917862396315955e-15,2.0698971850544966e-16,True
development,bank-marketing,V14,rbf,orthogonal_all,all,2,8,1.0000000000000009,1.2110781266132376e-15,2.2140618026927136e-16,True
development,bank-marketing,V6,rbf,orthogonal_all,all,2,8,1.0000000000000007,1.0650975450113954e-15,2.07856236508648e-16,True
development,bank-marketing,V1,rbf,orthogonal_all,all,3,8,1.0000000000000004,1.0411418473370155e-15,2.9364826384110177e-16,True
development,bank-marketing,V10,rbf,orthogonal_all,all,3,8,1.0000000000000004,1.4856210656691018e-15,2.355809012605042e-16,True
development,bank-marketing,V12,rbf,orthogonal_all,all,3,8,1.0000000000000007,9.403079616282989e-16,1.899862169948175e-16,True
development,bank-marketing,V13,rbf,orthogonal_all,all,3,8,1.0000000000000002,9.108490161096545e-16,1.9283288143290131e-16,True
development,bank-marketing,V14,rbf,orthogonal_all,all,3,8,1.0000000000000007,1.2291753495054365e-15,1.8359091966463464e-16,True
development,bank-marketing,V6,rbf,orthogonal_all,all,3,8,1.0000000000000007,1.0279906714320388e-15,1.9432109635285146e-16,True
development,bank-marketing,V1,rbf,orthogonal_all,all,4,8,1.0000000000000007,9.761715045729886e-16,2.414906292914509e-16,True
development,bank-marketing,V10,rbf,orthogonal_all,all,4,8,1.0000000000000007,1.1852621569117378e-15,2.2927832350583493e-16,True
development,bank-marketing,V12,rbf,orthogonal_all,all,4,8,1.0000000000000004,1.0446130607172993e-15,2.2524811077945084e-16,True
development,bank-marketing,V13,rbf,orthogonal_all,all,4,8,1.0000000000000004,1.1898901429828585e-15,2.1299312663032093e-16,True
development,bank-marketing,V14,rbf,orthogonal_all,all,4,8,1.0000000000000004,1.4058190471433442e-15,4.0500864766666397e-16,True
development,bank-marketing,V6,rbf,orthogonal_all,all,4,8,1.0000000000000007,1.2647786727763954e-15,2.6645371185891315e-16,True
development,bank-marketing,V1,rbf,orthogonal_all,all,5,8,1.0000000000000007,1.1604867070389937e-15,2.3428607147372063e-16,True
development,bank-marketing,V10,rbf,orthogonal_all,all,5,8,1.0000000000000009,1.109861268975681e-15,2.4708412275742317e-16,True
development,bank-marketing,V12,rbf,orthogonal_all,all,5,8,1.0000000000000007,7.846931255903059e-16,3.0690970887068107e-16,True
development,bank-marketing,V13,rbf,orthogonal_all,all,5,8,1.0000000000000004,9.412450821700214e-16,3.1612759678354066e-16,True
development,bank-marketing,V14,rbf,orthogonal_all,all,5,8,1.0000000000000004,9.476542709852523e-16,1.797500565863267e-16,True
development,bank-marketing,V6,rbf,orthogonal_all,all,5,8,1.0000000000000002,1.1926041739233188e-15,2.3695416945364354e-16,True
development,bank-marketing,V1,rbf,orthogonal_all,all,6,8,1.0000000000000004,1.2408828546516542e-15,2.0686602688250105e-16,True
development,bank-marketing,V10,rbf,orthogonal_all,all,6,8,1.0000000000000007,1.0390220130008769e-15,2.6152841070277904e-16,True
development,bank-marketing,V12,rbf,orthogonal_all,all,6,8,1.0000000000000007,1.187933017572671e-15,1.9835660566585723e-16,True
development,bank-marketing,V13,rbf,orthogonal_all,all,6,8,1.0000000000000004,9.633130574707032e-16,3.5238391107649774e-16,True
development,bank-marketing,V14,rbf,orthogonal_all,all,6,8,1.0000000000000004,9.919957934614525e-16,2.9879396552062926e-16,True
development,bank-marketing,V6,rbf,orthogonal_all,all,6,8,1.0000000000000004,1.3480979952639546e-15,1.7895796718418565e-16,True
development,bank-marketing,V1,rbf,orthogonal_all,all,7,8,1.0000000000000004,9.56660751993278e-16,2.36345453391386e-16,True
development,bank-marketing,V10,rbf,orthogonal_all,all,7,8,1.0000000000000007,1.2292830134311243e-15,2.6140117898193117e-16,True
development,bank-marketing,V12,rbf,orthogonal_all,all,7,8,1.0000000000000009,8.194027381810691e-16,2.3229173434394517e-16,True
development,bank-marketing,V13,rbf,orthogonal_all,all,7,8,1.0000000000000007,1.41138687825207e-15,1.7989386140111974e-16,True
development,bank-marketing,V14,rbf,orthogonal_all,all,7,8,1.0000000000000004,1.0270548349104703e-15,3.4463634383564745e-16,True
development,bank-marketing,V6,rbf,orthogonal_all,all,7,8,1.0000000000000004,9.428452457659883e-16,2.1519151575110075e-16,True
development,bank-marketing,V1,rbf,condition_le_3_all,all,0,8,3.0,2.590961997896877,3.9578719817256233e-16,True
development,bank-marketing,V10,rbf,condition_le_3_all,all,0,8,2.9999999999999987,2.590961997896874,2.5087238216552715e-16,True
development,bank-marketing,V12,rbf,condition_le_3_all,all,0,8,2.9999999999999973,2.5909619978968754,2.1503271007913677e-16,True
development,bank-marketing,V13,rbf,condition_le_3_all,all,0,8,2.9999999999999996,2.590961997896874,3.239704910114857e-16,True
development,bank-marketing,V14,rbf,condition_le_3_all,all,0,8,3.0000000000000013,2.5909619978968776,2.2125363362013664e-16,True
development,bank-marketing,V6,rbf,condition_le_3_all,all,0,8,3.0,2.590961997896876,2.2092378045193122e-16,True
development,bank-marketing,V1,rbf,condition_le_3_all,all,1,8,2.9999999999999987,2.5909619978968763,3.1494384181532834e-16,True
development,bank-marketing,V10,rbf,condition_le_3_all,all,1,8,2.9999999999999996,2.590961997896875,2.991356057279314e-16,True
development,bank-marketing,V12,rbf,condition_le_3_all,all,1,8,2.9999999999999996,2.590961997896876,2.594588396557693e-16,True
development,bank-marketing,V13,rbf,condition_le_3_all,all,1,8,2.9999999999999996,2.5909619978968754,4.1000428054710405e-16,True
development,bank-marketing,V14,rbf,condition_le_3_all,all,1,8,3.0000000000000004,2.5909619978968776,2.0238320141912018e-16,True
development,bank-marketing,V6,rbf,condition_le_3_all,all,1,8,2.9999999999999982,2.590961997896873,2.4123902266651624e-16,True
development,bank-marketing,V1,rbf,condition_le_3_all,all,2,8,2.9999999999999987,2.5909619978968745,2.0774372075250526e-16,True
development,bank-marketing,V10,rbf,condition_le_3_all,all,2,8,2.9999999999999996,2.5909619978968745,2.7170256504065813e-16,True
development,bank-marketing,V12,rbf,condition_le_3_all,all,2,8,2.999999999999999,2.5909619978968754,2.7912766452692947e-16,True
development,bank-marketing,V13,rbf,condition_le_3_all,all,2,8,3.000000000000001,2.5909619978968754,2.448069289577818e-16,True
development,bank-marketing,V14,rbf,condition_le_3_all,all,2,8,3.000000000000001,2.590961997896876,2.521979039534086e-16,True
development,bank-marketing,V6,rbf,condition_le_3_all,all,2,8,3.000000000000001,2.590961997896875,2.107250846702378e-16,True
development,bank-marketing,V1,rbf,condition_le_3_all,all,3,8,2.9999999999999987,2.590961997896875,3.0548261010343096e-16,True
development,bank-marketing,V10,rbf,condition_le_3_all,all,3,8,2.9999999999999996,2.590961997896875,3.4099210262344945e-16,True
development,bank-marketing,V12,rbf,condition_le_3_all,all,3,8,2.999999999999999,2.5909619978968754,3.0895354264863034e-16,True
development,bank-marketing,V13,rbf,condition_le_3_all,all,3,8,2.999999999999999,2.590961997896873,2.0451248961006839e-16,True
development,bank-marketing,V14,rbf,condition_le_3_all,all,3,8,3.0,2.5909619978968736,3.10125427494003e-16,True
development,bank-marketing,V6,rbf,condition_le_3_all,all,3,8,2.9999999999999996,2.5909619978968745,3.2113177101717143e-16,True
development,bank-marketing,V1,rbf,condition_le_3_all,all,4,8,2.9999999999999987,2.5909619978968736,2.1193834181810538e-16,True
development,bank-marketing,V10,rbf,condition_le_3_all,all,4,8,3.0000000000000013,2.5909619978968754,2.5152596754809296e-16,True
development,bank-marketing,V12,rbf,condition_le_3_all,all,4,8,3.0000000000000013,2.5909619978968768,2.9415002935097396e-16,True
development,bank-marketing,V13,rbf,condition_le_3_all,all,4,8,2.9999999999999973,2.5909619978968754,2.86353579736937e-16,True
development,bank-marketing,V14,rbf,condition_le_3_all,all,4,8,2.999999999999998,2.590961997896875,2.5179126379811195e-16,True
development,bank-marketing,V6,rbf,condition_le_3_all,all,4,8,2.999999999999998,2.5909619978968728,2.43807016890072e-16,True
development,bank-marketing,V1,rbf,condition_le_3_all,all,5,8,2.9999999999999987,2.590961997896874,2.1389949448066977e-16,True
development,bank-marketing,V10,rbf,condition_le_3_all,all,5,8,2.9999999999999996,2.590961997896874,2.6287881115502e-16,True
development,bank-marketing,V12,rbf,condition_le_3_all,all,5,8,2.9999999999999982,2.5909619978968736,2.6210322644663504e-16,True
development,bank-marketing,V13,rbf,condition_le_3_all,all,5,8,2.9999999999999987,2.590961997896874,2.8034202919645017e-16,True
development,bank-marketing,V14,rbf,condition_le_3_all,all,5,8,3.000000000000001,2.5909619978968754,2.3499954336619216e-16,True
development,bank-marketing,V6,rbf,condition_le_3_all,all,5,8,2.999999999999998,2.590961997896875,2.146743191114252e-16,True
development,bank-marketing,V1,rbf,condition_le_3_all,all,6,8,3.0000000000000004,2.5909619978968745,2.1412011421524787e-16,True
development,bank-marketing,V10,rbf,condition_le_3_all,all,6,8,2.9999999999999987,2.590961997896876,2.2019836855292665e-16,True
development,bank-marketing,V12,rbf,condition_le_3_all,all,6,8,3.0,2.590961997896874,2.1344154483413592e-16,True
development,bank-marketing,V13,rbf,condition_le_3_all,all,6,8,2.999999999999998,2.590961997896875,2.0724953630073335e-16,True
development,bank-marketing,V14,rbf,condition_le_3_all,all,6,8,3.0000000000000004,2.590961997896876,2.982367422058004e-16,True
development,bank-marketing,V6,rbf,condition_le_3_all,all,6,8,2.999999999999999,2.590961997896876,2.288648347027539e-16,True
development,bank-marketing,V1,rbf,condition_le_3_all,all,7,8,2.999999999999999,2.5909619978968754,1.9312432084887942e-16,True
development,bank-marketing,V10,rbf,condition_le_3_all,all,7,8,2.9999999999999973,2.5909619978968754,3.015535804424336e-16,True
development,bank-marketing,V12,rbf,condition_le_3_all,all,7,8,2.9999999999999973,2.590961997896875,2.546148388724672e-16,True
development,bank-marketing,V13,rbf,condition_le_3_all,all,7,8,3.0,2.5909619978968768,2.4607751300572497e-16,True
development,bank-marketing,V14,rbf,condition_le_3_all,all,7,8,2.9999999999999996,2.5909619978968754,2.180974974836977e-16,True
development,bank-marketing,V6,rbf,condition_le_3_all,all,7,8,2.9999999999999996,2.5909619978968745,2.257940227136817e-16,True
development,bike-sharing,feel_temp,rbf,orthogonal_one,one,0,8,1.0000000000000007,9.809437398421569e-16,1.9632129985790575e-16,True
development,bike-sharing,feel_temp,rbf,orthogonal_one,one,1,8,1.0000000000000009,1.2123339232997006e-15,2.825006223789638e-16,True
development,bike-sharing,feel_temp,rbf,orthogonal_one,one,2,8,1.0000000000000007,1.333514917627642e-15,2.596848124774123e-16,True
development,bike-sharing,feel_temp,rbf,orthogonal_one,one,3,8,1.0000000000000002,1.3363344157218998e-15,2.3198577303178693e-16,True
development,bike-sharing,feel_temp,rbf,orthogonal_one,one,4,8,1.0000000000000002,6.166014155826502e-16,3.2894642594306266e-16,True
development,bike-sharing,feel_temp,rbf,orthogonal_one,one,5,8,1.0000000000000007,1.0480629136197656e-15,1.8567275414021608e-16,True
development,bike-sharing,feel_temp,rbf,orthogonal_one,one,6,8,1.0000000000000004,1.4418317708657014e-15,1.9540405568856482e-16,True
development,bike-sharing,feel_temp,rbf,orthogonal_one,one,7,8,1.0000000000000007,1.1978721953685427e-15,2.621793184939141e-16,True
development,bike-sharing,feel_temp,rbf,orthogonal_all,all,0,8,1.0000000000000009,8.49330484238735e-16,1.8742002347483404e-16,True
development,bike-sharing,hour,rbf,orthogonal_all,all,0,8,1.0000000000000009,6.088669857364703e-16,2.3867616930967706e-16,True
development,bike-sharing,humidity,rbf,orthogonal_all,all,0,8,1.0000000000000007,9.987339016022304e-16,3.179027361283076e-16,True
development,bike-sharing,temp,rbf,orthogonal_all,all,0,8,1.0000000000000007,1.0512398844763515e-15,2.2414230381953963e-16,True
development,bike-sharing,windspeed,rbf,orthogonal_all,all,0,8,1.0000000000000004,8.328740398499194e-16,1.475820313550921e-16,True
development,bike-sharing,feel_temp,rbf,orthogonal_all,all,1,8,1.0000000000000007,1.0524539134647815e-15,1.973030845222382e-16,True
development,bike-sharing,hour,rbf,orthogonal_all,all,1,8,1.0000000000000007,1.1941197335268046e-15,2.4697800365899394e-16,True
