dataset,problem_type,model,model_seed,variant,scope,task_original,oracle_best_basis_task,validation_selected_basis_task,oracle_best_relative_gain,validation_selected_relative_gain,validation_selected_representation_id
adult,classification,tabm_d,2,orthogonal_one,one,0.3514937240802613,0.3533309316541719,0.3851823955243222,-0.005226857403266406,-0.09584430428228162,orthogonal_one__m3
adult,classification,tabpfn_2_6,0,condition_le_3_all,all,0.3449643298576041,0.3310804412659031,0.3310804412659031,0.04024731657743305,0.04024731657743305,condition_le_3_all__m2
adult,classification,tabpfn_2_6,0,orthogonal_all,all,0.3449643298576041,0.3423383933514968,0.3472793044068311,0.007612197200769319,-0.0067107649946954,orthogonal_all__m7
adult,classification,tabpfn_2_6,0,orthogonal_one,one,0.3449643298576041,0.3447921480640765,0.3463549230912196,0.0004991292682310079,-0.004031121809578186,orthogonal_one__m2
adult,classification,tabpfn_2_6,1,condition_le_3_all,all,0.3459987622787964,0.3264128189342569,0.3451375174270855,0.05660697516818769,0.0024891558745430992,condition_le_3_all__m6
adult,classification,tabpfn_2_6,1,orthogonal_all,all,0.3459987622787964,0.3370729439448225,0.3448883142685968,0.025797255097640196,0.003209398793469776,orthogonal_all__m7
adult,classification,tabpfn_2_6,1,orthogonal_one,one,0.3459987622787964,0.3451699584279826,0.3455889671854368,0.002395395420940754,0.0011843831193517006,orthogonal_one__m7
adult,classification,tabpfn_2_6,2,condition_le_3_all,all,0.3548009308702654,0.3369957179729504,0.3369957179729504,0.050183670188355615,0.050183670188355615,condition_le_3_all__m2
adult,classification,tabpfn_2_6,2,orthogonal_all,all,0.3548009308702654,0.3484119517938163,0.3490137510525609,0.018007221854739852,0.01631106153952172,orthogonal_all__m2
adult,classification,tabpfn_2_6,2,orthogonal_one,one,0.3548009308702654,0.3550032896743917,0.3573812701680845,-0.0005703446257313459,-0.007272639593954894,orthogonal_one__m6
bank-marketing,classification,catboost,0,condition_le_3_all,all,0.2547679370111997,0.2567989817479,0.2629981895483065,-0.00797213637056302,-0.03230489924933133,condition_le_3_all__m6
bank-marketing,classification,catboost,0,orthogonal_all,all,0.2547679370111997,0.2549249933653632,0.263047520603731,-0.0006164682887727776,-0.03249853058301959,orthogonal_all__m6
bank-marketing,classification,catboost,0,orthogonal_one,one,0.2547679370111997,0.2530620070479756,0.2586660201453747,0.00669601513925637,-0.01530052478308383,orthogonal_one__m1
bank-marketing,classification,catboost,1,condition_le_3_all,all,0.2529197296268213,0.2486622528950526,0.2650989889376332,0.016833312047464803,-0.04815464309084214,condition_le_3_all__m6
bank-marketing,classification,catboost,1,orthogonal_all,all,0.2529197296268213,0.2549612153010125,0.2669565593735881,-0.008071674270739532,-0.055499148949265005,orthogonal_all__m7
bank-marketing,classification,catboost,1,orthogonal_one,one,0.2529197296268213,0.2503315869438949,0.2560657822695851,0.010233059661834834,-0.01243893723674995,orthogonal_one__m1
bank-marketing,classification,catboost,2,condition_le_3_all,all,0.2560449215308114,0.2558820767817922,0.259182859643679,0.0006360006988054215,-0.012255420236835296,condition_le_3_all__m4
bank-marketing,classification,catboost,2,orthogonal_all,all,0.2560449215308114,0.2544116550465713,0.2544116550465713,0.006378827880964312,0.006378827880964312,orthogonal_all__m5
bank-marketing,classification,catboost,2,orthogonal_one,one,0.2560449215308114,0.251470110242653,0.2545511569009566,0.017867221348531546,0.005833994366785496,orthogonal_one__m2
bank-marketing,classification,controlled_mlp,0,condition_le_3_all,all,0.250504579862102,0.2431812793534769,0.2474892034067539,0.029234198083949028,0.012037210884559531,condition_le_3_all__m2
bank-marketing,classification,controlled_mlp,0,orthogonal_all,all,0.250504579862102,0.247574140206952,0.2545542736541736,0.01169814802093897,-0.016166146719955678,orthogonal_all__m3
bank-marketing,classification,controlled_mlp,0,orthogonal_one,one,0.250504579862102,0.2478850828678719,0.2478850828678719,0.010456882647303682,0.010456882647303682,orthogonal_one__m2
bank-marketing,classification,controlled_mlp,1,condition_le_3_all,all,0.2501320042624296,0.2436390636305564,0.2501221045355666,0.025958056231225147,3.9578009588120025e-05,condition_le_3_all__m1
bank-marketing,classification,controlled_mlp,1,orthogonal_all,all,0.2501320042624296,0.2506982391749235,0.2583933547773746,-0.0022637443543603443,-0.033027962732339766,orthogonal_all__m3
bank-marketing,classification,controlled_mlp,1,orthogonal_one,one,0.2501320042624296,0.2496327809497529,0.2549493438023659,0.001995839413467922,-0.0192591889796002,orthogonal_one__m7
bank-marketing,classification,controlled_mlp,2,condition_le_3_all,all,0.2595349551982813,0.2466287013397307,0.2467551714545721,0.04972838378818911,0.04924108867703623,condition_le_3_all__m2
bank-marketing,classification,controlled_mlp,2,orthogonal_all,all,0.2595349551982813,0.2464626897940222,0.2509063029229396,0.050368033832945774,0.03324659011249383,orthogonal_all__m4
bank-marketing,classification,controlled_mlp,2,orthogonal_one,one,0.2595349551982813,0.2507813529029851,0.262674686013881,0.033728028228831704,-0.012097525796480836,orthogonal_one__m0
bank-marketing,classification,tabicl_v2,0,condition_le_3_all,all,0.236861218886741,0.2381684604158087,0.2474772435839382,-0.005519018838169416,-0.04481959835845231,condition_le_3_all__m4
bank-marketing,classification,tabicl_v2,0,orthogonal_all,all,0.236861218886741,0.2380063266351046,0.2380063266351046,-0.004834509227579173,-0.004834509227579173,orthogonal_all__m1
bank-marketing,classification,tabicl_v2,0,orthogonal_one,one,0.236861218886741,0.2340754119509502,0.2340754119509502,0.011761346787305381,0.011761346787305381,orthogonal_one__m1
bank-marketing,classification,tabicl_v2,1,condition_le_3_all,all,0.236861218886741,0.2381684604158087,0.2474772435839382,-0.005519018838169416,-0.04481959835845231,condition_le_3_all__m4
bank-marketing,classification,tabicl_v2,1,orthogonal_all,all,0.236861218886741,0.2380063266351046,0.2380063266351046,-0.004834509227579173,-0.004834509227579173,orthogonal_all__m1
bank-marketing,classification,tabicl_v2,1,orthogonal_one,one,0.236861218886741,0.2340754119509502,0.2340754119509502,0.011761346787305381,0.011761346787305381,orthogonal_one__m1
bank-marketing,classification,tabicl_v2,2,condition_le_3_all,all,0.236861218886741,0.2381684604158087,0.2474772435839382,-0.005519018838169416,-0.04481959835845231,condition_le_3_all__m4
bank-marketing,classification,tabicl_v2,2,orthogonal_all,all,0.236861218886741,0.2380063266351046,0.2380063266351046,-0.004834509227579173,-0.004834509227579173,orthogonal_all__m1
bank-marketing,classification,tabicl_v2,2,orthogonal_one,one,0.236861218886741,0.2340754119509502,0.2340754119509502,0.011761346787305381,0.011761346787305381,orthogonal_one__m1
bank-marketing,classification,tabm_d,0,condition_le_3_all,all,0.446654587788226,0.4437826297867665,0.4472295254036819,0.00642993059957361,-0.0012872085749816666,condition_le_3_all__m5
bank-marketing,classification,tabm_d,0,orthogonal_all,all,0.446654587788226,0.4399135287904093,0.4433115076675124,0.015092331260264248,0.007484710136456979,orthogonal_all__m6
bank-marketing,classification,tabm_d,0,orthogonal_one,one,0.446654587788226,0.4451275630031835,0.4456721977742886,0.003418804657541047,0.002199440106060514,orthogonal_one__m5
bank-marketing,classification,tabm_d,1,condition_le_3_all,all,0.4573571268783961,0.4519117496012609,0.4519117496012609,0.011906182186995887,0.011906182186995887,condition_le_3_all__m3
bank-marketing,classification,tabm_d,1,orthogonal_all,all,0.4573571268783961,0.4485481990980732,0.4530076804403182,0.019260501832444467,0.009509956623534445,orthogonal_all__m6
bank-marketing,classification,tabm_d,1,orthogonal_one,one,0.4573571268783961,0.4550932195581187,0.4561128233701707,0.00494997713434409,0.0027206387199389783,orthogonal_one__m5
bank-marketing,classification,tabm_d,2,condition_le_3_all,all,0.4518158988767295,0.4430297841803946,0.4508399875729201,0.019446227364238983,0.002159975570217106,condition_le_3_all__m5
bank-marketing,classification,tabm_d,2,orthogonal_all,all,0.4518158988767295,0.441562715086284,0.441562715086284,0.02269327798321447,0.02269327798321447,orthogonal_all__m7
bank-marketing,classification,tabm_d,2,orthogonal_one,one,0.4518158988767295,0.4492211844339707,0.4492211844339707,0.005742857763991064,0.005742857763991064,orthogonal_one__m5
bank-marketing,classification,tabpfn_2_6,0,condition_le_3_all,all,0.2368915837176128,0.2310092963276871,0.2310092963276871,0.024831137086481235,0.024831137086481235,condition_le_3_all__m7
bank-marketing,classification,tabpfn_2_6,0,orthogonal_all,all,0.2368915837176128,0.2386505629379539,0.2472722925649529,-0.007425249950787175,-0.043820505078451644,orthogonal_all__m2
bank-marketing,classification,tabpfn_2_6,0,orthogonal_one,one,0.2368915837176128,0.2355588034520694,0.2364081462632017,0.00562611910743162,0.0020407540311241203,orthogonal_one__m3
bank-marketing,classification,tabpfn_2_6,1,condition_le_3_all,all,0.2219931023965541,0.2305213015524986,0.2369347509268567,-0.038416505125056864,-0.06730681435142889,condition_le_3_all__m5
bank-marketing,classification,tabpfn_2_6,1,orthogonal_all,all,0.2219931023965541,0.231419211928529,0.2520528872467857,-0.042461272130593974,-0.13540864344755524,orthogonal_all__m4
bank-marketing,classification,tabpfn_2_6,1,orthogonal_one,one,0.2219931023965541,0.222370595662612,0.2249947894717737,-0.001700472951558535,-0.013521533069336506,orthogonal_one__m3
bank-marketing,classification,tabpfn_2_6,2,condition_le_3_all,all,0.2356606776867291,0.2376463009745527,0.2447288228483204,-0.008425772629166158,-0.03847967022163051,condition_le_3_all__m0
bank-marketing,classification,tabpfn_2_6,2,orthogonal_all,all,0.2356606776867291,0.2332512537285525,0.2402693949050391,0.010224123862444017,-0.019556581367539395,orthogonal_all__m7
bank-marketing,classification,tabpfn_2_6,2,orthogonal_one,one,0.2356606776867291,0.2346246133846811,0.2392020065792313,0.00439642418165865,-0.015027237158376458,orthogonal_one__m4
bike-sharing,regression,catboost,0,condition_le_3_all,all,59.054785423077206,58.81244692976491,60.14548171273572,0.004103621604517691,-0.018469227884660114,condition_le_3_all__m0
bike-sharing,regression,catboost,0,orthogonal_all,all,59.054785423077206,58.910941498244455,59.41049633135152,0.002435770849089233,-0.006023405312980914,orthogonal_all__m5
bike-sharing,regression,catboost,0,orthogonal_one,one,59.054785423077206,59.73594900060065,59.86102960790709,-0.011534434891998771,-0.013652478441058309,orthogonal_one__m7
bike-sharing,regression,catboost,1,condition_le_3_all,all,59.04610073940021,59.53713748610093,59.87073164007216,-0.00831615873955693,-0.013965882426537436,condition_le_3_all__m4
bike-sharing,regression,catboost,1,orthogonal_all,all,59.04610073940021,58.55776417028487,60.01239192951729,0.008270428749742716,-0.016365029663547238,orthogonal_all__m5
bike-sharing,regression,catboost,1,orthogonal_one,one,59.04610073940021,58.51074157731933,59.19003525526076,0.009066799591791607,-0.0024376633521628307,orthogonal_one__m2
bike-sharing,regression,catboost,2,condition_le_3_all,all,59.5739209962333,58.04385390184128,58.55651942913464,0.02568350494319081,0.017077968850883373,condition_le_3_all__m0
bike-sharing,regression,catboost,2,orthogonal_all,all,59.5739209962333,58.672440237444576,58.672440237444576,0.015132137413713631,0.015132137413713631,orthogonal_all__m5
bike-sharing,regression,catboost,2,orthogonal_one,one,59.5739209962333,58.436963804099896,59.17642888689648,0.019084813843381038,0.0066722502512793986,orthogonal_one__m3
bike-sharing,regression,controlled_mlp,0,condition_le_3_all,all,76.40112529010118,70.13052864128225,70.13052864128225,0.08207466349492847,0.08207466349492847,condition_le_3_all__m3
bike-sharing,regression,controlled_mlp,0,orthogonal_all,all,76.40112529010118,71.0584161609975,75.70774736381912,0.06992971777335724,0.009075493635064174,orthogonal_all__m6
bike-sharing,regression,controlled_mlp,0,orthogonal_one,one,76.40112529010118,72.44527158307392,73.21487518275981,0.051777427256556326,0.04170423007832567,orthogonal_one__m2
bike-sharing,regression,controlled_mlp,1,condition_le_3_all,all,78.00769345797514,72.05296538581881,72.05296538581881,0.0763351383458646,0.0763351383458646,condition_le_3_all__m3
bike-sharing,regression,controlled_mlp,1,orthogonal_all,all,78.00769345797514,71.67805903590128,78.14872608972817,0.08114115597436293,-0.0018079323397635508,orthogonal_all__m3
bike-sharing,regression,controlled_mlp,1,orthogonal_one,one,78.00769345797514,75.18007302352973,76.55283013317066,0.03624796874642529,0.018650254357132766,orthogonal_one__m7
bike-sharing,regression,controlled_mlp,2,condition_le_3_all,all,79.1057565708493,69.93470845573806,69.93470845573806,0.11593401684866499,0.11593401684866499,condition_le_3_all__m3
bike-sharing,regression,controlled_mlp,2,orthogonal_all,all,79.1057565708493,73.18281916659667,73.81894127551432,0.07487365851747939,0.06683224488978824,orthogonal_all__m5
bike-sharing,regression,controlled_mlp,2,orthogonal_one,one,79.1057565708493,77.31102825962482,79.10262694100936,0.02268770806353475,3.956260549925476e-05,orthogonal_one__m5
bike-sharing,regression,tabicl_v2,0,condition_le_3_all,all,70.53192975681488,69.41298430376031,70.75336660587095,0.015864381662497342,-0.003139526308433102,condition_le_3_all__m3
bike-sharing,regression,tabicl_v2,0,orthogonal_all,all,70.53192975681488,71.8937713294574,75.19033809757914,-0.019308156991280048,-0.06604680116970948,orthogonal_all__m4
bike-sharing,regression,tabicl_v2,0,orthogonal_one,one,70.53192975681488,70.61620315886474,75.14314606884655,-0.0011948262629481944,-0.06537771372384904,orthogonal_one__m7
bike-sharing,regression,tabicl_v2,1,condition_le_3_all,all,70.53192975681488,69.41298430376031,70.75336660587095,0.015864381662497342,-0.003139526308433102,condition_le_3_all__m3
bike-sharing,regression,tabicl_v2,1,orthogonal_all,all,70.53192975681488,71.8937713294574,75.19033809757914,-0.019308156991280048,-0.06604680116970948,orthogonal_all__m4
bike-sharing,regression,tabicl_v2,1,orthogonal_one,one,70.53192975681488,70.61620315886474,75.14314606884655,-0.0011948262629481944,-0.06537771372384904,orthogonal_one__m7
bike-sharing,regression,tabicl_v2,2,condition_le_3_all,all,70.53192975681488,69.41298430376031,70.75336660587095,0.015864381662497342,-0.003139526308433102,condition_le_3_all__m3
bike-sharing,regression,tabicl_v2,2,orthogonal_all,all,70.53192975681488,71.8937713294574,75.19033809757914,-0.019308156991280048,-0.06604680116970948,orthogonal_all__m4
bike-sharing,regression,tabicl_v2,2,orthogonal_one,one,70.53192975681488,70.61620315886474,75.14314606884655,-0.0011948262629481944,-0.06537771372384904,orthogonal_one__m7
bike-sharing,regression,tabm_d,0,condition_le_3_all,all,62.70433265327878,56.77991369615057,56.77991369615057,0.09448181180536694,0.09448181180536694,condition_le_3_all__m7
bike-sharing,regression,tabm_d,0,orthogonal_all,all,62.70433265327878,57.87722244566584,57.87722244566584,0.07698208406593307,0.07698208406593307,orthogonal_all__m0
bike-sharing,regression,tabm_d,0,orthogonal_one,one,62.70433265327878,63.119558191678166,63.61695771053298,-0.006621959294190356,-0.014554417831069533,orthogonal_one__m4
bike-sharing,regression,tabm_d,1,condition_le_3_all,all,64.45619208016396,56.61310051692896,56.61310051692896,0.12168096361448985,0.12168096361448985,condition_le_3_all__m7
bike-sharing,regression,tabm_d,1,orthogonal_all,all,64.45619208016396,58.61781966486557,59.346451633171625,0.09057892231730386,0.07927462485896414,orthogonal_all__m4
bike-sharing,regression,tabm_d,1,orthogonal_one,one,64.45619208016396,64.26345551835438,64.26345551835438,0.0029901946669433424,0.0029901946669433424,orthogonal_one__m4
bike-sharing,regression,tabm_d,2,condition_le_3_all,all,63.282525195760606,57.625471796110006,57.75824350291562,0.08939361035532088,0.08729553183530463,condition_le_3_all__m7
bike-sharing,regression,tabm_d,2,orthogonal_all,all,63.282525195760606,58.39861081265506,58.88582318457118,0.07717635110162653,0.06947734777631737,orthogonal_all__m4
bike-sharing,regression,tabm_d,2,orthogonal_one,one,63.282525195760606,63.69550225759183,63.69550225759183,-0.006525925767875233,-0.006525925767875233,orthogonal_one__m0
bike-sharing,regression,tabpfn_2_6,0,condition_le_3_all,all,53.904468803662496,55.03784913452834,56.14632213485432,-0.021025721169685912,-0.04158937804131567,condition_le_3_all__m5
bike-sharing,regression,tabpfn_2_6,0,orthogonal_all,all,53.904468803662496,54.69823242246426,54.73138024997923,-0.014725376882812922,-0.015340313422410568,orthogonal_all__m0
bike-sharing,regression,tabpfn_2_6,0,orthogonal_one,one,53.904468803662496,54.34201519241082,55.41913351580379,-0.008117070782053506,-0.02809905645593495,orthogonal_one__m7
bike-sharing,regression,tabpfn_2_6,1,condition_le_3_all,all,53.5224126387491,55.23714554923309,55.43182348929816,-0.032037660971257445,-0.03567497719948978,condition_le_3_all__m4
bike-sharing,regression,tabpfn_2_6,1,orthogonal_all,all,53.5224126387491,54.07854214394538,54.85329199697471,-0.01039059111460249,-0.024865832697199452,orthogonal_all__m5
bike-sharing,regression,tabpfn_2_6,1,orthogonal_one,one,53.5224126387491,53.51620393701911,54.08770985286328,0.00011600190320084544,-0.010561878402785439,orthogonal_one__m0
bike-sharing,regression,tabpfn_2_6,2,condition_le_3_all,all,54.05415724086341,54.27277917575073,54.27277917575073,-0.0040444980746466,-0.0040444980746466,condition_le_3_all__m3
bike-sharing,regression,tabpfn_2_6,2,orthogonal_all,all,54.05415724086341,53.448078667215576,53.448078667215576,0.011212432208445512,0.011212432208445512,orthogonal_all__m4
bike-sharing,regression,tabpfn_2_6,2,orthogonal_one,one,54.05415724086341,53.95139297780353,53.95139297780353,0.001901135237424349,0.001901135237424349,orthogonal_one__m4
california_housing,regression,catboost,0,condition_le_3_all,all,61413.13394131962,61637.91052152766,61974.67789581121,-0.0036600734367800525,-0.009143711099781196,condition_le_3_all__m2
california_housing,regression,catboost,0,orthogonal_all,all,61413.13394131962,61510.54565379918,61847.74009047965,-0.001586170680894358,-0.007076762270026816,orthogonal_all__m2
california_housing,regression,catboost,0,orthogonal_one,one,61413.13394131962,61868.1297700434,61868.1297700434,-0.0074087707225384694,-0.0074087707225384694,orthogonal_one__m0
california_housing,regression,catboost,1,condition_le_3_all,all,61831.46624034093,61251.17573966562,61613.53665001885,0.009385035419016353,0.0035245741945530633,condition_le_3_all__m6
california_housing,regression,catboost,1,orthogonal_all,all,61831.46624034093,61419.12606781954,62235.60645681253,0.006668775586181507,-0.006536157737238383,orthogonal_all__m2
california_housing,regression,catboost,1,orthogonal_one,one,61831.46624034093,61690.61507042817,62302.12601463466,0.0022779852796191167,-0.0076119782193787905,orthogonal_one__m6
california_housing,regression,catboost,2,condition_le_3_all,all,62250.62732366865,61248.03258840707,62140.62705764599,0.016105777216487177,0.001767054739074674,condition_le_3_all__m2
california_housing,regression,catboost,2,orthogonal_all,all,62250.62732366865,61500.4419167443,61500.4419167443,0.012051049751254749,0.012051049751254749,orthogonal_all__m1
california_housing,regression,catboost,2,orthogonal_one,one,62250.62732366865,61675.032861876265,61903.80611782679,0.009246404197657484,0.005571368848037148,orthogonal_one__m3
california_housing,regression,controlled_mlp,0,condition_le_3_all,all,65288.85728446,65785.37544851926,66657.2168859312,-0.007604944927983056,-0.020958547268017366,condition_le_3_all__m7
california_housing,regression,controlled_mlp,0,orthogonal_all,all,65288.85728446,65106.08741487138,66366.41693521007,0.002799403714362815,-0.016504495492319696,orthogonal_all__m0
california_housing,regression,controlled_mlp,0,orthogonal_one,one,65288.85728446,64176.525078661965,64999.60897882981,0.01703709104528606,0.004430285927198068,orthogonal_one__m5
california_housing,regression,controlled_mlp,1,condition_le_3_all,all,64520.1255845563,65197.662827999455,65736.63363921248,-0.010501176761586042,-0.018854706862929088,condition_le_3_all__m7
california_housing,regression,controlled_mlp,1,orthogonal_all,all,64520.1255845563,64781.63283972324,65808.6389999814,-0.004053111378777891,-0.01997072082162098,orthogonal_all__m7
california_housing,regression,controlled_mlp,1,orthogonal_one,one,64520.1255845563,63978.70908706975,64787.34104856192,0.00839143589044941,-0.004141583135256315,orthogonal_one__m5
california_housing,regression,controlled_mlp,2,condition_le_3_all,all,65093.57645240583,65350.20194301388,66117.49906937065,-0.003942408830396437,-0.015730010129547483,condition_le_3_all__m7
california_housing,regression,controlled_mlp,2,orthogonal_all,all,65093.57645240583,65094.86291660661,65094.86291660661,-1.9763304935591243e-05,-1.9763304935591243e-05,orthogonal_all__m2
california_housing,regression,controlled_mlp,2,orthogonal_one,one,65093.57645240583,64967.16405619045,65058.523267649856,0.0019420103043164478,0.0005385045140607021,orthogonal_one__m1
california_housing,regression,tabicl_v2,0,condition_le_3_all,all,58786.472722064536,59689.87673994383,61593.12934377098,-0.015367549302549242,-0.04774323907773793,condition_le_3_all__m0
california_housing,regression,tabicl_v2,0,orthogonal_all,all,58786.472722064536,59782.33038736774,60974.46484206429,-0.016940252054439525,-0.037219312856961534,orthogonal_all__m6
california_housing,regression,tabicl_v2,0,orthogonal_one,one,58786.472722064536,58914.272542308485,60012.19263984936,-0.0021739664641586996,-0.02085037358134892,orthogonal_one__m3
california_housing,regression,tabicl_v2,1,condition_le_3_all,all,58786.472722064536,59689.87673994383,61593.12934377098,-0.015367549302549242,-0.04774323907773793,condition_le_3_all__m0
california_housing,regression,tabicl_v2,1,orthogonal_all,all,58786.472722064536,59782.33038736774,60974.46484206429,-0.016940252054439525,-0.037219312856961534,orthogonal_all__m6
california_housing,regression,tabicl_v2,1,orthogonal_one,one,58786.472722064536,58914.272542308485,60012.19263984936,-0.0021739664641586996,-0.02085037358134892,orthogonal_one__m3
california_housing,regression,tabicl_v2,2,condition_le_3_all,all,58786.472722064536,59689.87673994383,61593.12934377098,-0.015367549302549242,-0.04774323907773793,condition_le_3_all__m0
california_housing,regression,tabicl_v2,2,orthogonal_all,all,58786.472722064536,59782.33038736774,60974.46484206429,-0.016940252054439525,-0.037219312856961534,orthogonal_all__m6
california_housing,regression,tabicl_v2,2,orthogonal_one,one,58786.472722064536,58914.272542308485,60012.19263984936,-0.0021739664641586996,-0.02085037358134892,orthogonal_one__m3
california_housing,regression,tabm_d,0,condition_le_3_all,all,61213.62526426933,61298.11607433052,61298.11607433052,-0.0013802614972799436,-0.0013802614972799436,condition_le_3_all__m4
california_housing,regression,tabm_d,0,orthogonal_all,all,61213.62526426933,61771.13547893026,62132.2866859907,-0.009107616355902206,-0.015007466356638065,orthogonal_all__m5
