git_commit,git_dirty,dataset,seed,model,split,training_seconds,operation_count,mae,rmse,r2,nrmse,relative_error
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),3,XGBoost,iid,3.436758812982589,-1,22.74014360220021,35.281101136296975,0.9307712819846188,0.26311350785427423,0.15702294190005478
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),3,XGBoost,future,3.436758812982589,-1,90.28929705973614,125.71661493299051,0.6378297989704044,0.6018057834796834,0.3899081107449468
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),3,RandomForest,iid,0.493081312160939,-1,27.740233359571864,42.041507996020755,0.9016988501438914,0.31353014186216377,0.1857360926541161
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),3,RandomForest,future,0.493081312160939,-1,92.59069020682314,129.9099593987834,0.6132660926522768,0.6218793350383363,0.3821082561352187
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),3,CatBoost,iid,17.806137178791687,-1,22.728646791492366,34.36696269959706,0.9343122584882737,0.25629619878516785,0.1646348245062646
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),3,CatBoost,future,17.806137178791687,-1,90.205894402853,126.01437787241699,0.6361121489115477,0.6032311754944802,0.3878906466838584
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),4,TabALU-Global,iid,0.01904334989376366,30,62.88151741643941,83.0684131402239,0.5827246110481565,0.645968566535434,0.49337549225783883
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),4,TabALU-Global,future,0.01904334989376366,30,334.7881343674083,395.7647969858567,-2.5892332283928328,1.8945271780560005,1.3800439965590885
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),4,TabALU-SeasonRouter,iid,0.03225933900102973,74,58.09122174268979,78.38455612768946,0.6284545484948896,0.6095452825714512,0.44205638497409433
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),4,TabALU-SeasonRouter,future,0.03225933900102973,74,633.1287234452332,976.5210386427294,-20.851968494469435,4.674608913531637,1.6822497434683186
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),4,TypedFeatures-MLP,iid,0.8350440969225019,-1,20.201693542198335,33.41677342496727,0.9324726090401295,0.25986032971554257,0.15208185679080333
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),4,TypedFeatures-MLP,future,0.8350440969225019,-1,213.8705829037718,294.3024307389931,-0.9847922483688663,1.408826550136271,0.9614976781111335
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),4,XGBoost,iid,8.07416164688766,-1,21.989365644405705,35.91200541106709,0.922011555574398,0.279264112312345,0.16252458251402455
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),4,XGBoost,future,8.07416164688766,-1,90.17506060100587,126.20349433007985,0.6350191177615564,0.6041364765005036,0.390149203613157
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),4,RandomForest,iid,0.4975382280535996,-1,27.759242013315397,44.997057279670315,0.8775611709333272,0.34991260204038493,0.1858591515072836
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),4,RandomForest,future,0.4975382280535996,-1,93.29592082107443,130.76794320970416,0.6081408944125437,0.6259865059148291,0.3828563799527802
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),4,CatBoost,iid,16.976711104158312,-1,22.559242674843652,35.663268942218785,0.9230881532262516,0.27732985193402526,0.17773585494061006
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),4,CatBoost,future,16.976711104158312,-1,89.70935801885324,125.19100478621272,0.6408518719508338,0.5992896862529559,0.39223461207688115
