dataset,problem_type,model,seed,method,track,representation_id,member,is_reference,split,task_error,disagreement,fit_seconds,gpu_peak_memory_mb,max_input_reconstruction_error
california_housing,regression,controlled_mlp,0,AdamW,optimizer,orthogonal_all__m6,6,False,test,65106.08741487138,0.1814896436771414,0.20609858399257064,68.7666015625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,AdamW,optimizer,orthogonal_all__m7,7,False,validation,61324.66032769017,0.09393341998648287,0.4044366891030222,68.7666015625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,AdamW,optimizer,orthogonal_all__m7,7,False,test,65747.19574285104,0.09404873556001983,0.4044366891030222,68.7666015625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,BlockScalarAdam,optimizer,rbf_reference,-1,True,validation,61559.48179803427,0.0,0.8911015160847455,68.77490234375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,BlockScalarAdam,optimizer,rbf_reference,-1,True,test,65536.36890630139,0.0,0.8911015160847455,68.77490234375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,BlockScalarAdam,optimizer,orthogonal_all__m0,0,False,validation,61149.43009428001,0.0949586476470869,0.8139315119478852,68.77490234375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,BlockScalarAdam,optimizer,orthogonal_all__m0,0,False,test,65392.60660459907,0.0912377093701503,0.8139315119478852,68.77490234375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,BlockScalarAdam,optimizer,orthogonal_all__m1,1,False,validation,60859.874758246806,0.10097951993960907,0.7800464960746467,68.77490234375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,BlockScalarAdam,optimizer,orthogonal_all__m1,1,False,test,65431.633148130735,0.10283150167495952,0.7800464960746467,68.77490234375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,BlockScalarAdam,optimizer,orthogonal_all__m2,2,False,validation,61832.362017114785,0.11216553432431588,0.7767660180106759,68.77490234375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,BlockScalarAdam,optimizer,orthogonal_all__m2,2,False,test,64826.81924746943,0.11319077637491598,0.7767660180106759,68.77490234375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,BlockScalarAdam,optimizer,orthogonal_all__m3,3,False,validation,61411.65584672454,0.1019580062212595,0.781259125797078,68.77490234375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,BlockScalarAdam,optimizer,orthogonal_all__m3,3,False,test,65371.22661602898,0.1056977454828914,0.781259125797078,68.77490234375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,BlockScalarAdam,optimizer,orthogonal_all__m4,4,False,validation,61777.67142131656,0.07380945421845886,0.8414676859974861,68.77490234375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,BlockScalarAdam,optimizer,orthogonal_all__m4,4,False,test,65199.141533381866,0.07466798407625418,0.8414676859974861,68.77490234375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,BlockScalarAdam,optimizer,orthogonal_all__m5,5,False,validation,61970.151855356205,0.10588701581687561,0.8587383760605007,68.77490234375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,BlockScalarAdam,optimizer,orthogonal_all__m5,5,False,test,65977.77627492981,0.10996297897172488,0.8587383760605007,68.77490234375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,BlockScalarAdam,optimizer,orthogonal_all__m6,6,False,validation,60857.51004428481,0.09221971968394517,0.8131674460601062,68.77490234375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,BlockScalarAdam,optimizer,orthogonal_all__m6,6,False,test,65381.68940446757,0.09739164074802878,0.8131674460601062,68.77490234375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,BlockScalarAdam,optimizer,orthogonal_all__m7,7,False,validation,61748.37830960777,0.09788750953021069,0.6610914750490338,68.77490234375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,BlockScalarAdam,optimizer,orthogonal_all__m7,7,False,test,66072.48299729169,0.0890190277279096,0.6610914750490338,68.77490234375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,BlockAdam,optimizer,rbf_reference,-1,True,validation,61352.13152441996,0.0,0.6308001969009638,68.77880859375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,BlockAdam,optimizer,rbf_reference,-1,True,test,65518.31511571082,0.0,0.6308001969009638,68.77880859375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,BlockAdam,optimizer,orthogonal_all__m0,0,False,validation,60902.99375651859,0.11139718754254736,0.7534883869811893,68.77880859375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,BlockAdam,optimizer,orthogonal_all__m0,0,False,test,65471.01853755724,0.10805610874034713,0.7534883869811893,68.77880859375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,BlockAdam,optimizer,orthogonal_all__m1,1,False,validation,60786.45672171059,0.11450049214397891,0.7587805830407888,68.77880859375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,BlockAdam,optimizer,orthogonal_all__m1,1,False,test,65372.35856081652,0.11741023581729755,0.7587805830407888,68.77880859375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,BlockAdam,optimizer,orthogonal_all__m2,2,False,validation,61695.007395195214,0.10737276107903038,0.8177901001181453,68.77880859375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,BlockAdam,optimizer,orthogonal_all__m2,2,False,test,65341.98177573502,0.11032503008543304,0.8177901001181453,68.77880859375,4.067255454572778e-16
