dataset,model,task,split_seed,training_size_label,training_rows,budget,budget_order,full_product,population,factor_count,schema_only_variance,stochastic_only_variance,schema_stochastic_interaction,canonical_joint_expectation_distance,total_nuisance_variance,main_fraction,pair_fraction,main_pair_fraction,triple_fraction,higher_fraction,effective_interaction_order,fanova_reconstruction_error,canonical16_residual,iid16_residual,srs16_residual,oc216_residual,canonical32_residual,iid32_residual,srs32_residual,oc232_residual,best_epoch_mean,stopped_epoch_mean,final_training_loss_mean,final_validation_loss_mean,final_gradient_norm_mean,final_parameter_update_norm_mean,oc2_srs_ratio_b16,oc2_canonical_ratio_b16,oc2_srs_ratio_b32,corner
credit_card_default,resnet,classification,2026082801,full,18000,convergence,500,True,64,4,0.00024143090345274843,0.00021357922189180114,0.001503755438618123,0.00012206897300856942,0.0019587655639626725,0.17689785994691548,0.5032412690361886,0.6801391289831041,0.3198608710168959,0.0,2.1429630110699804,0.0,0.00015803071925771974,0.000247520033335189,0.00018692286281070364,0.00018808534654200673,5.256577577763273e-05,0.0001244890325820326,6.283558868053607e-05,6.046291549871589e-05,11.328125,41.328125,0.13526773830373873,0.9953046441078186,1.0265672528048921,2.3705629421537617,1.0062190558919502,1.1901821837264013,0.962239978463747,largest/convergence
credit_card_default,tabm,classification,2026082801,2048,2048,20,20,True,64,4,8.530275915905828e-05,7.324658702543345e-05,0.0005954574787818634,3.192319680944167e-05,0.0007540068249663552,0.17017454090507753,0.5042693799130915,0.6744439208181691,0.32555607918183116,0.0,2.155381538276754,-1.0842021724855044e-19,7.259967682014615e-05,9.394049262166611e-05,7.256383934473357e-05,7.148854396629199e-05,2.4855579553415114e-05,4.669065116501528e-05,2.3598663871502998e-05,2.390865699465707e-05,17.4375,20.0,0.4181219743913971,0.4361083288677037,0.19725622774914173,0.3614831328664162,0.9851813880280906,0.9846950716239852,1.0131360455338496,small/20
credit_card_default,tabm,classification,2026082801,2048,2048,convergence,500,True,64,4,7.45400454167265e-05,9.005181076633936e-05,0.0006445697387984254,2.8082556246665793e-05,0.0008091615949814912,0.16076636229682098,0.5175303570453597,0.6782967193421806,0.3217032806578194,6.69954048245644e-17,2.1609369183609983,0.0,8.602447788098763e-05,0.00010037219821751942,7.471306096745468e-05,7.787709660201561e-05,2.819018166760585e-05,5.142401028963174e-05,2.5487213159439896e-05,2.5703918989043946e-05,18.9375,48.9375,0.1693291062983917,0.8795160995796323,0.566967470850455,0.35465015487493345,1.0423491635008664,0.9052899653719063,1.0085025313771423,small/convergence
credit_card_default,tabm,classification,2026082801,full,18000,20,20,True,64,4,8.853090144814366e-05,0.00010449487285980595,0.0006968243798240829,7.649054710632126e-05,0.0008898501541320324,0.17351885992060387,0.4624447513522992,0.635963611272903,0.36403638872709704,0.0,2.1905175288064935,0.0,8.489405243807164e-05,0.00011121195610896238,8.373239925558647e-05,8.784155342062098e-05,2.8317559913006327e-05,5.649654460160592e-05,2.874029413123663e-05,2.94873374301186e-05,15.96875,20.0,0.4205685694329441,0.40706076100468636,0.17765227689348656,1.188293168572654,1.049074840821074,1.0347197583093288,1.0259928898246744,largest/20
credit_card_default,tabm,classification,2026082801,full,18000,convergence,500,True,64,4,8.387522248173602e-05,9.227271646272752e-05,0.000592180897482619,8.881016465784556e-05,0.0007683288364270825,0.1921968549957749,0.4749977073514753,0.6671945623472503,0.3328054376527498,0.0,2.140608582656975,0.0,8.274772420722208e-05,9.647348370223038e-05,7.407679833886893e-05,7.423224506926228e-05,2.7817295273088062e-05,4.81607041898894e-05,2.46256743386011e-05,2.4740321707898924e-05,19.046875,49.046875,0.30949645825516847,0.4999199016019702,0.5515784770492163,1.3772165400144867,1.002098453684273,0.8970910774943514,1.0046556032424303,largest/convergence
fremtpl_claim_count,ft_transformer,regression,2026082801,2048,2048,20,20,True,128,4,0.01611520484235549,0.008190507557490895,0.11049168718574101,0.0022903803825193502,0.1347973995855874,0.1099916983796227,0.3931044645578699,0.5030961629374926,0.49690383706250735,1.029529341847799e-16,2.3869121386828844,0.0,0.00661663820815459,0.008452327780907386,0.007451373890017855,0.007424399500153966,0.0022689291637359387,0.004188624549985769,0.0031918029254330658,0.0032290029537133435,3.734375,20.0,0.4150028830754309,0.8743204162456095,4.588762883720236,0.5081703126586031,0.9963799441201004,1.1220803173133844,1.011654863771149,small/20
fremtpl_claim_count,ft_transformer,regression,2026082801,2048,2048,convergence,500,True,128,4,0.0007573194132154673,0.0003590561866152088,0.005853398938081263,0.00010029330159556689,0.006969774537911939,0.09010650908920827,0.4018738890588759,0.49198039814808414,0.5080196018519157,0.0,2.4179130927627077,0.0,0.000439613324456291,0.00042621542409550337,0.0003844137863109019,0.00038787380331423003,0.00014808550591569899,0.0002202798327516145,0.00016513594007099,0.00016996828536089528,3.71875,33.71875,0.061695581452170245,0.9681366560980678,2.615557000859592,0.2650266267985497,1.009000762008389,0.8823067494461142,1.029262832111701,small/convergence
fremtpl_claim_count,ft_transformer,regression,2026082801,full,72000,20,20,True,128,4,0.004804989581479317,0.0021492413551472862,0.03486056053712812,0.0017885914732360842,0.04181479147375472,0.09901492306703916,0.3982356703315305,0.49725059339856964,0.5027494066014304,0.0,2.4037344835343917,0.0,0.0018782950717778938,0.002628322044872583,0.0022688450340448627,0.002257436808944937,0.0006273455543757687,0.0012925846164258395,0.0010010183684576262,0.0009801962215027526,11.0703125,20.0,0.8708773639730385,0.7241082051768899,1.9327360282638852,3.1397365870810354,0.9949717918461856,1.2018541936588099,0.9791990360906598,largest/20
fremtpl_claim_count,ft_transformer,regression,2026082801,full,72000,convergence,500,True,128,4,0.003224563835047949,0.0014908012574606088,0.02322571755743459,0.0010555318223357014,0.02794108264994315,0.10310986535637591,0.4068915380373046,0.5100014033936806,0.48999859660631956,0.0,2.3868887312499436,-3.469446951953614e-18,0.00136232621927181,0.0017805682120307807,0.0015211175493533887,0.001515638258822873,0.00046272773008094195,0.0008762193948105488,0.0006596100405862307,0.0006676648802739256,13.9921875,43.9921875,0.5581303577127271,0.9049498052336276,2.9559971337688937,3.1163685366528293,0.9963978520050308,1.1125369514160943,1.0122115177029993,largest/convergence
fremtpl_claim_count,mlp,regression,2026082801,2048,2048,20,20,True,128,4,0.0001624935503615881,6.194757456505842e-05,0.0011444636681816724,3.653864155965034e-05,0.001368904793108319,0.0951214183501357,0.416637240209419,0.5117586585595547,0.48824134144044534,0.0,2.39311992309031,-2.168404344971009e-19,6.718169745012926e-05,8.514879169010402e-05,7.450411771338074e-05,7.577758487677062e-05,2.1523152112213332e-05,4.309373908439038e-05,3.141221784835034e-05,3.193858570742645e-05,3.546875,20.0,0.9291560036072042,0.6916869697161019,0.34591780655342064,0.24825802791095664,1.0170925742425263,1.1279498398060321,1.016756787490055,small/20
