task,split,operator,state_a,state_b,support_a,support_b,delta_a,delta_b,local_theory_a,local_theory_b
acs_industry,0,harmonic,115,52M3,4.0,4.0,0.0110848562562345,-0.0084820143722013,0.0110777049572313,-0.0084890164291722
acs_industry,0,harmonic,52M3,721M,4.0,4.0,-0.0084820143722013,0.0187239000205802,-0.0084890164291722,0.0187168702465577
acs_industry,0,harmonic,112,5417,4.0,4.0,0.0113190208082057,-0.0069600075821812,0.0113118695092025,-0.0069668788886775
acs_industry,0,harmonic,5417,5613,4.0,4.0,-0.0069600075821812,0.0019571314487792,-0.0069668788886775,0.0019501706817514
acs_industry,0,harmonic,5613,486,4.0,4.0,0.0019571314487792,-0.012174424270901,0.0019501706817514,-0.0121814797505724
acs_industry,0,harmonic,486,4241,4.0,4.0,-0.012174424270901,0.0044241538577277,-0.0121814797505724,0.0044168558950128
acs_industry,0,harmonic,5122,3399M,5.0,5.0,0.0016402630512933,-0.0026023934223811,0.001633237139909,-0.0026097193612978
acs_industry,0,harmonic,5121,6111,5.0,5.0,-0.0033496202973975,0.0077666921377519,-0.0033566462087817,0.0077596783637453
acs_industry,0,harmonic,6111,3391,5.0,5.0,0.0077666921377519,-0.0025011667357658,0.0077596783637453,-0.0025084661278543
acs_industry,0,harmonic,3391,311811,5.0,5.0,-0.0025011667357658,0.0058940507163379,-0.0025084661278543,0.0058868032998954
acs_industry,0,harmonic,311811,3221,5.0,5.0,0.0058940507163379,-0.0016897802854255,0.0058868032998954,-0.0016971285105183
acs_industry,0,harmonic,3221,4552,5.0,6.0,-0.0016897802854255,0.0070426137237241,-0.0016971285105183,0.0070354436632626
acs_industry,0,harmonic,4552,2212P,6.0,6.0,0.0070426137237241,-0.0105212560551052,0.0070354436632626,-0.0105282739522708
acs_industry,0,harmonic,2212P,4551,6.0,6.0,-0.0105212560551052,0.0062417800278468,-0.0105282739522708,0.0062346099673853
acs_industry,0,harmonic,4551,9281P,6.0,6.0,0.0062417800278468,-0.0066372748387719,0.0062346099673853,-0.0066442395063035
acs_industry,0,harmonic,9281P,33299M,6.0,6.0,-0.0066372748387719,0.0022367080271259,-0.0066442395063035,0.002229197063446
acs_industry,0,harmonic,33299M,221MP,6.0,6.0,0.0022367080271259,-0.0149912932082653,0.002229197063446,-0.0149983111054309
acs_industry,0,kernel_ridge,492,3345,4.0,4.0,0.0037595403005787,-0.0030915899230845,0.003727772609311,-0.0031902908974128
acs_industry,0,kernel_ridge,3345,5241,4.0,4.0,-0.0030915899230845,0.0031294173474163,-0.0031902908974128,0.0030806825732851
acs_industry,0,kernel_ridge,3336,6212,4.0,4.0,0.0048543597861332,-0.0102362043270199,0.0046318738387213,-0.0102712974195351
acs_industry,0,kernel_ridge,5615,4599,4.0,4.0,-0.0008436669049158,0.0285163717330342,-0.0008839206812475,0.0283197014911123
acs_industry,0,kernel_ridge,4599,2213M,4.0,4.0,0.0285163717330342,-0.0040664737652665,0.0283197014911123,-0.0044206117680493
acs_industry,0,kernel_ridge,2213M,3262M,4.0,4.0,-0.0040664737652665,0.0038740150087742,-0.0044206117680493,0.0017551666836182
acs_industry,0,kernel_ridge,3262M,424M,4.0,4.0,0.0038740150087742,-0.006368325092413,0.0017551666836182,-0.0065476126691591
acs_industry,0,kernel_ridge,424M,325M,4.0,4.0,-0.006368325092413,0.0181749048285446,-0.0065476126691591,0.0179428630927344
acs_industry,0,kernel_ridge,325M,4231,4.0,4.0,0.0181749048285446,-0.0098409999658271,0.0179428630927344,-0.0100280758334294
acs_industry,0,kernel_ridge,4247,44414,4.0,4.0,-0.0121192512672536,0.0089556673349567,-0.0122985388439997,0.0088373397637204
acs_industry,0,kernel_ridge,44414,7112,4.0,4.0,0.0089556673349567,-0.0047521158112387,0.0088373397637204,-0.0051437876120193
acs_industry,0,kernel_ridge,7112,6242,4.0,4.0,-0.0047521158112387,0.0214159465822044,-0.0051437876120193,0.0213922089954472
acs_industry,0,kernel_ridge,6242,561M,4.0,4.0,0.0214159465822044,-0.0025399327146975,0.0213922089954472,-0.0025801864910293
acs_industry,0,kernel_ridge,3331M,3252,4.0,4.0,-0.0148521218426805,0.0041389466279341,-0.015415846680609,0.0039069048921238
acs_industry,0,kernel_ridge,32221,7111,4.0,4.0,0.0128841417284916,-0.0046074108938717,0.0098566996474302,-0.0049990826946524
acs_industry,0,kernel_ridge,7111,6243,4.0,4.0,-0.0046074108938717,0.0503571549514403,-0.0049990826946524,0.050333417364683
acs_industry,0,kernel_ridge,6243,4561Z,4.0,4.0,0.0503571549514403,-0.0020861592434971,0.050333417364683,-0.0021811436165888
acs_industry,0,kernel_ridge,8112,115,4.0,4.0,-0.0117292624970181,0.0211137768817443,-0.0119173052371908,0.0208921061673288
acs_industry,0,kernel_ridge,4241,5122,4.0,5.0,0.0047470730935122,-0.0331863533838366,0.004567785516766,-0.0332338019974399
acs_industry,0,kernel_ridge,3399M,517Z,5.0,5.0,-0.00217104690967,0.0141875888480948,-0.0022977258828359,0.0141262173380908
acs_industry,0,kernel_ridge,517Z,5121,5.0,5.0,0.0141875888480948,-0.0041104962547743,0.0141262173380908,-0.0041579448683777
acs_industry,0,kernel_ridge,5121,6111,5.0,5.0,-0.0041104962547743,0.016845275355526,-0.0041579448683777,0.0167738386063922
acs_industry,0,kernel_ridge,311811,3221,5.0,5.0,0.0150018096484657,-0.0018406491025609,0.0146640782679451,-0.0028170056677441
acs_industry,0,kernel_ridge,3221,4552,5.0,6.0,-0.0018406491025609,0.0177524074437806,-0.0028170056677441,0.0176936144789927
acs_industry,0,kernel_ridge,4551,9281P,6.0,6.0,0.0149459597889368,-0.0172742672184336,0.0148871668241489,-0.017390637370346
acs_industry,0,kernel_ridge,9281P,33299M,6.0,6.0,-0.0172742672184336,0.0033550041167818,-0.017390637370346,0.0027297874338131
acs_industry,0,knn_1,332MZ,8129,3.0,4.0,-0.0032949424253096,0.0343817608101544,-0.0039669737961841,0.0334177783310709
acs_industry,0,knn_1,492,3345,4.0,4.0,0.0239212328756865,-0.0353527662466321,0.0237831867716049,-0.036057871516452
acs_industry,0,knn_1,3345,5241,4.0,4.0,-0.0353527662466321,0.0030940087156711,-0.036057871516452,0.0029134195649317
acs_industry,0,knn_1,5241,3336,4.0,4.0,0.0030940087156711,-0.0175646720528852,0.0029134195649317,-0.019925662864813
acs_industry,0,knn_1,6212,5615,4.0,4.0,-0.0067621493669721,0.0003171492635288,-0.006833662526257,1.0450262753364378e-05
acs_industry,0,knn_1,4599,2213M,4.0,4.0,0.0272870535555599,-0.005029263642209,0.024958060715108,-0.0060448337903472
acs_industry,0,knn_1,2213M,3262M,4.0,4.0,-0.005029263642209,0.000610283073934,-0.0060448337903472,-0.0070129819914517
acs_industry,0,knn_1,3262M,424M,4.0,4.0,0.000610283073934,-0.0030897887423168,-0.0070129819914517,-0.0033283839493832
acs_industry,0,knn_1,424M,325M,4.0,4.0,-0.0030897887423168,0.0286648777917509,-0.0033283839493832,0.0260959451554933
acs_industry,0,knn_1,325M,4231,4.0,4.0,0.0286648777917509,-0.0185739922460951,0.0260959451554933,-0.0222278619431833
acs_industry,0,knn_1,4247,44414,4.0,4.0,-0.0060563475685234,0.0099173016905094,-0.0062949427755899,0.0097178795932562
acs_industry,0,knn_1,44414,7112,4.0,4.0,0.0099173016905094,-0.0010633103960732,0.0097178795932562,-0.0022741506194282
acs_industry,0,knn_1,7112,6242,4.0,4.0,-0.0010633103960732,0.0193671572682053,-0.0022741506194282,0.0192971828856901
acs_industry,0,knn_1,6242,561M,4.0,4.0,0.0193671572682053,-0.0010903254804519,0.0192971828856901,-0.0013970244812274
acs_industry,0,knn_1,3331M,3252,4.0,4.0,-0.0215349232269533,0.0037786025413261,-0.0236949034231679,0.0012096699050684
acs_industry,0,knn_1,32221,7111,4.0,4.0,0.0135482857356094,-0.0011276507578747,0.0050158192105042,-0.0023384909812296
acs_industry,0,knn_1,7111,6243,4.0,4.0,-0.0011276507578747,0.0536673524992876,-0.0023384909812296,0.0535973781167724
acs_industry,0,knn_1,4561Z,8112,4.0,4.0,0.0009012572333033,-0.0382012203172494,0.0006971975588618,-0.0404571323487703
acs_industry,0,knn_1,8112,115,4.0,4.0,-0.0382012203172494,0.049519773242081,-0.0404571323487703,0.0493658607100426
acs_industry,0,knn_1,115,52M3,4.0,4.0,0.049519773242081,-0.0109542052944783,0.0493658607100426,-0.0111169853994194
acs_industry,0,knn_1,52M3,721M,4.0,4.0,-0.0109542052944783,0.0713337721902427,-0.0111169853994194,0.0711599815121421
acs_industry,0,knn_1,5613,486,4.0,4.0,0.0020665696414926,-0.0138176655671189,0.0017598706407171,-0.0139517151566435
acs_industry,0,knn_1,486,4241,4.0,4.0,-0.0138176655671189,0.0026439803224846,-0.0139517151566435,0.0024053851154181
acs_industry,0,knn_1,4241,5122,4.0,5.0,0.0026439803224846,-0.0800374089878003,0.0024053851154181,-0.0803310818986494
acs_industry,0,knn_1,3399M,517Z,5.0,5.0,-0.0054724572979215,0.0005569867042702,-0.0058972668126435,0.0002633137934212
acs_industry,0,knn_1,517Z,5121,5.0,5.0,0.0005569867042702,-0.0307435849122465,0.0002633137934212,-0.0310372578230956
acs_industry,0,knn_1,5121,6111,5.0,5.0,-0.0307435849122465,0.0204100034457688,-0.0310372578230956,0.0203766277529204
acs_industry,0,knn_1,6111,3391,5.0,5.0,0.0204100034457688,-0.0100513331777136,0.0203766277529204,-0.0107534126740405
acs_industry,0,knn_1,3391,311811,5.0,5.0,-0.0100513331777136,0.0065621366094445,-0.0107534126740405,0.0056306007709797
acs_industry,0,knn_1,311811,3221,5.0,5.0,0.0065621366094445,-0.0178851683720182,0.0056306007709797,-0.0264176348971234
acs_industry,0,knn_1,4552,2212P,6.0,6.0,-0.0986011267651079,0.0363218526340596,-0.0996273857022248,0.0360987777777754
acs_industry,0,knn_1,2212P,4551,6.0,6.0,0.0363218526340596,-0.0927814394897273,0.0360987777777754,-0.0938076984268442
acs_industry,0,knn_1,33299M,221MP,6.0,6.0,-0.0055348303700147,0.082784540215798,-0.0062068617408893,0.0825614653595138
acs_industry,0,knn_10,332MZ,8129,3.0,4.0,-0.0059389161850643,0.0357502372251616,-0.0061075826131705,0.0356539855071358
acs_industry,0,knn_10,8129,492,4.0,4.0,0.0357502372251616,-0.0235329589381698,0.0356539855071358,-0.0235638371966661
acs_industry,0,knn_10,492,3345,4.0,4.0,-0.0235329589381698,7.814496766680729e-06,-0.0235638371966661,-8.46634579781936e-05
acs_industry,0,knn_10,3336,6212,4.0,4.0,0.0101139715400604,-0.0075333422121244,0.0099958116280155,-0.00759595350516
acs_industry,0,knn_10,6212,5615,4.0,4.0,-0.0075333422121244,0.0014006559148182,-0.00759595350516,0.0013695169185278
acs_industry,0,knn_10,4599,2213M,4.0,4.0,0.0284890356849893,-0.0038299498509064,0.0282618917248989,-0.0038855269536279
acs_industry,0,knn_10,2213M,3262M,4.0,4.0,-0.0038299498509064,0.0003074672324723,-0.0038855269536279,6.4962739936902446e-06
acs_industry,0,knn_10,3262M,424M,4.0,4.0,0.0003074672324723,-0.000503183409028,6.4962739936902446e-06,-0.0006620151530663
